Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Teach Your Child to Read in 100 Easy Lessons",by Phyllis Haddox,4.3,14,https://www.amazon.in/Teach-Your-Child-Read-Lessons/dp/0671631985,0671631985,₹1,250,Paperback
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5009,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
"Learn to Read Activity Book: 101 Fun Lessons to Teach Your Child to Read",by Hannah Braun - Import,4.8,93,https://www.amazon.in/Learn-Read-Activity-Book-Lessons/dp/1939754526,1939754526,,Paperback
"100 Words Kids Need to Read by 1st Grade",by Terry Cooper,4.6,3,https://www.amazon.in/Words-Kids-Need-Read-Grade/dp/0439399297,0439399297,₹261,Paperback
"100 Fun Stories for 4-8 Year Olds (Perfect for Bedtime & Young Readers) (Yellow...",by Sharlene Alexander,2.9,10,https://www.amazon.in/Stories-Perfect-Bedtime-Readers-Yellow-ebook/dp/B005TA81BG,B005TA81BG,₹193.52,Kindle Edition
"All the Light we Cannot See",by Anthony Doerr,4.5,193,https://www.amazon.in/All-Light-we-Cannot-See/dp/0008172420,0008172420,₹311,Paperback
"The Catcher in the Rye",by J. D. Salinger,3.6,363,https://www.amazon.in/Catcher-Rye-J-D-Salinger/dp/0241950422,0241950422,₹236,Paperback
"Sidney Sheldon's The Silent Widow",by Sidney Sheldon,3.8,39,https://www.amazon.in/Sidney-Sheldons-Silent-Widow-Sheldon/dp/0008229635,0008229635,₹230,Paperback
"The Book of You: Free Sampler",by Claire Kendal,3.3,20,https://www.amazon.in/Book-You-Free-Sampler-ebook/dp/B00IWTKYBG,B00IWTKYBG,₹0,Kindle Edition
"The Ice Monster",by David Walliams,5,1,https://www.amazon.in/Ice-Monster-David-Walliams/dp/0008324050,0008324050,₹248,Paperback
"Flawed (Flawed 1)",by Cecelia Ahern,4.4,87,https://www.amazon.in/Flawed-1-Cecelia-Ahern/dp/0008125120,0008125120,₹207,Paperback
"Tell Me your Dreams",by Sidney Sheldon,4.4,160,https://www.amazon.in/Tell-your-Dreams-Sidney-Sheldon/dp/8172234902,8172234902,₹209,Paperback
"P.S. I Love You",by Cecelia Ahern,4.4,176,https://www.amazon.in/P-S-Love-You-Cecelia-Ahern/dp/0007270100,0007270100,₹217,Paperback
"Perfect (Flawed 2)",by Cecelia Ahern,4.5,70,https://www.amazon.in/Perfect-Flawed-2-Cecelia-Ahern/dp/0008125163,0008125163,₹196,Paperback
"Turning Angel: Part 1, Prologue to Chapter 2 inclusive",by Greg Iles,3.5,9,https://www.amazon.in/Turning-Angel-Prologue-Chapter-inclusive-ebook/dp/B00KQ417VG,B00KQ417VG,₹0,Kindle Edition
"Gangsta Granny",by David Walliams,4.4,29,https://www.amazon.in/Gangsta-Granny-David-Walliams/dp/0007516738,0007516738,₹200,Paperback
"The Accidental Further Adventures of the Hundred-Year-Old Man",by Jonas Jonasson,4,8,https://www.amazon.in/Accidental-Further-Adventures-Hundred-Year-Old-Man/dp/0008275572,0008275572,₹240,Paperback
"Roar",by Cecelia Ahern,4.5,4,https://www.amazon.in/Roar-Cecelia-Ahern/dp/0008324212,0008324212,₹319,Paperback
"Betrayed: Part 1 of 3: The heartbreaking true story of a struggle to escape a...",by Rosie Lewis,4.3,11,https://www.amazon.in/Betrayed-heartbreaking-struggle-escape-defined-ebook/dp/B00HSUDXOU,B00HSUDXOU,₹0,Kindle Edition
"The World’s Worst Children - 2",by David Walliams,5,6,https://www.amazon.in/Worlds-Worst-Children-2/dp/0008259674,0008259674,₹389,Paperback
"100 Things to Do Before You Grow Up",by Lisa Gerry,4.4,7,https://www.amazon.in/100-Things-Before-You-Grow/dp/1426315589,1426315589,₹569,Paperback
