Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Accountancy Textbook Not-for-Profit Organisation and Partnership Accounts for...,by NCERT,4.2,11.0,https://www.amazon.in/Accountancy-Textbook-Organisation-Partnership-Accounts/dp/8174506403,8174506403,₹100,Paperback
Financial Accounts: For Easy Understanding and Quick Revision (Suitable for CA...,by Lakshmi,4.0,2.0,https://www.amazon.in/Financial-Accounts-Understanding-Revision-Suitable-ebook/dp/B075HFSMJL,B075HFSMJL,₹55,Kindle Edition
CBSE NCERT Solutions - Accountancy for Class 12  for 2018 - 19,by Vikas Jairath,4.3,18.0,https://www.amazon.in/CBSE-NCERT-Solutions-Accountancy-Class/dp/9351416186,9351416186,₹122,Paperback
APPSC Divsional Accounts Officer DAO Screening Test and Mains [ TELUGU MEDIUM ],by VIjeta Competitions Editorial Board,,,https://www.amazon.in/Divsional-Accounts-Officer-Screening-TELUGU/dp/B07MVSSCC8,B07MVSSCC8,₹290,Paperback
Oswaal ISC Question Bank Class 12 Accounts Chapterwise and Topicwise (For March...,by Oswaal Editorial Board,4.0,5.0,https://www.amazon.in/Oswaal-Question-Accounts-Chapterwise-Topicwise/dp/9387965112,9387965112,₹258,Paperback
"Fundamentals of Advanced Accounting Volume-II (Company Accounts), 2nd Edition",by R.S.N PALLAI,,,https://www.amazon.in/Fundamentals-Advanced-Accounting-Company-Accounts-ebook/dp/B00QUYL4QO,B00QUYL4QO,₹565.25,Kindle Edition
T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profits Organizations...,by T.S. Grewal,,,https://www.amazon.in/Grewals-Double-Entry-Keeping-Profits/dp/9387907473,9387907473,₹410,Paperback
Tally ERP 9 (Power of Simplicity): Software for Business and Accounts,by Shraddha Singh,3.7,48.0,https://www.amazon.in/Tally-ERP-Power-Simplicity-Software/dp/9350571315,9350571315,₹280,Paperback
Hindu Terror: Insider account of Ministry of Home Affairs 2006-2010,by RVS Mani,4.3,62.0,https://www.amazon.in/Hindu-Terror-Insider-Ministry-2006-2010/dp/9386473275,9386473275,₹365,Paperback
Accountancy Textbook Company Accounts and Analysis of Financial Statements for...,by NCERT,3.7,6.0,https://www.amazon.in/Accountancy-Textbook-Accounts-Financial-Statements/dp/9350073420,9350073420,,Paperback
Yama and His Book of Accounts: (Penguin Petit),by Devdutt Pattanaik,,,https://www.amazon.in/Yama-His-Book-Accounts-Penguin-ebook/dp/B07H5LR4NC,B07H5LR4NC,₹15.75,Kindle Edition
India's Most Fearless,by Shiv Aroor - Unabridged,4.7,274.0,https://www.amazon.in/Indias-Most-Fearless/dp/B07MWBG17H,B07MWBG17H,₹0,Audible Audiobook
Healed: How Cancer Gave Me a New Life,by Manisha Koirala,4.5,8.0,https://www.amazon.in/Healed-How-Cancer-Gave-Life/dp/0670091979,0670091979,₹309,Hardcover
ISC Chapterwise Solved Papers Accounts Class 12th,by Arihant Expert,4.0,2.0,https://www.amazon.in/Chapterwise-Solved-Papers-Accounts-Class/dp/9313163152,9313163152,₹152,Paperback
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",by Shekhar Mishra,3.6,5.0,https://www.amazon.in/Social-media-hacking-Facebook-instagram-ebook/dp/B07FRM1NHV,B07FRM1NHV,₹99,Kindle Edition
"Atishay Ledger, 15Cm X 20Cm, 350 Pages, Pack Of 3",by ATISHAY,,,https://www.amazon.in/Atishay-Ledger-15Cm-20Cm-Pages/dp/B01MEEJ4Q9,B01MEEJ4Q9,₹760,
Scanner-Company Accounts & Auditing Practices (CS -Executive) (June 2019 Exam-Old...,by N.S. Zad,,,https://www.amazon.in/Scanner-Company-Accounts-Auditing-Practices-Executive/dp/9388750306,9388750306,₹430,Paperback
Accountancy Class XII (CBSE Syllabus) Part A Volume I Accounting for Partnership...,by D K Goel,,,https://www.amazon.in/Accountancy-Syllabus-Accounting-Partnership-2019-20/dp/B07MYG9R8C,B07MYG9R8C,₹580,Paperback
Model Specimen Papers for Accounts: ISC Class 12 for 2019 Examination,by Oswal Publishers,5.0,2.0,https://www.amazon.in/Model-Specimen-Papers-Accounts-Examination/dp/9387660494,9387660494,₹316,Perfect Paperback
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156.0,https://www.amazon.in/Romancing-Balance-Sheet-Manages-Business/dp/9350294311,9350294311,₹477,Hardcover
Tneb Tangedco Junior Assistant Accounts (E),by T. Ganesh Dr.jayasheela.T,5.0,1.0,https://www.amazon.in/Tneb-Tangedco-Junior-Assistant-Accounts/dp/9385592041,9385592041,₹320,Paperback
1962: The War That Wasn't: The Definitive Account of the Clash Between India...,by Shiv Kunal Verma - Unabridged,4.4,98.0,https://www.amazon.in/1962-Wasnt-Definitive-Account-Between/dp/B01N5HJ4QF,B01N5HJ4QF,₹0,Audible Audiobook
Bad Blood: Secrets and Lies in a Silicon Valley Startup,by John Carreyrou,4.8,36.0,https://www.amazon.in/Bad-Blood-Secrets-Silicon-Startup/dp/1509868070,1509868070,₹545,Paperback
MPSC Sales Tax Assistant Book for Pustpalan ani Lekhakarm Va Bharatiy Arthvyavastha...,by CA. ABHIJEET N. BOBADE,4.0,7.0,https://www.amazon.in/Assistant-Pustpalan-Lekhakarm-Arthvyavastha-Economics/dp/B00R5L9P26,B00R5L9P26,₹199,Paperback
Shyamaraj Credit/Debit Account Book (100 Pages),by Shyamaraj,,,https://www.amazon.in/Shyamaraj-Credit-Debit-Account-Book/dp/B07BKXLTKR,B07BKXLTKR,₹220,
Moments of Truth with Sathya Sai,by Bishu Prusty,,,https://www.amazon.in/Moments-Truth-Sathya-Bishu-Prusty/dp/938441154X,938441154X,₹300,Paperback
Good Night Stories for Rebel Girls,by Elena Favilli,4.7,271.0,https://www.amazon.in/Good-Night-Stories-Rebel-Girls/dp/014198600X,014198600X,₹461,Hardcover
"15 Sample Paper Class 12 (Accounts, Economics, Bussniss Studies) Set of 3 Books...",by Arihant Expart SM,5.0,1.0,https://www.amazon.in/Accounts-Economics-Bussniss-Studies-Examination/dp/B07JQ3C39N,B07JQ3C39N,₹497,Paperback
Model Sample Papers & Practice Papers in Accountancy,by Dr. S.C. Sharma,4.6,8.0,https://www.amazon.in/Model-Sample-Papers-Practice-Accountancy/dp/B07MD9GCTV,B07MD9GCTV,₹312,Paperback
Auschwitz Revealed: Auschwitz Greatest Mysteries and Famous Survivor Stories...,by George Harrison,4.0,91.0,https://www.amazon.in/Auschwitz-Revealed-Mysteries-Concentration-Eyewitness-ebook/dp/B00K6YN3KY,B00K6YN3KY,₹206.50,Kindle Edition
Dipa Karmakar: The Small Wonder (India's First Ever Female Gymnast to Compete...,by Bishweshwar Nandi,4.7,4.0,https://www.amazon.in/Dipa-Karmakar-Gymnast-Compete-Olympics/dp/9388369505,9388369505,₹349,Hardcover
The Idol Thief,by S. Vijay Kumar,4.8,27.0,https://www.amazon.in/Idol-Thief-S-Vijay-Kumar/dp/9386228823,9386228823,₹293,Hardcover
AFFILIATE MARKETING DWARA PAISA KAMANA HAI ASSAN -  HINDI: Tips: Easy  to Earn...,by Laxmi Nagar,4.6,3.0,https://www.amazon.in/AFFILIATE-MARKETING-DWARA-PAISA-KAMANA-ebook/dp/B0765ST74P,B0765ST74P,₹49,Kindle Edition
What We Talk about When We Talk about Rape,by Abdulali Sohaila,4.9,17.0,https://www.amazon.in/What-Talk-about-When-Rape/dp/0670091774,0670091774,₹304,Hardcover
The Unending Game: A Former R&AW Chief's Insights into Espionage,by Vikram Sood,3.9,56.0,https://www.amazon.in/Unending-Game-Former-Insights-Espionage/dp/0670091502,0670091502,₹360,Hardcover
Company Accounts & Auditing Practices (CS -Executive)-(December 2018 Exams) (...,by N.S.Zad,5.0,2.0,https://www.amazon.in/Accounts-Auditing-Practices-Executive-December/dp/9387957489,9387957489,₹840,Paperback
Oswaal ISC Question Bank Class 12 (Set of 5 Books) English Papers 1and 2(Language...,by Oswaal Editorial Board,4.0,1.0,https://www.amazon.in/Question-Language-Literature-Accounts-Economics/dp/9388036239,9388036239,₹877,Paperback
"City of My Heart: Accounts of Love, Loss and Betrayal in Nineteenth - Century...",by Rana Safvi,3.8,15.0,https://www.amazon.in/City-My-Heart-Accounts-Nineteenth/dp/9351952584,9351952584,₹421.74,Hardcover
Compilation of General Financial Rules 2017 Alongwith GOI Decisions (Approved...,,,,https://www.amazon.in/Compilation-Financial-Alongwith-Decisions-Controller/dp/8172748892,8172748892,₹270,Paperback
Into the Wild (Picador Classic Book 78),by Jon Krakauer,4.5,114.0,https://www.amazon.in/Into-Wild-Picador-Classic-Book-ebook/dp/B005AV93JI,B005AV93JI,₹235.60,Kindle Edition
Being Reshma: The Extraordinary Story of an Acid-Attack Survivor who Took the...,by Reshma Qureshi with Tania Singh,5.0,19.0,https://www.amazon.in/Being-Reshma-Extraordinary-Acid-Attack-Survivor/dp/9386215527,9386215527,₹373,Hardcover
Designers Den Cash Book/Register for Keeping Financial Record,by designers den,,,https://www.amazon.in/Designers-Register-Keeping-Financial-Record/dp/B06XVWW5FX,B06XVWW5FX,₹350,
The Story of My Life,by Helen Keller,4.3,102.0,https://www.amazon.in/Story-My-Life-Helen-Keller/dp/8175994037,8175994037,₹159,Paperback
Mein Kampf,by Adolf Hitler - Illustrated,4.0,483.0,https://www.amazon.in/Mein-Kampf-Adolf-Hitler/dp/817224164X,817224164X,₹189,Paperback
Mossad,by Michael Bar-Zohar - Import,4.6,637.0,https://www.amazon.in/Mossad-Michael-Bar-Zohar/dp/8184958455,8184958455,₹340,Paperback
