Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Little Black Book for Stunning Success + Tools for Action Mastery",by Robin Sharma,4.4,67,https://www.amazon.in/Little-Stunning-Success-Action-Mastery/dp/8184959893,8184959893,₹220,Paperback
"The Protocol (A James Acton Thriller, Book #1)",by J. Robert Kennedy,4.5,16,https://www.amazon.in/Protocol-James-Acton-Thriller-Book-ebook/dp/B0059Y4QNO,B0059Y4QNO,₹0,Kindle Edition
"Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.)",by Simon Sinek - Unabridged,4.4,198,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/B079BDSDRV,B079BDSDRV,₹0,Audible Audiobook
"The Man Who Robbed His Own Post Office: The Year of Short Stories – January",by Jeffrey Archer,4,33,https://www.amazon.in/Man-Who-Robbed-Post-Office-ebook/dp/B077S3B2LY,B077S3B2LY,₹0,Kindle Edition
"My Journey: Transforming Dreams into Actions",by A. P. J. Abdul Kalam - Unabridged,4.7,587,https://www.amazon.in/My-Journey-Transforming-Dreams-Actions/dp/B0797LX4FD,B0797LX4FD,₹0,Audible Audiobook
"Action Words (Kiddy Board Book)",by Dreamland Publications,2.9,17,https://www.amazon.in/Action-Words-Kiddy-Board-Book/dp/8184514638,8184514638,₹46,Board book
"When Justice Calls (A Henry Biggston Thriller Book 1)",by Jamie McFarlane,4.6,72,https://www.amazon.in/Justice-Calls-Henry-Biggston-Thriller-ebook/dp/B07HCNF9S5,B07HCNF9S5,₹0,Kindle Edition
"The Strange Case of Dr. Jekyll and Mr. Hyde",by Ian Holm - Abridged,4,72,https://www.amazon.in/Strange-Case-Dr-Jekyll-Hyde/dp/B07B66JQCJ,B07B66JQCJ,₹0,Audible Audiobook
"Price Action Market Traps: 7 Trap Strategies Market Psychology Minimal Risk &...",by Ray Wang,4.6,17,https://www.amazon.in/Price-Action-Market-Traps-Strategies-ebook/dp/B06XBTD847,B06XBTD847,₹472,Kindle Edition
"Mythos",by Stephen Fry - Unabridged,4.3,6,https://www.amazon.in/Mythos/dp/B075MPXN3D,B075MPXN3D,₹0,Audible Audiobook
"Creative Visualization: 33 Guided Visualization Scripts to Create the Life of...",by Louise Stapely,4.8,5,https://www.amazon.in/Creative-Visualization-Guided-Scripts-Attraction-ebook/dp/B00N172OBW,B00N172OBW,₹215.94,Kindle Edition
"The Hound of the Baskervilles",by Arthur Conan Doyle - Unabridged,4.3,100,https://www.amazon.in/The-Hound-of-the-Baskervilles/dp/B079CF6MYW,B079CF6MYW,₹0,Audible Audiobook
"Devil (Savage MC--Tennessee Chapter Book 1)",by Jordan Marie,4.6,250,https://www.amazon.in/Devil-Savage-MC-Tennessee-Chapter-Book-ebook/dp/B07BBN326P,B07BBN326P,₹0,Kindle Edition
"Inferno",by Dan Brown - Unabridged,4.3,823,https://www.amazon.in/Inferno/dp/B079WVWTCL,B079WVWTCL,₹0,Audible Audiobook
"Law of Attraction - 30 Practical Exercises (Law of Attraction in Action Book 1)",by Louise Stapely,4.3,15,https://www.amazon.in/Law-Attraction-Practical-Exercises-Action-ebook/dp/B00HLRXAFM,B00HLRXAFM,₹206,Kindle Edition
"Little Women",by Louisa May Alcott - Unabridged,4.3,136,https://www.amazon.in/Little-Women/dp/B079B78KVX,B079B78KVX,₹0,Audible Audiobook
"Incredible Worlds - The Sci Fi Action Pack (5 Full Length Books) (Incredible...",by Michael G. Thomas,3,1,https://www.amazon.in/Incredible-Worlds-Action-Length-Books-ebook/dp/B0797VFCCY,B0797VFCCY,₹412,Kindle Edition
