Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Diary of a Young Girl",by Anne Frank,4.5,759,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600,8193387600,₹68,Paperback
"Picture Perfect (Picturing Perfect Book 1)",by Alessandra Thomas,2.8,138,https://www.amazon.in/Picture-Perfect-Picturing-Book-ebook/dp/B00BYLQIQE,B00BYLQIQE,₹0,Kindle Edition
"The Hotwife Adventure - A Wife Sharing Romance Prologue",by Karly Violet,3.7,4,https://www.amazon.in/Hotwife-Adventure-Sharing-Romance-Prologue-ebook/dp/B075THK4K1,B075THK4K1,₹0,Kindle Edition
"Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book)",by Wonder House Books Editorial,4.4,40,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X,938653861X,₹159,Paperback
"Get Naked: New Adult Romance",by Lucia Jordan,3.1,25,https://www.amazon.in/Get-Naked-New-Adult-Romance-ebook/dp/B01D2CC1EU,B01D2CC1EU,₹0,Kindle Edition
"Nature, Garden and Forest: Colouring Books for Adults with Tear Out Sheets (Adult...",by Wonder House Books Editorial,4.8,28,https://www.amazon.in/Nature-Garden-Forest-Colouring-Adults/dp/938653858X,938653858X,₹159,Paperback
"Let's Be Just Friends: A New Adult College Romance",by Camilla Isley,2.9,4,https://www.amazon.in/Lets-Be-Just-Friends-College-ebook/dp/B01DTO5J72,B01DTO5J72,₹0,Kindle Edition
"Refreshing Mandala - Colouring Book for Adults Book 2",by Dreamland Publications,4.4,80,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/935089761X,935089761X,₹175,Paperback
"Spectacular Stranger (Adult Romance)",by Lucia Jordan,3,3,https://www.amazon.in/Spectacular-Stranger-Adult-Romance-Jordan-ebook/dp/B00A00BEWS,B00A00BEWS,₹0,Kindle Edition
"The Babysitter's Seduction (The Babysitter Diaries Book 1)",by Kelli Wolfe,2.8,11,https://www.amazon.in/Babysitters-Seduction-Babysitter-Diaries-Book-ebook/dp/B005W7A3HG,B005W7A3HG,₹0,Kindle Edition
"Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring...",by Wonder House Books Editorial,4.6,13,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601,9386538601,₹159,Paperback
"Refreshing Mandala - Colouring Book for Adults Book 1",by Dreamland Publications,4.6,284,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601,9350897601,,Paperback
"20 ADULT ENCOUNTERS",by Temptation Tales,,,https://www.amazon.in/20-ADULT-ENCOUNTERS-Temptation-Tales-ebook/dp/B07DDHXWZW,B07DDHXWZW,₹269,Kindle Edition
"The Book Thief (Definitions Young Adult)",by Markus Zusak,4.5,87,https://www.amazon.in/Book-Thief-Definitions-Young-Adult/dp/1909531618,1909531618,₹379,Paperback
"Refreshing Mandala - Colouring Book for Adults Book 3",by Dreamland Publications,4.4,36,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350899175,9350899175,₹175,Paperback
"Collection : THE SECRET COLLECTION: Collection, Romance young adult contemporary...",by Secret Publishing,,,https://www.amazon.in/Collection-COLLECTION-contemporary-Contemporary-Billionaire-ebook/dp/B01DYGR856,B01DYGR856,₹233.64,Kindle Edition
"Majestic Animals: Colouring Books for Adults with Tear Out Sheets (Adult Colouring...",by Wonder House Books Editorial,3.9,4,https://www.amazon.in/Majestic-Animals-Colouring-Adults-Sheets/dp/9386538598,9386538598,₹159,Paperback
"The Chronicles of Kerrigan Box Set Books # 1 - 6: Paranormal Fantasy Young Adult...",by W.J. May,4.3,6,https://www.amazon.in/Chronicles-Kerrigan-Box-Set-Books-ebook/dp/B01MTPKBAP,B01MTPKBAP,₹0,Kindle Edition
"Creative Doodle Colouring - Patterns",by Dreamland Publications,4.6,65,https://www.amazon.in/Creative-Doodle-Colouring-Dreamland-Publications/dp/9350897946,9350897946,₹140,Paperback
"Perfectly Shattered: New Adult Romance (Sexy & Dangerous Book 1)",by Emily Jane Trent,3.4,10,https://www.amazon.in/Perfectly-Shattered-Adult-Romance-Dangerous-ebook/dp/B00JRJXGWO,B00JRJXGWO,₹0,Kindle Edition
"Rejuvenate Yourself Abstract",by Dreamland Publications,4.6,101,https://www.amazon.in/Rejuvenate-Yourself-Abstract-Dreamland-Publications/dp/9350895250,9350895250,₹140,Paperback
"Train Your Brain Puzzles - Book A",by Arihant Experts,4.4,35,https://www.amazon.in/Train-Your-Brain-Puzzles-Book/dp/9352512421,9352512421,₹86,Paperback
