Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The River of Adventure (The Adventure Series)",by Enid Blyton - Unabridged,4.4,13,https://www.amazon.in/River-Adventure-Enid-Blyton/dp/1447262824,1447262824,₹233,Paperback
"Malgudi Adventures",by Narayan R.K.,4.3,153,https://www.amazon.in/Malgudi-Adventures-Narayan-R-K/dp/0143335901,0143335901,₹144,Paperback
"The Adventures of Sherlock Holmes",by Sir Arthur Conan Doyle,4.3,839,https://www.amazon.in/Adventures-Sherlock-Holmes-Arthur-Conan/dp/8175993863,8175993863,₹149,Paperback
"Marvel Adventures Iron Man (2007-2008) #1",by Fred Van   Lente,4.5,33,https://www.amazon.in/Marvel-Adventures-Iron-Man-2007-2008-ebook/dp/B00ZME3KDS,B00ZME3KDS,₹0,Kindle Edition
"The Secret Seven: Is Exciting Adventures (Set of 15 Books)",by Enid Blyton - Box set,4.7,130,https://www.amazon.in/Secret-Seven-Exciting-Adventures-Books/dp/1444916424,1444916424,₹1,688,Paperback
"The Island of Adventure (The Adventure Series)",by Enid Blyton - Unabridged,4.6,21,https://www.amazon.in/Island-Adventure-Enid-Blyton/dp/1447262778,1447262778,₹260,Paperback
"The Adventures of Tom Sawyer",by Mark Twain,4.3,158,https://www.amazon.in/Adventures-Tom-Sawyer-Mark-Twain/dp/8175992913,8175992913,₹99,Paperback
"Famous Five: 21 Exciting Adventures! (Set of 21 Books)",by Enid Blyton - Box set,4.7,116,https://www.amazon.in/Famous-Five-Exciting-Adventures-Books/dp/1444916416,1444916416,₹2,040,Paperback
"The Girl in Room 105",by Chetan Bhagat,4.1,1542,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,Paperback
"The Adventures of Rusty: Collected Stories",by Ruskin Bond,4.6,36,https://www.amazon.in/Adventures-Rusty-Collected-Stories/dp/0143332228,0143332228,₹199,Paperback
"The Adventures of Sherlock Holmes (Wisehouse Classics Edition)",by Arthur Conan Doyle,4.4,60,https://www.amazon.in/Adventures-Sherlock-Holmes-Wisehouse-Classics-ebook/dp/B01BTITH82,B01BTITH82,₹68.48,Kindle Edition
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5011,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
"Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...",by Amish Tripathi,4.1,4651,https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149,9385152149,₹240,Paperback
"The Complete Adventures of Feluda Vol. 1",by Satyajit Ray,4.7,94,https://www.amazon.in/Complete-Adventures-Feluda-Vol/dp/014342503X,014342503X,₹375,Paperback
"The Magic of the Lost Temple",by Sudha Murty,4.6,268,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X,014333316X,₹179,Paperback
"Sita: Warrior of Mithila (Ram Chandra)",by Amish Tripathi,4.3,1817,https://www.amazon.in/Sita-Warrior-Mithila-Ram-Chandra/dp/9386224585,9386224585,₹226,Paperback
"The Complete Sherlock Holmes (Set of 2 Books)",by Sir Arthur Conan Doyle,4.4,38,https://www.amazon.in/Complete-Sherlock-Holmes-Set-Books/dp/9350334038,9350334038,₹496,Paperback
"The Complete Adventures of Feluda Vol. 2",by Satyajit Ray,4.5,67,https://www.amazon.in/Complete-Adventures-Feluda-Vol/dp/0143425048,0143425048,₹375,Paperback
"The Adventures of Captain Underpants",by Dav Pilkey,4.1,43,https://www.amazon.in/Adventures-Captain-Underpants-Dav-Pilkey/dp/9351030865,9351030865,₹251,Paperback
"Looking for Alaska",by John Green,4.3,512,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521,0007523521,₹218,Paperback
"Slumbering: An Epic Fantasy Adventure Series (The Starlight Chronicles Book 1)",by C. S. Johnson,3.9,52,https://www.amazon.in/Slumbering-Fantasy-Adventure-Starlight-Chronicles-ebook/dp/B00RM6325U,B00RM6325U,₹265.30,Kindle Edition
"Tom Gates #13 Epic Adventure (Kind of)",by Liz Pichon,4.4,28,https://www.amazon.in/Tom-Gates-Epic-Adventure-Kind/dp/9352751787,9352751787,₹247,Hardcover
"The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning",by Anand Neelakantan,4.1,793,https://www.amazon.in/Rise-Sivagami-Baahubali-Before-Beginning/dp/9386224445,9386224445,₹162,Paperback
"The Karate Mouse: 40 (Geronimo Stilton)",by Geronimo Stilton,4.4,86,https://www.amazon.in/Karate-Mouse-40-Geronimo-Stilton/dp/054510369X,054510369X,₹251,Paperback
"Sidney Sheldon's The Silent Widow",by Sidney Sheldon,3.8,39,https://www.amazon.in/Sidney-Sheldons-Silent-Widow-Sheldon/dp/0008229635,0008229635,₹230,Paperback
"Murder in a Minute",by Shouvik Bhattacharya,4.4,277,https://www.amazon.in/Murder-Minute-Shouvik-Bhattacharya/dp/9386643723,9386643723,₹188,Paperback
"Missing! (FREE YOUNG ADULT ACTION ADVENTURE) (The Florida Chase Book 1)",by Paul Moxham,4.7,4,https://www.amazon.in/Missing-YOUNG-ACTION-ADVENTURE-Florida-ebook/dp/B007UL4HHE,B007UL4HHE,₹0,Kindle Edition
"The Mountain of Adventure (The Adventure Series)",by Enid Blyton - Unabridged,4.7,12,https://www.amazon.in/Mountain-Adventure-Enid-Blyton/dp/1447262794,1447262794,₹260,Paperback
"Peter Pan",by J. M. Barrie,4,26,https://www.amazon.in/Peter-Pan-J-M-Barrie/dp/9386538377,9386538377,₹99,Paperback
"The Boy in the Striped Pyjamas (Vintage Childrens Classics)",by John Boyne,4.6,134,https://www.amazon.in/Striped-Pyjamas-Vintage-Childrens-Classics/dp/0099572869,0099572869,₹173,Paperback
"The Time Machine (Enriched Classics)",by H.G. Wells,4.3,216,https://www.amazon.in/Time-Machine-Enriched-Classics-ebook/dp/B004XVQ73G,B004XVQ73G,₹54.60,Kindle Edition
"The Adventures of Huckleberry Finn",by Mark Twain,4,129,https://www.amazon.in/Adventures-Huckleberry-Finn-Mark-Twain/dp/8175992999,8175992999,₹99,Paperback
"A Fabumouse School Adventure: 38 (Geronimo Stilton)",by Geronimo Stilton,4.5,21,https://www.amazon.in/Fabumouse-School-Adventure-Geronimo-Stilton/dp/0545021383,0545021383,₹225,Paperback
"Fairy and the Lost Wings: Children’s Bed Time Story (Adventure) (Books For Kids...",by Dr. Mc,4,31,https://www.amazon.in/Fairy-Lost-Wings-Childrens-Adventure-ebook/dp/B01M1SBI3C,B01M1SBI3C,₹160,Kindle Edition
"The Circus of Adventure (The Adventure Series)",by Enid Blyton - Unabridged,3,4,https://www.amazon.in/Circus-Adventure-Enid-Blyton/dp/1447262816,1447262816,₹186,Paperback
"Magnus Chase and the Ship of the Dead (Book 3)",by Rick Riordan,4.6,87,https://www.amazon.in/Magnus-Chase-Ship-Dead-Book/dp/0141342595,0141342595,₹389,Paperback
"Geronimo Stilton and the Kingdom of Fantasy: Special Edition: The Phoenix of...",by Geronimo Stilton,4.7,464,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-Special/dp/935103951X,935103951X,₹538,Hardcover
"Five Have a Mystery to Solve: 20 (The Famous Five Series)",by Enid Blyton,4.3,19,https://www.amazon.in/Five-Have-Mystery-Solve-Famous/dp/0340894733,0340894733,₹161,Paperback
"Accidental Thief: Book One in the LitRPG Accidental Traveler Adventure",by Jamie Davis,5,1,https://www.amazon.in/Accidental-Thief-LitRPG-Traveler-Adventure-ebook/dp/B074ZG6CWK,B074ZG6CWK,₹0,Kindle Edition
"Alice’s Adventures in Wonderland",by Lewis Carroll,4,119,https://www.amazon.in/Alices-Adventures-Wonderland-Lewis-Carroll/dp/8175992980,8175992980,₹89,Paperback
"The Adventures of Woka Chimni: A storybook for kids about a sparrow's exciting...",by Preeti Vyas - Import,4.9,13,https://www.amazon.in/Adventures-Woka-Chimni-storybook-sparrows/dp/0143442007,0143442007,₹113,Paperback
"Soldier of Fortune: A Gideon Quinn Adventure (The Fortune Chronicles Book 1)",by Kathleen McClure,1,1,https://www.amazon.in/Soldier-Fortune-Gideon-Adventure-Chronicles-ebook/dp/B019S6ZYF2,B019S6ZYF2,₹0,Kindle Edition
"Adventures of Toto the Auto - Complete collection, Set of 4 Contemporary Indian...",by Ruta Vyas,4.7,21,https://www.amazon.in/Adventures-Toto-Auto-collection-Contemporary/dp/9381593051,9381593051,₹449,Paperback
"The Adventures of Padma and a Blue Dinosaur",by Vaishali Shroff - Import,5,4,https://www.amazon.in/Adventures-Padma-Blue-Dinosaur/dp/9352777433,9352777433,₹259,JP Oversized
"Travelled Far: A Collection Of Hiking Adventures",by Keith Foskett,4.6,3,https://www.amazon.in/Travelled-Far-Collection-Hiking-Adventures-ebook/dp/B01N4S4QWZ,B01N4S4QWZ,₹70,Kindle Edition
"The Ship of Adventure (The Adventure Series)",by Enid Blyton - Unabridged,4.9,10,https://www.amazon.in/Ship-Adventure-Enid-Blyton/dp/1447262808,1447262808,₹213,Paperback
