Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Subtle Art of Not Giving a F*ck,by Mark Manson,4.3,1180.0,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549,0062641549,₹293,Paperback
The (New) Art Book (Big Ideas),by DK,2.9,3.0,https://www.amazon.in/New-Art-Book-Big-Ideas/dp/024123901X,024123901X,₹869,Hardcover
Fundamentals of Drawing: A Complete Professional Course for Artists,by Barrington Barber,4.5,16.0,https://www.amazon.in/Fundamentals-Drawing-Complete-Professional-Artists/dp/1841933171,1841933171,₹538,Paperback
Indian Art and Culture,by Nitin Singhania,4.5,391.0,https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548,9387067548,₹412,Paperback
Leonardo da Vinci: A Life From Beginning to End (Biographies of Painters Book 1),by Hourly History,4.3,146.0,https://www.amazon.in/Leonardo-Vinci-Beginning-Biographies-Painters-ebook/dp/B01MSL98U2,B01MSL98U2,₹0,Kindle Edition
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),by Wonder House Books Editorial,4.4,40.0,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X,938653861X,₹159,Paperback
"Standard My Sketch Book, Artist Pad",by Standard,4.3,148.0,https://www.amazon.in/Standard-Sketch-Book-Artist-Pad/dp/B01BF5I2Y4,B01BF5I2Y4,₹265,
The Art of Happiness: A Handbook for Living,by The Dalai Lama,4.4,37.0,https://www.amazon.in/Art-Happiness-Handbook-Living/dp/0340750154,0340750154,₹419,Paperback
An Introduction to Indian Art Part 1 : Textbook in Fine Arts for Class 11  -...,by NCERT,4.1,41.0,https://www.amazon.in/Introduction-Indian-Art-Part-Textbook/dp/9350071878,9350071878,₹120,Paperback
Creative Doodle Colouring - Patterns,by Dreamland Publications,4.6,65.0,https://www.amazon.in/Creative-Doodle-Colouring-Dreamland-Publications/dp/9350897946,9350897946,₹140,Paperback
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring...,by Wonder House Books Editorial,4.6,13.0,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601,9386538601,₹159,Paperback
