Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Looking for Alaska,by John Green,4.3,512.0,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521,0007523521,₹218,Paperback
Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future...,by Satya Nadella,4.5,204.0,https://www.amazon.in/Hit-Refresh-Rediscover-Microsofts-Everyone/dp/000824765X,000824765X,₹358,Hardcover
The Wife (Award Winning Short Story),by F. Poj,3.3,29.0,https://www.amazon.in/Wife-Award-Winning-Short-Story-ebook/dp/B00C5X55QO,B00C5X55QO,₹0,Kindle Edition
The Illicit Happiness Of Other People,by Manu Joseph,4.3,47.0,https://www.amazon.in/Illicit-Happiness-Other-People/dp/9351361764,9351361764,₹281,Paperback
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,https://www.amazon.in/Perks-Being-Wallflower-Stephen-Chbosky/dp/1451696191,1451696191,₹186,Paperback
The President is Missing,by President Bill Clinton - Import,3.1,19.0,https://www.amazon.in/President-Missing-Bill-Clinton/dp/1780898401,1780898401,₹327,Paperback
Gone Girl,by Gillian Flynn,4.1,390.0,https://www.amazon.in/Gone-Girl-Gillian-Flynn-ebook/dp/B007ZXK08C,B007ZXK08C,₹119,Kindle Edition
For Kids By Kids: Award Winning Stories from the 2015 Scholastic Writing Awards,by Various,5.0,3.0,https://www.amazon.in/Kids-Winning-Stories-Scholastic-Writing/dp/9351039692,9351039692,₹150,Paperback
The Guest Cat,by Takashi Hiraide,4.6,6.0,https://www.amazon.in/Guest-Cat-Takashi-Hiraide/dp/1447279409,1447279409,₹320,Paperback
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",by Liane Moriarty,3.6,31.0,https://www.amazon.in/Husbands-Secret-bestselling-author-winning/dp/1405911662,1405911662,₹221,Paperback
Roots,by Alex Haley,4.2,25.0,https://www.amazon.in/Roots-Alex-Haley/dp/0099362813,0099362813,₹448,Paperback
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner)...,by Colson Whitehead,4.0,19.0,https://www.amazon.in/Underground-Railroad-Pulitzer-Winner-National/dp/0385542364,0385542364,₹800,Hardcover
Tikki Tikki Tembo,by Arlene Mosel,3.8,9.0,https://www.amazon.in/Tikki-Tembo-Arlene-Mosel/dp/0312367481,0312367481,₹280,Paperback
The Fault in Our Stars,by John Green,4.5,1570.0,https://www.amazon.in/Fault-Our-Stars-John-Green-ebook/dp/B007Z8ZKS2,B007Z8ZKS2,₹99,Kindle Edition
Super Nutrition for Women: The Award-Winning Guide No Woman Should Be Without...,by Ann Louise Gittleman PH.D.  CNS,4.2,11.0,https://www.amazon.in/Super-Nutrition-Women-Award-Winning-Without/dp/0553382500,0553382500,,Paperback
Call Me by Your Name: A Novel,by André Aciman,4.6,56.0,https://www.amazon.in/Call-Me-Your-Name-Novel/dp/031242678X,031242678X,₹900,Paperback
Percy Jackson and the Sea of Monsters (Book 2) (Percy Jackson And The Olympians),by Rick Riordan,4.7,131.0,https://www.amazon.in/Percy-Jackson-Monsters-Book-Olympians-ebook/dp/B002RI9720,B002RI9720,₹173.77,Kindle Edition
Percy Jackson and the Lightning Thief (Percy Jackson and the Olympians),by Rick Riordan,4.7,272.0,https://www.amazon.in/Percy-Jackson-Lightning-Thief-Olympians/dp/0141329998,0141329998,₹218,Paperback
9th Judgement: (Women's Murder Club 9),by James Patterson,4.6,907.0,https://www.amazon.in/9th-Judgement-Womens-Murder-Club/dp/0099525380,0099525380,₹90,Paperback
The O. Henry Prize Stories 2018 (The O. Henry Prize Collection),by Laura Furman,4.0,1.0,https://www.amazon.in/Henry-Prize-Stories-2018-Collection/dp/0525436588,0525436588,₹363,Paperback
"Bloodchild: The Hugo, Locus and Nebula award-winning novella",by Octavia E. Butler,4.0,2.0,https://www.amazon.in/Bloodchild-Locus-Nebula-award-winning-novella-ebook/dp/B00HP4HA7A,B00HP4HA7A,₹0,Kindle Edition
The World's Worst Children,by David Walliams,4.9,15.0,https://www.amazon.in/Worlds-Worst-Children-David-Walliams/dp/0008197040,0008197040,₹389,Paperback
Percy Jackson and the Battle of the Labyrinth (Book 4) (Percy Jackson And The...,by Rick Riordan,4.7,132.0,https://www.amazon.in/Percy-Jackson-Battle-Labyrinth-Olympians-ebook/dp/B0033807E0,B0033807E0,₹148.45,Kindle Edition
Vulgar Favours: The book behind the Emmy Award winning ‘American Crime Story’...,by Maureen Orth - Import,5.0,1.0,https://www.amazon.in/Vulgar-Favours-winning-American-murdered/dp/1785943103,1785943103,₹433.59,Paperback
