Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Girl in Room 105,Chetan Bhagat,4.1 out of 5 stars,"1,486",https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469?_encoding=UTF8&psc=1,1542040469,99.00,
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,8192910962,65.00,
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.7 out of 5 stars,863,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1,0143442295,125.00,
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891?_encoding=UTF8&psc=1,9387944891,199.00,
Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,8192910911,64.00,
General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1,9312147307,19.00,
Notes for Healthy Kids,Rujuta Diwekar,4.7 out of 5 stars,32,https://www.amazon.in/Notes-Healthy-Kids-Rujuta-Diwekar/dp/9387894525?_encoding=UTF8&psc=1,9387894525,234.00,
Indian Polity 5th Edition,M. Laxmikanth,4.5 out of 5 stars,"2,943",https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,935260363X,426.00,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"1,633",https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,0099590085,249.00,
The Subtle Art of Not Giving a F*ck,Mark Manson,4.3 out of 5 stars,"1,165",https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,0062641549,263.00,
General Knowledge,Not Available,4.4 out of 5 stars,"2,035",https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1,9384761540,156.00,
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,8183071007,76.00,
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1,9352534026,427.00,
Becoming,Michelle Obama,4.8 out of 5 stars,55,https://www.amazon.in/Becoming-Michelle-Obama/dp/0241334144?_encoding=UTF8&psc=1,0241334144,519.00,
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,8172234988,182.00,
A Brief History of Modern India (2018-2019) Session by Spectrum Book,Not Available,4.4 out of 5 stars,220,https://www.amazon.in/History-Modern-2018-2019-Session-Spectrum/dp/8179306887?_encoding=UTF8&psc=1,8179306887,222.00,
Manorama Yearbook 2019 ( English),Not Available,4.5 out of 5 stars,37,https://www.amazon.in/Manorama-Yearbook-English-Philip-Mathew/dp/8193769716?_encoding=UTF8&psc=1,8193769716,228.00,
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World),Robert T Kiyosaki,4.5 out of 5 stars,"3,563",https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1,1612680194,219.00,
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,https://www.amazon.in/Prelims-Topic-wise-Solved-Papers-1995-2018/dp/9388026586?_encoding=UTF8&psc=1,9388026586,270.00,
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"2,912",https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1,817992162X,107.00,
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1,8192910997,79.00,
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.3 out of 5 stars,"1,090",https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1,0062312685,350.00,
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1,9351772071,105.00,
Indian Economy: For UPSC Civil Services & Other State PSC Examinations,Ramesh Singh,3.9 out of 5 stars,217,https://www.amazon.in/Indian-Economy-Civil-Services-Examinations/dp/9387572862?_encoding=UTF8&psc=1,9387572862,348.00,
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.7 out of 5 stars,"1,249",https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1,0143428845,167.00,
A Modern Approach to Verbal & Non-Verbal Reasoning,R.S. Aggarwal,4.4 out of 5 stars,357,https://www.amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167?_encoding=UTF8&psc=1,9352832167,550.00,
Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,https://www.amazon.in/Lucents-General-Science-2018-2019-Session/dp/9384761141?_encoding=UTF8&psc=1,9384761141,Rs. 150.00,
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1,8173711461,194.00,
Designing Destiny,Not Available,5.0 out of 5 stars,1,https://www.amazon.in/Designing-Destiny-Kamlesh-D-Patel/dp/9387894533?_encoding=UTF8&psc=1,9387894533,263.00,
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.6 out of 5 stars,8,https://www.amazon.in/Forest-Enchantments-Chitra-Banerjee-Divakaruni/dp/9353025982?_encoding=UTF8&psc=1,9353025982,373.00,
My First Library: Boxset of 10 Board Books for Kids,Not Available,4.6 out of 5 stars,92,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1,9387779262,468.00,
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1,8184001053,118.00,
Brief Answers to the Big Questions,Stephen Hawking,4.7 out of 5 stars,181,https://www.amazon.in/Brief-Answers-Questions-Stephen-Hawking/dp/1473695988?_encoding=UTF8&psc=1,1473695988,225.00,
Man's Search for Meaning,Viktor E Frankl,4.3 out of 5 stars,708,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,1846041244,155.00,
Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,9380349300,75.00,
The Immortals of Meluha (Shiva Trilogy),Not Available,4.6 out of 5 stars,"2,631",https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1,9380658745,169.00,
The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1,8179925919,111.00,
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.3 out of 5 stars,30,https://www.amazon.in/Oswaal-Sample-Question-Paper-Science/dp/9388036662?_encoding=UTF8&psc=1,9388036662,127.00,
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.4 out of 5 stars,42,https://www.amazon.in/Oswaal-Sample-Question-Paper-Mathematics/dp/9388036689?_encoding=UTF8&psc=1,9388036689,127.00,
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Not Available,4.4 out of 5 stars,360,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1,0143440055,120.00,
Indian Art and Culture,Nitin Singhania,4.5 out of 5 stars,388,https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1,9387067548,357.00,
CBSE Chemistry Chapterwise Solved Papers Class 12th,Not Available,4.2 out of 5 stars,97,https://www.amazon.in/Chemistry-Chapterwise-Solved-Papers-Class/dp/9313161419?_encoding=UTF8&psc=1,9313161419,152.00,
CBSE Chapterwise Physics Class 12th,Not Available,4.2 out of 5 stars,87,https://www.amazon.in/CBSE-Chapterwise-Physics-Class-12th/dp/9313161427?_encoding=UTF8&psc=1,9313161427,172.00,
Animal Farm,George Orwell,4.5 out of 5 stars,142,https://www.amazon.in/Animal-Farm-George-Orwell/dp/8193387643?_encoding=UTF8&psc=1,8193387643,39.00,
21 Lessons for the 21st Century,Yuval Noah Harari,4.0 out of 5 stars,97,https://www.amazon.in/Lessons-21st-Century-Yuval-Harari/dp/1787330672?_encoding=UTF8&psc=1,1787330672,368.00,
General Knowledge 2019,Manohar Pandey,4.1 out of 5 stars,242,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1,931214734X,102.00,
Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13),Jeff Kinney,4.7 out of 5 stars,290,https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204?_encoding=UTF8&psc=1,0141378204,223.00,
Environment By SHANKAR (6th) Revised Edition 2018,Not Available,4.2 out of 5 stars,650,https://www.amazon.in/Environment-SHANKAR-6th-Revised-2018/dp/B07KF7H5JS?_encoding=UTF8&psc=1,B07KF7H5JS,299.00,
1984,George Orwell,4.4 out of 5 stars,738,https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1,8192910903,88.00,
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.3 out of 5 stars,694,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1,0141033576,266.00,
Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,8179922324,103.00,
The Perfect Us,Durjoy Datta,4.7 out of 5 stars,424,https://www.amazon.in/Perfect-Us-Durjoy-Datta/dp/0143426591?_encoding=UTF8&psc=1,0143426591,103.00,
Pyjamas are Forgiving,Not Available,3.4 out of 5 stars,230,https://www.amazon.in/Pyjamas-are-Forgiving-Twinkle-Khanna/dp/9386228971?_encoding=UTF8&psc=1,9386228971,163.00,
The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,https://www.amazon.in/Great-Gatsby-F-Scott-Fitzgerald/dp/8172344562?_encoding=UTF8&psc=1,8172344562,47.00,
The Diary of a Young Girl,Anne Frank,4.5 out of 5 stars,752,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600?_encoding=UTF8&psc=1,8193387600,59.00,
Certificate Physics And Human Geography; Indian Edition,Not Available,4.3 out of 5 stars,936,https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1,0195628160,229.00,
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Oswaal Editorial Board,4.6 out of 5 stars,24,https://www.amazon.in/Oswaal-Sample-Question-Social-Science/dp/9388036670?_encoding=UTF8&psc=1,9388036670,126.00,
Objective NCERT at your Fingertips - Biology,Not Available,4.7 out of 5 stars,268,https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/9387949222?_encoding=UTF8&psc=1,9387949222,408.00,
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4 out of 5 stars,505,https://www.amazon.in/NTA-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1,9332551731,216.00,
