Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Wings of Fire: An Autobiography of Abdul Kalam,by Arun Tiwari,4.6,2133.0,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461,8173711461,₹194,Paperback
Steve Jobs,by Walter Isaacson,4.6,693.0,https://www.amazon.in/Steve-Jobs-Walter-Isaacson/dp/034914043X,034914043X,₹302,Paperback
Mein Kampf,by Adolf Hitler,4.0,480.0,https://www.amazon.in/Mein-Kampf-Adolf-Hitler/dp/8172345429,8172345429,₹89,Paperback
Becoming,by Michelle Obama - Import,4.8,56.0,https://www.amazon.in/Becoming-Michelle-Obama/dp/0241334144,0241334144,₹835,Hardcover
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future,by Ashlee Vance,4.5,725.0,https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638,0753555638,₹343,Paperback
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",by Sudha Murty,4.4,360.0,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055,0143440055,₹129,Paperback
Nikola Tesla: Imagination and the Man That Invented the 20th Century,by Sean Patrick,4.5,854.0,https://www.amazon.in/Nikola-Tesla-Imagination-Invented-Century-ebook/dp/B00CATSONE,B00CATSONE,₹0,Kindle Edition
Biography: Dhirubhai Ambani,by RPH Editorial Board,3.5,35.0,https://www.amazon.in/Biography-Dhirubhai-RPH-Editorial-Board/dp/9350122537,9350122537,₹27,Paperback
Alibaba: The House that Jack Ma Built,by Duncan Clark,4.2,142.0,https://www.amazon.in/Alibaba-House-that-Jack-Built/dp/0062413406,0062413406,₹329,Hardcover
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247.0,https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116,8172343116,₹99,Paperback
The Theory of Everything,by Stephen Hawking - Special Edition,4.5,534.0,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919,8179925919,₹133,Paperback
Shoe Dog: A Memoir by the Creator of NIKE,by Phil Knight,4.6,374.0,https://www.amazon.in/Shoe-Dog-Memoir-Creator-NIKE/dp/1471146723,1471146723,₹275,Paperback
Swami Vivekananda: A Biography,by Swami Vivekananda,3.7,50.0,https://www.amazon.in/Swami-Vivekananda-Biography/dp/9384401102,9384401102,₹144,Paperback
Abraham Lincoln: A Complete Biography (General Press),by Lord Charnwood,4.0,44.0,https://www.amazon.in/Abraham-Lincoln-Biography-Lord-Charnwood/dp/9380914253,9380914253,₹244,Paperback
Brief Answers to the Big Questions,by Stephen Hawking,4.7,184.0,https://www.amazon.in/Brief-Answers-Questions-Stephen-Hawking/dp/1473695988,1473695988,₹225,Hardcover
The Dhoni Touch: Unravelling the Enigma That Is Mahendra Singh Dhoni,by Bharat Sundaresan,4.6,85.0,https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063,0143440063,₹147,Paperback
Indra Nooyi - A Biography,by Annapoorna,4.2,73.0,https://www.amazon.in/Indra-Nooyi-Biography-Annapoorna/dp/8170289726,8170289726,₹145,Paperback
Adolf Hitler: A Life From Beginning to End (World War 2 Biographies Book 1),by Hourly History,4.1,593.0,https://www.amazon.in/Adolf-Hitler-Beginning-World-Biography-ebook/dp/B01M2Y9QZE,B01M2Y9QZE,₹199,Kindle Edition
India’s Most Fearless: True Stories of Modern Military Heroes,by Shiv Aroor,4.7,274.0,https://www.amazon.in/Indias-Most-Fearless-Stories-Military/dp/0143440446,0143440446,₹129,Paperback
Turning Points : A Journey Through Challanges: A Journey Through Challenges,by A.P.J. Abdul Kalam - Abridged,4.7,409.0,https://www.amazon.in/Turning-Points-Journey-Challanges-Challenges/dp/9350293471,9350293471,₹135,Paperback
A Brief History of Time: From Big Bang to Black Holes,by Stephen Hawking,4.4,779.0,https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211,0553175211,₹199,Paperback
The Autobiography of Benjamin Franklin,by Benjamin Franklin,4.1,253.0,https://www.amazon.in/Autobiography-Benjamin-Franklin/dp/8175993286,8175993286,₹99,Paperback
The Tata Saga: Timeless Stories From India's Largest Business Group,by Penguin Books India,5.0,3.0,https://www.amazon.in/Tata-Saga-Timeless-Stories-Business/dp/0670091758,0670091758,₹374,Hardcover
The Man Who Saved India,by Hindol Sengupta,4.6,29.0,https://www.amazon.in/Man-Who-Saved-India/dp/0670089907,0670089907,₹519,Hardcover
The Diary of a Young Girl,by Anne Frank,4.5,754.0,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194,8172345194,₹68,Paperback
Notes of a Dream: The Authorized Biography of A.R. Rahman,by Krishna Trilok - Import,4.4,64.0,https://www.amazon.in/Notes-Dream-Authorized-Biography-R/dp/0670091162,0670091162,₹329,Hardcover
Leonardo da Vinci: A Life From Beginning to End (Biographies of Painters Book 1),by Hourly History,4.3,143.0,https://www.amazon.in/Leonardo-Vinci-Beginning-Biographies-Painters-ebook/dp/B01MSL98U2,B01MSL98U2,₹0,Kindle Edition
