Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life",by Gaur Gopal Das,4.7,868,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,0143442295,₹165,Paperback
"The Girl in Room 105",by Chetan Bhagat,4.1,1493,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹99,Paperback
"The Subtle Art of Not Giving a F*ck",by Mark Manson,4.3,1170,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549,0062641549,₹264,Paperback
"The Power of your Subconscious Mind",by Joseph Murphy,4.5,4985,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962,8192910962,₹65,Paperback
"I Will Teach You Excel: Master Excel, Surpass Your Co-Workers, And Impress Your...",by Joel Villar,4,211,https://www.amazon.in/Will-Teach-You-Excel-Co-Workers-ebook/dp/B01DVS095I,B01DVS095I,₹0,Kindle Edition
"General Knowledge 2019",by Manohar Pandey,4.2,517,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307,9312147307,₹19,Paperback
"Think and Grow Rich",by Napoleon Hill,4.6,3601,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911,8192910911,₹64,Paperback
"The Alchemist",by Paulo Coelho,4.6,3825,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,8172234988,₹182,Paperback
"Attitude Is Everything: Change Your Attitude ... Change Your Life!",by Jeff Keller,4.6,749,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071,9351772071,₹112,Paperback
"Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and...",by Robert T Kiyosaki,4.5,3565,https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194,1612680194,₹219,Mass Market Paperback
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",by Sudha Murty,4.4,360,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055,0143440055,₹129,Paperback
"Master Your Mind, Master Your Life: 15 Mindset Hacks That Will Unleash Your Full...",by Magnus Steele,4.3,162,https://www.amazon.in/Master-Your-Mind-Life-Potential-ebook/dp/B01NAX1ZZC,B01NAX1ZZC,₹0,Kindle Edition
"Pyjamas are Forgiving",by Twinkle Khanna,3.4,232,https://www.amazon.in/Pyjamas-are-Forgiving-Twinkle-Khanna/dp/9386228971,9386228971,₹170,Paperback
"Mein Kampf",by Adolf Hitler,4,480,https://www.amazon.in/Mein-Kampf-Adolf-Hitler/dp/8172345429,8172345429,₹89,Paperback
"Wings of Fire: An Autobiography of Abdul Kalam",by Arun Tiwari,4.6,2132,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461,8173711461,₹194,Paperback
"The Theory of Everything",by Stephen Hawking - Special Edition,4.5,534,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919,8179925919,₹133,Paperback
"The Monk Who Sold His Ferrari",by Robin Sharma,4.6,2913,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X,817992162X,₹107,Paperback
"The 5 AM Club: Own Your Morning, Elevate Your Life",by Robin Sharma,4.3,146,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891,9387944891,₹199,Paperback
"World War 1: A History From Beginning to End",by Henry Freeman,4.2,148,https://www.amazon.in/World-War-History-Beginning-End-ebook/dp/B01M03OKDA,B01M03OKDA,₹0,Kindle Edition
"Brief Answers to the Big Questions",by Stephen Hawking,4.7,184,https://www.amazon.in/Brief-Answers-Questions-Stephen-Hawking/dp/1473695988,1473695988,₹225,Hardcover
"Manorama Yearbook 2019 ( English)",by  Philip Mathew,4.5,38,https://www.amazon.in/Manorama-Yearbook-English-Philip-Mathew/dp/8193769716,8193769716,₹228,Paperback
"Sapiens: A Brief History of Humankind",by Yuval Noah Harari,4.6,1634,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085,0099590085,₹249,Paperback
"How to Win Friends and Influence People",by Dale Carnegie,4.5,2640,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997,8192910997,₹79,Paperback
"Inner Engineering: A Yogi’s Guide to Joy",by Sadhguru,4.7,1250,https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845,0143428845,₹166,Paperback
"Naughty (Naughty Series Book 1)",by Lucia Jordan,3,94,https://www.amazon.in/Naughty-Book-1-Lucia-Jordan-ebook/dp/B00TJCFIFM,B00TJCFIFM,₹0,Kindle Edition
"Notes for Healthy Kids",by Rujuta Diwekar,4.7,33,https://www.amazon.in/Notes-Healthy-Kids-Rujuta-Diwekar/dp/9387894525,9387894525,₹234,Paperback
"PYTHON: PROGRAMMING: A BEGINNER’S GUIDE TO LEARN PYTHON IN 7 DAYS",by Ramsey Hamilton,4,99,https://www.amazon.in/PYTHON-PROGRAMMING-BEGINNERS-GUIDE-LEARN-ebook/dp/B01GSODGZC,B01GSODGZC,₹0,Kindle Edition
"My First Library: Boxset of 10 Board Books for Kids",by Wonder House Books Editorial,4.6,95,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262,9387779262,₹499,Board book
"Who Will Cry When You Die?",by Robin Sharma,4.4,2796,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324,8179922324,₹103,Paperback
"Indian Tales",by Rudyard Kipling,3.9,91,https://www.amazon.in/Indian-Tales-Rudyard-Kipling-ebook/dp/B00847MSZQ,B00847MSZQ,₹0,Kindle Edition
"Informatics Practices A Text Book for Class 11 (2018-2019) Session",by Sumita Arora,4.6,8,https://www.amazon.in/Informatics-Practices-Class-2018-2019-Session/dp/8177002325,8177002325,₹495,Paperback
"This Is Not Your Story",by Savi Sharma,4.5,2175,https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399,9386224399,₹103,Paperback
"A Tale of Two Cities",by Charles Dickens,4.2,153,https://www.amazon.in/Tale-Two-Cities-Charles-Dickens-ebook/dp/B004EHZXVQ,B004EHZXVQ,₹0,Kindle Edition
"Brain Boosting Activity Book: Match the Pair, Find the Difference, Maze, Crossword...",by Na,4.4,50,https://www.amazon.in/Brain-Boosting-Activity-Book-Dot/dp/9350896524,9350896524,₹77,Paperback
"The Perfect Us",by Durjoy Datta,4.7,425,https://www.amazon.in/Perfect-Us-Durjoy-Datta/dp/0143426591,0143426591,₹103,Paperback
"Crystal Magic (Clearwater Witches Book 1)",by Madeline Freeman,4.2,42,https://www.amazon.in/Crystal-Magic-Clearwater-Witches-Book-ebook/dp/B00JDNQLB2,B00JDNQLB2,₹0,Kindle Edition
"RRB JE Study Guide 2019 Stage 1",by Arihant Experts,5,2,https://www.amazon.in/RRB-Study-Guide-2019-Stage/dp/9313169797,9313169797,₹180,Paperback
"The Intelligent Investor (English) Paperback – 2013",by Benjamin Graham,4.3,1090,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685,0062312685,₹399,Paperback
"The Diary of a Young Girl",by Anne Frank,4.5,754,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600,8193387600,₹59,Paperback
"Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...",by Amish Tripathi,4.1,4645,https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149,9385152149,₹214,Paperback
"Confidence: How to Overcome Your Limiting Beliefs and Achieve Your Goals",by Martin Meadows,4.2,96,https://www.amazon.in/Confidence-Overcome-Limiting-Beliefs-Achieve-ebook/dp/B00VT1AO8C,B00VT1AO8C,₹0,Kindle Edition
"My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern...",by Wonder House Books Editorial,4.5,86,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319,9387779319,₹99,Paperback
"The Sheikh's Pregnant Bride (The Jawhara Sheikhs Series, Book 1)",by Leslie North,2.9,51,https://www.amazon.in/Sheikhs-Pregnant-Bride-Jawhara-Book-ebook/dp/B00JNU6GLK,B00JNU6GLK,₹0,Kindle Edition
"The Jungle Book",by Rudyard Kipling,4.5,17,https://www.amazon.in/Jungle-Book-Rudyard-Kipling/dp/8193387694,8193387694,₹49,Paperback
"Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13)",by Jeff Kinney,4.7,290,https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204,0141378204,₹223,Hardcover
"Emotion and Relationships",by Sadhguru,4.7,124,https://www.amazon.in/Emotion-Relationships-Sadhguru/dp/9386867508,9386867508,₹143,Paperback
"The Seven Laws of Success",by Herbert Armstrong,3.8,38,https://www.amazon.in/Seven-Laws-Success-Herbert-Armstrong-ebook/dp/B00DV6QNQ0,B00DV6QNQ0,₹0,Kindle Edition
"Shapes Colouring Book: Creative Crayons Series - Crayon Copy Colour Books",by Wonder House Books Editorial,4.5,11,https://www.amazon.in/Creative-Crayons-Shapes-Crayon-Colour/dp/9387779750,9387779750,₹46,Paperback
"APPUCOCO Book Shelf Wall Mounted Heavy Duty Metal Invisible Book Shelves 3 Piece...",by APPUCOCO,4.5,58,https://www.amazon.in/APPUCOCO-Mounted-Invisible-Shelves-Included/dp/B07H95V416,B07H95V416,₹599,
"Adolf Hitler: A Life From Beginning to End (World War 2 Biographies Book 1)",by Hourly History,4.1,593,https://www.amazon.in/Adolf-Hitler-Beginning-World-Biography-ebook/dp/B01M2Y9QZE,B01M2Y9QZE,₹199,Kindle Edition
"RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Mechanical...",by GKP,3.6,16,https://www.amazon.in/RRB-Railway-Recruitment-Board-2019/dp/9388426797,9388426797,₹613,Paperback
"The PCOD - Thyroid Book - Compiled From Women and the Weight Loss Tamasha",by Rujuta Diwekar,4,302,https://www.amazon.in/PCOD-Thyroid-Compiled-Weight-Tamasha/dp/938572441X,938572441X,₹170,Paperback
"Don't Lose Your Mind, Lose Your Weight",by Rujuta Diwekar,4.5,1003,https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053,8184001053,₹121,Paperback
"1984",by George Orwell,4.4,739,https://www.amazon.in/1984-George-Orwell/dp/8192910903,8192910903,₹78,Paperback
"I Too Had a Love Story, Book 1",by Ravinder Singh,4.5,1915,https://www.amazon.in/Too-Had-Love-Story-Book/dp/0143418769,0143418769,₹179,Paperback
"The Endgame: The Year of Short Stories – December",by Jeffrey Archer,4.3,75,https://www.amazon.in/Endgame-Year-Short-Stories-December-ebook/dp/B077P94GHJ,B077P94GHJ,₹0,Kindle Edition
"One Indian Girl",by Chetan Bhagat,3.6,4934,https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147,8129142147,₹97,Paperback
"Mandala Colouring for Kids - Book 2",by Dreamland Publications,4.4,24,https://www.amazon.in/Mandala-Colouring-Kids-Book-2/dp/935089792X,935089792X,₹66,Paperback
"You Loved Me At My Darkest",by Evie Harper,4,60,https://www.amazon.in/You-Loved-Me-At-Darkest-ebook/dp/B00N1PMYR8,B00N1PMYR8,₹0,Kindle Edition
"Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff",by Tom Gates,4.8,76,https://www.amazon.in/Tom-Gates-Book-Excellent-Excuses/dp/9351033007,9351033007,₹157,Paperback
"Believe in Yourself",by Dr. Joseph Murphy,4.1,460,https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098,8183225098,₹71,Paperback
"One Man's Meat: The Year of Short Stories",by Jeffrey Archer,4,47,https://www.amazon.in/One-Mans-Meat-Short-Stories-ebook/dp/B005HW21EO,B005HW21EO,₹0,Kindle Edition
"Capital Letters ABC: Write and practice Capital Letters A to Z book for kids...",by Wonder House Books Editorial,4.3,35,https://www.amazon.in/Capital-Letters-ABC-Practice-Writing/dp/9386538628,9386538628,₹43,Paperback
"Man's Search for Meaning",by Viktor E Frankl,4.3,709,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244,1846041244,₹176,Paperback
"Standard My Sketch Book, Artist Pad",by Standard,4.3,147,https://www.amazon.in/Standard-Sketch-Book-Artist-Pad/dp/B01BF5I2Y4,B01BF5I2Y4,₹265,
"National Geographic Little Kids First Big Book of How (National Geographic Little...",by Jill Esbaum,4.6,17,https://www.amazon.in/National-Geographic-Little-First-Books/dp/1426323298,1426323298,₹699,Hardcover
"Motivation 101: Ten Ways to Increase Your Daily Motivation (Paul G. Brodie Seminar...",by Paul Brodie,2.7,6,https://www.amazon.in/Motivation-101-Increase-Brodie-Seminar-ebook/dp/B015LEKE6O,B015LEKE6O,₹0,Kindle Edition
