Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Zero to One: Note on Start Ups, or How to Build the Future",by Peter Thiel,4.3,1032,https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190,0753555190,₹284,Paperback
"Think and Grow Rich",by Napoleon Hill,4.6,3611,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911,8192910911,₹70,Paperback
"The Power of your Subconscious Mind",by Joseph Murphy,4.5,5010,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962,8192910962,₹75,Paperback
"The Intelligent Investor (English) Paperback – 2013",by Benjamin Graham,4.3,1093,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685,0062312685,₹384,Paperback
"The Business School",by Robert T. Kiyosaki,4.5,216,https://www.amazon.in/Business-School-Robert-T-Kiyosaki/dp/8186775811,8186775811,₹108,Paperback
"Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and...",by Robert T Kiyosaki,4.5,3580,https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194,1612680194,₹233,Mass Market Paperback
"Work Smarter Not Harder: 18 Productivity Tips That Boost Your Work Day Performance",by Timo Kiander,4.1,231,https://www.amazon.in/Work-Smarter-Not-Harder-Productivity-ebook/dp/B00V8ALKN2,B00V8ALKN2,₹0,Kindle Edition
"The Personal MBA: A World-Class Business Education in a Single Volume",by Josh Kaufman,4.4,99,https://www.amazon.in/Personal-MBA-World-Class-Business-Education/dp/0670919535,0670919535,₹507.19,Paperback
"Before You Start Up: How to Prepare to Make Your Startup Dream a Reality",by Pankaj Goyal,4.6,32,https://www.amazon.in/Before-You-Start-Up-Prepare/dp/8175994401,8175994401,₹179,Paperback
"Questions Are the Answers",by Allan Pease,4.4,226,https://www.amazon.in/Questions-Are-Answers-Allan-Pease/dp/8186775056,8186775056,₹83,Paperback
"The Business Book (Big Ideas)",by DK,4.5,27,https://www.amazon.in/Business-Book-Big-Ideas/dp/1409341267,1409341267,₹750,Hardcover
"The Richest Man in Babylon",by George S. Clason,4.6,56,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317,9388144317,₹99,Paperback
"How to Think Bigger: Aim Higher, Get More Motivated, and Accomplish Big Things",by Martin Meadows,4.3,128,https://www.amazon.in/How-Think-Bigger-Motivated-Accomplish-ebook/dp/B00WU2J1QK,B00WU2J1QK,₹0,Kindle Edition
