Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
A Christmas Carol,by Charles Dickens,4.3,108.0,https://www.amazon.in/Christmas-Carol-Charles-Dickens/dp/8175993278,8175993278,₹69,Paperback
Wuthering Heights,by Emily Brontë,4.1,244.0,https://www.amazon.in/Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899,8172344899,₹80,Paperback
The Great Gatsby,by F. Scott Fitzgerald,4.1,342.0,https://www.amazon.in/Great-Gatsby-F-Scott-Fitzgerald/dp/8172344562,8172344562,₹47,Paperback
The Jungle Book,by Rudyard Kipling,4.5,17.0,https://www.amazon.in/Jungle-Book-Rudyard-Kipling/dp/8193387694,8193387694,₹60,Paperback
1984,by George Orwell,4.4,743.0,https://www.amazon.in/1984-George-Orwell/dp/8192910903,8192910903,₹88,Paperback
The Boy in the Striped Pyjamas (Vintage Childrens Classics),by John Boyne,4.6,134.0,https://www.amazon.in/Striped-Pyjamas-Vintage-Childrens-Classics/dp/0099572869,0099572869,₹173,Paperback
Animal Farm,by George Orwell,4.5,145.0,https://www.amazon.in/Animal-Farm-George-Orwell/dp/8193387643,8193387643,₹49,Paperback
Jane Eyre,by Charlotte Bronte,4.3,183.0,https://www.amazon.in/Jane-Eyre-Charlotte-Bronte/dp/8193387619,8193387619,₹88,Paperback
The Time Machine,by H. G. Wells,4.3,216.0,https://www.amazon.in/Time-Machine-H-G-Wells/dp/8175992956,8175992956,₹99,Paperback
Metamorphosis,by Franz Kafka,4.2,198.0,https://www.amazon.in/Metamorphosis-Franz-Kafka/dp/8172345135,8172345135,₹69,Paperback
Crime and Punishment,by Fyodor Dostoyevsky,4.1,158.0,https://www.amazon.in/Crime-Punishment-Fyodor-Dostoyevsky/dp/9386538059,9386538059,₹179,Paperback
Think & Grow Rich,by Napoleon Hill,4.6,3611.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/817234564X,817234564X,₹70,Paperback
Little Women (Vintage Classics),by LouisaMay Alcott,4.3,136.0,https://www.amazon.in/Little-Vintage-Classics-LouisaMay-Alcott/dp/0099572966,0099572966,₹179,Paperback
Les Miserables,by Victor Hugo,4.0,24.0,https://www.amazon.in/Miserables-Victor-Hugo/dp/0143427105,0143427105,,Paperback
Three Men in a Boat,by Jerome K. Jerome,4.3,201.0,https://www.amazon.in/Three-Men-Boat-Jerome-K/dp/8172344430,8172344430,₹99,Paperback
The Complete Novels of Sherlock Holmes,by Arthur Conan Doyle,4.3,839.0,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312,8175994312,₹146,Paperback
The Godfather,by Mario Puzo,4.6,189.0,https://www.amazon.in/Godfather-Mario-Puzo/dp/0099429284,0099429284,₹229,Paperback
A Tale of Two Cities (Penguin Classics),by Charles Dickens,4.0,134.0,https://www.amazon.in/Tale-Two-Cities-Penguin-Classics/dp/0141439602,0141439602,₹176,Paperback
The Case-Book of Sherlock Holmes (Wisehouse Classics Edition - With Original...,by Arthur Conan Doyle,4.2,13.0,https://www.amazon.in/Case-Book-Sherlock-Holmes-Wisehouse-Classics-ebook/dp/B073ZZN41C,B073ZZN41C,₹0,Kindle Edition
The Count of Monte Cristo,by Alexandre Dumas,4.1,116.0,https://www.amazon.in/Count-Monte-Cristo-Alexandre-Dumas/dp/8193387627,8193387627,₹160,Paperback
Heart of Darkness,by Joseph Conrad,4.0,47.0,https://www.amazon.in/Heart-Darkness-Joseph-Conrad/dp/9386538687,9386538687,₹99,Paperback
A Wrinkle in Time (A Puffin Book),by Madeleine L'Engle,4.4,38.0,https://www.amazon.in/Wrinkle-Time-Puffin-Book/dp/0141354933,0141354933,₹223,Paperback
Macbeth,by William Shakespeare,4.3,89.0,https://www.amazon.in/Macbeth-William-Shakespeare/dp/8175994193,8175994193,₹99,Paperback
The Greatest Short Stories of Leo Tolstoy,by Leo Tolstoy,4.5,173.0,https://www.amazon.in/Greatest-Short-Stories-Leo-Tolstoy/dp/8184950314,8184950314,₹189,Paperback
Train to Pakistan,by Khushwant Singh,4.2,550.0,https://www.amazon.in/Train-Pakistan-Khushwant-Singh/dp/0143065882,0143065882,₹144,Paperback
Mrs. Dalloway,by Virginia Woolf,4.2,33.0,https://www.amazon.in/Mrs-Dalloway-Virginia-Woolf/dp/8175994215,8175994215,₹99,Paperback
War and Peace (Wordsworth Classics),by Leo Tolstoy,3.7,44.0,https://www.amazon.in/War-Peace-Wordsworth-Classics-Tolstoy/dp/1853260622,1853260622,₹249,Paperback
Gitanjali,by Tagore R,4.4,259.0,https://www.amazon.in/Gitanjali-Tagore-R/dp/9381523185,9381523185,₹68,Paperback
All the Light we Cannot See,by Anthony Doerr,4.5,193.0,https://www.amazon.in/All-Light-we-Cannot-See/dp/0008172420,0008172420,₹311,Paperback
Sense and Sensibility,by Jane Austen,4.2,94.0,https://www.amazon.in/Sense-Sensibility-Jane-Austen/dp/8193387651,8193387651,₹88,Paperback
Hamlet,by William Shakespeare,4.2,106.0,https://www.amazon.in/Hamlet-William-Shakespeare/dp/8175992921,8175992921,₹99,Paperback
