Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Best of Panchatantra,by Rungeen Singh,4.2,160.0,https://www.amazon.in/Best-Panchatantra-Rungeen-Singh/dp/8189852485,8189852485,₹53,
Marvel Avengers Alliance (2016) #1,by Fabian Nicieza,4.1,281.0,https://www.amazon.in/Marvel-Avengers-Alliance-Fabian-Nicieza-ebook/dp/B01D3W5SIK,B01D3W5SIK,₹0,Kindle Edition
Set Of 5 Comic Book By DC and Marvel,by DC and Marvel Comic,2.8,40.0,https://www.amazon.in/Set-Comic-Book-DC-Marvel/dp/9350080575,9350080575,₹495,
Share Your Universe Ultimate Spider-Man Premiere (Ultimate Spider-Man Premiere...,by Chris Eliopoulos,4.2,196.0,https://www.amazon.in/Share-Universe-Ultimate-Spider-Man-Premiere-ebook/dp/B00ZNRUWNA,B00ZNRUWNA,₹0,Kindle Edition
Peppa Pig: Little Library,by Ladybird,4.0,680.0,https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187,1409303187,₹130,
The Black Island (Tintin),by Herge,4.8,44.0,https://www.amazon.in/Black-Island-Tintin-Herge/dp/1405206187,1405206187,₹328,
Free Comic Book Day 2010: Archie's Summer Splash (Free Comic Book Day: Archie),by Dan Parent,4.0,417.0,https://www.amazon.in/Free-Comic-Book-Day-2010-ebook/dp/B012HDMV9K,B012HDMV9K,₹0,Kindle Edition
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,4987.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,
Free Comic Book Day 2018: Avengers/Captain America #1,by Jason Aaron,3.8,44.0,https://www.amazon.in/Free-Comic-Book-Day-2018-ebook/dp/B07CX7FLH3,B07CX7FLH3,₹0,Kindle Edition
The Best of Tenali Raman,by Rungeen Singh,4.4,171.0,https://www.amazon.in/Best-Tenali-Raman-Rungeen-Singh/dp/8189852493,8189852493,₹56,
The Adventures Of Suppandi – 1 (Tinkle),by Luis Fernandes,4.3,81.0,https://www.amazon.in/Adventures-Suppandi-1-Tinkle/dp/8189999001,8189999001,₹106,
Free Comic Book Day 2018: Amazing Spider-Man/Guardians Of The Galaxy #1,by Nick Spencer,3.9,20.0,https://www.amazon.in/Free-Comic-Book-Day-2018-ebook/dp/B07CX4KG4T,B07CX4KG4T,₹0,Kindle Edition
Chanakya (Amar Chitra Katha),by Yagya Sharma,4.3,41.0,https://www.amazon.in/Chanakya-Chitra-Katha-Yagya-Sharma/dp/8189999303,8189999303,₹61,
Best of Tinkle Digest(1980-2008): Pack of 10,by Uncle Pai,3.8,45.0,https://www.amazon.in/Best-Tinkle-Digest-1980-2008-Pack/dp/B00352QZFE,B00352QZFE,₹650,
