Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Objective Computer Awareness",by Arihant Experts,4,171,https://www.amazon.in/Objective-Computer-Awareness-Arihant-Experts/dp/9311121266,9311121266,₹78,Paperback
"Python:  3 Manuscripts in 1 book: - Python Programming For Beginners - Python...",by Maurice J. Thompson,4,22,https://www.amazon.in/Python-Manuscripts-Programming-Beginners-Intermediates-ebook/dp/B07CQPHC1N,B07CQPHC1N,₹0,Kindle Edition
"Web Design with HTML, CSS, JavaScript and jQuery Set",by Jon Duckett,4.6,58,https://www.amazon.in/Web-Design-HTML-JavaScript-jQuery/dp/1118907442,1118907442,₹2,777,Paperback
"Microsoft Excel Essential Hints and Tips: Fundamental Hints and Tips to Kick...",by Diane Griffiths,4.2,20,https://www.amazon.in/Microsoft-Excel-Essential-Hints-Tips-ebook/dp/B0198DQPB2,B0198DQPB2,₹0,Kindle Edition
"OBJECTIVE Computer Awareness",by Arihant Experts,4,1,https://www.amazon.in/OBJECTIVE-Computer-Awareness-Arihant-Experts/dp/9313168804,9313168804,₹105,Paperback
"PGT Guide Computer Science Recruitment Examination",by Arihant Experts,4,63,https://www.amazon.in/Guide-Computer-Science-Recruitment-Examination/dp/931214510X,931214510X,₹228,Paperback
"A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts",by Made Easy Editorial Board,4,180,https://www.amazon.in/Handbook-Computer-Science-Illustrated-Formulae/dp/9383643242,9383643242,₹247,Paperback
"C Programming: Language: A Step by Step Beginner's Guide to Learn C Programming...",by Darrel L. Graham,3.7,77,https://www.amazon.in/Programming-Language-Beginners-Guide-Learn-ebook/dp/B01H0LBF9Q,B01H0LBF9Q,₹0,Kindle Edition
"Objective Computer Knowledge & Literacy 2075+ Objective Question",by Kiran Prakashan,4.5,26,https://www.amazon.in/Objective-Computer-Knowledge-Literacy-Question/dp/B074JWSF9G,B074JWSF9G,₹122,Paperback
"Objective Computer Knowledge & Literacy 2150+ Objective Question English - 2340",by Kiran Prakashan,5,1,https://www.amazon.in/Objective-Computer-Knowledge-Literacy-Question/dp/B07HSLSQ3N,B07HSLSQ3N,₹146,Paperback
"Python: For Beginners: A Crash Course Guide To Learn Python in 1 Week (coding...",by Timothy C. Needham,4.2,92,https://www.amazon.in/Python-Beginners-programming-web-programming-programmer-ebook/dp/B075JGW5YK,B075JGW5YK,₹220,Kindle Edition
"RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Computer...",by GKP,4.8,8,https://www.amazon.in/RRB-Railway-Recruitment-Board-2019/dp/9388426991,9388426991,₹623.87,Paperback
"OCP Java SE 8 Programmer II Exam Guide (Exam 1Z0-809)",by Kathy Sierra - Import,3.6,5,https://www.amazon.in/Java-Programmer-Exam-Guide-1Z0-809/dp/1260117383,1260117383,₹3,312,Paperback
"Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles",by Narasimha Karumanchi - Import,4.4,465,https://www.amazon.in/Data-Structures-Algorithms-Made-Easy/dp/819324527X,819324527X,₹499,Paperback
"Hacking",by Harsh Bothra,4.1,40,https://www.amazon.in/Hacking-Harsh-Bothra/dp/9386173050,9386173050,₹179,Paperback
"Thinking in HTML",by Aravind Shenoy,4.3,15,https://www.amazon.in/Thinking-HTML-Aravind-Shenoy-ebook/dp/B00NN8H4FU,B00NN8H4FU,₹0,Kindle Edition
"Computer",by Rani Ahilya,4.1,99,https://www.amazon.in/Computer-Rani-Ahilya/dp/9384761117,9384761117,₹44,Paperback
"The Quick Guide to Cloud Computing and Cyber Security",by Marcia R.T. Pistorious,3.4,18,https://www.amazon.in/Quick-Guide-Cloud-Computing-Security-ebook/dp/B00APU3SCW,B00APU3SCW,₹0,Kindle Edition
"UGC-NET 2019: Computer Science & Applications (Paper II & Paper III)",by Made Easy Editorial Board,4.1,42,https://www.amazon.in/UGC-NET-2019-Computer-Science-Applications/dp/9351473562,9351473562,₹382,Paperback
