Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Girl in Room 105",by Chetan Bhagat,4.1,1540,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,Paperback
"Greed: An Amber Monroe Crime Thriller Book 1",by C.M. Sutter,3.4,5,https://www.amazon.in/Greed-Amber-Monroe-Crime-Thriller-ebook/dp/B07B8PKD64,B07B8PKD64,₹0,Kindle Edition
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5009,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
"Murder on the Orient Express (Film Tie-in Edition) (Poirot)",by Agatha Christie,4.5,587,https://www.amazon.in/Murder-Orient-Express-Film-Poirot/dp/0008226679,0008226679,₹224,Paperback
"The Crime Book (New) (Big Ideas)",by DK,4.7,4,https://www.amazon.in/Crime-Book-New-Big-Ideas/dp/0241298962,0241298962,₹874,Hardcover
"The Woman in the Window",by A. J. Finn,3.9,114,https://www.amazon.in/Woman-Window-J-Finn/dp/0008294372,0008294372,₹231,Paperback
"The Godfather",by Mario Puzo,4.6,189,https://www.amazon.in/Godfather-Mario-Puzo/dp/0099429284,0099429284,₹229,Paperback
"Prevention of Cyber Crimes and Fraud Management",by Indian Institute of Banking and Finance,4,69,https://www.amazon.in/Prevention-Cyber-Crimes-Fraud-Management/dp/938626367X,938626367X,₹232,Paperback
"Murder in a Minute",by Shouvik Bhattacharya,4.4,276,https://www.amazon.in/Murder-Minute-Shouvik-Bhattacharya/dp/9386643723,9386643723,₹188,Paperback
"The Perfect Murder",by Ruskin Bond - Import,3.8,56,https://www.amazon.in/Perfect-Murder-Ruskin-Bond/dp/8129144972,8129144972,₹195,Paperback
"I Spy, I Saw Her Die (Book One) A Cyber Crime Murder Mystery Conspiracy Thriller",by Ian C.P. Irvine,4.2,29,https://www.amazon.in/Cyber-Murder-Mystery-Conspiracy-Thriller-ebook/dp/B01LYXVJMK,B01LYXVJMK,₹0,Kindle Edition
"Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...",by J.K. Rowling,4.8,52,https://www.amazon.in/Fantastic-Beasts-Grindelwald-Original-Screenplay/dp/1408711702,1408711702,₹434,Hardcover
"3 and a Half Murders: An Inspector Saralkar Mystery",by Salil Desai,4.4,69,https://www.amazon.in/Half-Murders-Inspector-Saralkar-Mystery/dp/8175994258,8175994258,₹189,Paperback
"Origin: Number 5 of the Robert Langdon Series",by Dan Brown,4,1184,https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756,0593078756,₹486,Hardcover
"And Then There Were None",by Agatha Christie,4.6,1342,https://www.amazon.in/Then-There-Were-None/dp/0008123209,0008123209,₹275.11,Paperback
"CASE No.56",by Chandrashekar Nagawaram,4.7,29,https://www.amazon.in/CASE-No-56-Chandrashekar-Nagawaram/dp/B07KP653V2,B07KP653V2,₹127,Paperback
"The Last Chai (Nation at War Series: Book 1)",by Varun Tejwani,4.3,318,https://www.amazon.in/Last-Chai-Nation-War-Book/dp/B07GCFY2PG,B07GCFY2PG,₹99,Paperback
"Stalker (Joona Linna)",by Lars Kepler,4.4,38,https://www.amazon.in/Stalker-Joona-Linna-Lars-Kepler/dp/0007467850,0007467850,₹214,Paperback
"The Complete Novels of Sherlock Holmes",by Arthur Conan Doyle,4.3,839,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312,8175994312,₹146,Paperback
"Before he Kills (A Mackenzie White Mystery—Book 1)",by Blake Pierce,4.5,10,https://www.amazon.in/Before-Kills-Mackenzie-White-Mystery-Book-ebook/dp/B01FWES1A4,B01FWES1A4,₹0,Kindle Edition
"Crime and Punishment",by Fyodor Dostoyevsky,4.1,158,https://www.amazon.in/Crime-Punishment-Fyodor-Dostoyevsky/dp/9386538059,9386538059,₹179,Paperback
"Crime Patrol: The Most Thrilling Stories",by Annup Sonii,5,3,https://www.amazon.in/Crime-Patrol-Most-Thrilling-Stories/dp/9387894363,9387894363,₹232,Paperback
"Godfathers of Crime: Face-to-face with India's Most Wanted",by Sheela Raval,3.9,43,https://www.amazon.in/Godfathers-Crime-Face-face-Indias/dp/9350099764,9350099764,₹210,Paperback
"The Coin",by Sandeep Sharma,4,155,https://www.amazon.in/Coin-Sandeep-Sharma/dp/9387390268,9387390268,₹66,Paperback
"I Am Watching You",by Teresa Driscoll,4,46,https://www.amazon.in/Am-Watching-You-Teresa-Driscoll/dp/1542046599,1542046599,₹269,Paperback
"Secrets and Lies: The shocking psychological thriller that will keep you on the...",by Lynda Renham,5,1,https://www.amazon.in/Secrets-Lies-shocking-psychological-thriller-ebook/dp/B075G318Y4,B075G318Y4,₹91,Kindle Edition
"Born a Crime: Stories from a South African Childhood",by Trevor Noah,4.8,143,https://www.amazon.in/Born-Crime-Stories-African-Childhood/dp/1473635306,1473635306,₹388,Paperback
"Harry Potter and the Philosopher's Stone, Book 1",by J.K. Rowling - Unabridged,4.7,1097,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Book/dp/B072W9Y8T7,B072W9Y8T7,₹0,Audible Audiobook
"The Girl From Paradise Hill: A McClintock-Carter Crime Thriller: Book One (The...",by Susan Lund,3.6,13,https://www.amazon.in/Girl-Paradise-Hill-McClintock-Carter-Thriller-ebook/dp/B07F94K4X3,B07F94K4X3,₹0,Kindle Edition
"The Secret: Seasons of Grace, Book 1",by Beverly Lewis - Abridged,4.5,1612,https://www.amazon.in/Secret-Seasons-Grace-Book/dp/B07B4PPSN5,B07B4PPSN5,₹0,Audible Audiobook
"Harry Potter and the Chamber of Secrets, Book 2",by J.K. Rowling - Unabridged,4.7,562,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Book/dp/B079TLW9BL,B079TLW9BL,₹0,Audible Audiobook
"Cartel B!tch: Almanza Crime Family (Almanza Crime Family Duet Book 1)",by Chelsea Camaron,4.3,52,https://www.amazon.in/Cartel-tch-Almanza-Crime-Family-ebook/dp/B078LS7JR1,B078LS7JR1,₹0,Kindle Edition
"The Metamorphosis",by Franz Kafka - Unabridged,4.2,198,https://www.amazon.in/The-Metamorphosis/dp/B07DY23PT8,B07DY23PT8,₹0,Audible Audiobook
"Tell Me your Dreams",by Sidney Sheldon,4.4,160,https://www.amazon.in/Tell-your-Dreams-Sidney-Sheldon/dp/8172234902,8172234902,₹209,Paperback
"Nineteen Eighty-Four",by George Orwell - Original recording,4.4,742,https://www.amazon.in/Nineteen-Eighty-Four/dp/B07B62XT5D,B07B62XT5D,₹0,Audible Audiobook
"Wired Hard (Paradise Crime Book 3)",by Toby Neal,4.8,175,https://www.amazon.in/Wired-Hard-Paradise-Crime-Book-ebook/dp/B01MQMGKP0,B01MQMGKP0,₹49,Kindle Edition
"Norwegian Wood",by Haruki Murakami - Unabridged,4.3,178,https://www.amazon.in/Norwegian-Wood/dp/B079VCPWB1,B079VCPWB1,₹0,Audible Audiobook
"Making Angel (Mariani Crime Family Book 2)",by Harley Stone,5,19,https://www.amazon.in/Making-Angel-Mariani-Crime-Family-ebook/dp/B078FXM371,B078FXM371,₹285,Kindle Edition
"The Great Gatsby",by F. Scott Fitzgerald - Unabridged,4.1,342,https://www.amazon.in/The-Great-Gatsby/dp/B01N360S08,B01N360S08,₹0,Audible Audiobook
"Fragmented: A Serial Killer Thriller (Boston's Crimes of Passion Book 1)",by Colleen Connally,4.5,71,https://www.amazon.in/Fragmented-Serial-Thriller-Bostons-Passion-ebook/dp/B00H1BYWXM,B00H1BYWXM,₹316,Kindle Edition
"A Suitable Boy (Dramatised)",by Vikram Seth - Original recording,4.3,51,https://www.amazon.in/A-Suitable-Boy-Dramatised/dp/B074TJ2SDQ,B074TJ2SDQ,₹0,Audible Audiobook
"Don't Tell the Governor",by Ravi Subramanian - Unabridged,4,102,https://www.amazon.in/Dont-Tell-the-Governor/dp/B07MQ2XFWM,B07MQ2XFWM,₹0,Audible Audiobook
"Wuthering Heights",by Emily Brontë - Unabridged,4.1,244,https://www.amazon.in/Wuthering-Heights/dp/B07BN6R5JL,B07BN6R5JL,₹0,Audible Audiobook
"Autobiography of a Yogi",by Paramahansa Yogananda - Unabridged,4.6,1265,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B079P54C5J,B079P54C5J,₹0,Audible Audiobook
"The Case-Book of Sherlock Holmes (Wisehouse Classics Edition - With Original...",by Arthur Conan Doyle,4.2,13,https://www.amazon.in/Case-Book-Sherlock-Holmes-Wisehouse-Classics-ebook/dp/B073ZZN41C,B073ZZN41C,₹0,Kindle Edition
"The Strange Case of Dr. Jekyll and Mr. Hyde",by Ian Holm - Abridged,4,72,https://www.amazon.in/Strange-Case-Dr-Jekyll-Hyde/dp/B07B66JQCJ,B07B66JQCJ,₹0,Audible Audiobook
