Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
EMERGENCY KI INSIDE STORY (Hindi Edition),by KULDIP NAYAR,3.9,14,https://www.amazon.in/EMERGENCY-KI-INSIDE-STORY-Hindi-ebook/dp/B075429JPR,B075429JPR,₹29,Kindle Edition
Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13),by Jeff Kinney,4.7,297,https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204,0141378204,₹248,Hardcover
Romanchak Vigyan Kathayen  (Hindi),by Jayant Vishnu Narlikar,4.0,3,https://www.amazon.in/Romanchak-Vigyan-Kathayen-Jayant-Narlikar-ebook/dp/B01MPYB0XX,B01MPYB0XX,₹51.45,Kindle Edition
The Happiness Advantage: The Seven Principles of Positive Psychology that Fuel...,by Shawn Achor,4.4,29,https://www.amazon.in/Happiness-Advantage-Principles-Psychology-Performance-ebook/dp/B005L193RO,B005L193RO,₹296.80,Kindle Edition
Origin (Robert Langdon),by Dan Brown,4.0,1184,https://www.amazon.in/Origin-Robert-Langdon-Dan-Brown/dp/0552174165,0552174165,₹215,Paperback
Harry Potter and the Goblet of Fire (Harry Potter 4),by J.K. Rowling,4.7,322,https://www.amazon.in/Harry-Potter-Goblet-Fire/dp/1408855682,1408855682,₹524,Paperback
AZIM PREMJI,by Prem Prakash,3.1,5,https://www.amazon.in/AZIM-PREMJI-Prem-Prakash-ebook/dp/B01FAWGJEI,B01FAWGJEI,₹15.75,Kindle Edition
Revolution Twenty 20: Love. Corruption. Ambition,by Chetan Bhagat,4.4,1058,https://www.amazon.in/Revolution-Twenty-20-Corruption-Ambition/dp/8129135531,8129135531,,Paperback
Just Breathe,by Radhika Vachani,3.7,5,https://www.amazon.in/Just-Breathe-Radhika-Vachani-ebook/dp/B071X951QK,B071X951QK,₹180.50,Kindle Edition
Uniball Eye Roller Pen 157 (Set Of 10 ),by Uniball,4.1,116,https://www.amazon.in/Uniball-Eye-Roller-Pen-157/dp/B01CR74V8K,B01CR74V8K,₹548,
