Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Indian Economic Development Textbook for Class - 11  - 11100",by NCERT,3.2,60,https://www.amazon.in/Indian-Economic-Development-Textbook-Class/dp/8174505512,8174505512,₹85,Paperback
"Understanding Economic Development - Textbook in Social Science for Class - 10...",by NCERT,3.6,43,https://www.amazon.in/Understanding-Economic-Development-Textbook-Science/dp/8174506551,8174506551,₹65,Paperback
"Indian Share Market for Beginners: Indian Stock Market Basics (Investing in India...",by Vipin Kats,3.8,68,https://www.amazon.in/Indian-Share-Market-Beginners-Investing-ebook/dp/B00C67TJDE,B00C67TJDE,₹69,Kindle Edition
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5011,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
"How to Win Friends and Influence People",by Dale Carnegie - Unabridged,4.5,2653,https://www.amazon.in/How-Win-Friends-Influence-People/dp/B07K4F93VC,B07K4F93VC,₹0,Audible Audiobook
"Introducing Psychology: A Graphic Guide (Introducing...)",by Nigel Benson,4.2,36,https://www.amazon.in/Introducing-Psychology-Graphic-Guide-ebook/dp/B00ZCKBYKS,B00ZCKBYKS,₹145.66,Kindle Edition
"Think and Grow Rich",by Napoleon Hill - Unabridged,4.6,3615,https://www.amazon.in/Think-and-Grow-Rich/dp/B079TK8513,B079TK8513,₹0,Audible Audiobook
"Baby Touch: Colours",by Lemon Ribbon Studio,4.2,39,https://www.amazon.in/Baby-Touch-Colours-NA/dp/0723275270,0723275270,₹230,Board book
"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor...",by Robert T. Kiyosaki - Unabridged,4.5,3581,https://www.amazon.in/Rich-Dad-Poor-Teach-Middle/dp/B079P5G9PP,B079P5G9PP,₹0,Audible Audiobook
"The Monk Who Sold His Ferrari: A Spiritual Fable About Fulfilling Your Dreams...",by Robin Sharma - Unabridged,4.6,2921,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/B072K5XLHC,B072K5XLHC,₹0,Audible Audiobook
"Mind is your Business",by Sadhguru,4.6,334,https://www.amazon.in/Mind-your-Business-Sadhguru-ebook/dp/B00WWAM34M,B00WWAM34M,₹20.33,Kindle Edition
"The Power of Habit: Why We Do What We Do, and How to Change",by Charles Duhigg - Unabridged,4.4,644,https://www.amazon.in/Power-Habit-Why-What-Change/dp/B079WVLCCV,B079WVLCCV,₹0,Audible Audiobook
"Thinking, Fast and Slow",by Daniel Kahneman - Unabridged,4.3,698,https://www.amazon.in/Thinking-Fast-and-Slow/dp/B079X5LVHP,B079X5LVHP,₹0,Audible Audiobook
"Communication Skills Training: A Practical Guide to Improving Your Social Intelligence...",by Ian Tuhovsky,4.7,37,https://www.amazon.in/Communication-Skills-Training-Intelligence-Presentation-ebook/dp/B010G81716,B010G81716,₹299,Kindle Edition
"Play panda New Magnetic Puzzles Triangles - with 250 Colorful Magnets, 100 Puzzle...",by Play Panda,3.9,111,https://www.amazon.in/Play-panda-Magnetic-Puzzles-Triangles/dp/B0722MT1WB,B0722MT1WB,₹329,
"Einstein Box for 2 Year Old Baby Boys and Girls, Learning and Educational Gift...",by Einstein Box,4.1,408,https://www.amazon.in/Einstein-Box-Learning-Educational-Multicolour/dp/B01N5234UL,B01N5234UL,₹599,
"Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones",by James Clear - Unabridged,4.8,36,https://www.amazon.in/Atomic-Habits-Proven-Build-Break/dp/B07J1ZBCZJ,B07J1ZBCZJ,₹0,Audible Audiobook
"Einstein Box for 1 Year Old Baby Boys and Girls, Learning and Educational Gift...",by Einstein Box,4.1,244,https://www.amazon.in/Einstein-Box-Learning-Educational-Multicolour/dp/B01N5267EI,B01N5267EI,₹599,
"Who Will Cry When You Die?",by Robin Sharma - Unabridged,4.4,2799,https://www.amazon.in/Who-Will-Cry-When-You/dp/B07GQGJ2QP,B07GQGJ2QP,₹0,Audible Audiobook
"Master Your Mind, Master Your Life: 15 Mindset Hacks That Will Unleash Your Full...",by Magnus Steele,4.3,165,https://www.amazon.in/Master-Your-Mind-Life-Potential-ebook/dp/B01NAX1ZZC,B01NAX1ZZC,₹0,Kindle Edition
"Zero to One",by Peter Thiel - Unabridged,4.3,1033,https://www.amazon.in/Zero-to-One/dp/B079ZSBCPD,B079ZSBCPD,₹0,Audible Audiobook
"How to Stop Worrying and Start Living",by Dale Carnegie - Unabridged,4.5,631,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/B07FCSJ6VZ,B07FCSJ6VZ,₹0,Audible Audiobook
"The Secret: Seasons of Grace, Book 1",by Beverly Lewis - Abridged,4.5,1612,https://www.amazon.in/Secret-Seasons-Grace-Book/dp/B07B4PPSN5,B07B4PPSN5,₹0,Audible Audiobook
"Pregnancy Care: With Ayurveda, Yoga and Acupressure",by Bhavisha Satishbhai Jhaveri - Import,4.3,5,https://www.amazon.in/Pregnancy-Care-Ayurveda-Yoga-Acupressure/dp/1537476238,1537476238,₹400,Paperback
"Ikigai: The Japanese Secret to a Long and Happy Life",by Héctor García - Unabridged,4.1,39,https://www.amazon.in/Ikigai-Japanese-Secret-Long-Happy/dp/B0759S1XZQ,B0759S1XZQ,₹0,Audible Audiobook
"Nikola Tesla: Imagination and the Man That Invented the 20th Century",by Sean Patrick,4.5,857,https://www.amazon.in/Nikola-Tesla-Imagination-Invented-Century-ebook/dp/B00CATSONE,B00CATSONE,₹0,Kindle Edition
"Einstein Box for 3 Year Old Baby Boys and Girls, Learning and Educational Gift...",by Einstein Box,4.3,204,https://www.amazon.in/Einstein-Box-Girls-Learning-Educational/dp/B01MQISR84,B01MQISR84,₹599,
"The Power of Now",by Eckhart Tolle - Unabridged,4.5,457,https://www.amazon.in/The-Power-of-Now/dp/B079P6F4D9,B079P6F4D9,₹0,Audible Audiobook
"Polly Reads",by DataScenes Development,,,https://www.amazon.in/DataScenes-Development-Polly-Reads/dp/B079Y8XKN4,B079Y8XKN4,₹0,
"Catalyst",by Chandramouli Venkatesan - Unabridged,4.6,249,https://www.amazon.in/Catalyst/dp/B07KYTWNQF,B07KYTWNQF,₹0,Audible Audiobook
"The 5 AM Club: Own Your Morning, Elevate Your Life",by Robin Sharma,4.3,161,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891,9387944891,₹189,Paperback
"Speed Reading: How to Double (or Triple) Your Reading Speed in Just 1 Hour!",by Justin Hammond,3.9,461,https://www.amazon.in/Speed-Reading-Double-Triple-Your-ebook/dp/B008J2MMWU,B008J2MMWU,₹64.12,Kindle Edition
"The Quick and Easy Way to Effective Speaking",by Dale Carnegie - Unabridged,4,200,https://www.amazon.in/Quick-Easy-Way-Effective-Speaking/dp/B07DQRRQ8B,B07DQRRQ8B,₹0,Audible Audiobook
"Creative Education Pre-School Learning, Pack 1 (Shapes, Colours, Numbers and...",by Creative,4,359,https://www.amazon.in/Creative-Education-Pre-School-Learning-Alphabet/dp/B00930Z7LU,B00930Z7LU,₹350,
"You Can Win",by Shiv Khera - Unabridged,4.6,770,https://www.amazon.in/You-Can-Win/dp/B07L9G1XYY,B07L9G1XYY,₹0,Audible Audiobook
"Webby Soft Cloth Book Early Leaning Development Toy(Set of 3)",by Webby,,,https://www.amazon.in/Webby-Cloth-Early-Leaning-Development/dp/B07KMB7JXV,B07KMB7JXV,₹349,
"Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.)",by Simon Sinek - Unabridged,4.4,198,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/B079BDSDRV,B079BDSDRV,₹0,Audible Audiobook
"Entrepreneur Mindsets and Habits: To Gain Financial Freedom and Live Your Dreams...",by James Moore,4.1,9,https://www.amazon.in/Entrepreneur-Mindsets-Habits-Financial-Business-ebook/dp/B07BJLM34T,B07BJLM34T,₹0,Kindle Edition
"Rich Dad's Guide to Investing: What the Rich Invest In That the Poor and Middle...",by Robert T. Kiyosaki - Unabridged,4.3,74,https://www.amazon.in/Rich-Dads-Guide-Investing-Invest/dp/B079TKB2Z9,B079TKB2Z9,₹0,Audible Audiobook
"Jelinda Cloth Book for Baby Interesting Development Toddlers Early Education...",by JELINDA,5,1,https://www.amazon.in/Interesting-Development-Toddlers-Education-Learning/dp/B07F6BCD2J,B07F6BCD2J,₹999,
"Brain Building for Achievement",by Herbert N Cassion,4,22,https://www.amazon.in/Brain-Building-Achievement-Herbert-Cassion-ebook/dp/B073M5B8HY,B073M5B8HY,₹9,Kindle Edition
"Apprenticed to a Himalayan Master: A Yogi's Autobiography",by Sri M. - Unabridged,4.6,300,https://www.amazon.in/Apprenticed-Himalayan-Master-Yogis-Autobiography/dp/B07MWG4VTZ,B07MWG4VTZ,₹0,Audible Audiobook
"Eat That Frog!",by Brian Tracy - Unabridged,4.6,216,https://www.amazon.in/Eat-That-Frog/dp/B07GT3RR1D,B07GT3RR1D,₹0,Audible Audiobook
"Social Change and Development in India Textbook in Sociology for Class 12  -...",by NCERT,3.9,11,https://www.amazon.in/Social-Change-Development-Textbook-Sociology/dp/8174507280,8174507280,₹105,Paperback
