Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"ALDIVO Handmade Diary/Notebook (10 x 14 cm)",by ALDIVO,3,32,https://www.amazon.in/ALDIVO-Handmade-Diary-Notebook-10/dp/B079GYBDZ7,B079GYBDZ7,₹149,
"Doodle Writing Tomorrow Today Small Pocket Size Diary Notebook - Pu Leather,...",by DOODLE,3.6,56,https://www.amazon.in/Doodle-Writing-Tomorrow-Pocket-Notebook/dp/B01H8F9J2Y,B01H8F9J2Y,₹266,
"ALDIVO Handmade Diary / Handmade Notebook (12.7cm X 17.78 cm) (Girl)",by ALDIVO,3.3,37,https://www.amazon.in/ALDIVO-Handmade-Diary-Notebook-12-7cm/dp/B079HRHXW7,B079HRHXW7,₹199,
"ALDIVO Eiffel Tower Print Handmade Diary/Notebook, 12.7x17.78cm (Pink)",by ALDIVO,3.5,18,https://www.amazon.in/ALDIVO-Eiffel-Handmade-Notebook-12-7x17-78cm/dp/B07CZL214F,B07CZL214F,₹199,
"Jotjoy Walk the Earth Creative Travel Diary (Eiffel Theme - A5 size -14.8 cm...",by JOTJOY,4.5,43,https://www.amazon.in/Jotjoy-Earth-Creative-Travel-Eiffel/dp/B0759XDM2D,B0759XDM2D,₹380,
"SPcreation Classic Rose Flowers Handmade Diarie(12.7cm x 17.78 cm)(94 pages)",by SPcreation,3.5,51,https://www.amazon.in/SPcreation-Classic-Flowers-Handmade-Diarie/dp/B01J114H98,B01J114H98,₹209,
"Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13)",by Jeff Kinney,4.7,297,https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204,0141378204,₹248,Hardcover
"Artangle Ideas Inside Softcover Plain A5 Size Premium Notebook",by Artangle,3.9,5,https://www.amazon.in/Artangle-Inside-Softcover-Premium-Notebook/dp/B01H5EBD6S,B01H5EBD6S,₹299,
"Anshika International Leather Diary with Engraved Journey Brown 7 x 5 Inch",by Anshika International,4.1,35,https://www.amazon.in/Anshika-International-Leather-Engraved-Journey/dp/B0794V6NP8,B0794V6NP8,₹498,
"SPCreation Travel Handmade Handicraft Diary (12.7cm X 17.78 cm)(94 Pages)",by SPcreation,4.1,39,https://www.amazon.in/SPCreation-Travel-Handmade-Handicraft-12-7cm/dp/B01MUDQSM5,B01MUDQSM5,₹199,
"Pranjals House Leather Journal Diary With Engraved Journey Brown 7 x 5 Inch",by pranjals house,4.1,29,https://www.amazon.in/Pranjals-Leather-Journal-Engraved-Journey/dp/B078TJ12G3,B078TJ12G3,₹499,
"ALDIVO Follow Your Dreams Handmade Diary/Notebook, 12.7x17.78cm (Pink)",by ALDIVO,3.3,37,https://www.amazon.in/ALDIVO-Follow-Handmade-Notebook-12-7x17-78cm/dp/B079HPQQND,B079HPQQND,₹199,
"Diary of a Wimpy Kid: The Getaway (book 12)",by Jeff Kinney,4.7,496,https://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0241344271,0241344271,₹185,Paperback
"Oytra Scratch Note Diary - Set of Two Diary - 14 cm 10 cm - Colorful Scratch...",by Oytra,,,https://www.amazon.in/Oytra-Scratch-Note-Diary-Colorful/dp/B07HM8BZFH,B07HM8BZFH,₹299,
"NISUN PU Leather Cover Diary Book Memo Writing Note Pad 80 Pages Snap Button...",by NISUN,3.7,12,https://www.amazon.in/NISUN-Leather-Diary-Writing-Closure/dp/B07FYFSRR3,B07FYFSRR3,₹399,
"ALCRAFT Leather Diary Journal Notepad Writing Book with Lock, Key and Handmade...",by ALCRAFT,4,15,https://www.amazon.in/ALCRAFT-Leather-Journal-Handmade-7x5-inch/dp/B07DMGN4T3,B07DMGN4T3,₹499,
"Aone India Note Book/Slam Book/Autogarph Book/Personal Diary/Friends/Best Friend",by Aone,,,https://www.amazon.in/Aone-Autogarph-Personal-Friends-Friend/dp/B0785W9Z3H,B0785W9Z3H,₹250,
"Paper Plane Design Plain Pages Notebook for Personal Diary, Doodle, Notes, Planner...",by Paper Plane Design,4.2,52,https://www.amazon.in/Paper-Plane-Design-Notebook-Personal/dp/B07DYV8XJ4,B07DYV8XJ4,₹225,
"Pranjals House Pure Genuine Real Vintage Hunter Leather Handmade Paper Notebook...",by pranjals house,3.6,19,https://www.amazon.in/Pranjals-Genuine-Vintage-Handmade-Notebook/dp/B07D5D3NT8,B07D5D3NT8,₹329,
"The Wimpy Kid: Do-it-Yourself Book (Diary of a Wimpy Kid)",by Jeff Kinney,4.6,332,https://www.amazon.in/Wimpy-Kid-Do-Yourself-Diary/dp/0141339667,0141339667,₹173,Paperback
"Derwent Academy Visual Art Diary Sketch Book, FSC Certified Acid Free 120 Pages...",by Derwent Academy,4,1,https://www.amazon.in/Derwent-Academy-Visual-Certified-Portrait/dp/B073BDKQDB,B073BDKQDB,₹544,
"A Diary of a Private School Kid",by Penn Brooks,3.8,46,https://www.amazon.in/Diary-Private-School-Kid-ebook/dp/B01M6TMTNM,B01M6TMTNM,₹0,Kindle Edition
"Excel Designer Telephone Index & Address Book With Soft Leather Cover -200 Pages...",by Excel,4,2,https://www.amazon.in/Excel-Designer-Telephone-Address-Leather/dp/B07J4NLDP4,B07J4NLDP4,₹229,
"Kevin Danny Leatherette Notebook A5 - Black",by Kevin Danny,3.8,81,https://www.amazon.in/Kevin-Danny-Leatherette-Notebook-A5/dp/B01I4LPUGK,B01I4LPUGK,₹299,
"Anshika International Leather Journal Diary Book | Antique Hand Made Office Diary...",by Anshika International,3.9,26,https://www.amazon.in/Anshika-International-Leather-Journal-Notebook/dp/B076CHMDK3,B076CHMDK3,₹499,
"ALDIVO You are amazing Printed Diary/Handmade Notebook, 12.7cmx17.78cm (Pink)",by ALDIVO,3.3,37,https://www.amazon.in/ALDIVO-amazing-Handmade-Notebook-12-7cmx17-78cm/dp/B079HR1GPP,B079HR1GPP,₹199,
"Diary of a Wimpy Kid: Old School (Book 10)",by Jeff Kinney,4.7,783,https://www.amazon.in/Diary-Wimpy-Kid-School-Book/dp/0141370610,0141370610,₹175,Paperback
"NISUN PU Leather Cover Diary Book Memo Writing Note Pad 80 Pages Snap Button...",by NISUN,3.7,12,https://www.amazon.in/NISUN-Leather-Diary-Writing-Closure/dp/B07DL62268,B07DL62268,₹399,
"Artangle The Starry Night by Vincent Van Gogh Hardcover Plain A5 Size Premium...",by Artangle,4.6,65,https://www.amazon.in/Artangle-Vincent-Hardcover-Premium-Notebook/dp/B01H5EBEP8,B01H5EBEP8,₹299,
"COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting",by COI,3.4,441,https://www.amazon.in/COI-Sticky-Notes-Holder-Gifting/dp/B00UGZWM2I,B00UGZWM2I,₹289,
"Double Down (Diary of a Wimpy Kid Book 11)",by Jeff Kinney,4.6,635,https://www.amazon.in/Double-Down-Diary-Wimpy-Book/dp/0141379022,0141379022,₹173,Paperback
"RjKart Handmade Printed 120 GSM A5 Size Sky Blue Paper Diary with Bamboo Cover...",by DI-KRAFT,5,6,https://www.amazon.in/KRAFT-Handmade-Printed-Bamboo-Design/dp/B079FYQ8X8,B079FYQ8X8,₹299,
"Artangle The Cafe Terrace By Vincent Van Gogh Hardcover Plain A5 Size Premium...",by Artangle,4.6,65,https://www.amazon.in/Artangle-Terrace-Vincent-Hardcover-Notebook/dp/B01H5EBFZC,B01H5EBFZC,₹299,
"Derwent Academy Visual Art Diary Sketch Book, FSC Certified Acid Free 120 Pages...",by Derwent Academy,5,1,https://www.amazon.in/Derwent-Academy-Visual-Certified-Portrait/dp/B073BG7K8B,B073BG7K8B,₹389,
"Dork Diaries: Birthday Drama",by Rachel Ranee Russell,4.4,24,https://www.amazon.in/Dork-Diaries-Rachel-Ranee-Russell/dp/1471173151,1471173151,₹203,Paperback
"Hush Coaching Habit Tracker Daily Planner 2018 | Law Of Attraction Toolkit",by Hush coaching,4.3,35,https://www.amazon.in/Hush-Coaching-Tracker-Planner-Attraction/dp/B079W5KFNX,B079W5KFNX,₹330,
"Amigozz Diary Style Brand Clipboard Memo Note Writing Pad And Sticky Note Pads...",by AmigozZ,3.3,12,https://www.amazon.in/Amigozz-Diary-Clipboard-Writing-Sticky/dp/B06XV6MYSD,B06XV6MYSD,₹225,
"Shopkooky Kid's Cartoon Printed 1 Drawing Book 1 Diary 2 Pencils 4 Crayons 1...",by Shopkooky,2.5,5,https://www.amazon.in/Stationary-Pencil-Box-sharpner-Birthday-ShopKooky/dp/B079YS5DFJ,B079YS5DFJ,₹439,
