Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Understanding Digital Marketing: Marketing Strategies for Engaging the Digital...",by Damian Ryan,5,4,https://www.amazon.in/Understanding-Digital-Marketing-Strategies-Generation/dp/0749478438,0749478438,₹1,550,Paperback
"Fundamentals of Digital Marketing by Pearson",by Puneet Singh Bhatia,4.2,45,https://www.amazon.in/Fundamentals-Digital-Marketing-Pearson-Puneet-Singh/dp/933258737X,933258737X,₹273,Paperback
"Marketing 4.0: Moving from Traditional to Digital",by Philip Kotler,4.2,50,https://www.amazon.in/Marketing-4-0-Moving-Traditional-Digital/dp/8126566930,8126566930,₹298,Hardcover
"Die Geschichte der zwei neidischen Schwestern",by Gustav Weil - Unabridged,,,https://www.amazon.in/Die-Geschichte-zwei-neidischen-Schwestern/dp/B07K8TRN23,B07K8TRN23,₹0,Audible Audiobook
"Der Wunderbrunnen",by Joachim Ringelnatz - Unabridged,,,https://www.amazon.in/Der-Wunderbrunnen/dp/B07JFT6XDT,B07JFT6XDT,₹0,Audible Audiobook
"Tao Te King: Das Buch vom Sinn und Leben",by Karlheinz Gabor - Unabridged,,,https://www.amazon.in/Tao-Te-King-Buch-Leben/dp/B07CFHX333,B07CFHX333,₹0,Audible Audiobook
"The Long Way Home",by Pat Patterson - Unabridged,,,https://www.amazon.in/The-Long-Way-Home/dp/B07JX4T3WF,B07JX4T3WF,₹0,Audible Audiobook
"Deep Learning with Python",by Francois Chollet - Import,5,5,https://www.amazon.in/Deep-Learning-Python-Francois-Chollet/dp/1617294438,1617294438,₹1,119,Paperback
"The Digital Photography Handbook: An Illustrated Step-by-step Guide",by Doug Harman,4.3,11,https://www.amazon.in/Digital-Photography-Handbook-Step-step/dp/1848667043,1848667043,₹469,Paperback
"I Am A Troll: Inside the Secret World of the BJP’s Digital Army",by Swati Chaturvedi,3.4,528,https://www.amazon.in/Am-Troll-Inside-Secret-Digital/dp/9386228092,9386228092,₹238,Paperback
"Social Media Marketing & Branding The Micro MBA",by Ankit Srivastava,5,2,https://www.amazon.in/Social-Media-Marketing-Branding-Micro/dp/B07LCCDD8K,B07LCCDD8K,₹389,Paperback
"Hands-On GPU-Accelerated Computer Vision with OpenCV and CUDA: Effective techniques...",by Bhaumik Vaidya - Import,5,2,https://www.amazon.in/Hands-GPU-Accelerated-Computer-Vision-OpenCV/dp/1789348293,1789348293,₹879,Paperback
"Digital Sense: The Common Sense Approach to Effectively Blending Social Business...",by Travis Wright - Unabridged,5,1,https://www.amazon.in/Digital-Sense-Effectively-Technology-Experience/dp/B071GDFXL7,B071GDFXL7,₹0,Audible Audiobook
"How to Be a Bawse: A Guide to Conquering Life",by Lilly Singh,4.7,832,https://www.amazon.in/How-Be-Bawse-Guide-Conquering/dp/0718186915,0718186915,₹373,Paperback
"ZAG: The Number-One Strategy of High Performance Brands",by Marty Neumeier - Unabridged,3.3,3,https://www.amazon.in/ZAG-Number-One-Strategy-Performance-Brands/dp/B07CZXQ4C2,B07CZXQ4C2,₹0,Audible Audiobook
"The Advanced Photography Guide",by DK,4.5,2,https://www.amazon.in/Advanced-Photography-Guide-DK/dp/0241301920,0241301920,₹775.04,Hardcover
"Web Design with HTML, CSS, JavaScript and jQuery Set",by Jon Duckett,4.6,58,https://www.amazon.in/Web-Design-HTML-JavaScript-jQuery/dp/1118907442,1118907442,₹2,777,Paperback
"The Visual Story: Creating the Visual Structure of Film, TV and Digital Media",by Bruce Block,5,5,https://www.amazon.in/Visual-Story-Creating-Structure-Digital/dp/0240807790,0240807790,₹1,965,Paperback
"Learning Robotics Using Python",by Lentin Joseph - Import,4.7,5,https://www.amazon.in/Learning-Robotics-Python-Lentin-Joseph/dp/1783287535,1783287535,₹798,Paperback
"The Animator's Survival Kit",by Richard E. Williams,4.7,52,https://www.amazon.in/Animators-Survival-Kit-Richard-Williams/dp/0571238343,0571238343,₹1,091,Paperback
"Understanding Exposure, Fourth Edition",by BRYAN PETERSON,4.5,48,https://www.amazon.in/Understanding-Exposure-Fourth-BRYAN-PETERSON/dp/1607748509,1607748509,₹633,Paperback
"Digital Marketing Strategy: An Integrated Approach to Online Marketing",by Simon Kingsnorth,3,1,https://www.amazon.in/Digital-Marketing-Strategy-Integrated-Approach/dp/074947470X,074947470X,₹2,385,Paperback
"Youtube: The Top 100 Best Ways to Market & Make Money with Youtube (Social Media...",by Ace McCloud - Import,4.7,24,https://www.amazon.in/Youtube-Market-Social-Business-Marketing/dp/1640480838,1640480838,₹579,Paperback
