Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Economics Book (Big Ideas),by Dorling Kindersley,4.8,26.0,https://www.amazon.in/Economics-Book-Big-Ideas/dp/1409376419,1409376419,₹869,Hardcover
IIMA - Day to Day Economics,by Satish Y. Deodhar,4.4,314.0,https://www.amazon.in/IIMA-Economics-Satish-Y-Deodhar/dp/8184001630,8184001630,₹173,Paperback
Indian Economy: For UPSC Civil Services & Other State PSC Examinations,by Ramesh Singh,3.9,220.0,https://www.amazon.in/Indian-Economy-Civil-Services-Examinations/dp/9387572862,9387572862,₹435,Paperback
I Do What I Do,by Raghuram G. Rajan,4.3,313.0,https://www.amazon.in/I-Do-What/dp/9352770145,9352770145,₹363,Hardcover
So You Want to Know About Economics,by Roopa Pai - Import,4.7,65.0,https://www.amazon.in/You-Want-Know-About-Economics/dp/8129145197,8129145197,₹195,Paperback
Fault Lines : How Hidden Fractures Still Threaten The World Economy,by Raghuram Rajan,4.7,139.0,https://www.amazon.in/Fault-Lines-Fractures-Threaten-Economy/dp/9350291738,9350291738,₹421,Paperback
Sense And Solidarity - Jholawala Economics for Everyone,,4.5,17.0,https://www.amazon.in/Sense-Solidarity-Jholawala-Economics-Everyone/dp/817824523X,817824523X,₹356,Paperback
Indian Economy Key Concepts,by Sankarganesh K,4.1,152.0,https://www.amazon.in/Indian-Economy-Key-Concepts-Sankarganesh/dp/8192516741,8192516741,,Paperback
"I Will Teach You Excel: Master Excel, Surpass Your Co-Workers, And Impress Your...",by Joel Villar,4.0,214.0,https://www.amazon.in/Will-Teach-You-Excel-Co-Workers-ebook/dp/B01DVS095I,B01DVS095I,₹0,Kindle Edition
Economics,by Paul Samuelson,4.2,26.0,https://www.amazon.in/Economics-Paul-Samuelson/dp/0070700710,0070700710,₹480,Paperback
UGC NET Economics,by Sunder Gopal Mishra,4.2,14.0,https://www.amazon.in/UGC-Economics-Sunder-Gopal-Mishra/dp/9312146440,9312146440,₹469,Paperback
Economics Textbook for Class - 9  - 970,by NCERT,3.8,60.0,https://www.amazon.in/Economics-Textbook-Class-9-970/dp/8174505172,8174505172,₹80,Paperback
Think & Grow Rich,by Napoleon Hill,4.6,3611.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/817234564X,817234564X,₹70,Paperback
Indian Economic Development Textbook for Class - 11  - 11100,by NCERT,3.2,60.0,https://www.amazon.in/Indian-Economic-Development-Textbook-Class/dp/8174505512,8174505512,₹85,Paperback
Small Is Beautiful: A Study of Economics as if People Mattered,by E F Schumacher,4.5,27.0,https://www.amazon.in/Small-Beautiful-Economics-People-Mattered/dp/0099225611,0099225611,₹375,Paperback
Introductory Macroeconomics - Textbook in Economics for Class - 12  - 12105,by NCERT,3.7,52.0,https://www.amazon.in/Introductory-Macroeconomics-Textbook-Economics-Class/dp/8174507159,8174507159,₹65,Paperback
"International Economics: Trade and Finance, 11ed, ISV (WSE)",by Dominick Salvatore,4.3,49.0,https://www.amazon.in/International-Economics-Trade-Finance-11ed/dp/8126552344,8126552344,₹589,Paperback
Work Smarter Not Harder: 18 Productivity Tips That Boost Your Work Day Performance,by Timo Kiander,4.1,231.0,https://www.amazon.in/Work-Smarter-Not-Harder-Productivity-ebook/dp/B00V8ALKN2,B00V8ALKN2,₹0,Kindle Edition
Deepstambh Economics: Spardha Pariksha Arthashastra - 1,by Dr. Kiran Desle,5.0,1.0,https://www.amazon.in/Deepstambh-Economics-Spardha-Pariksha-Arthashastra/dp/B07JCWHWMF,B07JCWHWMF,₹599,Paperback
Banking And Economic Awareness,by RAKESH KUMAR,4.5,250.0,https://www.amazon.in/Banking-Economic-Awareness-RAKESH-KUMAR/dp/9352656059,9352656059,₹249,Paperback Bunko
The Wealth of Nations,by Adam Smith,4.3,5.0,https://www.amazon.in/Wealth-Nations-Adam-Smith/dp/9387779467,9387779467,₹279,Paperback
Introductory Microeconomics - Textbook in Economics for Class - 12  - 12103,by NCERT,3.7,49.0,https://www.amazon.in/Introductory-Microeconomics-Textbook-Economics-Class/dp/8174506780,8174506780,₹65,Paperback
Introductory Microeconomics and Macroeconomics Class 12 CBSE (Set of 2 Books)...,by T.R. Jain,3.6,21.0,https://www.amazon.in/Introductory-Microeconomics-Macroeconomics-2018-19-Session/dp/9387516687,9387516687,₹655,Paperback
