Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
5 Lb. Book of Gre Practice Problems (Manhattan Prep 5 lb Series),by Manhattan Prep,4.6,151.0,https://www.amazon.in/Book-Practice-Problems-Manhattan-Prep/dp/1506247598,1506247598,₹1,310
PMP Exam Prep: Accelerated Learning to Pass the Project Management Professional...,by Rita Mulcahy - Import,4.8,28.0,https://www.amazon.in/PMP-Exam-Prep-Accelerated-Professional/dp/194370404X,194370404X,₹7,000
Read And Pass Notes For PMP Exams (Based On PMBOK Guide 6th Edition): The Right...,by Maneesh Vijaya,5.0,11.0,https://www.amazon.in/Notes-Exams-Based-PMBOK-Guide-ebook/dp/B078B6262Q,B078B6262Q,₹1,700
Prep Guide To BITSAT 2019,by Arihant Expert,4.1,19.0,https://www.amazon.in/Prep-Guide-BITSAT-Arihant-Expert/dp/9313163802,9313163802,₹572,Paperback
NEET Prep Guide 2019 with free Revision Points Booklet,by Arihant Expert,4.5,7.0,https://www.amazon.in/NEET-Guide-Revision-Points-Booklet/dp/9313162539,9313162539,₹685,Paperback
GRE Prep 2019: Practice Tests + Proven Strategies + Online,by Kaplan Test Prep,3.5,2.0,https://www.amazon.in/GRE-Prep-2019-Practice-Strategies/dp/1506247563,1506247563,₹811,Paperback
The Official SAT Study Guide (Official Study Guide for the New Sat),by The College Board,4.3,61.0,https://www.amazon.in/Official-SAT-Study-Guide-New/dp/1457309289,1457309289,₹1,180
"Cracking the SAT Premium Edition with 8 Practice Tests, 2019: The All-in-One...",by Princeton Review,4.8,12.0,https://www.amazon.in/Cracking-Premium-Practice-Tests-2019/dp/1524757853,1524757853,₹999,Paperback
GRE: What You Need to Know: An Introduction to the GRE Revised General Test (...,by Kaplan,4.5,14.0,https://www.amazon.in/GRE-Introduction-Revised-General-Kaplan-ebook/dp/B00A8ME0M4,B00A8ME0M4,₹0,Kindle Edition
"The Total CISSP Exam Prep Book: Practice Questions, Answers, and Test Taking...",by Thomas R. Peltier - Import,3.5,6.0,https://www.amazon.in/Total-CISSP-Exam-Prep-Book/dp/1138436909,1138436909,₹13,557
Pmp Practice Tests: Volume 2 (Pass Pmp in 21 Days),by Kavita Sharma - Import,5.0,13.0,https://www.amazon.in/Pmp-Practice-Tests-Pass-Days/dp/1986067416,1986067416,₹1,800
GMAT Prep Plus 2019: 6 Practice Tests + Proven Strategies + Online + Mobile,by Kaplan Test Prep,4.1,10.0,https://www.amazon.in/GMAT-Prep-Plus-2019-Strategies/dp/1506247571,1506247571,₹1,590
CLAT Guide 2019,by Gautam Puri,4.8,7.0,https://www.amazon.in/CLAT-Guide-2019-Gautam-Puri/dp/9388030206,9388030206,₹538,Paperback
"PMP Exam Prep Flashcards (PMBOK Guide, 6th Edition)",by Belinda Goodrich,3.0,2.0,https://www.amazon.in/Exam-Prep-Flashcards-PMBOK-Guide-ebook/dp/B07BDBVLGQ,B07BDBVLGQ,₹449,Kindle Edition
PMI-ACP Exam Prep,by Mike Griffiths - Import,4.9,14.0,https://www.amazon.in/PMI-ACP-Exam-Prep-Mike-Griffiths/dp/1932735984,1932735984,₹6,768.40
SAT Math Prep (Kaplan Test Prep),by Kaplan Test Prep,4.9,17.0,https://www.amazon.in/SAT-Math-Prep-Kaplan-Test/dp/1506228739,1506228739,₹806,Paperback
"Cracking the GRE Psychology Subject Test, 8th Edition (Graduate School Test Preparation)",by Princeton Review,4.0,2.0,https://www.amazon.in/Cracking-Psychology-Subject-Graduate-Preparation/dp/0375429735,0375429735,₹794,Paperback
Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,by A. P. Bhardwaj,4.4,46.0,https://www.amazon.in/Legal-Awareness-Reasoning-Examinations-Celebrating/dp/9352864964,9352864964,₹412,Paperback
"8 Practice Tests for the ACT: 1,700+ Practice Questions (Kaplan Test Prep)",by Kaplan Test Prep - Import,5.0,2.0,https://www.amazon.in/Practice-Tests-ACT-Questions-Kaplan/dp/1506235123,1506235123,₹1,365
GRE Prep Plus 2019: Practice Tests + Proven Strategies + Online + Video + Mobile,by Kaplan Test Prep,1.5,2.0,https://www.amazon.in/GRE-Prep-Plus-2019-Strategies/dp/1506247555,1506247555,₹1,146
GRE Prep by Magoosh,by Magoosh,4.2,30.0,https://www.amazon.in/GRE-Prep-Magoosh-ebook/dp/B01MTEK77B,B01MTEK77B,₹449,Kindle Edition
5 lb. Book of GRE Practice Problems,by Manhattan Prep,4.4,92.0,https://www.amazon.in/lb-Book-GRE-Practice-Problems/dp/1506234445,1506234445,₹1,250
CLAT & AILET Chapterwise Solved Papers (2008-2018) 2019,by Gautam Puri,4.6,9.0,https://www.amazon.in/AILET-Chapterwise-Solved-Papers-2008-2018/dp/9388030192,9388030192,₹413,Paperback
"Cracking the GRE Premium Edition with 6 Practice Tests, 2019: The All-in-One...",by Princeton Review,4.3,3.0,https://www.amazon.in/Cracking-Premium-Practice-Tests-2019/dp/152475790X,152475790X,₹1,025
SAT Premier 2017 with 5 Practice Tests: Online + Book (Kaplan Test Prep),by Kaplan Test Prep - Import,3.5,3.0,https://www.amazon.in/SAT-Premier-2017-Practice-Tests/dp/1506202284,1506202284,₹499,Paperback
PMP® Exam Simplified: Updated for 2016 Exam (PMP® Exam Prep Series Book 4),by Aileen Ellis,4.7,4.0,https://www.amazon.in/PMP%C2%AE-Exam-Simplified-Updated-2016-ebook/dp/B01FNP4KZC,B01FNP4KZC,₹449,Kindle Edition
"The Official Guide to the GRE General Test, Third Edition",by N/A Educational Testing Service,4.2,3.0,https://www.amazon.in/Official-Guide-General-Test-Third/dp/1259862410,1259862410,₹950,Paperback
GRE Analytical Writing: Solutions to the Real Essay Topics - Book 1 Edition 2018...,by Vibrant Publishers - Import,4.3,16.0,https://www.amazon.in/GRE-Analytical-Writing-Solutions-Topics/dp/1949395006,1949395006,₹539,Paperback
MHT CET Engineering Entrances Prep Guide Mathematics,by Arihant Expert,3.0,1.0,https://www.amazon.in/Engineering-Entrances-Prep-Guide-Mathematics/dp/9313163780,9313163780,₹455,Paperback
"8 Practice Tests for the SAT 2018: 1,200+ SAT Practice Questions (Kaplan Test...",by Kaplan Test Prep,3.9,7.0,https://www.amazon.in/Practice-Tests-SAT-2018-Questions/dp/1506221262,1506221262,,Paperback
300 Practice Questions for the PMP Exam: A PMP Exam Question Bank (PMP Ace Series...,by Roji Abraham,4.1,9.0,https://www.amazon.in/300-Practice-Questions-PMP-Exam-ebook/dp/B01NCEMV9N,B01NCEMV9N,₹299,Kindle Edition
GRE Algebra Strategy Guide (Manhattan Prep GRE Strategy Guides),by Manhattan Prep,4.7,8.0,https://www.amazon.in/Algebra-Strategy-Guide-Manhattan-Guides/dp/1937707830,1937707830,₹850,Paperback
SAT Total Prep 2019: 5 Practice Tests + Proven Strategies + Online (Kaplan Test...,by Kaplan Test Prep - Import,5.0,1.0,https://www.amazon.in/SAT-Total-Prep-2019-Strategies/dp/1506235174,1506235174,₹2,428
JEE Main Prep Guide 2019  and JEE previous year chapterwise solved papers 2018...,by Arihant Expert,3.7,9.0,https://www.amazon.in/previous-chapterwise-solved-papers-2018-2011/dp/9313164027,9313164027,₹921,Paperback
GMAT Complete 2019: The Ultimate in Comprehensive Self-Study for GMAT (Kaplan...,by Kaplan Test Prep - Student Edition,4.1,8.0,https://www.amazon.in/GMAT-Complete-2019-Comprehensive-Self-Study/dp/1506234968,1506234968,₹5,171.45
GMAT Geometry (Manhattan Prep GMAT Strategy Guides),by Manhattan Prep,4.3,5.0,https://www.amazon.in/GMAT-Geometry-Manhattan-Strategy-Guides/dp/1941234038,1941234038,₹897,Paperback
GRE Word Problems (Manhattan Prep GRE Strategy Guides),by Manhattan Prep,3.7,12.0,https://www.amazon.in/Word-Problems-Manhattan-Strategy-Guides/dp/1937707903,1937707903,₹609,Paperback
"Start, Study & Pass The 2018 CPA Exam Fast: Proven 8 Step CPA Exam Study Playbook...",by Bryan Kesler,4.7,5.0,https://www.amazon.in/Start-Study-Pass-2018-Exam-ebook/dp/B0728N9RZS,B0728N9RZS,₹0,Kindle Edition
SAT & GRE 500 Core Words: Core Words #2,by Deaver Brown - Unabridged,,,https://www.amazon.in/SAT-GRE-500-Core-Words/dp/B079BBCFJS,B079BBCFJS,₹0,Audible Audiobook
"10 Practice Tests for the SAT, 2019 Edition: Extra Preparation to Help Achieve...",by Princeton Review,3.7,3.0,https://www.amazon.in/Practice-Tests-SAT-2019-Preparation/dp/152475787X,152475787X,₹995.00,Paperback
GRE Subject Test: Psychology (Kaplan Test Prep),by Kaplan Test Prep,4.6,3.0,https://www.amazon.in/GRE-Subject-Test-Psychology-Kaplan/dp/1506209351,1506209351,₹988,Paperback
