Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"You are the Best Wife: A True Love Story",by Ajay K Pandey,4.7,2830,https://www.amazon.in/You-are-Best-Wife-Story/dp/9382665544,9382665544,₹88,Paperback
"Family Wisdom From The Monk Who Sold His Ferrari",by Robin Sharma,4.3,72,https://www.amazon.in/Family-Wisdom-Monk-Sold-Ferrari/dp/8179922308,8179922308,₹214,Paperback
"Call Me Ana: A Love Story (The Legrand Series Book 1)",by Scarlet Bonnet,5,3,https://www.amazon.in/Call-Me-Ana-Story-Legrand-ebook/dp/B01L60J0ZI,B01L60J0ZI,₹0,Kindle Edition
"My Family and Other Animals (A Puffin Book)",by Gerald Durrell,4.6,34,https://www.amazon.in/Family-Other-Animals-Puffin-Book/dp/0141374101,0141374101,₹260,Paperback
"You are the Best Friend",by Ajay K. Pandey,4.7,653,https://www.amazon.in/You-Best-Friend-Ajay-Pandey/dp/9386850559,9386850559,₹110,Paperback
"The Awakened Family: How to Raise Empowered, Resilient, and Conscious Children",by Shefali Tsabary,5,4,https://www.amazon.in/Awakened-Family-Empowered-Resilient-Conscious/dp/1529301777,1529301777,₹350.52,Paperback
"The Girl Who Knew Too Much: What if the Loved One You Lost Were to Come Back?",by Vikrant Khanna,4.1,245,https://www.amazon.in/Girl-Who-Knew-Too-Much/dp/0143439944,0143439944,₹158,Paperback
"You are My Reason to Smile",by Arpit Vageria,4.4,470,https://www.amazon.in/You-are-My-Reason-Smile/dp/9382665889,9382665889,₹88,Paperback
"Coulson's Wife (Coulson Family Saga Book 1)",by Anna J. McIntyre,5,1,https://www.amazon.in/Coulsons-Wife-Coulson-Family-Saga-ebook/dp/B00GF5XK0Q,B00GF5XK0Q,₹0,Kindle Edition
"Strong Mothers, Strong Sons: Lessons Mothers Need to Raise Extraordinary Men",by M.D. Meg Meeker,4.8,10,https://www.amazon.in/Strong-Mothers-Sons-Lessons-Extraordinary/dp/0345518101,0345518101,₹250,Paperback
"Tom Gates #12 Family, Friends and Furry Creatures",by Liz Pichon,4.7,21,https://www.amazon.in/Gates-Family-Friends-Furry-Creatures/dp/9352750349,9352750349,₹319,Hardcover
"Her Last Wish",by Ajay K. Pandey,4.7,1010,https://www.amazon.in/Her-Last-Wish-Ajay-Pandey/dp/9382665870,9382665870,₹88,Paperback
