Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"A Wrinkle in Time (A Puffin Book)",by Madeleine L'Engle,4.4,38,https://www.amazon.in/Wrinkle-Time-Puffin-Book/dp/0141354933,0141354933,₹223,Paperback
"Crystal Magic (Clearwater Witches Book 1)",by Madeline Freeman,4.3,43,https://www.amazon.in/Crystal-Magic-Clearwater-Witches-Book-ebook/dp/B00JDNQLB2,B00JDNQLB2,₹0,Kindle Edition
"The Carve the Mark Duology Boxed Set",by Veronica Roth,4.5,2,https://www.amazon.in/Carve-Mark-Duology-Boxed-Set/dp/0008313520,0008313520,₹600,Paperback
"The Night Circus (Vintage Magic)",by Erin Morgenstern,4.2,63,https://www.amazon.in/Night-Circus-Vintage-Magic/dp/0099570297,0099570297,₹374.77,Paperback
"Carve the Mark",by Veronica Roth,4.1,33,https://www.amazon.in/Carve-Mark-Veronica-Roth/dp/0008242763,0008242763,₹367,Paperback
"Xoe Meyers Trilogy: Books 1-3: Xoe, Accidental Ashes, and Broken Beasts (Xoe...",by Sara C. Roethle,3.4,9,https://www.amazon.in/Xoe-Meyers-Trilogy-Accidental-Fantasy-ebook/dp/B00NR9Y06Q,B00NR9Y06Q,₹0,Kindle Edition
"Slumbering: An Epic Fantasy Adventure Series (The Starlight Chronicles Book 1)",by C. S. Johnson,3.9,52,https://www.amazon.in/Slumbering-Fantasy-Adventure-Starlight-Chronicles-ebook/dp/B00RM6325U,B00RM6325U,₹265.30,Kindle Edition
"Geronimo Stilton and the Kingdom of Fantasy #11: The Guardian of the Realm",by Geronimo Stilton,4.9,51,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-11/dp/9352755162,9352755162,₹380,Hardcover
"Metamorphosis",by Franz Kafka,4.2,198,https://www.amazon.in/Metamorphosis-Franz-Kafka/dp/8172345135,8172345135,₹69,Paperback
"The Sanctuary Series, Books 1-3: Defender, Avenger and Champion",by Robert J. Crane,5,2,https://www.amazon.in/Sanctuary-Books-1-3-Defender-Champion-ebook/dp/B00YJCJGEG,B00YJCJGEG,₹449,Kindle Edition
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5009,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
"The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10)",by Geronimo Stilton,4.8,151,https://www.amazon.in/Secrets-Geronimo-Stilton-Kingdom-Fantasy/dp/9386313774,9386313774,₹374,Hardcover
"The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...",by Geronimo Stilton,4.6,285,https://www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183,9352751183,₹510,Hardcover
"Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic",by Geronimo Stilton,4.6,329,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-Magic/dp/9385887815,9385887815,₹274,Hardcover
"Cursed Complete Edition: An Evans Pack Series",by Claire Farrell,5,3,https://www.amazon.in/Cursed-Complete-Evans-Claire-Farrell-ebook/dp/B00BF2U4CQ,B00BF2U4CQ,₹0,Kindle Edition
"Geronimo Stilton - The Kingdom of Fantasy",by Geronimo Stilton,4.5,230,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy/dp/0545980259,0545980259,₹382,Hardcover
"Dharmayoddha Kalki: Avatar of Vishnu (Book 1)",by Kevin Missal,4.2,226,https://www.amazon.in/Dharmayoddha-Kalki-Avatar-Vishnu-Book/dp/8193503309,8193503309,₹179,Paperback
"Children of Blood and Bone (Legacy of Orisha)",by Tomi Adeyemi,4.4,50,https://www.amazon.in/Children-Blood-Bone-Legacy-Orisha/dp/1509871357,1509871357,₹334,Paperback
"Harry Potter and the Half-Blood Prince, Book 6",by J.K. Rowling - Unabridged,4.6,246,https://www.amazon.in/Harry-Potter-Half-Blood-Prince-Book/dp/B079NQ5V39,B079NQ5V39,₹0,Audible Audiobook
"Geronimo Stilton and the Kingdom of Fantasy: Special Edition: The Phoenix of...",by Geronimo Stilton,4.7,464,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-Special/dp/935103951X,935103951X,₹558,Hardcover
"The Fates Divide: Carve the Mark - Book 2",by Veronica Roth,4,14,https://www.amazon.in/Fates-Divide-Carve-Mark-Book/dp/0008306699,0008306699,₹238,Paperback
"The Name of the Wind (The Kingkiller Chronicle)",by Patrick Rothfuss,4.4,91,https://www.amazon.in/Name-Wind-Kingkiller-Chronicle/dp/0575081406,0575081406,₹473,Paperback
"A Throne for Sisters (Book One)",by Morgan Rice,5,1,https://www.amazon.in/Throne-Sisters-Book-One-ebook/dp/B074QTKQ9W,B074QTKQ9W,₹0,Kindle Edition
"Geronimo Stilton the Kingdom of Fantasy #09 The Wizards Wand",by Geronimo Stilton,4.5,200,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-Wizards/dp/938610623X,938610623X,₹348,Hardcover
"The Dragon Blood Collection, Books 1-3",by Lindsay Buroker,4.3,6,https://www.amazon.in/Dragon-Blood-Collection-Books-1-3-ebook/dp/B00PXGD274,B00PXGD274,₹99,Kindle Edition
"Kingdom of Fantasy #6: The Search for Treasure (Geronimo Stilton - Kingdom of...",by Geronimo Stilton,4.6,162,https://www.amazon.in/Kingdom-Fantasy-Treasure-Geronimo-Stilton/dp/9351033147,9351033147,₹350,Hardcover
"Geronimo Stilton - The Quest for Paradise",by Geronimo Stilton,4.6,329,https://www.amazon.in/Geronimo-Stilton-Quest-Paradise/dp/0545253071,0545253071,₹480,Hardcover
"Pinehurst: A Magical Olympian Adventure-Young Adult Romantic Adventure/Fantasy...",by Nicole Grane,4.1,64,https://www.amazon.in/Pinehurst-Olympian-Adventure-Young-Romantic-Adventure-ebook/dp/B007Y2PURA,B007Y2PURA,₹0,Kindle Edition
"The Dragon Prophecy: The Fourth Adventure in the Kingdom of Fantasy (Geronimo...",by Geronimo Stilton,4.5,85,https://www.amazon.in/Dragon-Prophecy-Adventure-Kingdom-Geronimo/dp/0545393515,0545393515,₹384,Hardcover
"The Stolen Kingdom: A Fantasy Book for All Ages",by Ross Rosenfeld,4.6,26,https://www.amazon.in/Stolen-Kingdom-Fantasy-Book-Ages-ebook/dp/B005TWBVRU,B005TWBVRU,₹449,Kindle Edition
"Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms",by Geronimo Stilton - Illustrated,4.7,182,https://www.amazon.in/Geronimo-Stilton-Kingdom-Fantasy-Enchanted/dp/9351035492,9351035492,₹373,Hardcover
"Harry Potter and the Philosopher's Stone, Book 1",by J.K. Rowling - Unabridged,4.7,1097,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Book/dp/B072W9Y8T7,B072W9Y8T7,₹0,Audible Audiobook
"Non-Heir (The Black Mage Prequel Novella, Book 0)",by Rachel E. Carter,5,2,https://www.amazon.in/Non-Heir-Black-Mage-Prequel-Novella-ebook/dp/B01N36JTWK,B01N36JTWK,₹0,Kindle Edition
"Geronimo Stilton - The Amazing Voyage: The Third Adventure in the Kingdom of...",by Geronimo Stilton,4.6,118,https://www.amazon.in/Geronimo-Stilton-Amazing-Adventure-Kingdom/dp/0545307716,0545307716,₹392,Hardcover
"The Immortals of Meluha (Shiva Trilogy)",by Amish,4.6,2643,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745,9380658745,₹251,Paperback
"Carve the Mark: Free Chapter First Look",by Veronica Roth,5,1,https://www.amazon.in/Carve-Mark-Free-Chapter-First-ebook/dp/B01FQQPBAG,B01FQQPBAG,₹0,Kindle Edition
"Harry Potter and the Chamber of Secrets, Book 2",by J.K. Rowling - Unabridged,4.7,562,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Book/dp/B079TLW9BL,B079TLW9BL,₹0,Audible Audiobook
"A Song of Ice and Fire - A Game of Thrones: The Complete Boxset of 7 Books",by George R R Martin,4.5,682,https://www.amazon.in/Song-Ice-Fire-Thrones-Complete/dp/0007477155,0007477155,₹2,390,Paperback
