Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Girl in Room 105",by Chetan Bhagat,4.1,1540,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,
"The Alchemist",by Paulo Coelho,4.6,3839,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,8172234988,₹209,
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",by Sudha Murty,4.4,360,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055,0143440055,₹136,
"All the Light we Cannot See",by Anthony Doerr,4.5,193,https://www.amazon.in/All-Light-we-Cannot-See/dp/0008172420,0008172420,₹311,
"The Perfect Us",by Durjoy Datta,4.7,428,https://www.amazon.in/Perfect-Us-Durjoy-Datta/dp/0143426591,0143426591,₹116,
"The Woman in the Window",by A. J. Finn,3.9,114,https://www.amazon.in/Woman-Window-J-Finn/dp/0008294372,0008294372,₹231,
"Will You Still Love Me?",by Ravinder Singh,4.5,290,https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361,0143429361,₹115,
"Animal Farm",by George Orwell,4.5,145,https://www.amazon.in/Animal-Farm-George-Orwell/dp/8193387643,8193387643,₹49,
"Pyjamas are Forgiving",by Twinkle Khanna,3.4,233,https://www.amazon.in/Pyjamas-are-Forgiving-Twinkle-Khanna/dp/9386228971,9386228971,₹173,
"The Monk Who Sold His Ferrari",by Robin Sharma,4.6,2921,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X,817992162X,₹179,
"Origin: Number 5 of the Robert Langdon Series",by Dan Brown,4,1184,https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756,0593078756,₹486,
"Wuthering Heights",by Emily Brontë,4.1,244,https://www.amazon.in/Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899,8172344899,₹80,
"The Complete Novels of Sherlock Holmes",by Arthur Conan Doyle,4.3,839,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312,8175994312,₹146,
"This Is Not Your Story",by Savi Sharma,4.5,2177,https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399,9386224399,₹125,
"The Fault in our Stars",by John Green,4.5,1570,https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659,0141345659,₹217,
"The Time Machine (Enriched Classics)",by H.G. Wells,4.3,216,https://www.amazon.in/Time-Machine-Enriched-Classics-ebook/dp/B004XVQ73G,B004XVQ73G,₹54.60,Kindle Edition
"The Power of your Subconscious Mind",by Joseph Murphy,4.5,5010,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962,8192910962,₹75,
"Tell Tale",by Jeffrey Archer,4.4,133,https://www.amazon.in/Tell-Tale-Jeffrey-Archer/dp/1509867767,1509867767,₹284,
"A Christmas Carol",by Charles Dickens,4.3,108,https://www.amazon.in/Christmas-Carol-Charles-Dickens/dp/8175993278,8175993278,₹69,
"Veronika Decides to Die",by Paulo Coelho,4.4,203,https://www.amazon.in/Veronika-Decides-Die-Paulo-Coelho/dp/8172235437,8172235437,₹209,
"The Great Gatsby",by F. Scott Fitzgerald,4.1,342,https://www.amazon.in/Great-Gatsby-F-Scott-Fitzgerald/dp/8172344562,8172344562,₹47,
"Man's Search for Meaning",by Viktor E Frankl,4.3,711,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244,1846041244,₹173,
"Looking for Alaska",by John Green,4.3,512,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521,0007523521,₹218,
"A Thousand Splendid Suns",by Khaled Hosseini,4.5,732,https://www.amazon.in/Thousand-Splendid-Suns-Khaled-Hosseini/dp/1408844443,1408844443,₹251,
"Her Last Wish",by Ajay K. Pandey,4.7,1010,https://www.amazon.in/Her-Last-Wish-Ajay-Pandey/dp/9382665870,9382665870,₹88,
"1984",by George Orwell,4.4,743,https://www.amazon.in/1984-George-Orwell/dp/8192910903,8192910903,₹88,
"The Immortals of Meluha (Shiva Trilogy)",by Amish,4.6,2643,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745,9380658745,₹251,
"Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...",by Ashwin Sanghi,4,472,https://www.amazon.in/Keepers-Kalachakra-Historical-Mythological-Thrillers/dp/9386850648,9386850648,₹230,
"Sense and Sensibility",by Jane Austen,4.2,94,https://www.amazon.in/Sense-Sensibility-Jane-Austen/dp/8193387651,8193387651,₹88,
"You are the Best Wife: A True Love Story",by Ajay K Pandey,4.7,2830,https://www.amazon.in/You-are-Best-Wife-Story/dp/9382665544,9382665544,₹88,
"The Origin of Species",by Charles Darwin,4.3,214,https://www.amazon.in/Origin-Species-Charles-Darwin/dp/8172344880,8172344880,₹189,
"Harappa - Curse of the Blood River",by Vineet Bajpai,4.1,680,https://www.amazon.in/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482,9352685482,₹185,
"Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...",by Amish Tripathi,4.1,4651,https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149,9385152149,₹240,
"Calling Sehmat",by Harinder Sikka,4.5,307,https://www.amazon.in/Calling-Sehmat-Harinder-Sikka/dp/0143442309,0143442309,₹164,
"The Spy",by Paulo Coelho,4,217,https://www.amazon.in/Spy-Paulo-Coelho/dp/0670089532,0670089532,₹199,
