Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Film Book: A Complete Guide to the World of Cinema (Dk)",by DK,5,5,https://www.amazon.in/Film-Book-Complete-Guide-Cinema/dp/1405363169,1405363169,₹999,Hardcover
"Making Movies (Vintage)",by Sidney Lumet,4.6,19,https://www.amazon.in/Making-Movies-Vintage-Sidney-Lumet/dp/0679756604,0679756604,₹425,Paperback
"On Directing Film",by David Mamet,3.8,17,https://www.amazon.in/Directing-Film-David-Mamet/dp/0140127224,0140127224,₹485,Paperback
"Directors' Diaries: The Road to Their First Film",by Rakesh Bakshi,4.4,48,https://www.amazon.in/Directors-Diaries-Road-Their-First/dp/9351364666,9351364666,₹315,Paperback
"The Filmmaker's Handbook",by Steven Ascher,4.6,25,https://www.amazon.in/Filmmakers-Handbook-Steven-Ascher/dp/0452297281,0452297281,₹900,Paperback
"Story: ...and how to write one",by Adam J Pestridge,4,1,https://www.amazon.in/Story-write-Adam-J-Pestridge-ebook/dp/B079QM878C,B079QM878C,₹0,Kindle Edition
"Master Shots, Vol 2: 100 Ways to Shoot Great Dialogue Scenes",by Christopher Kenworthy,4.2,7,https://www.amazon.in/Master-Shots-Vol-Dialogue-Scenes/dp/1615930558,1615930558,₹1,500,Paperback
"Five C's of Cinematography: Motion Picture Filming Techniques",by Joseph V. Mascelli,4.3,15,https://www.amazon.in/Five-Cs-Cinematography-Picture-Techniques/dp/187950541X,187950541X,₹1,399,Paperback
"Monaco: How to Read a Film",by Monaco,4.6,3,https://www.amazon.in/Monaco-How-Read-Film/dp/0195321057,0195321057,₹1,755,Paperback
"The Filmmaker's Eye: Learning (and Breaking) the Rules of Cinematic Composition",by Gustavo Mercado,4.5,2,https://www.amazon.in/Filmmakers-Eye-Learning-Cinematic-Composition/dp/0240812174,0240812174,₹1,548,Paperback
"The Movie Book: Big Ideas Simply Explained",by DK,4.4,3,https://www.amazon.in/Movie-Book-Ideas-Simply-Explained/dp/0241188024,0241188024,₹754,Hardcover
"On Film-making",by Alexander Mackendrick,5,1,https://www.amazon.in/Film-making-Alexander-Mackendrick/dp/0571211259,0571211259,₹1,171,Paperback
"In the Blink of An Eye: 2nd Edition",by Walter Murch,4.3,28,https://www.amazon.in/Blink-Eye-2nd-Walter-Murch/dp/1879505622,1879505622,₹829,Paperback
"The Anatomy of Story: 22 Steps to Becoming a Master Storyteller",by John Truby,4.3,29,https://www.amazon.in/Anatomy-Story-Becoming-Master-Storyteller/dp/0865479933,0865479933,₹796.50,Paperback
"Grammar of the Film Language",by Daniel Arijon,4.8,7,https://www.amazon.in/Grammar-Film-Language-Daniel-Arijon/dp/187950507X,187950507X,₹1,192.50,Paperback
"The Screenwriter's Workbook (Revised Edition)",by Syd Field,4.8,9,https://www.amazon.in/Screenwriters-Workbook-Revised-Syd-Field/dp/0385339046,0385339046,₹599,Paperback
"Film Directing Shot by Shot: Visualizing from Concept to Screen (Michael Wiese...",by Steve Katz,3.9,13,https://www.amazon.in/Film-Directing-Shot-Visualizing-Productions/dp/0941188108,0941188108,₹1,317,Paperback
"The Ultimate Guide To Filmmaking: How To Direct A Movie From Script To Screen...",by George K.,3.7,7,https://www.amazon.in/Ultimate-Guide-Filmmaking-Techniques-Direction-ebook/dp/B00MFLUFHK,B00MFLUFHK,₹217.12,Kindle Edition
"Making A Career In The Film Industry",by Pooja Gautam,3.1,7,https://www.amazon.in/Making-Career-Industry-Pooja-Gautam/dp/B00JLD6RLI,B00JLD6RLI,₹165,Paperback
"Our Films Their Films (Disha)",by Ray,4.7,14,https://www.amazon.in/Our-Films-Their-Disha/dp/8125015655,8125015655,₹371,Paperback
"Something Like An Autobiography (Vintage)",by Akira Kurosawa,4.5,10,https://www.amazon.in/Something-Autobiography-Vintage-Akira-Kurosawa/dp/0394714393,0394714393,₹539,Paperback
"Film India Economic Edition",by Ramesh Malhotra,4.5,2,https://www.amazon.in/Film-India-Economic-Ramesh-Malhotra/dp/B019O53LF2,B019O53LF2,₹1,000,Hardcover
"Deep Focus: Reflections on Cinema",by Satyajit Ray,4.5,30,https://www.amazon.in/Deep-Focus-Reflections-Satyajit-Ray/dp/9351360016,9351360016,₹188,Paperback
"Speaking of Films",by Satyajit Ray,4.4,27,https://www.amazon.in/Speaking-Films-Satyajit-Ray/dp/0144000261,0144000261,₹260,Paperback
"Film Directing Fundamentals: See Your Film Before Shooting",by Nicholas T. Proferes,4.3,21,https://www.amazon.in/Film-Directing-Fundamentals-Before-Shooting/dp/1138052914,1138052914,₹2,599,Paperback
"Cinematography: Theory and Practice: Image Making for Cinematographers and Directors...",by Blain Brown - Import,4.8,5,https://www.amazon.in/Cinematography-Theory-Practice-Cinematographers-Directors/dp/1138940925,1138940925,₹2,999,Paperback
"Film Lighting: Talks with Hollywood's Cinematographers and Gaffers",by Kris Malkiewicz,5,6,https://www.amazon.in/Film-Lighting-Hollywoods-Cinematographers-Gaffers/dp/1439169063,1439169063,₹650,Paperback
"Pixar Storytelling: Rules for Effective Storytelling Based on Pixar’s Greatest...",by Dean Movshovitz,5,2,https://www.amazon.in/Pixar-Storytelling-Effective-Pixars-Greatest-ebook/dp/B06XHBRG2L,B06XHBRG2L,₹449,Kindle Edition
"Nineteen Eighty-Four",by George Orwell - Original recording,4.4,743,https://www.amazon.in/Nineteen-Eighty-Four/dp/B07B62XT5D,B07B62XT5D,₹0,Audible Audiobook
"Screenplay: The Foundations of Screenwriting",by Syd Field,4.3,72,https://www.amazon.in/Screenplay-Foundations-Screenwriting-Syd-Field/dp/0385339038,0385339038,,Paperback
"World Cinema: 100 Films - 100 Stories - 100 Nations - 100 Cultures -100 Directors...",by Raj Mariasusai,3,1,https://www.amazon.in/World-Cinema-Stories-Cultures-Directors/dp/9384544744,9384544744,₹247,Paperback
"Tamasha: THE ORIGINAL SCREENPLAY",by Imtiaz Ali,,,https://www.amazon.in/Tamasha-ORIGINAL-SCREENPLAY-Imtiaz-Ali-ebook/dp/B07BZKRNXM,B07BZKRNXM,₹195,Kindle Edition
"The Girl With the Dragon Tattoo",by Stieg Larsson - Unabridged,4.4,106,https://www.amazon.in/Girl-Dragon-Tattoo/dp/B079MG13M1,B079MG13M1,₹0,Audible Audiobook
"The Great Movies",by Roger Ebert,5,2,https://www.amazon.in/Great-Movies-Roger-Ebert/dp/0767910389,0767910389,₹555,Paperback
"Film India Directory Jumbo Edition with CD",by Ramesh Malhotra,,,https://www.amazon.in/Film-India-Directory-Jumbo-CD/dp/B019O53JZY,B019O53JZY,₹1,500,Hardcover
"FILMMAKING 101: Ten Essential Lessons for the Noob Filmmaker (Film School Online...",by Film School Online!,5,1,https://www.amazon.in/FILMMAKING-101-Essential-Lessons-Filmmaker-ebook/dp/B0056J0Z9G,B0056J0Z9G,₹66,Kindle Edition
"The Demonologist: The Extraordinary Career of Ed and Lorraine Warren - The True...",by Gerald Brittle - Unabridged,4.7,23,https://www.amazon.in/Demonologist-Extraordinary-Paranormal-Investigators-Conjuring/dp/B079TN1Y5L,B079TN1Y5L,₹0,Audible Audiobook
"The Travel Book: A Journey Through Every Country in the World (Lonely Planet)",by Lonely Planet,3.4,5,https://www.amazon.in/Travel-Book-Journey-Through-Country-ebook/dp/B01LX1VNMN,B01LX1VNMN,₹1,677.69,Kindle Edition
"Nocturnal Animals: Official Film Tie-in Originally Published as Tony and Susan",by Austin Wright - Unabridged,3,2,https://www.amazon.in/Nocturnal-Animals-Tie-Originally-Published/dp/B07GCQNF8D,B07GCQNF8D,₹0,Audible Audiobook
"The Help",by Kathryn Stockett - Unabridged,4.6,68,https://www.amazon.in/The-Help/dp/B079P548LZ,B079P548LZ,₹0,Audible Audiobook
"Childhood Days",by Satyajit Ray - Unabridged,5,1,https://www.amazon.in/Childhood-Days/dp/B07LCR2525,B07LCR2525,₹0,Audible Audiobook
"Unsuitable Boy",by Karan Johar - Unabridged,3.9,577,https://www.amazon.in/Unsuitable-Boy/dp/B07L6MG44V,B07L6MG44V,₹0,Audible Audiobook
"Sholay: The Making of a Classic",by Anupama Chopra,4.6,35,https://www.amazon.in/Sholay-Making-Classic-Anupama-Chopra/dp/014029970X,014029970X,₹255,Paperback
