Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"General Knowledge",by Dr. Binay Karna,4.4,2038,https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540,9384761540,₹156,
"General Knowledge 2019",by Manohar Pandey,4.2,517,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307,9312147307,₹19,
"General Knowledge 2019",by Manohar Pandey,4.1,243,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X,931214734X,₹105,
"Objective General Knowledge",by Sanjiv Kumar,4,244,https://www.amazon.in/Objective-General-Knowledge-Sanjiv-Kumar/dp/8192933547,8192933547,₹256,
"Current Affairs Yearly  2019",by Arihant Experts,5,3,https://www.amazon.in/Current-Affairs-Yearly-Arihant-Experts/dp/9313169886,9313169886,₹155,
"General Knowledge for All  2019",by RPH Editorial Board,4,115,https://www.amazon.in/General-Knowledge-2019-Editorial-Board/dp/9387604187,9387604187,₹20,
"General Knowledge 2019",by Tarun Goyal,4.2,40,https://www.amazon.in/General-Knowledge-2019-Tarun-Goyal/dp/8193391144,8193391144,₹182,
"General Knowledge: Everything an Educated Person is Expected To Be Familiar With",by VS Editorial Board,5,2,https://www.amazon.in/General-Knowledge-Everything-Educated-Expected/dp/9357941363,9357941363,₹288,
"Children's Encyclopedia - Scientists, Inventions And Discoveries: Familiarises...",by VS Editorial Board,4.4,46,https://www.amazon.in/Childrens-Encyclopedia-Scientists-Discoveries-Familiarises/dp/9350570394,9350570394,₹185,
"General Knowledge 2019",by Manohar Pandey,4,49,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147323,9312147323,₹62,
"General Knowledge with General Science Lucent 2018 - 2019 Latest Edition by Competion...",by Dr. Binay Karna,4.4,2036,https://www.amazon.in/General-Knowledge-Science-Lucent-2018/dp/B07DKC66LW,B07DKC66LW,₹402,
"General Knowledge Aptitude and Logical Thinking for AIIMS",by Sunil Nain,4.5,57,https://www.amazon.in/General-Knowledge-Aptitude-Logical-Thinking/dp/9387351416,9387351416,₹116,
"Student's Encyclopedia of General Knowledge (General Press)",by Azeem Ahmad Khan,4.1,189,https://www.amazon.in/Students-Encyclopedia-General-Knowledge-Azeem/dp/9380914199,9380914199,₹131,
"Disha's Rapid General Knowledge 2019 for Competitive Exams",by Disha Experts,3.9,63,https://www.amazon.in/Dishas-Rapid-General-Knowledge-Competitive/dp/9387421457,9387421457,₹17,
"Andhra Pradesh General Knowledge",by RPH Editorial Board,4.5,2,https://www.amazon.in/Andhra-Pradesh-General-Knowledge-Editorial/dp/9387604055,9387604055,₹81,
"Quick General Knowledge 2018 with Current Affairs Update",by Disha Experts,3.4,90,https://www.amazon.in/General-Knowledge-Current-Affairs-Update/dp/9386323567,9386323567,₹37,
"Lucent's Samanya Gyan",by Lucent,4.4,368,https://www.amazon.in/Lucents-Samanya-Gyan-Lucent/dp/9384761583,9384761583,₹108,
"Objective General Knowledge Chapter-Wise Collection of 2750+Q",by Manohar Pandey,3.5,79,https://www.amazon.in/Objective-General-Knowledge-Chapter-Wise-Collection/dp/935094412X,935094412X,₹97,
"General Knowledge Capsule 2019  with Current Affairs Update",by Disha Experts,3.6,14,https://www.amazon.in/General-Knowledge-Capsule-Current-Affairs/dp/9387421805,9387421805,₹124,
"General Knowledge & Awareness 2018 for RRB Railway Recruitment Exams (NTPC/ALP...",by Disha Experts,3.6,59,https://www.amazon.in/General-Knowledge-Awareness-Recruitment-Technical/dp/9386629895,9386629895,₹114,
"14000+ Objective Questions - General Studies",by Manohar Pandey,3.5,201,https://www.amazon.in/14000-Objective-Questions-General-Studies/dp/9386179067,9386179067,₹277,
"International General Knowledge Olympiad (IGKO) Workbook - Class 1",by Raghav Singh,4.5,35,https://www.amazon.in/International-General-Knowledge-Olympiad-Workbook/dp/9387747115,9387747115,₹44,
"Space - My Knowledge Book",by Pegasus Team,3.8,19,https://www.amazon.in/Space-Knowledge-Book-Pegasus-Team/dp/8131914283,8131914283,₹54,
"General Knowledge Book by Lucent",by Vinay Kumar,3.2,5,https://www.amazon.in/General-Knowledge-Lucent-Vinay-Kumar/dp/B01BMDF9EK,B01BMDF9EK,₹179,
