Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Don't Lose Your Mind, Lose Your Weight",by Rujuta Diwekar,4.5,1008.0,https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053,8184001053,₹143,Paperback
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,by Gaur Gopal Das,4.7,897.0,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,0143442295,₹150,Paperback
Everyday Ayurveda : Daily Habits That Can Change Your Life,by Dr Bhaswati Bhattacharya,4.3,89.0,https://www.amazon.in/Everyday-Ayurveda-Daily-Habits-Change/dp/8184004575,8184004575,₹263,Paperback
The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,4.8,334.0,https://www.amazon.in/Wellness-Sense-Practical-Emotional-Ayurvedic/dp/9351772624,9351772624,₹178,Paperback
Ayurveda 101: Ayurveda Basics for The Absolute Beginner [Achieve Natural Health...,by Advait,2.8,28.0,https://www.amazon.in/Ayurveda-101-Absolute-Beginner-Achieve-ebook/dp/B00QIACK9U,B00QIACK9U,₹0,Kindle Edition
Indian Superfoods: Change the Way You Eat,by Rujuta Diwekar,4.1,305.0,https://www.amazon.in/Indian-Superfoods-Change-Way-You/dp/8193237234,8193237234,₹269,Paperback
A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,by Isha Foundation,4.3,180.0,https://www.amazon.in/Taste-Well-Being-Sadhgurus-Insights-Gastronomics/dp/9351363783,9351363783,₹172,Paperback
The Great Indian Diet,by Shilpa Shetty Kundra,4.0,380.0,https://www.amazon.in/Great-Indian-Shilpa-Shetty-Kundra/dp/8184007485,8184007485,₹161,Paperback
Gut: The Inside Story of Our Body's Most Under-Rated Organ,by Giulia Enders,4.4,49.0,https://www.amazon.in/Gut-Inside-Story-Bodys-Under-Rated/dp/938528861X,938528861X,₹315,Paperback
"Nudge: Improving Decisions About Health, Wealth and Happiness",by Richard H Thaler,4.1,63.0,https://www.amazon.in/Nudge-Improving-Decisions-Health-Happiness/dp/0141040017,0141040017,₹434,Paperback
"Bodybuilding: Building the perfect Body With Simple Hints and Tips (muscle, fitness...",by Daniel D'apollonio,3.4,16.0,https://www.amazon.in/Bodybuilding-Building-building-beginners-training-ebook/dp/B01N6F1QX9,B01N6F1QX9,₹0,Kindle Edition
New Saraswati Health and Physical Education Class 12: Educational Book,by V.K. Sharma,4.4,37.0,https://www.amazon.in/Saraswati-Health-Physical-Education-Class/dp/9352721349,9352721349,₹280,Perfect Paperback
