Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Sapiens: A Brief History of Humankind,by Yuval Noah Harari,4.6,1634.0,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085,0099590085,₹249,
History of Modern India,by Bipan Chandra,4.0,843.0,https://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849,8125036849,₹270,
Ancient and Medieval India,by Poonam Dalal Dahiya,4.5,330.0,https://www.amazon.in/Ancient-Medieval-India-Poonam-Dahiya/dp/9352603451,9352603451,₹342,
A Brief History of Modern India (2018-2019) Session by Spectrum Book,by Spectrum Books Pvt. Ltd.,4.4,221.0,https://www.amazon.in/History-Modern-2018-2019-Session-Spectrum/dp/8179306887,8179306887,₹222,
A History of Medieval India,by Chandra Satish,4.1,437.0,https://www.amazon.in/History-Medieval-India-Chandra-Satish/dp/8125032266,8125032266,₹269,
A History of Ancient and Early Medieval India: From the Stone Age to the 12th...,by Upinder Singh,4.4,247.0,https://www.amazon.in/History-Ancient-Early-Medieval-India/dp/8131716775,8131716775,₹504,
World History,by Krishna Reddy,4.1,43.0,https://www.amazon.in/World-History-Krishna-Reddy/dp/9387067556,9387067556,₹238,
Adolf Hitler: A Life From Beginning to End (World War 2 Biographies Book 1),by Hourly History,4.1,593.0,https://www.amazon.in/Adolf-Hitler-Beginning-World-Biography-ebook/dp/B01M2Y9QZE,B01M2Y9QZE,₹199,Kindle Edition
A Brief History of Time: From Big Bang to Black Holes,by Stephen Hawking,4.4,779.0,https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211,0553175211,₹199,
India's Ancient Past,by R.S. Sharma,4.3,467.0,https://www.amazon.in/Indias-Ancient-Past-2019-Sharma/dp/019568785X,019568785X,₹198,
Medieval India Old Ncert History Text Book 1990 By Satish Chandra,,3.4,41.0,https://www.amazon.in/Medieval-India-History-Satish-Chandra/dp/B073YFMR2F,B073YFMR2F,₹90,
The Discovery of India,by Jawaharlal Nehru,4.4,224.0,https://www.amazon.in/Discovery-India-Jawaharlal-Nehru/dp/0143031031,0143031031,₹342,
World War 1: A History From Beginning to End,by Henry Freeman,4.2,148.0,https://www.amazon.in/World-War-History-Beginning-End-ebook/dp/B01M03OKDA,B01M03OKDA,₹0,Kindle Edition
TAMILNADU HISTORY BOOKS (CLASS XI & XII) SET OF 2 BOOKS (PHOTOCOPY ONLY),by VAJIRAM & RAVI,4.6,3.0,https://www.amazon.in/TAMILNADU-HISTORY-BOOKS-CLASS-PHOTOCOPY/dp/B07K1KJCVM,B07K1KJCVM,₹100,
Homo Deus: A Brief History of Tomorrow,by Yuval Noah Harari,4.5,304.0,https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931,1784703931,₹344,
India After Gandhi: The History of the World's Largest Democracy,by Ramachandra Guha,4.5,228.0,https://www.amazon.in/India-After-Gandhi-History-Democracy/dp/9382616977,9382616977,₹429,
Modern Indian History: For Civil Services Preliminary and Main Examinations,by Sonali Bansal,4.4,94.0,https://www.amazon.in/Modern-Indian-History-Preliminary-Examinations/dp/9353160235,9353160235,₹473,
modern india old nCERT history textbook 1990 by bipin chandra,,3.2,55.0,https://www.amazon.in/modern-india-history-textbook-chandra/dp/B073YFJ4BT,B073YFJ4BT,₹65,
The Incredible History of India's Geography,by Sanjeev Sanyal,4.4,110.0,https://www.amazon.in/Incredible-History-Indias-Geography/dp/0143333666,0143333666,₹140,
Cold War: A History From Beginning to End,by Hourly History,4.0,25.0,https://www.amazon.in/Cold-War-History-Beginning-End-ebook/dp/B01N77XCBI,B01N77XCBI,₹0,Kindle Edition
Our Pasts Part - 2 Textbook in History for Class - 7  - 760,by NCERT,3.6,48.0,https://www.amazon.in/Our-Pasts-Part-Textbook-History/dp/8174507248,8174507248,₹55,
India's Struggle for Independence: 1857-1947,by Bipan Chandra,4.3,855.0,https://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819,0140107819,₹200,
A History of South India: From Prehistoric Times to the Fall of Vijayanagar,by Sastri K.A.Nilakanta; R.Champakalakshmi,4.1,29.0,https://www.amazon.in/History-South-India-Prehistoric-Vijayanagar/dp/0195606868,0195606868,₹380,
Indian History,by Krishna Reddy,4.1,118.0,https://www.amazon.in/Indian-History-Krishna-Reddy/dp/9352606620,9352606620,₹504,
India and The Contemporary World - I TextBook History for Class - 9  - 966,by NCERT,3.5,53.0,https://www.amazon.in/India-Contemporary-World-TextBook-History/dp/8174505369,8174505369,₹92,
Leonardo da Vinci: A Life From Beginning to End (Biographies of Painters Book 1),by Hourly History,4.3,143.0,https://www.amazon.in/Leonardo-Vinci-Beginning-Biographies-Painters-ebook/dp/B01MSL98U2,B01MSL98U2,₹0,Kindle Edition
