Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Home Cooking with Hema Subramanian,by Hema Subramanian,3.6,26.0,https://www.amazon.in/Home-Cooking-Hema-Subramanian/dp/8193539605,8193539605,,Paperback
TGT-PGT--GIC-KVS-RPS... Home-Science Solved papers & Practice Book,by yct,5.0,1.0,https://www.amazon.in/TGT-PGT-GIC-KVS-RPSC-DSSSB-NVS-JSSC-Home-Science-Solved-papers-Practice/dp/B078VLXFF4,B078VLXFF4,₹99,Paperback
Saving Parker (A Forever Home Novel Book 3),by Dan Walsh,5.0,1.0,https://www.amazon.in/Saving-Parker-Forever-Home-Novel-ebook/dp/B076G5DYVC,B076G5DYVC,₹365,Kindle Edition
The Complete Book Of Ayurvedic Home Remedies: A comprehensive guide to the ancient...,by Vasant Lad,4.5,77.0,https://www.amazon.in/Complete-Book-Ayurvedic-Home-Remedies/dp/0749927658,0749927658,₹703,Paperback
"The Life-Changing Magic of Tidying: A Simple, Effective Way to Banish Clutter...",by Marie Kondo - Unabridged,4.2,94.0,https://www.amazon.in/Life-Changing-Magic-Tidying-Effective-Clutter/dp/B079X1RQGV,B079X1RQGV,₹0,Audible Audiobook
"Social Media Marketing for Business 2019: Facebook, Instagram, YouTube, Twitter...",by Steven Sparrow,4.7,40.0,https://www.amazon.in/Social-Media-Marketing-Business-2019-ebook/dp/B07MFW73QF,B07MFW73QF,₹211,Kindle Edition
The Design of Everyday Things: Revised and Expanded Edition,by Don Norman - Unabridged,4.6,30.0,https://www.amazon.in/Design-Everyday-Things-Revised-Expanded/dp/B07L5SXBQP,B07L5SXBQP,₹0,Audible Audiobook
Dangerous Minds: Eight Riveting Profiles of Homegrown Terrorists,by S. Hussain Zaidi - Unabridged,4.4,44.0,https://www.amazon.in/Dangerous-Minds-Riveting-Homegrown-Terrorists/dp/B07M9CG1PY,B07M9CG1PY,₹0,Audible Audiobook
My First Library: Boxset of 10 Board Books for Kids,by Wonder House Books Editorial,4.6,107.0,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262,9387779262,₹499,Board book
"Solar Power Demystified: The Beginners Guide To Solar Power, Energy Independence...",by Lacho Pop MSE,3.5,64.0,https://www.amazon.in/Solar-Power-Demystified-Beginners-Independence-ebook/dp/B00UC9WWAK,B00UC9WWAK,₹0,Kindle Edition
Take Me Home: The Inspiring Stories of 20 Entrepreneurs from Small Town India...,by Rashmi Bansal - Unabridged,4.2,240.0,https://www.amazon.in/Take-Me-Home-Inspiring-Entrepreneurs/dp/B01N7T9OOI,B01N7T9OOI,₹0,Audible Audiobook
"Sehaz Artworks 'Baby Love' Wood Pasted Photo Album (22 cm x 16 cm x 4 cm, Brown)",by Sehaz Artworks,4.1,817.0,https://www.amazon.in/Sehaz-Artworks-Pasted-Photo-Album/dp/B01N9HW8YH,B01N9HW8YH,₹549,
"The Minimalist Home: A Room-by-Room Guide to a Decluttered, Refocused Life",by Joshua Becker - Unabridged,,,https://www.amazon.in/Minimalist-Home-Room-Room-Decluttered/dp/B07KWD78WQ,B07KWD78WQ,₹0,Audible Audiobook
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern...,by Wonder House Books Editorial,4.5,89.0,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319,9387779319,₹99,Paperback
Anne -Kee Book Safe Style Money Cash Locker Jewellery Home Hidden Safe Box Dictionary...,by anne -kee,4.0,40.0,https://www.amazon.in/Locker-Jewellery-Hidden-Dictionary-Random/dp/B01E034CLU,B01E034CLU,₹690,
Facing Home (Over the Edge Book 1),by Danielle Stewart,4.7,97.0,https://www.amazon.in/Facing-Home-Over-Edge-Book-ebook/dp/B00LU7K1PQ,B00LU7K1PQ,₹0,Kindle Edition
Spark Joy,by Marie Kondo - Unabridged,4.6,23.0,https://www.amazon.in/Spark-Joy/dp/B071SF648H,B071SF648H,₹0,Audible Audiobook
Home Fire,by Kamila Shamsie - Unabridged,4.1,18.0,https://www.amazon.in/Home-Fire/dp/B078J98BWM,B078J98BWM,₹0,Audible Audiobook
