Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Dracula",by Bram Stoker,4.2,156,https://www.amazon.in/Dracula-Bram-Stoker/dp/8172344775,8172344775,₹99,
"The Green Room",by Nag Mani,4.3,120,https://www.amazon.in/Green-Room-Nag-Mani/dp/935206383X,935206383X,₹159,
"Twice the Chill: Two SHORT Horror Stories",by Rachel A Olson,3.5,23,https://www.amazon.in/Twice-Chill-SHORT-Horror-Stories-ebook/dp/B01M5E3WF9,B01M5E3WF9,₹0,Kindle Edition
"The Shining",by Stephen King,4.4,97,https://www.amazon.in/Shining-Stephen-King/dp/1444720724,1444720724,₹295,
"Asylum",by Madeleine Roux,4.2,14,https://www.amazon.in/Asylum-Madeleine-Roux/dp/0062220977,0062220977,₹359,
"Welcome to Dead House (Goosebumps - 1)",by R.L. Stine,4.8,92,https://www.amazon.in/Welcome-Dead-House-Goosebumps-1/dp/0590453653,0590453653,,
"#Horror",by Various,4.2,10,https://www.amazon.in/Horror-Various/dp/9352754956,9352754956,₹185,
"It",by Stephen King,4.4,113,https://www.amazon.in/Stephen-King/dp/1444707868,1444707868,₹224,
"Thirteen Reasons Why (TV Tie-in)",by Jay Asher,4.3,423,https://www.amazon.in/Thirteen-Reasons-Why-TV-Tie/dp/0141387777,0141387777,₹236,
"Right Behind You",by Neil D'Silva,4.6,16,https://www.amazon.in/Right-Behind-You-Neil-DSilva/dp/B077N6G1FP,B077N6G1FP,₹125,
"Bloody Mary",by Drac Von Stoller,2.8,37,https://www.amazon.in/Bloody-Mary-Drac-Von-Stoller-ebook/dp/B0095PNP08,B0095PNP08,₹0,Kindle Edition
"The Girl Who Knew Too Much: What if the Loved One You Lost Were to Come Back?",by Vikrant Khanna,4.1,245,https://www.amazon.in/Girl-Who-Knew-Too-Much/dp/0143439944,0143439944,₹158,
"Almost Dark: A collection of 4 stories",by Chandradip Paitandi,4.6,30,https://www.amazon.in/Almost-Dark-collection-4-stories/dp/1947293990,1947293990,₹129,
"A Face in the Dark and Other Hauntings: Collected Stories of the Supernatural",by Ruskin Bond,4.2,66,https://www.amazon.in/Face-Dark-Other-Hauntings-Supernatural/dp/0143067869,0143067869,₹187,
"Cat and Mouse in a Haunted House: 03 Geronimo Stilton",by Geronimo Stilton,4.6,49,https://www.amazon.in/Cat-Mouse-Haunted-House-Geronimo/dp/0439559650,0439559650,₹186,
"Ghost Stories: Scary Ghosts & Paranormal Horror Short Stories Anthology (Scare...",by Ron Ripley,3.6,21,https://www.amazon.in/Ghost-Stories-Ghosts-Paranormal-Anthology-ebook/dp/B01HL82XEE,B01HL82XEE,₹316,Kindle Edition
"The Power of Your Subconscious Mind: Unlock Your Master Key to Success",by Joseph Murphy,4.5,5011,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,
"Goosebumps Most Wanted #04: The Haunter",by R L Stine,4.7,69,https://www.amazon.in/Goosebumps-Most-Wanted-04-Haunter/dp/9386106337,9386106337,₹185,
"The Loney: Horror",by Andrew Michael Hurley,5,2,https://www.amazon.in/Loney-Horror-Andrew-Michael-Hurley/dp/1473619858,1473619858,₹309,
