Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
Born a Crime: Stories from a South African Childhood,by Trevor Noah,4.8,143.0,https://www.amazon.in/Born-Crime-Stories-African-Childhood/dp/1473635306,1473635306,₹300,Paperback
Mrs Funnybones,by Twinkle Khanna,4.1,1483.0,https://www.amazon.in/Mrs-Funnybones-Twinkle-Khanna/dp/0143424467,0143424467,₹180,Paperback
Adulthood Is a Myth: A Sarah's Scribbles Collection,by Sarah Andersen,4.6,66.0,https://www.amazon.in/Adulthood-Myth-Sarahs-Scribbles-Collection/dp/1449474195,1449474195,₹450,Paperback
Tales of Humour: 5 in 1 (Amar Chitra Katha),by Anant Pai,4.5,27.0,https://www.amazon.in/Tales-Humour-Amar-Chitra-Katha/dp/8190599089,8190599089,₹218,Hardcover
Book of Humour,by Ruskin Bond,4.4,25.0,https://www.amazon.in/Book-Humour-Ruskin-Bond/dp/014306343X,014306343X,₹260,Paperback
Why Men And Women Can't Be Friends: Honest Relationship Advice for Women (Educated...,by Oliver Markus Malloy,4.1,103.0,https://www.amazon.in/Why-Men-Women-Cant-Friends-ebook/dp/B07734FS34,B07734FS34,₹99,Kindle Edition
50 Cups of Coffee: The Woes and Throes of Finding Mr Right,by Khushnuma Daruwala,3.9,51.0,https://www.amazon.in/50-Cups-Coffee-Throes-Finding/dp/0143428209,0143428209,₹159,Paperback
How to Be a Bawse: A Guide to Conquering Life,by Lilly Singh,4.7,832.0,https://www.amazon.in/How-Be-Bawse-Guide-Conquering/dp/0718186915,0718186915,₹373,Paperback
The Perils Of Being Moderately Famous,by Soha Ali Khan,4.0,161.0,https://www.amazon.in/Perils-Being-Moderately-Famous/dp/0143439960,0143439960,₹180,Paperback
Gems from Warren Buffett - Wit and Wisdom from 34 Years of Letters to Shareholders,by Mark Gavagan,4.2,73.0,https://www.amazon.in/Gems-Warren-Buffett-Letters-Shareholders-ebook/dp/B008G6S37M,B008G6S37M,₹0,Kindle Edition
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty",by Murty Sudha,4.6,48.0,https://www.amazon.in/Here-There-Everywhere-Best-Loved-Stories/dp/0143444344,0143444344,₹146,Paperback
Tom Gates Book #1: The Brilliant World of Tom Gates,by Tom Gates,4.6,97.0,https://www.amazon.in/Tom-Gates-Book-Brilliant-World/dp/935103299X,935103299X,₹295,Paperback
The Girl in Room 105,by Chetan Bhagat,4.1,1542.0,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,Paperback
A House for Mr. Misra,by Jaishree Misra,4.3,11.0,https://www.amazon.in/House-Mr-Misra-Jaishree/dp/9386850486,9386850486,₹100,Hardcover
Pyjamas are Forgiving,by Twinkle Khanna,3.4,233.0,https://www.amazon.in/Pyjamas-are-Forgiving-Twinkle-Khanna/dp/9386228971,9386228971,₹170,Paperback
Khushwant Singh on Humour: Selected Writings,by Khushwant Singh - Import,5.0,1.0,https://www.amazon.in/Khushwant-Singh-Humour-Selected-Writings/dp/9353040159,9353040159,₹143,Paperback
LOL: Funny Jokes and Riddles for Kids (Laugh Out Loud Book 1),by Johnny B. Laughing,3.6,41.0,https://www.amazon.in/LOL-Funny-Jokes-Riddles-Laugh-ebook/dp/B00UTZG8S4,B00UTZG8S4,₹0,Kindle Edition
Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13),by Jeff Kinney,4.7,297.0,https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204,0141378204,₹248,Hardcover
Every Man in His Humour,by Ben Jonson,4.7,3.0,https://www.amazon.in/Every-Man-His-Humour-Jonson-ebook/dp/B004TOXX0M,B004TOXX0M,₹0,Kindle Edition
The Subtle Art of Not Giving a F*ck,by Mark Manson,4.3,1180.0,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549,0062641549,₹293,Paperback
HUMOROUS HISTORY: An Illustrated Collection Of Wit & Irony From The Past,by A. G. Mogan,3.4,7.0,https://www.amazon.in/HUMOROUS-HISTORY-Illustrated-Collection-Irony-ebook/dp/B077M44MHP,B077M44MHP,₹140,Kindle Edition
A Girl to Remember,by Ajay K Pandey,4.7,217.0,https://www.amazon.in/Girl-Remember-Ajay-K-Pandey/dp/9387022390,9387022390,₹98,Paperback
The Hitchhiker's Guide to the Galaxy Omnibus: A Trilogy in Five Parts (Hitchhikers...,by Douglas Adams,4.1,154.0,https://www.amazon.in/Hitchhikers-Guide-Galaxy-Omnibus-Trilogy/dp/1509852794,1509852794,₹510,Paperback
