Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Girl in Room 105",by Chetan Bhagat,4.1,1540,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469,1542040469,₹125,Paperback
"History of Modern India",by Bipan Chandra,4,849,https://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849,8125036849,₹230,Paperback
"Indian Tales",by Rudyard Kipling,3.9,91,https://www.amazon.in/Indian-Tales-Rudyard-Kipling-ebook/dp/B00847MSZQ,B00847MSZQ,₹0,Kindle Edition
"Indian Polity 5th Edition",by M. Laxmikanth,4.5,2965,https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X,935260363X,₹426,Paperback
"Life is What You Make It",by Preeti Shenoy,4,2866,https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300,9380349300,₹86,Paperback
"India's Ancient Past",by R.S. Sharma,4.3,468,https://www.amazon.in/Indias-Ancient-Past-2019-Sharma/dp/019568785X,019568785X,₹197,Paperback
"One Indian Girl",by Chetan Bhagat,3.6,4950,https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147,8129142147,₹112,Paperback
"Her Last Missed Calls",by A. K. Raj,3.9,61,https://www.amazon.in/Her-Last-Missed-Calls-Raj-ebook/dp/B0723CPCVT,B0723CPCVT,₹0,Kindle Edition
"Train to Pakistan",by Khushwant Singh,4.2,550,https://www.amazon.in/Train-Pakistan-Khushwant-Singh/dp/0143065882,0143065882,₹144,Paperback
"This Is Not Your Story",by Savi Sharma,4.5,2177,https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399,9386224399,₹100,Paperback
"Indian Superfoods: Change the Way You Eat",by Rujuta Diwekar,4.1,305,https://www.amazon.in/Indian-Superfoods-Change-Way-You/dp/8193237234,8193237234,₹269,Paperback
"The Great Indian Novel",by Shashi Tharoor,4.1,82,https://www.amazon.in/Great-Indian-Novel-Shashi-Tharoor/dp/0143420089,0143420089,₹299,Paperback
"The Argumentative Indian: Writings on Indian History, Culture and Identity",by Amartya Sen,4,134,https://www.amazon.in/Argumentative-Indian-Writings-History-Identity/dp/0141012110,0141012110,₹293,Paperback
"A History of Indian Philosophy, Volume 1",by Surendranath Dasgupta,3.8,8,https://www.amazon.in/History-Indian-Philosophy-1-ebook/dp/B0084B4RYM,B0084B4RYM,₹0,Kindle Edition
"Indian Art and Culture",by Nitin Singhania,4.5,391,https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548,9387067548,₹412,Paperback
"Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...",by Ashwin Sanghi,4,472,https://www.amazon.in/Keepers-Kalachakra-Historical-Mythological-Thrillers-ebook/dp/B077XYQLP1,B077XYQLP1,₹218.50,Kindle Edition
