Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"internet of Things: A Hands-On Approach",by Arsheep Bahga,4.3,29,https://www.amazon.in/internet-Things-Hands-Arsheep-Bahga/dp/8173719543,8173719543,₹550,Paperback
"How The Internet Works",by Gralla,4.6,5,https://www.amazon.in/How-Internet-Works-Gralla/dp/8131788156,8131788156,₹472.23,Paperback
"Internet of Things for Architects: Architecting IoT solutions by implementing...",by Perry Lea - Import,4.3,3,https://www.amazon.in/Internet-Things-Architects-communication-infrastructure/dp/1788470591,1788470591,₹1,198,Paperback
"Rethinking the Internet of Things: A Scalable Approach to Connecting Everything",by Francis daCosta,4.7,4,https://www.amazon.in/Rethinking-Internet-Things-Connecting-Everything-ebook/dp/B00I0R6Q7Q,B00I0R6Q7Q,₹0,Kindle Edition
"Subscribed",by Tien Tzuo - Unabridged,4.3,9,https://www.amazon.in/Subscribed/dp/B07DJT2X52,B07DJT2X52,₹0,Audible Audiobook
"The Design of Everyday Things: Revised and Expanded Edition",by Don Norman - Unabridged,4.6,30,https://www.amazon.in/Design-Everyday-Things-Revised-Expanded/dp/B07L5SXBQP,B07L5SXBQP,₹0,Audible Audiobook
"Master Your Time, Master Your Life [Russian Edition]: The Breakthrough System...",by Brian Tracy - Unabridged,4.3,35,https://www.amazon.in/Master-Your-Time-Life-Russian/dp/B071G99KYN,B071G99KYN,₹0,Audible Audiobook
"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest,...",by Gundi Gabrielle,3,1,https://www.amazon.in/Social-Media-Marketing-when-have-ebook/dp/B06XJ9MZVQ,B06XJ9MZVQ,₹49,Kindle Edition
"The Victorian Internet: The Remarkable Story of the Telegraph and the Nineteenth...",by Tom Standage - Unabridged,5,1,https://www.amazon.in/Victorian-Internet-Remarkable-Nineteenth-line/dp/B01NCXOZOB,B01NCXOZOB,₹0,Audible Audiobook
"Google Adwords - An Introduction: The Ultimate Guide To The Many Opportunities...",by James Lynch,4.2,49,https://www.amazon.in/Google-Adwords-Introduction-Opportunities-Professional-ebook/dp/B011ING93O,B011ING93O,₹0,Kindle Edition
"The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be...",by Kevin Mitnick - Unabridged,5,4,https://www.amazon.in/Art-Invisibility-Worlds-Teaches-Brother/dp/B01N80UK02,B01N80UK02,₹0,Audible Audiobook
"The Interpretation of Dreams [Russian Edition]",by Sigmund Freud - Unabridged,4.5,23,https://www.amazon.in/Interpretation-Dreams-Russian/dp/B07JFPKVPX,B07JFPKVPX,₹0,Audible Audiobook
"The Business Blockchain: Promise, Practice, and Application of the Next Internet...",by William Mougayar - Unabridged,3.6,9,https://www.amazon.in/Business-Blockchain-Practice-Application-Technology/dp/B079DFGSZ9,B079DFGSZ9,₹0,Audible Audiobook
"Awaken the Giant Within [Russian Edition]: How to Take Immediate Control of Your...",by Anthony Robbins - Unabridged,4.5,166,https://www.amazon.in/Awaken-Giant-Within-Russian-Immediate/dp/B079R57YRG,B079R57YRG,₹0,Audible Audiobook
"597 Business Ideas You can Start from Home - doing what you LOVE! (Beginner Internet...",by Gundi Gabrielle,3.4,12,https://www.amazon.in/597-Business-Ideas-Start-Home-ebook/dp/B071DCXL6C,B071DCXL6C,₹0,Kindle Edition
"Fanatical Prospecting: The Ultimate Guide for Starting Sales Conversations and...",by Jeb Blount - Unabridged,4.9,13,https://www.amazon.in/Fanatical-Prospecting-Conversations-Leveraging-Mail/dp/B079BG1LFG,B079BG1LFG,₹0,Audible Audiobook
"Click Millionaires: Work Less, Live More with an Internet Business You Love",by Scott Fox - Unabridged,5,2,https://www.amazon.in/Click-Millionaires-Work-Internet-Business/dp/B07B2MBPQ2,B07B2MBPQ2,₹0,Audible Audiobook
"Plato's Republic",by Plato - Unabridged,4.2,75,https://www.amazon.in/Platos-Republic/dp/B079CFXCRT,B079CFXCRT,₹0,Audible Audiobook
"Blockchain Revolution",by Don Tapscott - Unabridged,3.5,15,https://www.amazon.in/Blockchain-Revolution/dp/B07DVW4441,B07DVW4441,₹0,Audible Audiobook
"Memes: Ultimate Memes 2018! Funniest Memes on the Internet - Epic Comedy Book...",by Memes Memes,5,2,https://www.amazon.in/Memes-Ultimate-Funniest-Internet-Fortnite-ebook/dp/B07FK2BKN1,B07FK2BKN1,₹413,Kindle Edition
"Plato's Phaedo",by Plato - Unabridged,,,https://www.amazon.in/Platos-Phaedo/dp/B079G4RK23,B079G4RK23,₹0,Audible Audiobook
"The Amazon Way on IoT: 10 Principles for Every Leader from the World's Leading...",by John Rossman - Unabridged,4.3,5,https://www.amazon.in/Amazon-Way-IoT-Principles-Strategies/dp/B01MQY3X8C,B01MQY3X8C,₹0,Audible Audiobook
"Online Marketing: 2 Books in 1: Social Media Marketing + Content Marketing to...",by Gerry T. Warner,4.8,43,https://www.amazon.in/Online-Marketing-Step-Step-Strategies-ebook/dp/B07L37JFL8,B07L37JFL8,₹283,Kindle Edition
"The Shallows: How the Internet Is Changing the Way We Think, Read and Remember",by Nicholas Carr - Unabridged,5,1,https://www.amazon.in/Shallows-Internet-Changing-Think-Remember/dp/B07CQ5K9JR,B07CQ5K9JR,₹0,Audible Audiobook
"Memes: Harry Potter Memes 2018! Funniest Memes on the Internet - Epic Comedy...",by Memes Memes,5,1,https://www.amazon.in/Memes-Potter-Funniest-Internet-Comedy-ebook/dp/B07G4G2WJR,B07G4G2WJR,₹412,Kindle Edition
"Plato's Ion",by Plato - Unabridged,,,https://www.amazon.in/Platos-Ion/dp/B07BT1CD5Y,B07BT1CD5Y,₹0,Audible Audiobook
"Plato's Meno",by Plato - Unabridged,,,https://www.amazon.in/Platos-Meno/dp/B079WWZFKG,B079WWZFKG,₹0,Audible Audiobook
"Rich Dad's Guide to Investing [Russian Edition]: What the Rich Invest in, That...",by Robert T. Kiyosaki - Unabridged,4.3,74,https://www.amazon.in/Rich-Dads-Guide-Investing-Russian/dp/B07212YSHF,B07212YSHF,₹0,Audible Audiobook
"MASTERING ONLINE MARKETING - Create business success through content marketing...",by Magnus Unemyr,3.9,7,https://www.amazon.in/MASTERING-ONLINE-MARKETING-automation-Entrepreneurship-ebook/dp/B0154B2FL6,B0154B2FL6,₹0,Kindle Edition
"The Dark Net",by Jamie Bartlett - Unabridged,4,8,https://www.amazon.in/The-Dark-Net/dp/B079TKPGDR,B079TKPGDR,₹0,Audible Audiobook
"SEO 2019: Learn search engine optimization with smart internet marketing strategies",by Adam Clarke,3.6,13,https://www.amazon.in/SEO-2019-optimization-marketing-strategies-ebook/dp/B00NH0XZR0,B00NH0XZR0,₹449,Kindle Edition
"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",by Glenn Greenwald - Unabridged,4.6,10,https://www.amazon.in/No-Place-Hide-Snowden-Surveillance/dp/B07CR5DKS8,B07CR5DKS8,₹0,Audible Audiobook
"Treasure Island [Russian Edition]",by Robert Louis Stevenson - Unabridged,4.2,118,https://www.amazon.in/Treasure-Island-Russian-Edition/dp/B07JFPNSM5,B07JFPNSM5,₹0,Audible Audiobook
"The Internet of Things: The MIT Press Essential Knowledge Series",by Samuel Greengard - Unabridged,3.3,3,https://www.amazon.in/Internet-Things-Press-Essential-Knowledge/dp/B079DGRXP9,B079DGRXP9,₹0,Audible Audiobook
"Quit Your Job in 6 Months: Book 2: Internet Business Blueprint (Formulating Your...",by Buck Flogging,3.4,5,https://www.amazon.in/Quit-Your-Job-Months-Formulating-ebook/dp/B010RZ5DN6,B010RZ5DN6,₹0,Kindle Edition
