Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"God Save the Hon'ble Supreme Court",by Fali S. Nariman,4.4,16,https://www.amazon.in/God-Save-Honble-Supreme-Court/dp/9386832623,9386832623,₹437,Hardcover
"Ratanlal & Dhirajlal’s the Indian Penal Code",by Ratanlal,4.4,22,https://www.amazon.in/Ratanlal-Dhirajlals-Indian-Penal-Code/dp/8131251004,8131251004,₹799,Paperback
"10 Judgements That Changed India",by Zia Mody,4.3,110,https://www.amazon.in/10-Judgements-That-Changed-India/dp/0670086622,0670086622,₹320,Hardcover
"CYBER LAW & CYBER CRIMES SIMPLIFIED",,4.6,18,https://www.amazon.in/CYBER-LAW-CRIMES-SIMPLIFIED/dp/B071XW8Y28,B071XW8Y28,₹200,Paperback
"Ratanlal & Dhirajlal’s the Law of Evidence",by Ratanlal,4.2,9,https://www.amazon.in/Ratanlal-Dhirajlals-Law-Evidence/dp/8131251616,8131251616,₹800,Paperback
"Indian Polity 5th Edition",by M. Laxmikanth,4.5,2965,https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X,935260363X,₹426,Paperback
"Constitution of India",by P.M. Bakshi,3.6,54,https://www.amazon.in/Constitution-India-P-M-Bakshi/dp/9386515113,9386515113,₹176,Paperback
"Legal Eagles: Stories of the Top Seven Indian Lawyers",by Indu Bhan,3.9,70,https://www.amazon.in/Legal-Eagles-Stories-Indian-Lawyers/dp/8184006357,8184006357,₹310,Hardcover
"A Book About Lawyers",by John Cordy Jeaffreson,3.5,2,https://www.amazon.in/Book-About-Lawyers-Cordy-Jeaffreson-ebook/dp/B0082V3LKA,B0082V3LKA,₹0,Kindle Edition
"India's Legal System: Can it Be Saved?",by Fali S. Nariman,4.3,17,https://www.amazon.in/Indias-Legal-System-Can-Saved/dp/014344011X,014344011X,₹155,Paperback
"Law of Torts With Consumer Protection Act",by RK Bangia,4.2,22,https://www.amazon.in/Law-Torts-Consumer-Protection-Act/dp/8189530917,8189530917,₹434,Paperback
"The Dramatic Decade: Landmark Cases Of Modern India",by Indu Bhan,4.1,9,https://www.amazon.in/Dramatic-Decade-Landmark-Cases-Modern/dp/067008929X,067008929X,₹207,Hardcover
"The Laws of the Spirit World",by Khorshed Bhavnagri,4.5,434,https://www.amazon.in/Laws-Spirit-World-Khorshed-Bhavnagri/dp/817992985X,817992985X,₹197,Paperback
"Company & Allied/Economic Law (Set of 2 Books) Handwritten Book For CA Final...",by CA Arpita S.Tulsyan,,,https://www.amazon.in/Company-Allied-Economic-Handwritten-Tulsyan/dp/B07MXP91V2,B07MXP91V2,₹1,399,Paperback
"The Tools of Argument: How the Best Lawyers Think, Argue, and Win",by Joel P. Trachtman,3.8,8,https://www.amazon.in/Tools-Argument-Lawyers-Think-Argue/dp/1481246380,1481246380,₹828,Paperback
"The Seven Laws of Success",by Herbert Armstrong,3.8,38,https://www.amazon.in/Seven-Laws-Success-Herbert-Armstrong-ebook/dp/B00DV6QNQ0,B00DV6QNQ0,₹0,Kindle Edition
"Corporate And Economic Law For New Syllabus Applicable for May 2019 Exams",by ca cs munish bhandari,,,https://www.amazon.in/Corporate-Economic-Syllabus-Applicable-Exams/dp/9385075691,9385075691,₹1,272,Paperback
"Filing Procedure and Practice Before Civil Courts, Sessons Courts, Magistrate...",by M.Arulselvem,4.6,3,https://www.amazon.in/Procedure-Magistrate-Tribunals-Comprehensive-Practising/dp/B07F2PBFY2,B07F2PBFY2,₹630,Paperback
"How to Manifest Anything: A Simplified Guide for Using the Law of Attraction...",by Beau Norton,4.4,37,https://www.amazon.in/How-Manifest-Anything-Simplified-Attraction-ebook/dp/B01N3KW7RG,B01N3KW7RG,₹0,Kindle Edition
"CA Final Direct Tax COMPACT A Handwritten Book Including case laws and 1000 MCQ...",by CA BHANWAR BORANA,,,https://www.amazon.in/COMPACT-Handwritten-Including-Syllabus-Applicable/dp/B07MXNMBS9,B07MXNMBS9,₹850,Paperback
"M P Jain Indian Constitutional Law",by M.P. Jain,4.1,10,https://www.amazon.in/Jain-Indian-Constitutional-Law/dp/9386515040,9386515040,₹1,485,Paperback
"Courts and Their Judgments: Premises, Prerequisites, Consequences",by Arun Shourie,4,12,https://www.amazon.in/Courts-Their-Judgments-Prerequisites-Consequences/dp/9352776070,9352776070,₹373,Paperback
"Principles of Law of Arbitration in India",by Dharmendra Rautrey,5,1,https://www.amazon.in/Principles-Arbitration-India-Dharmendra-Rautrey/dp/9387963942,9387963942,₹1,740,Hardcover
"Family Law",by Paras Diwan,Peeyushi Diwan,4.3,8,https://www.amazon.in/Family-Law-Peeyushi-Diwan-Paras/dp/818953033X,818953033X,₹523,Paperback
"Trials of Truth: India’s Landmark Criminal Cases",by Pinky Anand,3,5,https://www.amazon.in/Trials-Truth-Indias-Landmark-Criminal/dp/0670089125,0670089125,₹309,Hardcover
"Whither Indian Judiciary",by Justice Markandey Katju,4.4,13,https://www.amazon.in/Whither-Indian-Judiciary-Justice-Markandey/dp/9386141124,9386141124,₹388,Hardcover
"INTERNATIONAL LAW 8/ED",by MALCOLM N. SHAW,4.7,4,https://www.amazon.in/INTERNATIONAL-LAW-ED-MALCOLM-SHAW/dp/1108458289,1108458289,₹545,Paperback
"Guide to Judicial Service Examination",by Universal's,3.8,11,https://www.amazon.in/Guide-Judicial-Service-Examination-Universals/dp/8131253775,8131253775,₹1,157,Paperback
"Nani Palkhivala: The Courtroom Genius",by Soli J. Sorabjee,4.6,58,https://www.amazon.in/Nani-Palkhivala-Courtroom-Soli-Sorabjee/dp/8180387542,8180387542,₹495,Paperback
"Supreme Whispers: Supreme Court Judges, 1980-90",by Abhinav Chandrachud,4.6,8,https://www.amazon.in/Supreme-Whispers-Court-Judges-1980-90/dp/0670090328,0670090328,₹342,Hardcover
"The Law of Attraction (Lawyers in Love Book 1)",by N.M. Silber,4,3,https://www.amazon.in/Law-Attraction-Lawyers-Love-Book-ebook/dp/B00E3GZSP4,B00E3GZSP4,₹0,Kindle Edition
"Scanner-Corporate & Economic Laws (CA-Final)(May 2019 Exam-New Syllabus)",by CA Pankaj Garg,,,https://www.amazon.in/Scanner-Corporate-Economic-CA-Final-Exam-New-Syllabus/dp/9388750276,9388750276,₹550,Paperback
"Guide to CLAT & LL.B. Entrance Examination 2019-20",by Universal's,4.2,15,https://www.amazon.in/Guide-LL-B-Entrance-Examination-2019-20/dp/9386515636,9386515636,₹750,Paperback
"Think and Grow Rich",by Napoleon Hill,4.6,3614,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911,8192910911,₹70,Paperback
"The Seven Spiritual Laws of Success: A Pocket Guide to Fulfilling Your Dreams",by Deepak Chopra M.D.,4.4,211,https://www.amazon.in/Seven-Spiritual-Laws-Success-Fulfilling/dp/8189988042,8189988042,₹189,Hardcover
"Self Study Guide for LLB Entrance Examination 2019",by Arihant Experts,5,3,https://www.amazon.in/Self-Study-Guide-Entrance-Examination/dp/9313164515,9313164515,₹348,Paperback
"IBPS SO Law Officer CRP SPL Professional Knowledge Main Exam Practice Work Book...",by Kiran Prakashan,2.7,3,https://www.amazon.in/IBPS-Officer-Professional-Knowledge-Practice/dp/B0798LHJV3,B0798LHJV3,₹221,Paperback
"The Laws of Human Nature (Export TPB)",by Robert Greene,4.4,24,https://www.amazon.in/Laws-Human-Nature-Export-TPB/dp/1781259194,1781259194,₹510,Paperback
"The Law of Success: In Sixteen Lessons (General Press)",by Napoleon Hill,4.4,150,https://www.amazon.in/Law-Success-Sixteen-Lessons/dp/8180320928,8180320928,₹371,Paperback
"Before Memory Fades: An Autobiography",by Fali S. Nariman,4.5,78,https://www.amazon.in/Before-Memory-Fades-Fali-Nariman/dp/9381431450,9381431450,₹349,Paperback
"The 21 Irrefutable Law Of Leadership-John C. Maxwell",by John C. Maxwell,3.9,18,https://www.amazon.in/21-Irrefutable-Law-Leadership-John-Maxwell/dp/9381753369,9381753369,₹165,Paperback
"The 48 Laws Of Power (The Robert Greene Collection)",by Robert Greene,4.4,137,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784,1861972784,₹643,Paperback
"Cyber Infomedia Cyber Law & Cyber Crimes Simplified",by Cyber Infomedia,,,https://www.amazon.in/Cyber-Infomedia-Law-Crimes-Simplified/dp/B072F29VNH,B072F29VNH,₹200,
"The Concise 48 Laws of Power (Indiana Publishing)",by Robert Greene,4.6,35,https://www.amazon.in/Concise-Laws-Power-Indiana-Publishing/dp/8184083459,8184083459,₹185,Paperback
"The Law of Attraction (Lawyers in Love Book 1)",by N.M. Silber,4,3,https://www.amazon.in/Law-Attraction-Lawyers-Love-Book-ebook/dp/B00E3GZSP4,B00E3GZSP4,₹0,Kindle Edition
"CA Final Direct tax laws & International taxation",by CA.Durgesh Singh,,,https://www.amazon.in/Final-Direct-laws-International-taxation/dp/9351396576,9351396576,₹1,170,Paperback
"The 7 Laws of Clearing CA Final",by Nitin Soni,4.5,53,https://www.amazon.in/Laws-Clearing-CA-Final/dp/9350712539,9350712539,₹119,Paperback
