Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
History of English Literature,by Edward Albert,4.4,64.0,https://www.amazon.in/History-English-Literature-Edward-Albert/dp/0199479313,0199479313,₹203,Paperback
English Literature: Modern,by G. H. (George Herbert) Mair,4.2,7.0,https://www.amazon.in/English-Literature-George-Herbert-Mair-ebook/dp/B004TQKJOS,B004TQKJOS,₹0,Kindle Edition
Wuthering Heights,by Emily Brontë,4.1,244.0,https://www.amazon.in/Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899,8172344899,₹80,Paperback
Ugc Net English Literature,by Arihant Experts,4.0,43.0,https://www.amazon.in/Ugc-English-Literature-Arihant-Experts/dp/9312146319,9312146319,₹409,Paperback
Hamlet,by William Shakespeare,4.2,105.0,https://www.amazon.in/Hamlet-William-Shakespeare/dp/8175992921,8175992921,₹99,Paperback
Gitanjali,by Tagore R,4.4,259.0,https://www.amazon.in/Gitanjali-Tagore-R/dp/9381523185,9381523185,₹68,Paperback
Malgudi Adventures,by Narayan R.K.,4.3,153.0,https://www.amazon.in/Malgudi-Adventures-Narayan-R-K/dp/0143335901,0143335901,₹144,Paperback
History of American Literature,by Reuben Post Halleck,4.0,8.0,https://www.amazon.in/History-American-Literature-Reuben-Halleck-ebook/dp/B004TS8F2E,B004TS8F2E,₹0,Kindle Edition
Treasure Island,by Robert Louis Stevenson,4.2,116.0,https://www.amazon.in/Treasure-Island-Robert-Louis-Stevenson/dp/8172344767,8172344767,₹99,Paperback
Metamorphosis,by Franz Kafka,4.2,197.0,https://www.amazon.in/Metamorphosis-Franz-Kafka/dp/8172345135,8172345135,₹69,Paperback
The Literature Book: Big Ideas Simply Explained,by DK,4.4,6.0,https://www.amazon.in/Literature-Book-Ideas-Simply-Explained/dp/0241015464,0241015464,₹749.25,Hardcover
English Literature,by William J. Long,4.3,19.0,https://www.amazon.in/English-Literature-William-J-Long/dp/9380005288,9380005288,₹271,Paperback
The Prophet,by Kahlil Gibran,4.5,242.0,https://www.amazon.in/Prophet-Kahlil-Gibran/dp/817234354X,817234354X,₹69,Paperback
