Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Manga for the Beginner: Everything you Need to Start Drawing Right Away!: 0 (...",by Christopher Hart,5,4,https://www.amazon.in/Manga-Beginner-Everything-Drawing-Christopher/dp/0823030830,0823030830,₹665,Paperback
"The Complete Guide to Self-Publishing Comics: How  to Create and Sell Comic Books...",by Comfort Love,5,1,https://www.amazon.in/Complete-Guide-Self-Publishing-Comics-Webcomics/dp/0804137803,0804137803,₹719,Paperback
"The House on Mango Street (Vintage Contemporaries)",by Sandra Cisneros,5,3,https://www.amazon.in/House-Mango-Street-Vintage-Contemporaries/dp/0679734775,0679734775,₹529,Paperback
"Pop Manga Coloring Book (Colouring Books)",by Camilla D'Errico,5,3,https://www.amazon.in/Manga-Coloring-Book-Colouring-Books/dp/0399578471,0399578471,₹290,Paperback
"The Manga Guide to Electricity",by Kazuhiro Fujitaki,5,3,https://www.amazon.in/Manga-Guide-Electricity-Kazuhiro-Fujitaki/dp/1593271972,1593271972,₹225,Paperback
"Diary of a Wimpy Kid: The Ugly Truth",by Jeff Kinney - International Edition,4.6,215,https://www.amazon.in/Diary-Wimpy-Kid-Ugly-Truth/dp/0141340827,0141340827,₹174,Paperback
"The Vicks Mango Tree",by Anees Salim,5,1,https://www.amazon.in/Vicks-Mango-Tree-Anees-Salim/dp/935029141X,935029141X,₹345,Paperback
"Dragon Ball Super, Vol. 1",by Akira Toriyama,4.7,31,https://www.amazon.in/Dragon-Ball-Super-Vol-1/dp/1421592541,1421592541,₹499,Paperback
"Mastering Manga with Mark Crilley: 30 Drawing Lessons from the Creator of Akiko",by Mark Crilley,4.8,14,https://www.amazon.in/Mastering-Manga-Mark-Crilley-Drawing/dp/1440309310,1440309310,₹1,460,Paperback
"The Life-Changing Manga of Tidying Up",by Marie Kondo,4.3,7,https://www.amazon.in/Life-Changing-Manga-Tidying-Up/dp/0399580530,0399580530,₹1,292.77,Paperback
"The Manga Artist's Coloring Book: Girls!: Fun Female Characters to Color",by Christopher Hart,4.6,3,https://www.amazon.in/Manga-Artists-Coloring-Book-Characters/dp/1942021682,1942021682,₹474,Paperback
"Tokyo Ghoul - Vol. 1",by Sui Ishida,4.9,33,https://www.amazon.in/Tokyo-Ghoul-Vol-Sui-Ishida/dp/1421580365,1421580365,₹731,Paperback
"My Hero Academia, Vol. 1",by Kohei Horikoshi,4.9,15,https://www.amazon.in/My-Hero-Academia-Vol-1/dp/1421582694,1421582694,₹499,Paperback
"Ayako",by Osamu Tezuka,5,3,https://www.amazon.in/Ayako-Osamu-Tezuka/dp/1935654780,1935654780,₹1,329,Paperback
"orange: The Complete Collection 1",by Ichigo Takano,4.7,3,https://www.amazon.in/orange-Complete-Collection-Ichigo-Takano/dp/1626923027,1626923027,₹1,124,Paperback
"Naruto: Kakashi's Story",by Masashi Kishimoto,4.2,13,https://www.amazon.in/Naruto-Kakashis-Story-Masashi-Kishimoto/dp/1421584409,1421584409,₹400,Paperback
"The Good Indian Child's Guide to Eating Mangoes",by Natasha Sharma - Import,4.7,4,https://www.amazon.in/Indian-Childs-Guide-Eating-Mangoes/dp/9352777441,9352777441,₹240,Paperback
"The Wimpy Kid: Do-it-Yourself Book (Diary of a Wimpy Kid)",by Jeff Kinney,4.6,332,https://www.amazon.in/Wimpy-Kid-Do-Yourself-Diary/dp/0141339667,0141339667,₹173,Paperback
"Peppa Pig: Little Library",by Ladybird,4,684,https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187,1409303187,₹154,Board book
