Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Davidson's Principles and Practice of Medicine, International Edition",by Walker,4.4,54,https://www.amazon.in/Davidsons-Principles-Practice-Medicine-International/dp/0702070270,0702070270,₹1,684,Paperback
"Manual of Practical Medicine",by R Alagappan,4.2,17,https://www.amazon.in/Manual-Practical-Medicine-R-Alagappan/dp/9352702387,9352702387,₹765,Paperback
"Medicine: Prep Manual for Undergraduates",by Aggarwal Praveen,4.3,58,https://www.amazon.in/Medicine-Undergraduates-K-George-Mathews/dp/813124234X,813124234X,₹849,Paperback
"Self-Assessment & Review Medicine (Part A & B) (PGMEE)",by Mudit Khanna,3.3,16,https://www.amazon.in/Self-Assessment-Review-Medicine-Part-PGMEE/dp/9352704339,9352704339,₹1,120,Paperback
"General Practice 5e",by Ghanashyam Vaidya ,,4.6,95,https://www.amazon.in/General-Practice-5e-Ghanashyam-Vaidya/dp/9381496420,9381496420,₹618,Paperback
"Exam Preparatory Manual for Undergraduates Medicine",by Archith Boloor,4.8,13,https://www.amazon.in/Exam-Preparatory-Manual-Undergraduates-Medicine/dp/9352704940,9352704940,₹995,Paperback
"Oxford Handbook Of Clinical Medicine 10ed 2017",by Ian B. Wilkinson , Tim raine , Kate Wiles , Anna Goodhart , Catriona hall,4.4,25,https://www.amazon.in/Oxford-Handbook-Clinical-Medicine-10ed/dp/0198803052,0198803052,₹450,Paperback
"Complete Review of Medicine for NBE",by Deepak Marwah,4.2,37,https://www.amazon.in/Complete-Review-Medicine-Deepak-Marwah/dp/B07CM7WFJ2,B07CM7WFJ2,₹880,Paperback
"Golwalla’s Medicine for Students (A Reference Book for the Family Physician)",by Aspi F Golwalla,4.6,11,https://www.amazon.in/Golwallas-Medicine-Students-Reference-Physician/dp/9351524744,9351524744,₹1,283,Paperback
"Harrison’s Principles of Internal Medicine - 20th Edition: - Volume I & Volume II",by J. Larry Jameson,5,6,https://www.amazon.in/Harrisons-Principles-Internal-Medicine-20th/dp/1259834808,1259834808,₹8,100,Hardcover
"Manipal Prep Manual of Medicine",by Manthappa M.,4.2,29,https://www.amazon.in/Manipal-Prep-Manual-Medicine-Manthappa/dp/8123929501,8123929501,₹690,Paperback
"Parks Text Book Of Preventive & Social Medicine",by K. Park,3.4,87,https://www.amazon.in/Parks-Text-Preventive-Social-Medicine/dp/9382219129,9382219129,₹1,099,Hardcover
"Bedside clinics in Medicine 6E, Part2",by Kundu,4.3,16,https://www.amazon.in/Bedside-clinics-Medicine-6E-Part2/dp/8190635581,8190635581,₹425,Paperback
"Practical Guidelines on Fluid Therapy",by Dr. Sanjay Pandya,4.7,56,https://www.amazon.in/Practical-Guidelines-Therapy-Sanjay-Pandya/dp/8192404919,8192404919,₹162,Paperback
"Bedside clinics in Medicine Part - 1",by Arup kumar kundu,4.4,54,https://www.amazon.in/Bedside-clinics-Medicine-Part-1/dp/8190635573,8190635573,₹510,Paperback
"Hutchison's Clinical Methods: An Integrated Approach to Clinical Practice",by Dr. Michael Glynn,4.3,52,https://www.amazon.in/Hutchisons-Clinical-Methods-Integrated-Approach/dp/0702067407,0702067407,₹897,Paperback
"Harrison's Principle of internal Medicine: 3rd Volume",by Kasper,3.5,22,https://www.amazon.in/Harrisons-Principle-internal-Medicine-3rd/dp/9352601726,9352601726,₹750,Hardcover
"Review of Preventive & Social Medicine",by Vivek Jain,4.3,42,https://www.amazon.in/Review-Preventive-Social-Medicine-Vivek/dp/9352704142,9352704142,₹744,Paperback
"P. J. MEHTA'S Practical Medicine 21st ed 2018",by Nihar P Mehta , SP Mehta , SR Joshi,4.8,6,https://www.amazon.in/MEHTAS-Practical-Medicine-21st-2018/dp/8190704621,8190704621,₹830,Paperback
"Handbook of Emergency Medicine",by Suresh S. David,4.3,25,https://www.amazon.in/Handbook-Emergency-Medicine-David/dp/8131230473,8131230473,₹459,Paperback
"API Textbook of Medicine (2 Volume) with CD-ROM: 1-2",by Yash Pal Munjal,3.5,24,https://www.amazon.in/API-Textbook-Medicine-CD-ROM-1-2/dp/9351524159,9351524159,₹2,601,Hardcover
"Ayurveda 101: Ayurveda Basics for The Absolute Beginner [Achieve Natural Health...",by Advait,2.8,28,https://www.amazon.in/Ayurveda-101-Absolute-Beginner-Achieve-ebook/dp/B00QIACK9U,B00QIACK9U,₹0,Kindle Edition
"Practical Prescriber",by Aspi F Golwalla,4,61,https://www.amazon.in/Practical-Prescriber-Aspi-F-Golwalla/dp/9351524701,9351524701,₹280,Paperback
"Oxford Handbook of Emergency medicine",by Jonathan P. Wyatt,4.7,29,https://www.amazon.in/Oxford-Handbook-Emergency-medicine-Jonathan/dp/0199665346,0199665346,₹565,Paperback
"Harrison's Principles Of Internal Medicine 19/E - Vol 1&2: Indian Edition",by Dennis Kasper et al,3.9,14,https://www.amazon.in/Harrisons-Principles-Internal-Medicine-19/dp/0071842292,0071842292,₹2,795,Hardcover
"Manipal Manual of Surgery",by Anitha Shenoy,4.1,35,https://www.amazon.in/Manipal-Manual-Surgery-Anitha-Shenoy/dp/812392416X,812392416X,₹895,Paperback
"Textbook of Forensic Medicine & Toxicology 18th/2017",by V V Pillay,,,4.7,5,https://www.amazon.in/Textbook-Forensic-Medicine-Toxicology-18th/dp/8181914791,8181914791,₹925,Paperback
"NEUROLOGY MCQs : For Postgraduate and Superspecialty Medical Entrance Examinations",by Ajay Mathur,5,1,https://www.amazon.in/NEUROLOGY-MCQs-Postgraduate-Superspecialty-Examinations/dp/9352708105,9352708105,₹577,Paperback
"What Doctors Don't Get to Study in Medical School",by B.M. Hegde,4.5,144,https://www.amazon.in/What-Doctors-Study-Medical-School/dp/8181914198,8181914198,₹400,Paperback
"George's Marvellous Medicine (Dahl Fiction)",by Roald Dahl,4.5,76,https://www.amazon.in/Georges-Marvellous-Medicine-Dahl-Fiction/dp/0141365501,0141365501,₹223,Paperback
"Bailey & Love's Short Practice of Surgery, 27th Edition: International Student's...",by Norman Williams,4.3,35,https://www.amazon.in/Bailey-Loves-Short-Practice-Surgery/dp/113803164X,113803164X,₹3,095,Paperback
"Harrison's Principles of Internal Medicine, Twentieth Edition (Vol.1 & Vol.2)",by J. Larry Jameson - Import,3.1,14,https://www.amazon.in/Harrisons-Principles-Internal-Medicine-Twentieth/dp/1259644030,1259644030,₹8,300,Hardcover
"Textbook of Medicine for MBBS",by S.N. Chugh,4,6,https://www.amazon.in/Textbook-Medicine-MBBS-S-N-Chugh/dp/8178555506,8178555506,₹1,215,Paperback
"Harrison's Manual Of Medicine",by Kasper,3.6,14,https://www.amazon.in/Harrisons-Manual-Medicine-Kasper/dp/9352602552,9352602552,₹700,Paperback
"Essential Orthopaedics(Including Clinical Methods)",by Maheshwari,4.5,36,https://www.amazon.in/Essential-Orthopaedics-Including-Clinical-Methods/dp/9351968081,9351968081,₹389,Paperback
"Textbook of Clinical Medicine for Dental Students",by Anshul Chugh,4.2,3,https://www.amazon.in/Textbook-Clinical-Medicine-Dental-Students/dp/8178556170,8178556170,₹680,Paperback
"Emergency Medicine",by S. N. Chugh - Import,4.3,11,https://www.amazon.in/Emergency-Medicine-S-N-Chugh/dp/8123923775,8123923775,₹400,Paperback
"DC Dutta’s Textbook of Obstetrics",by Hiralal Konar,4.6,32,https://www.amazon.in/Duttas-Textbook-Obstetrics-Hiralal-Konar/dp/9352702425,9352702425,₹905,Paperback
"Dc Dutta'S Textbook Of Gynecology With Dvd-Rom",by Konar Hiralal,4.2,64,https://www.amazon.in/Dc-DuttaS-Textbook-Gynecology-Dvd-Rom/dp/9385891596,9385891596,₹830,Paperback
"Medicine Made Easy: A handbook of Medicine for medical students and practitioners",by Dr K Chaudhry,,,https://www.amazon.in/Medicine-Made-Easy-handbook-practitioners-ebook/dp/B01M086G87,B01M086G87,₹195,Kindle Edition
"Bickerstaff's Neurological Examination in Clinical Practice",by Kameshwar Prasad,4.6,11,https://www.amazon.in/Bickerstaffs-Neurological-Examination-Clinical-Practice/dp/8126538988,8126538988,,Paperback
"Emergency Medicine: Best Practices at CMC (EMAC)",by KPP. Abhilash,5,3,https://www.amazon.in/Emergency-Medicine-Best-Practices-EMAC/dp/9352702468,9352702468,₹690,Paperback
"Manipal Manual of Clinical Medicine",by B. A. Shastry - Import,4.7,8,https://www.amazon.in/Manipal-Manual-Clinical-Medicine-Shastry/dp/8123922655,8123922655,₹540,Paperback
"Textbook Of Oral Medicine With Free Book On Basic Oral Radiology",by Ghom Anil Govindrao,4.5,44,https://www.amazon.in/Textbook-Oral-Medicine-Basic-Radiology/dp/9351523039,9351523039,₹1,445,Paperback
"Text Book of Medicine",by Prof. P. C. Das,3.7,8,https://www.amazon.in/Text-Book-Medicine-Prof-Das/dp/9385274104,9385274104,₹684,Paperback
"Kumar and Clark's Clinical Medicine",by Parveen Kumar,4.2,11,https://www.amazon.in/Kumar-Clarks-Clinical-Medicine-Parveen/dp/0702065994,0702065994,₹2,000,Paperback
"When Breath Becomes Air",by Paul Kalanithi - Unabridged,4.6,626,https://www.amazon.in/When-Breath-Becomes-Air/dp/B079WTRY58,B079WTRY58,₹0,Audible Audiobook
"Review of Forensic Medicine, 7/e",by Sumit Seth,4.8,9,https://www.amazon.in/Review-Forensic-Medicine-Sumit-Seth/dp/8184452446,8184452446,₹339,Paperback
"The Essentials of Forensic Medicine and Toxicology",by K.S. Narayan Reddy,4.5,19,https://www.amazon.in/Essentials-Forensic-Medicine-Toxicology/dp/9352701038,9352701038,₹467,Paperback
"What Your Doctor Doesn't Know about Nutritional Medicine May Be Killing You",by Ray D Strand,4.5,154,https://www.amazon.in/Doctor-Doesnt-Nutritional-Medicine-Killing/dp/1404105921,1404105921,₹294.25,Paperback
"Medicine: The Definitive Illustrated History",by DK,5,4,https://www.amazon.in/Medicine-Definitive-Illustrated-History-DK/dp/0241225965,0241225965,₹1,171,Hardcover
"Clinical Medicine (A Textbook of Clinical Methods and Laboratory Investigations...",by Krishna Das,4.3,11,https://www.amazon.in/Clinical-Medicine-Laboratory-Investigations-investigations/dp/935090280X,935090280X,,Paperback
"Beginners Guide To Clinical Medicine (Pb 2018)",by Arup Kumar Kundu,4.3,5,https://www.amazon.in/Beginners-Guide-Clinical-Medicine-2018/dp/B07BHNS9CK,B07BHNS9CK,₹395,Paperback
"CURRENT Medical Diagnosis and Treatment 2017 (Lange) (Old Edition)",by Stephen Mcphee,4.3,19,https://www.amazon.in/CURRENT-Medical-Diagnosis-Treatment-Lange/dp/1259585115,1259585115,₹1,000,Paperback
"Target NEET UG 2019 (2012-18 Solved Papers + 10 Mock Papers)",by Disha Experts,3.7,25,https://www.amazon.in/Target-NEET-2012-18-Solved-Papers/dp/9388026144,9388026144,₹270,Paperback
"Community Medicine with Recent Advances",by AH Suryakantha,4.7,17,https://www.amazon.in/Community-Medicine-Recent-Advances-Suryakantha/dp/9385999966,9385999966,₹1,035,Paperback
"Bedside Respiratory Medicine 2nd/2017",,4.4,6,https://www.amazon.in/Bedside-Respiratory-Medicine-2nd-2017/dp/9383124512,9383124512,₹850,Paperback
"Community Medicine Solved Question Papers",by Singi Yatiraj,5,1,https://www.amazon.in/Community-Medicine-Solved-Question-Papers/dp/9352702964,9352702964,₹725,Paperback
"Textbook of Medicine (2 Volume Set): 1 & 2",by KV Krishna Das,3,3,https://www.amazon.in/Textbook-Medicine-Set-Krishna-Das/dp/9386056100,9386056100,₹1,827,Paperback
"Cims",by Cims India,4.2,44,https://www.amazon.in/Cims-India/dp/B00BSQBWGG,B00BSQBWGG,₹320,Paperback
"Forensic Medicine Nothing beyond for PGMEE (New SARP Series for NEET/NBE/AI)",by J Magendran,4.7,29,https://www.amazon.in/Forensic-Medicine-Nothing-beyond-PGMEE/dp/B079Z6B7RC,B079Z6B7RC,₹431.36,Paperback
"PV A TEXTBOOK OF PATHOPHYSIOLOGY (FOR B.PHARMACY STUDENTS)",by KEYA DESAI, MOHIT BANSAL, RAJ PAL BANSAL,5,1,https://www.amazon.in/PV-TEXTBOOK-PATHOPHYSIOLOGY-B-PHARMACY-STUDENTS/dp/B06X18955W,B06X18955W,₹320,Paperback
"Principles of Forensic Medicine and Toxicology",by Rajesh Bardale,5,1,https://www.amazon.in/Principles-Forensic-Medicine-Toxicology-Bardale/dp/938615031X,938615031X,₹820,Paperback
"Exam Preparatory Manual for Undergraduates - Medicine (Old Edition)",by Archith Boloor,3.6,19,https://www.amazon.in/Exam-Preparatory-Manual-Undergraduates-Medicine/dp/9386056615,9386056615,₹555,Paperback
"Macleod's Clinical Examination",by J. Alastair Innes BSc PhD FRCP Ed - Import,5,4,https://www.amazon.in/Macleods-Clinical-Examination-Alastair-Innes/dp/0702069930,0702069930,₹1,377,Paperback
"Exam Preparatory Manual for Undergraduates: Community Medicine (PSM)",by Vivek Hain,4.4,5,https://www.amazon.in/Exam-Preparatory-Manual-Undergraduates-Community/dp/9352702786,9352702786,₹511,Paperback
"Clinical Book of Veterinary Medicine (Hindi)",by Parihar M.L.,3.9,11,https://www.amazon.in/Clinical-Book-Veterinary-Medicine-Hindi/dp/8123910428,8123910428,,Paperback
"Dr Sunil’s One Page Solutions for General Practice: Completely Revised",by K Sunil Ravinder Paul,4.2,20,https://www.amazon.in/Sunils-Page-Solutions-General-Practice/dp/9351523950,9351523950,₹680,Paperback
"MCQS in Critical Care Medicine",by Aggarwal,4.5,20,https://www.amazon.in/MCQS-Critical-Care-Medicine-Aggarwal/dp/9351296598,9351296598,₹705,Paperback
"Diseases of Ear, Nose and Throat",by P L Dhingra,4.4,28,https://www.amazon.in/Diseases-Nose-throat-Head-Surgery/dp/8131248844,8131248844,₹1,054,Paperback
"Yoga as Medicine: The Yogic Prescription for Health and Healing",by Timothy B McCall,4.5,13,https://www.amazon.in/Yoga-Medicine-Prescription-Health-Healing/dp/0553384066,0553384066,₹675,Paperback
"Comprehensive Study of Organon: 1",by Dr. G. Nagendra Babu,4.1,8,https://www.amazon.in/Comprehensive-Study-Organon-Nagendra-Babu/dp/8131907678,8131907678,,Paperback
"Textbook of Oral Medicine, Oral Diagnosis and Oral Radiology",by Ravikiran Ongole,2.9,2,https://www.amazon.in/TB-Oral-Medicine-Diagnosis-Radiology/dp/8131230910,8131230910,₹1,582,Hardcover
"Clinical Pearls in Pulmonology",by Hemanth IK,4,1,https://www.amazon.in/Clinical-Pearls-Pulmonology-Hemanth-IK/dp/9351524175,9351524175,₹295,Paperback
"The Laws of Medicine",by Siddhartha Mukherjee,3.8,51,https://www.amazon.in/Laws-Medicine-Siddhartha-Mukherjee/dp/1471141853,1471141853,₹275.11,Hardcover
"1500 MCQs for DM ( Doctoral of Medicine) Post Doctoral & Post Graduation Entrance...",by Man Mohan Mehndiratta,4.3,8,https://www.amazon.in/1500-Doctoral-Medicine-Graduation-Entrance/dp/9383988169,9383988169,₹1,920,Paperback
"What Your Doctor Doesn`t Know About Nutritional Medicine May Be Killing You",by RAY D. STRAND,4.8,8,https://www.amazon.in/Doctor-Doesn%60t-Nutritional-Medicine-Killing/dp/8178091704,8178091704,₹166,Paperback
"Essentials of Medicine for Dental Students",by K Anil Tripathi,4,1,https://www.amazon.in/Essentials-Medicine-Dental-Students-Tripathi/dp/938626174X,938626174X,₹431,Paperback
"Veterinary Medicine (Second edition 2013)",by Dr. M.L. Parihar,3.3,7,https://www.amazon.in/Veterinary-Medicine-Second-2013-Parihar/dp/8192081400,8192081400,₹150,Paperback
"Herbs and Superfoods: For Weight Loss and Detox (Emma Greens weight loss books...",by Emma Green,5,2,https://www.amazon.in/Herbs-Superfoods-Weight-Greens-weight-ebook/dp/B07B2B1443,B07B2B1443,₹0,Kindle Edition
"My Medicine & Pediatric Notes for FMGE",by Deepak Marwah,4.7,11,https://www.amazon.in/My-Medicine-Pediatric-Notes-FMGE/dp/B07B2YJCVJ,B07B2YJCVJ,₹379,Paperback
"Oxford Textbook of Medicine: Cardiovascular Disorders",by David Warrell - Import,4.5,2,https://www.amazon.in/Oxford-Textbook-Medicine-Cardiovascular-Disorders/dp/0198717024,0198717024,₹1,278,Paperback
"Bedside Clinics in Surgery",by Makhan Lal Saha,4.6,14,https://www.amazon.in/Bedside-Clinics-Surgery-Makhan-Saha/dp/9352703146,9352703146,₹801,Paperback
"Homoeopathic Principles and Practice of Medicine: 1",by Dr. V. K. Chauhan,4.5,11,https://www.amazon.in/Homoeopathic-Principles-Practice-Medicine-1/dp/8131901637,8131901637,₹474,Paperback
"Textbook of Community Medicine",by Bhalwar,5,1,https://www.amazon.in/Textbook-Community-Medicine-Bhalwar/dp/9386691752,9386691752,₹880,Paperback
"A Concise Repertory of Homoeopathic Medicines: 4th",by S.R. Phatak,4.4,22,https://www.amazon.in/Concise-Repertory-Homoeopathic-Medicines-4th/dp/8131902005,8131902005,₹309,Paperback
"ABC of Medicine (with Mnemonics)",by Aspi F Golwalla,4.6,3,https://www.amazon.in/ABC-Medicine-Mnemonics-Aspi-Golwalla/dp/935152471X,935152471X,₹250,Paperback
"Homeopathy Book in English from Dr.Reckeweg, Guide to German homeopathic medicines",by homeomart.com,,,https://www.amazon.in/Homeopathy-English-Dr-Reckeweg-homeopathic-medicines/dp/B07M7NKVW8,B07M7NKVW8,₹100,
"Gene Machine: The Race to Decipher the Secrets of the Ribosome",by Venki Ramakrishnan - Unabridged,4.9,13,https://www.amazon.in/Gene-Machine-Decipher-Secrets-Ribosome/dp/B07JR67J58,B07JR67J58,₹0,Audible Audiobook
"Burket's Oral Medicine",by Michael Glick,4.3,6,https://www.amazon.in/Burkets-Oral-Medicine-Michael-Glick/dp/1607951886,1607951886,₹1,570,Hardcover
"Self Assessment & Review of Nephrology for DM Nephrology Entrance Examination",by Valluri Tejasree, kantamani Bala Teja,3.9,11,https://www.amazon.in/Assessment-Review-Nephrology-Entrance-Examination/dp/819336855X,819336855X,₹785,Paperback
"Review of Postgraduate Medical Entrance Examinations Vol-1, 13th Ed. anatomy,...",by Amit Gupta, Arvind Arora, Amit Tripathi,4.6,3,https://www.amazon.in/Postgraduate-Examinations-physiology-biochemistry-microbiology/dp/9385722344,9385722344,₹785,Paperback
"Tintinallis Emergency Medicine Manual",by Cydulka - Import,5,1,https://www.amazon.in/Tintinallis-Emergency-Medicine-Manual-Cydulka/dp/1259921646,1259921646,₹1,650,Paperback
"GEMS: A Golden Endeavor for Medical Students",by Liyakkath Ali M,,,https://www.amazon.in/GEMS-Golden-Endeavor-Medical-Students/dp/9352705173,9352705173,₹689,Paperback
"Oxford Handbook of Clinical Medicine",by LONGMORE WILKINSON BALDWIN & WALLIN,4.7,13,https://www.amazon.in/Handbook-Clinical-Medicine-LONGMORE-WILKINSON/dp/019872988X,019872988X,₹235,Paperback
"Textbook of Assisted Reproductive Techniques: Two Volume Set",by David K. Gardner - Import,5,1,https://www.amazon.in/Textbook-Assisted-Reproductive-Techniques-Two/dp/149874009X,149874009X,₹9,797,Hardcover
"ORGANON of MEDICINE",by Samuel Hahnemann,4.6,3,https://www.amazon.in/ORGANON-MEDICINE-Samuel-Hahnemann/dp/818725159X,818725159X,₹120,Paperback
"Materia Medica of Homoeopathic Medicines: 1",by S.R. Phatak,4.3,18,https://www.amazon.in/Materia-Medica-Homoeopathic-Medicines-1/dp/8131900029,8131900029,₹332,Paperback
"The ECG Made Easy, International Edition",by Hampton,4.3,48,https://www.amazon.in/ECG-Made-Easy-International/dp/0702046426,0702046426,₹431,Paperback
"Brief Answers to the Big Questions: the final book from Stephen Hawking",by Stephen Hawking,4.7,189,https://www.amazon.in/Brief-Answers-Big-Questions-Stephen-ebook/dp/B07D2ZKPL2,B07D2ZKPL2,₹199,Kindle Edition
"HOMEOPATHY (Complete Treatment Practice)",,5,1,https://www.amazon.in/HOMEOPATHY-Complete-Treatment-Practice/dp/8180252868,8180252868,₹144,Paperback
"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 8th edition",by J. Stapczynski,4.4,8,https://www.amazon.in/Tintinallis-Emergency-Medicine-Comprehensive-Study/dp/007179476X,007179476X,₹7,200,Hardcover
"ISE HPIM Self-Assessment & Board Review 19E",by WIENER,5,7,https://www.amazon.in/ISE-HPIM-Self-Assessment-Board-Review/dp/1259921387,1259921387,₹997,Paperback
"The Washington Manual of Outpatient Internal Medicine",by Thomas M. de Fer M.D. - Import,4.4,8,https://www.amazon.in/Washington-Manual-Outpatient-Internal-Medicine/dp/1451143273,1451143273,₹760,Paperback
