Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"If Truth Be Told: A Monk's Memoir",by Om Swami,4.7,527,https://www.amazon.in/If-Truth-Be-Told-Memoir/dp/9351368068,9351368068,₹311,Hardcover
"Becoming",by Michelle Obama - Import,4.8,62,https://www.amazon.in/Becoming-Michelle-Obama/dp/0241334144,0241334144,₹498,Hardcover
"Shoe Dog: A Memoir by the Creator of NIKE",by Phil Knight,4.6,376,https://www.amazon.in/Shoe-Dog-Memoir-Creator-NIKE/dp/1471146723,1471146723,₹350.52,Paperback
"Yeh Un Dinoñ Ki Baat Hai: Urdu Memoirs of Cinema Legends",by Yasir Abbasi,4.6,6,https://www.amazon.in/Yeh-Dino%C3%B1-Ki-Baat-Hai/dp/9387457761,9387457761,₹613,Hardcover
"Memoirs of a Geisha",by Arthur Golden,4.2,51,https://www.amazon.in/Memoirs-Geisha-Arthur-Golden/dp/0099282852,0099282852,₹291,Paperback
"From a Shepherd Boy to an Intellectual: My Memoirs",by Kancha Ilaiah Shepherd,5,1,https://www.amazon.in/Shepherd-Boy-Intellectual-My-Memoirs/dp/9381345414,9381345414,₹446,Paperback
"The Complete Works of Leo Tolstoy: Novels, Short Stories, Plays, Memoirs, Letters...",by Leo Tolstoy,4.3,16,https://www.amazon.in/Complete-Works-Leo-Tolstoy-Religion-ebook/dp/B01DY847BC,B01DY847BC,₹26.04,Kindle Edition
"Gene Machine: The Race to Decipher the Secrets of the Ribosome",by Venki Ramakrishnan,4.9,13,https://www.amazon.in/Gene-Machine-Decipher-Secrets-Ribosome/dp/9353023238,9353023238,₹436,Hardcover
"The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh (City...",by Sanjaya Baru,4,335,https://www.amazon.in/Accidental-Prime-Minister-Unmaking-Manmohan/dp/0143424068,0143424068,₹247,Paperback
"On Writing: A Memoir of the Craft",by Stephen King,4.5,54,https://www.amazon.in/Writing-Memoir-Craft-Stephen-King/dp/1444723251,1444723251,₹437,Paperback
"Healed: How Cancer Gave Me a New Life",by Manisha Koirala,4.5,8,https://www.amazon.in/Healed-How-Cancer-Gave-Life/dp/0670091979,0670091979,₹309,Hardcover
"Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future...",by Satya Nadella,4.5,204,https://www.amazon.in/Hit-Refresh-Rediscover-Microsofts-Everyone/dp/000824765X,000824765X,₹358,Hardcover
"Educated: The international bestselling memoir",by Tara Westover - Import,4.8,16,https://www.amazon.in/Educated-international-bestselling-Tara-Westover/dp/0099511029,0099511029,₹374,Paperback
"The Last Girl: My Story of Captivity and My Fight Against the Islamic State",by Nadia Murad,4.7,38,https://www.amazon.in/Last-Girl-Captivity-Against-Islamic/dp/0349009775,0349009775,₹349,Paperback
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty",by Murty Sudha,4.6,48,https://www.amazon.in/Here-There-Everywhere-Best-Loved-Stories/dp/0143444344,0143444344,₹146,Paperback
"The Wisdom of Wolves",by Elli H. Radinger - Import,,,https://www.amazon.in/Wisdom-Wolves-Elli-H-Radinger/dp/024134672X,024134672X,₹449,Paperback
"Apprenticed to a Himalayan Master: A Yogi's Autobiography",by Sri M. - Unabridged,4.6,300,https://www.amazon.in/Apprenticed-Himalayan-Master-Yogis-Autobiography/dp/B07MWG4VTZ,B07MWG4VTZ,₹0,Audible Audiobook
"Notes on a Nervous Planet",by Matt Haig - Import,5,4,https://www.amazon.in/Notes-Nervous-Planet-Matt-Haig/dp/1786892693,1786892693,₹449,Paperback
"Born a Crime: Stories from a South African Childhood",by Trevor Noah,4.8,143,https://www.amazon.in/Born-Crime-Stories-African-Childhood/dp/1473635306,1473635306,₹388,Paperback
"Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth",by Mahatma Gandhi,4.4,247,https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116,8172343116,₹99,Paperback
"When Breath Becomes Air",by Paul Kalanithi,4.6,626,https://www.amazon.in/When-Breath-Becomes-Paul-Kalanithi/dp/1847923674,1847923674,₹332,Hardcover
"Of Counsel: The Challenges of the Modi-Jaitley Economy",by Arvind Subramanian,4.5,17,https://www.amazon.in/Counsel-Challenges-Modi-Jaitley-Economy/dp/0670092096,0670092096,₹420,Hardcover
"Antharjanam: Memoirs of A Namboodiri Woman: Memoirs of A Namboodiri Woman Translated...",by Devaki Nilayamgode,4.2,7,https://www.amazon.in/Antharjanam-Memoirs-Namboodiri-Translated-Malayalam/dp/0198079877,0198079877,₹265,Paperback
"Autobiography of a Yogi (Complete Paperback Edition)",by Paramahansa Yogananda,4.6,1265,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X,818953551X,₹89,Paperback
"Wings of Fire: An Autobiography of Abdul Kalam",by Arun Tiwari,4.6,2138,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461,8173711461,₹265,Paperback
"And Then One Day: A Memoir",by Naseeruddin Shah,3.9,69,https://www.amazon.in/Then-One-Day-Memoir/dp/0143425560,0143425560,₹395,Paperback
"The Diary of a Young Girl",by Anne Frank,4.5,759,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194,8172345194,₹68,Paperback
"Wise and Otherwise: A salute to Life",by Sudha Murty - Abridged,4.5,299,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220,0143062220,₹144,Paperback
"When I Die I'm Going to Heaven 'Cause I've Spent My Time in Hell: A Memoir of...",by Barbara Kautz,4.5,38,https://www.amazon.in/When-Going-Heaven-Cause-Spent-ebook/dp/B07D5K2X26,B07D5K2X26,₹99,Kindle Edition
"We Are Displaced: My Journey and Stories from Refugee Girls Around the World",by Malala Yousafzai - Import,5,5,https://www.amazon.in/We-Are-Displaced-Journey-Stories/dp/1474610048,1474610048,₹258,Paperback
"A Princess Remembers",by Maharani Gayatri,4.1,24,https://www.amazon.in/Princess-Remembers-Maharani-Gayatri/dp/8171673074,8171673074,₹456,Paperback
"The Complete Sherlock Holmes (Set of 2 Books)",by Sir Arthur Conan Doyle,4.4,38,https://www.amazon.in/Complete-Sherlock-Holmes-Set-Books/dp/9350334038,9350334038,₹496,Paperback
"The Beauty of All My Days: A Memoir",by Bond Ruskin,4.7,15,https://www.amazon.in/Beauty-All-My-Days-Memoir/dp/0670088137,0670088137,₹421.74,Hardcover
"Devil's Advocate: The Untold Story",by Karan Thapar,4.1,70,https://www.amazon.in/Devils-Advocate-Untold-Karan-Thapar/dp/9352779843,9352779843,₹417,Hardcover
"Ivory Throne: Chronicles of the House of Travancore",by Manu S. Pillai,4.3,127,https://www.amazon.in/Ivory-Throne-Chronicles-House-Travancore/dp/9351776425,9351776425,₹500,Paperback
"The Dhoni Touch: Unravelling the Enigma That Is Mahendra Singh Dhoni",by Bharat Sundaresan,4.6,87,https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063,0143440063,₹174,Paperback
"Mossad",by Michael Bar-Zohar - Import,4.6,637,https://www.amazon.in/Mossad-Michael-Bar-Zohar/dp/8184958455,8184958455,₹340,Paperback
"Alexander the Great",by Jacob Abbott,4,24,https://www.amazon.in/Alexander-Great-Jacob-Abbott/dp/8175993146,8175993146,₹99,Paperback
"Into the Wild (Picador Classic)",by Jon Krakauer,4.5,114,https://www.amazon.in/Into-Wild-Picador-Classic-Krakauer/dp/0330351699,0330351699,₹248,Paperback
"Naxal Bari of Kerala: Memoir of Ajitha",by Ajitha,,,https://www.amazon.in/Naxal-Bari-Kerala-Memoir-Ajitha/dp/8188575631,8188575631,₹127,Paperback
