Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
crafat AlcraftLeather and Handmade Paper 100 Pages Notebook Journal with Lock...,by crafat,4.0,42.0,https://www.amazon.in/crafat-AlcraftLeather-Handmade-Notebook-Journal/dp/B071ZH7WBC,B071ZH7WBC,₹399,
The Personal MBA: A World-Class Business Education in a Single Volume,by Josh Kaufman,4.4,99.0,https://www.amazon.in/Personal-MBA-World-Class-Business-Education/dp/0670919535,0670919535,₹507.19,Paperback
The Personal MBA,by Josh Kaufman,,,https://www.amazon.in/Personal-MBA-Josh-Kaufman/dp/9388241118,9388241118,₹385,Paperback
Catalyst,by Chandramouli Venkatesan,4.6,249.0,https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473,0143442473,₹164,Paperback
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),by don Miguel Ruiz,4.6,93.0,https://www.amazon.in/Four-Agreements-Practical-Personal-Freedom/dp/938582757X,938582757X,₹284,Paperback
ISRO: A Personal History,by R. Aravamudan,4.9,45.0,https://www.amazon.in/ISRO-Personal-History-R-Aravamudan/dp/9352643631,9352643631,₹350.52,Paperback
Indian Share Market for Beginners: Indian Stock Market Basics (Investing in India...,by Vipin Kats,3.8,68.0,https://www.amazon.in/Indian-Share-Market-Beginners-Investing-ebook/dp/B00C67TJDE,B00C67TJDE,₹69,Kindle Edition
"Doodle Head Over Heels Diary Notebook - 80 GSM, Wiro Bound Diary, 192 Single...",by DOODLE,4.2,68.0,https://www.amazon.in/Doodle-Head-Heels-Diary-Notebook/dp/B078YVXZRY,B078YVXZRY,₹293,
Anshika International Leather Diary With Key Notebook (7 x 5 inches),by Craft Play Handicraft,3.7,15.0,https://www.amazon.in/Craft-Play-Handicraft-Leather-Notebook/dp/B075S8XZF4,B075S8XZF4,₹499,
Designing Destiny,by Kamlesh D. Patel,,,https://www.amazon.in/Designing-Destiny-Kamlesh-D-Patel/dp/9387894533,9387894533,₹263,Paperback
Aone India Note Book/Slam Book/Autograph Book/Personal Diary/Friends/ Best Friend,by Aone,4.6,3.0,https://www.amazon.in/Aone-Autograph-Personal-Friends-Friend/dp/B077ZX5XRL,B077ZX5XRL,₹350,
"AmazonBasics Classic Notebook, Plain - (130mm x 210mm) - 240 pages (Black)",by AmazonBasics,4.0,755.0,https://www.amazon.in/AmazonBasics-Classic-Notebook-Plain-130mm/dp/B01DN8TB5U,B01DN8TB5U,₹299,
"Doodle Adventures of The Mind Notebook Diary - Paper Finish, Hard Cover, Ruled...",by DOODLE,4.2,101.0,https://www.amazon.in/Doodle-Adventures-Mind-Notebook-Diary/dp/B01M22EOOX,B01M22EOOX,₹345,
Aone India Note Book/Slam Book/Autogarph Book/Personal Diary/Friends/Best Friend,by Aone,,,https://www.amazon.in/Aone-Autogarph-Personal-Friends-Friend/dp/B0785W9Z3H,B0785W9Z3H,₹250,
"JEF Business Card Holder, Debit/Credit / Bussiness/Visiting Name Id Card Holder...",by Jef,4.0,24.0,https://www.amazon.in/JEF-Business-Bussiness-Visiting-Organizer/dp/B07DGX9RQH,B07DGX9RQH,₹208,
"Brustro Artists' Sketch Book Wiro Bound A5-160 GSM , 120 pages Acid free",by Brustro,4.2,385.0,https://www.amazon.in/Brustro-Artists-Sketch-Bound-A5-160/dp/B00PP6RH9G,B00PP6RH9G,₹297,
Enwraps soft bound marron EG series butterfly engraved plain notebook /exercise...,by Enwraps,5.0,1.0,https://www.amazon.in/Enwraps-butterfly-engraved-organizer-stationary/dp/B01LB6JW00,B01LB6JW00,₹385,
Nourish A5 Size Daily Planner,by Nourish,4.4,48.0,https://www.amazon.in/Nourish-A5-Size-Daily-Planner/dp/B078NBH62S,B078NBH62S,₹249,
Everything You Need to Know About Personal Finance in 1000 Words,by C.J. Carlsen,4.1,65.0,https://www.amazon.in/Everything-About-Personal-Finance-Words-ebook/dp/B00NN84UF2,B00NN84UF2,₹0,Kindle Edition
Inner Engineering (Hindi): A Yogi's Guide to Joy,by Sadhguru,,,https://www.amazon.in/Inner-Engineering-Hindi-Yogis-Guide/dp/014344624X,014344624X,₹149,Paperback
Think & Grow Rich,by Napoleon Hill,4.6,3615.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/817234564X,817234564X,₹70,Paperback
Coromandel: A Personal History of South India,by Charles Allen,3.4,30.0,https://www.amazon.in/Coromandel-Personal-History-South-India/dp/1408705397,1408705397,₹412,Hardcover
Hush coaching Dream Believe Create Gratitude Planner for Time Management Undated...,by Hush coaching,3.8,37.0,https://www.amazon.in/Hush-coaching-Gratitude-Management-Attraction/dp/B07CVNT5HC,B07CVNT5HC,₹340,
Attitude Is Everything: Change Your Attitude ... Change Your Life!,by Jeff Keller,4.6,760.0,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071,9351772071,₹118,Paperback
InstaNote Non Dated Daily Planner A5 Size -160 Pages - 80 Dotted Left Hand Side...,by InstaNote,4.3,91.0,https://www.amazon.in/InstaNote-Dated-Daily-Planner-Pages/dp/B07227TP91,B07227TP91,₹249,
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",by Monika Halan,4.5,85.0,https://www.amazon.in/Lets-Talk-Money-Youve-Worked/dp/9352779398,9352779398,₹367,Paperback
"The 5 AM Club: Own Your Morning, Elevate Your Life",by Robin Sharma,4.3,161.0,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891,9387944891,₹189,Paperback
Scotch Magic Tape Refill,by Scotch,4.1,52.0,https://www.amazon.in/Scotch-Magic-Blaster-Transparent-Tape/dp/B00N1U8E36,B00N1U8E36,₹130,
ShopNGift Scented Chocolate Shaped Personal Desk Notepad Notebook Memo Book Brown...,by ShopNGift,5.0,2.0,https://www.amazon.in/ShopNGift-Scented-Chocolate-Personal-Notebook/dp/B07HB8HCJR,B07HB8HCJR,₹174,
Craft Play Handicraft Wonderful world Print Special Binding With Lock,by Craft Play Handicraft,3.5,19.0,https://www.amazon.in/Craft-Play-Handicraft-Wonderful-Special/dp/B075SGPJHZ,B075SGPJHZ,₹470,
"Anshika International Antique Leather Personal Organiser Journal Diary with EngravedThe...""",by Anshika International,,,https://www.amazon.in/Anshika-International-Personal-Organiser-Engraved/dp/B07MGBGMMS,B07MGBGMMS,₹489,
Sparks of Phoenix,by Najwa Zebian,,,https://www.amazon.in/Sparks-Phoenix-Najwa-Zebian/dp/1449496202,1449496202,₹524,Paperback
"Doodle Ethnic Motif Diary Notebook - A5, 80 GSM, 200 Pages (Multicolor)",by DOODLE,4.1,70.0,https://www.amazon.in/Doodle-Ethnic-Motif-Diary-Notebook/dp/B00PGZQMNI,B00PGZQMNI,₹311,
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and...,by Robert T Kiyosaki,4.5,3581.0,https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194,1612680194,₹233,Mass Market Paperback
Introducing Psychology: A Graphic Guide (Introducing...),by Nigel Benson,4.2,36.0,https://www.amazon.in/Introducing-Psychology-Graphic-Guide-ebook/dp/B00ZCKBYKS,B00ZCKBYKS,₹145.66,Kindle Edition
Pierre Cardin Thank You Set With Pen and Organiser,by Pierre Cardin,4.3,33.0,https://www.amazon.in/Pierre-Cardin-Thank-Set-Organiser/dp/B06XXM6RCV,B06XXM6RCV,₹575,
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5011.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
ShopNGift Unicorn/Flamingo Liquid Water Filled Glitter Personal Notebook Diary...,by ShopNGift,,,https://www.amazon.in/ShopNGift-Flamingo-Personal-Notebook-Colourful/dp/B07LDT3ZJT,B07LDT3ZJT,₹429,
AmazonBasics USB Type-C to USB 3.1 Gen1 Female Adapter - Black,by AmazonBasics,4.4,304.0,https://www.amazon.in/AmazonBasics-Type-C-Gen1-Female-Adapter/dp/B01GGKYXVE,B01GGKYXVE,₹599,
Gene Machine: The Race to Decipher the Secrets of the Ribosome,by Venki Ramakrishnan,4.9,13.0,https://www.amazon.in/Gene-Machine-Decipher-Secrets-Ribosome/dp/9353023238,9353023238,₹436,Hardcover
Enwraps Soft Bound Bird Rule notebook /exercise book/personal organizer/memo...,by Enwraps,,,https://www.amazon.in/Enwraps-notebook-exercise-organizer-stationary/dp/B077HXQCCK,B077HXQCCK,₹355,
Jotjoy Walk the Earth Creative Travel Diary (Eiffel Theme - A5 size -14.8 cm...,by JOTJOY,4.5,43.0,https://www.amazon.in/Jotjoy-Earth-Creative-Travel-Eiffel/dp/B0759XDM2D,B0759XDM2D,₹380,
"ALCRAFT Leather Diary Journal Notepad Writing Book with Lock, Key and Handmade...",by ALCRAFT,4.0,15.0,https://www.amazon.in/ALCRAFT-Leather-Journal-Handmade-7x5-inch/dp/B07DMGN4T3,B07DMGN4T3,₹499,
