Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Understanding Exposure, Fourth Edition",by BRYAN PETERSON,4.5,48.0,https://www.amazon.in/Understanding-Exposure-Fourth-BRYAN-PETERSON/dp/1607748509,1607748509,₹633,Paperback
The Advanced Photography Guide,by DK,4.5,2.0,https://www.amazon.in/Advanced-Photography-Guide-DK/dp/0241301920,0241301920,₹775.04,Hardcover
Digital Photography Complete Course,by DK,4.5,25.0,https://www.amazon.in/Digital-Photography-Complete-Course-DK/dp/0241186099,0241186099,₹959,Hardcover
Beginner's Photography Guide (Dk),by DK,4.5,92.0,https://www.amazon.in/Beginners-Photography-Guide-Dk-DK/dp/0241241278,0241241278,₹899,Flexibound
National Geographic: The Photographs (National Geographic Collectors Series),by Leah Bendavid-Val,4.4,23.0,https://www.amazon.in/National-Geographic-Photographs-Collectors/dp/1426202911,1426202911,₹995,Hardcover
The Atlas of Beauty,by Mihaela Noroc,4.7,25.0,https://www.amazon.in/Atlas-Beauty-Mihaela-Noroc/dp/184614941X,184614941X,₹774,Hardcover
8 Types Of Natural Light That Will Add Drama To Your Photographs,by Anne McKinnell,3.8,27.0,https://www.amazon.in/Types-Natural-Light-Drama-Photographs-ebook/dp/B0089FISB6,B0089FISB6,₹0,Kindle Edition
Understanding Color in Photography,by Bryan Peterson,4.5,2.0,https://www.amazon.in/Understanding-Color-Photography-Bryan-Peterson/dp/0770433111,0770433111,₹594,Paperback
The Digital Photography Handbook: An Illustrated Step-by-step Guide,by Doug Harman,4.3,11.0,https://www.amazon.in/Digital-Photography-Handbook-Step-step/dp/1848667043,1848667043,₹469,Paperback
Ladakh in Pictures,by Praveen Venkiteswara Annu,3.4,62.0,https://www.amazon.in/Ladakh-Pictures-Praveen-Venkiteswara-Annu-ebook/dp/B00R0AI1TA,B00R0AI1TA,₹0,Kindle Edition
Beginner's Digital SLR Crash Course: Complete guide to mastering digital photography...,by Deep Cove Publishing,4.7,10.0,https://www.amazon.in/Beginners-Digital-Crash-Course-understanding-ebook/dp/B00C50UJ8Q,B00C50UJ8Q,₹449,Kindle Edition
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5011.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
Camera Lucida: Reflections on Photography,by Roland Barthes,4.5,7.0,https://www.amazon.in/Camera-Lucida-Reflections-Roland-Barthes/dp/0099225417,0099225417,₹228,Paperback
The Digital Photography Handbook: An Illustrated Step-by-step Guide,by Doug Harman - Import,4.0,1.0,https://www.amazon.in/Digital-Photography-Handbook-Step-step/dp/1786481324,1786481324,₹437,Paperback
7 Steps to Stunning Images: A Guide to Mastering Your DSLR Camera,by Heather Hummel,3.8,34.0,https://www.amazon.in/Steps-Stunning-Images-Mastering-Camera-ebook/dp/B072MKZQPG,B072MKZQPG,₹76,Kindle Edition
"Learning to See Creatively, Third Edition: Design, Color, and Composition in...",by Bryan Peterson,3.0,1.0,https://www.amazon.in/Learning-See-Creatively-Third-Composition/dp/1607748274,1607748274,₹697,Paperback
Digital Photography an Introduction,by Tom Ang,3.8,17.0,https://www.amazon.in/Digital-Photography-Introduction-Tom-Ang/dp/1409382923,1409382923,₹371,Paperback
"Photography: Complete Guide to Taking Stunning,Beautiful Digital Pictures (photography...",by Nicole Woods,5.0,1.0,https://www.amazon.in/Photography-Complete-Beautiful-photography-landscape-ebook/dp/B00ROKAZ5E,B00ROKAZ5E,₹195.30,Kindle Edition
National Geographic Dawn to Dark Photographs: The Magic of Light,by National Geographic,3.8,7.0,https://www.amazon.in/National-Geographic-Dawn-Dark-Photographs/dp/1426215673,1426215673,₹754,Hardcover
Bryan Peterson's Understanding Photography Field Guide: How to Shoot Great Photographs...,by Bryan Peterson,5.0,1.0,https://www.amazon.in/Bryan-Petersons-Understanding-Photography-Field/dp/0817432256,0817432256,₹999,Paperback
The Beginner's Photography Guide: The Ultimate Step-by-Step Manual for Getting...,by Chris Gatcum,4.7,121.0,https://www.amazon.in/Beginners-Photography-Guide-Step-Step/dp/1465449663,1465449663,₹999,Paperback
Zen Camera: Creative Awakening with a Daily Practice in Photography,by David Ulrich - Import,4.6,27.0,https://www.amazon.in/Zen-Camera-Creative-Awakening-Photography/dp/0399580336,0399580336,₹454,Hardcover
History and Practice of the Art of Photography,by Henry Hunt Snelling,3.6,4.0,https://www.amazon.in/History-Practice-Photography-Henry-Snelling-ebook/dp/B0083Z37PO,B0083Z37PO,₹0,Kindle Edition
The Advanced Digital Photographer's Workbook: Professionals Creating and Outputting...,by Yvonne J. Butler - Import,2.0,1.0,https://www.amazon.in/Advanced-Digital-Photographers-Workbook-Professionals/dp/0240806468,0240806468,₹328,Paperback
People: His Finest Portraits,by Raghu Rai - Import,3.4,9.0,https://www.amazon.in/People-Finest-Portraits-Raghu-Rai/dp/9383064137,9383064137,₹799,Hardcover
The Filmmaker's Handbook,by Steven Ascher,4.6,25.0,https://www.amazon.in/Filmmakers-Handbook-Steven-Ascher/dp/0452297281,0452297281,₹900,Paperback
Digital Photography for Beginners: Photography Essentials Basics Lessons Course...,by Angela Pierce,1.0,5.0,https://www.amazon.in/Digital-Photography-Beginners-Essentials-Pictures/dp/1681858711,1681858711,₹349,Paperback
Modish Look Brown Wood Unisex Camera Pendant with Thread; Love for Photography...,by Modish Look,,,https://www.amazon.in/Modish-Look-Pendant-Photography-MLWD42/dp/B0785J65DL,B0785J65DL,₹299,
Click You !! - Your first book on Photography.,by Vishal Diwan,4.4,25.0,https://www.amazon.in/Click-You-Your-first-Photography-ebook/dp/B00HKZCDS0,B00HKZCDS0,₹234.82,Kindle Edition
Extraordinary Everyday Photography: Awaken Your Vision to Create Stunning Images...,by Brenda Tharp,4.3,165.0,https://www.amazon.in/Extraordinary-Everyday-Photography-Stunning-Wherever/dp/081743593X,081743593X,₹994,Paperback
Wrist Watch for Men - Trust me I am a Director of Photography So Let's Just Assume...,by BigOwl,,,https://www.amazon.in/Wrist-Watch-Men-Director-Photography/dp/B074CP2G7V,B074CP2G7V,₹449,
Bird Photographer of the Year Collection - 2 (Photography),by Bird Photographer of the Year,5.0,1.0,https://www.amazon.in/Bird-Photographer-Year-Collection-Photography/dp/0008229317,0008229317,₹991,Hardcover
Banaras: Walks Through India's Sacred City,by Nandini Majumdar - Illustrated,4.0,1.0,https://www.amazon.in/Banaras-Walks-Through-Indias-Sacred/dp/8174369163,8174369163,₹556,Paperback
Digital Photography an Introduction,by Tom Ang - Import,3.5,27.0,https://www.amazon.in/Digital-Photography-Introduction-Tom-Ang/dp/0241257085,0241257085,₹322,Paperback
Click- Your Guide To Photography,by Nabil patel,4.8,11.0,https://www.amazon.in/Click-Guide-Photography-Nabil-patel/dp/9386450402,9386450402,₹430,Paperback
CVANU Camera Logo Photography Photographer Laptop Vinyl Sticker (Black),by CVANU,,,https://www.amazon.in/CVANU-Camera-Photography-Photographer-Sticker/dp/B072MSSLY7,B072MSSLY7,₹229,
Comedy Wildlife Photography Awards,by Paul Joynson-Hicks - Import,5.0,2.0,https://www.amazon.in/Comedy-Wildlife-Photography-Awards-Joynson-Hicks/dp/1911600532,1911600532,₹826,Hardcover
DSLR Photography for Beginners: Take 10 Times Better Pictures in 48 Hours or...,by Brian Black,4.3,5.0,https://www.amazon.in/DSLR-Photography-Beginners-Pictures-Digital-ebook/dp/B00C5OUI9W,B00C5OUI9W,₹399,Kindle Edition
Digital Photography Complete Photographer: Become Expert in Every Style from...,by Tom Ang,1.0,1.0,https://www.amazon.in/Digital-Photography-Complete-Photographer-Fashion/dp/0241241243,0241241243,₹743,Hardcover
ikono TV,by M.E.N. Media Entertainment Networks GmbH,4.0,929.0,https://www.amazon.in/M-E-N-Media-Entertainment-Networks-GmbH/dp/B00NEJS7ZO,B00NEJS7ZO,₹0,
The Day of the Jackal,StarringEdward Fox,3.6,14.0,https://www.amazon.in/Day-Jackal-Edward-Fox/dp/B0083GJVOY,B0083GJVOY,₹199,DVD
About Indian Birds,by Salim Ali Laeeq Futehally,4.6,12.0,https://www.amazon.in/About-Indian-Birds-Salim-Futehally/dp/8183280854,8183280854,₹565,Hardcover
"Mobias Retails, Flexible Octopus Foldable Tripod for Camera, DSLR and Smartphones...",by Mobias Retails,5.0,5.0,https://www.amazon.in/Mobias-Retails-Smartphones-Universal-Attachment/dp/B07HPDBVSN,B07HPDBVSN,₹271,
Understanding a Photograph (Penguin Modern Classics),by John Berger,5.0,1.0,https://www.amazon.in/Understanding-Photograph-Penguin-Modern-Classics/dp/0141392029,0141392029,₹450,Paperback
Crayola Creative Studio (PC),by Core,3.8,13.0,https://www.amazon.in/Core-CRCS-1500-Crayola-Creative-Studio/dp/B0041RZR1A,B0041RZR1A,,
The Business of Portrait Photography (Photography for All Levels: Advanced),by Tom McDonald - Import,4.0,12.0,https://www.amazon.in/Business-Portrait-Photography-All-Levels/dp/0817436154,0817436154,₹325,Paperback
Digital Photography Step by Step: Build Your Skills From Beginner to Confident...,by Tom Ang,3.5,11.0,https://www.amazon.in/Digital-Photography-Step-Confident-Photographer/dp/0241226791,0241226791,₹795,Hardcover
