Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Why I Am a Hindu",by Dr. Shashi Tharoor,3.4,260,https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102,9386021102,₹327,Hardcover
"Indian Political Thought",by Himanshu Roy,4,22,https://www.amazon.in/Indian-Political-Thought-Himanshu-Roy/dp/9332587337,9332587337,₹230,Paperback
"Capital (Das Kapital)",by Karl Marx,4.5,48,https://www.amazon.in/Capital-Das-Kapital-Karl-Marx/dp/8175994142,8175994142,₹299,Paperback
"Homo Deus: A Brief History of Tomorrow",by Yuval Noah Harari,4.5,304,https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931,1784703931,₹349,Paperback
"Politics in India since Independence Textbook in Political Science for Class...",by NCERT,3.5,40,https://www.amazon.in/Politics-Independence-Textbook-Political-Science/dp/8174507639,8174507639,₹125,Paperback
"Nationalism",by Rabindranath Tagore,4.3,28,https://www.amazon.in/Nationalism-Rabindranath-Tagore/dp/8175993103,8175993103,₹69,Paperback
"The Free Voice: On Democracy, Culture and the Nation",by Ravish Kumar,4.4,319,https://www.amazon.in/Free-Voice-Democracy-Culture-Nation/dp/9387164780,9387164780,₹359,Hardcover
"God Save the Hon'ble Supreme Court",by Fali S. Nariman,4.4,16,https://www.amazon.in/God-Save-Honble-Supreme-Court/dp/9386832623,9386832623,₹437,Hardcover
"The Communist Manifesto",by Karl Marx,3.4,93,https://www.amazon.in/Communist-Manifesto-Karl-Marx/dp/9386538253,9386538253,₹69,Paperback
"The Coalition Years: 1996-2012",by Pranab Mukherjee - Unabridged,3.6,39,https://www.amazon.in/The-Coalition-Years-1996-2012/dp/B07DKTGQVH,B07DKTGQVH,₹0,Audible Audiobook
"The End of India",by Khushwant Singh,4.3,48,https://www.amazon.in/End-India-Khushwant-Singh/dp/0143029940,0143029940,₹190,Paperback
"Indian Political System",by Himanshu Roy,4,3,https://www.amazon.in/Indian-Political-System-Himanshu-Roy/dp/9352866436,9352866436,₹450,Paperback
"The Spy Chronicles: RAW, ISI and the Illusion of Peace",by A.S. Dulat - Illustrated,3.5,121,https://www.amazon.in/Spy-Chronicles-RAW-Illusion-Peace/dp/9352779258,9352779258,₹477,Hardcover
"A History of Political Thought: Plato to Marx",by Mukherjee,3.7,68,https://www.amazon.in/History-Political-Thought-Plato-Marx/dp/8120343891,8120343891,₹316,Paperback
"Bihar To Tihar: My Political Journey",by Kanhaiya Kumar,3.7,157,https://www.amazon.in/Bihar-Tihar-My-Political-Journey/dp/8193237277,8193237277,₹237,Paperback
"Social and Political Life Part - 1 Textbook in Social Science for Class - 6...",by NCERT,4.4,47,https://www.amazon.in/Social-Political-Life-Part-Textbook/dp/8174505113,8174505113,₹55,Paperback
"Narendra Modi: A political Biography",by Andy Marino,4.4,92,https://www.amazon.in/Narendra-Modi-political-Andy-Marino/dp/9351770257,9351770257,₹259,Paperback
"Social and Political Life Part - 3 TextBook Social Science for Class - 8  - 860",by NCERT,4,49,https://www.amazon.in/Social-Political-Life-Part-TextBook/dp/8174508252,8174508252,₹55,Paperback
"Indian Constitution At Work Textbook in Political Science for Class - 11  - 11102",by NCERT,3.7,48,https://www.amazon.in/Indian-Constitution-Textbook-Political-Science/dp/8174505504,8174505504,₹99,Paperback
"Bharat Ki Rajvayvastha",by M. Laxmikanth,4.5,676,https://www.amazon.in/Bharat-Ki-Rajvayvastha-M-Laxmikanth/dp/9352603869,9352603869,₹385,Paperback
"The Free Voice: On Democracy, Culture and the Nation",by Ravish Kumar,5,2,https://www.amazon.in/Free-Voice-Democracy-Culture-Nation/dp/8193803655,8193803655,₹200,Paperback
"IGNOU Master of Political Science Set of Four books COMBO OF MPS-1, MPS-2, MPS...",by CHAKRADHAR PUBLICATION,4,1,https://www.amazon.in/Political-Science-previous-POLITICAL-SCIENCE/dp/B07DPN2SZB,B07DPN2SZB,₹350,Paperback
"Why I Killed the Mahatma: UNCOVERING GODSE'S DEFENCE",by Koenraad Elst - Import,4.2,12,https://www.amazon.in/Why-Killed-Mahatma-UNCOVERING-DEFENCE/dp/8129149974,8129149974,₹371,Hardcover
"Contemporary World Politics Textbook in Political Science for Class - 12  - 12107",by NCERT,3.4,40,https://www.amazon.in/Contemporary-Politics-Textbook-Political-Science/dp/8174506934,8174506934,₹100,Paperback
"Social and Political Life Part - 2 Textbook in Social Science for Class - 7...",by NCERT,3.9,40,https://www.amazon.in/Social-Political-Life-Part-Textbook/dp/8174506721,8174506721,₹55,Paperback
"Ishq Mein Shahar Hona ( Volume 1 of Laprek Trilogy)",by Ravish Kumar,4,308,https://www.amazon.in/Ishq-Mein-Shahar-Laprek-Trilogy/dp/8126727675,8126727675,₹119,Paperback
"NCERT Political Science Books Set of Class - 6 TO 12 (ENGLISH MEDIUM) for UPSC...",by NCERT,4.1,8,https://www.amazon.in/NCERT-Political-Science-Books-Class/dp/B078TFP93F,B078TFP93F,₹759,Paperback
"Political Theory Textbook for Class - 11  - 11117",by NCERT,3.8,24,https://www.amazon.in/Political-Theory-Textbook-Class-11117/dp/8174506136,8174506136,₹70,Paperback
"Becoming",by Michelle Obama - Unabridged,4.8,64,https://www.amazon.in/Becoming/dp/B07B3NRJ7L,B07B3NRJ7L,₹0,Audible Audiobook
"Remote Access: An International Political Thriller (Marcie Kane Book 3)",by Barry Finlay,4.8,25,https://www.amazon.in/Remote-Access-International-Political-Thriller-ebook/dp/B07BQ77DLK,B07BQ77DLK,₹352,Kindle Edition
"21 Lessons for the 21st Century",by Yuval Noah Harari - Unabridged,4,100,https://www.amazon.in/21-Lessons-21st-Century/dp/B07BVLQNRQ,B07BVLQNRQ,₹0,Audible Audiobook
"Wings of Fire: An Autobiography of Abdul Kalam",by Arun Tiwari,4.6,2138,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461,8173711461,₹265,Paperback
"Ignited Minds",by A. P. J. Abdul Kalam - Unabridged,4.7,521,https://www.amazon.in/Ignited-Minds/dp/B07L6MDM1N,B07L6MDM1N,₹0,Audible Audiobook
"1991: How P. V. Narasimha Rao Made History",by Sanjaya Baru - Unabridged,4.1,122,https://www.amazon.in/1991-How-Narasimha-Made-History/dp/B073VYMBDP,B073VYMBDP,₹0,Audible Audiobook
"Political Violence in Ancient India",by Upinder Singh,4.2,10,https://www.amazon.in/Political-Violence-Ancient-India-Upinder/dp/0674975278,0674975278,₹754,Hardcover
"The Prince (Pocket Classics)",by Niccolo  Machiavelli,4.2,138,https://www.amazon.in/Prince-Pocket-Classics-Niccolo-Machiavelli/dp/9388144384,9388144384,₹69,Paperback
"Why We Sleep: The New Science of Sleep and Dreams",by Matthew Walker - Unabridged,4.9,13,https://www.amazon.in/Why-We-Sleep-Science-Dreams/dp/B077XN7889,B077XN7889,₹0,Audible Audiobook
"இந்தியாவில் சாதிகள் : Indiyaavil Saathikal (Political Book 2) (Tamil Edition)",by Dr Ambedkar,4.6,12,https://www.amazon.in/%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%9A%E0%AE%BE%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D-Indiyaavil-Saathikal-Political-ebook/dp/B078TMT1YS,B078TMT1YS,₹70,Kindle Edition
