Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"General Knowledge 2019",by Manohar Pandey,4.2,526,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307,9312147307,₹25,Paperback
"Current Affairs Yearly  2019",by Arihant Experts,4.6,6,https://www.amazon.in/Current-Affairs-Yearly-Arihant-Experts/dp/9313169886,9313169886,₹124,Paperback
"Wings of Fire: An Autobiography of Abdul Kalam",by Arun Tiwari,4.6,2138,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461,8173711461,₹265,Paperback
"Current Affairs Round Up 2019",by Arihant Experts,5,6,https://www.amazon.in/Current-Affairs-Round-Up-2019/dp/9313168774,9313168774,₹56,Paperback
"General Knowledge for All  2019",by RPH Editorial Board,4,117,https://www.amazon.in/General-Knowledge-2019-Editorial-Board/dp/9387604187,9387604187,₹20,Paperback
"Word Power Made Easy",by Norman Lewis - Print,4.4,5662,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007,8183071007,₹111,Paperback
"New Simplified Physics: A Reference Book for Class 11 for 2019 Examination (Set...",by S.L. Arora,4.5,154,https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/817700221X,817700221X,₹800,Paperback
"General Knowledge 2018 : INDIA & WORLD: : For all Competitive Exams",by Soumya Ranjan  Behera,4.4,3,https://www.amazon.in/General-Knowledge-2018-INDIA-Competitive-ebook/dp/B076YFVBP8,B076YFVBP8,₹199,Kindle Edition
"Java - The Complete Reference",by Herbert Schildt,4.3,89,https://www.amazon.in/Java-Complete-Reference-Herbert-Schildt/dp/9387432297,9387432297,₹586,Paperback
"General Knowledge 2019: Latest Who's Who & Current Affairs",by RPH Editorial Board,3.5,25,https://www.amazon.in/General-Knowledge-2019-Current-Affairs/dp/9386845997,9386845997,₹32,Paperback
"Disha's Rapid General Knowledge 2019 for Competitive Exams",by Disha Experts,3.9,63,https://www.amazon.in/Dishas-Rapid-General-Knowledge-Competitive/dp/9387421457,9387421457,₹28,Paperback
"General Knowledge Capsule 2019  with Current Affairs Update",by Disha Experts,3.7,15,https://www.amazon.in/General-Knowledge-Capsule-Current-Affairs/dp/9387421805,9387421805,₹135,Paperback
"New Simplified Physics : A Reference Book for Class 12 for 2019 Examination (...",by S.L. Arora,4.5,173,https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/8177002228,8177002228,₹880,Paperback
"Everyday Vocabulary More Than 6100 Words",by Kumkum Gupta,3.7,136,https://www.amazon.in/Everyday-Vocabulary-More-Than-Words/dp/9350944820,9350944820,₹68,Paperback
"C++: The Complete Reference, 4th Edition",by Herbert Schildt,4.3,103,https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/007053246X,007053246X,₹440,Paperback
"Top Graders Class 7 Science Study-cum-Reference Book",by N K SINHA,,,https://www.amazon.in/Graders-Class-Science-Study-cum-Reference-Book/dp/9352631137,9352631137,₹225,Paperback
"Python: The Complete Reference",by Martin C. Brown,3.6,10,https://www.amazon.in/Python-Complete-Reference-Martin-Brown/dp/9387572943,9387572943,₹699,Paperback
"Concise General  Knowledge 2019",by GKP,3.4,16,https://www.amazon.in/Concise-General-Knowledge-2019-GKP/dp/9387766357,9387766357,₹37,Paperback
"Fulfilled (Naughty Neighborhood)",by Lynda Bailey,2.6,7,https://www.amazon.in/Fulfilled-Naughty-Neighborhood-Lynda-Bailey-ebook/dp/B007UIKXCA,B007UIKXCA,₹0,Kindle Edition
"C: The Complete Reference",by Herbert Schildt,4.3,103,https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/0070411832,0070411832,₹409,Paperback
"Human Dimension and Interior Space: A Source Book of Design Reference Standards",by Julius Panero,4.7,9,https://www.amazon.in/Human-Dimension-Interior-Space-Reference/dp/0823072711,0823072711,₹1,185,Hardcover
"CBSE All  In One English Language and Literature CBSE Class 9 (based on Books...",by Gajendra Singh,4.3,56,https://www.amazon.in/English-Language-Literature-Beehive-Moments/dp/9312149431,9312149431,₹237,Paperback
"Science Foundation Course For JEE/NEET/NSO/Olympiad - Class 7",by MTG Editorial Board,4.4,12,https://www.amazon.in/Science-Foundation-Course-NEET-Olympiad/dp/9387747344,9387747344,₹490,Paperback
"Dictionary of English Synonyms and Antonyms, The Penguin: Revised Edition (Reference)",by Market House Books Ltd.,4.1,16,https://www.amazon.in/Dictionary-English-Synonyms-Antonyms-Penguin/dp/0140511687,0140511687,₹275.11,Paperback
"All In One Social Science - Class 10 (2018-19 Session)",by Madhumita,4.4,189,https://www.amazon.in/All-One-Social-Science-2018-19/dp/9312149563,9312149563,₹270,Paperback
"Book of Knowledge (Usborne Internet-Linked Reference)",by Various,5,1,https://www.amazon.in/Book-Knowledge-Usborne-Internet-Linked-Reference/dp/1409527689,1409527689,₹449,Paperback
"Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear",by Lakhmir Singh,4.4,142,https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY,B07896K9RY,₹1,263,Paperback
