Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Ancient Science of Mantras,by Om Swami,4.6,194.0,https://www.amazon.in/Ancient-Science-Mantras-Om-Swami/dp/9386348713,9386348713,₹394,Paperback
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,by Gaur Gopal Das,4.7,895.0,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,0143442295,₹150,Paperback
The Prophet,by Kahlil Gibran,4.5,247.0,https://www.amazon.in/Prophet-Kahlil-Gibran/dp/817234354X,817234354X,₹69,Paperback
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,8172345666,₹75,Paperback
Walking with Nanak,by Haroon Khalid,4.4,47.0,https://www.amazon.in/Walking-Nanak-Haroon-Khalid/dp/9386850826,9386850826,₹461,Paperback
Adi Shankaracharya: Hinduism's Greatest Thinker,by Pavan K Varma,4.3,72.0,https://www.amazon.in/Adi-Shankaracharya-Hinduisms-Greatest-Thinker/dp/8193655613,8193655613,₹368,Hardcover
My Gita,by Devdutt Pattanaik - Special Edition,4.2,685.0,https://www.amazon.in/My-Gita-Devdutt-Pattanaik/dp/8129137704,8129137704,₹153,Paperback
The Prophet (Wisehouse Classics Edition),by Khalil Gibran,4.7,66.0,https://www.amazon.in/Prophet-Wisehouse-Classics-Khalil-Gibran-ebook/dp/B01A7KOY9K,B01A7KOY9K,₹0,Kindle Edition
Immortal Talks,by Shunya,4.5,873.0,https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205,8193305205,₹245,Paperback
A Million Thoughts: Learn All About Meditation from The Himalayan Mystic,by Om Swami - Import,4.9,338.0,https://www.amazon.in/Million-Thoughts-Meditation-Himalayan-Mystic/dp/8184959451,8184959451,₹321,Paperback
Adiyogi: The Source of Yoga,by Sadhguru,4.6,376.0,https://www.amazon.in/Adiyogi-Source-Yoga-Sadhguru/dp/9352643925,9352643925,₹178,Paperback
Life After Death: The Book of Answers,by Dr Deepak Chopra,3.5,21.0,https://www.amazon.in/Life-After-Death-Book-Answers/dp/1846041007,1846041007,₹394.20,Paperback
Inner Engineering: A Yogi’s Guide to Joy,by Sadhguru,4.7,1253.0,https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845,0143428845,₹176,Paperback
The Art of Happiness: A Handbook for Living,by The Dalai Lama,4.4,37.0,https://www.amazon.in/Art-Happiness-Handbook-Living/dp/0340750154,0340750154,₹419,Paperback
108 PEARLS OF BABA SAI,by Wahi Jaya,4.8,25.0,https://www.amazon.in/108-PEARLS-BABA-Wahi-Jaya/dp/9386206412,9386206412,₹255,Hardcover
Principal Upanisads,by Prof. S. Radhakrishnan,4.7,58.0,https://www.amazon.in/Principal-Upanisads-Prof-S-Radhakrishnan/dp/8172231245,8172231245,₹548,Paperback
"Reiki: A Complete Guide to Real Reiki:How to Increase Vitality, Improve your...",by Kristine Marie Corr,3.9,39.0,https://www.amazon.in/Reiki-Complete-Increase-Vitality-Improve-ebook/dp/B018MMNW6G,B018MMNW6G,₹0,Kindle Edition
The Greatest Salesman in the World,by Og Mandino,4.3,156.0,https://www.amazon.in/Greatest-Salesman-World-Og-Mandino/dp/8179926877,8179926877,₹109,Paperback
The Evolution Of Gods : The Scientific Origin Of Divinity And Religion,by Ajay Kansal - Illustrated,4.3,68.0,https://www.amazon.in/Evolution-Gods-Scientific-Divinity-Religion/dp/9350294389,9350294389,₹225,Paperback
The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,4.8,334.0,https://www.amazon.in/Wellness-Sense-Practical-Emotional-Ayurvedic/dp/9351772624,9351772624,₹178,Paperback
The God Delusion,by Richard Dawkins - Special Edition,4.4,163.0,https://www.amazon.in/God-Delusion-Richard-Dawkins/dp/1784161926,1784161926,₹414,Paperback
The Hidden Power of Gayatri Mantra,by Om Swami,,,https://www.amazon.in/Hidden-Power-Gayatri-Mantra/dp/9388423240,9388423240,₹224,Paperback
Meditations (Penguin Classics),by Marcus Aurelius,4.1,171.0,https://www.amazon.in/Meditations-Penguin-Classics-Marcus-Aurelius/dp/0140449337,0140449337,₹300,Paperback
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247.0,https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116,8172343116,₹99,Paperback
Sita: An Illustrated Retelling of Ramayana,by Devdutt Pattanaik - Illustrated,4.4,339.0,https://www.amazon.in/Sita-Illustrated-Retelling-DEVDUTT-PATTANAIK/dp/0143064320,0143064320,₹290,Paperback
The Laws of the Spirit World,by Khorshed Bhavnagri,4.5,434.0,https://www.amazon.in/Laws-Spirit-World-Khorshed-Bhavnagri/dp/817992985X,817992985X,₹197,Paperback
Devlok with Devdutt Pattanaik,by Devdutt Pattanaik,4.3,601.0,https://www.amazon.in/Devlok-Devdutt-Pattanaik/dp/0143427423,0143427423,₹149,Paperback
Train to Pakistan,by Khushwant Singh,4.2,550.0,https://www.amazon.in/Train-Pakistan-Khushwant-Singh/dp/0143065882,0143065882,₹144,Paperback
The Teachings of Ramana Maharshi (The Classic Collection),by Arthur Osborne,4.4,83.0,https://www.amazon.in/Teachings-Ramana-Maharshi-Classic-Collection/dp/1846044332,1846044332,₹179,Paperback
An Introduction to Indian Philosophy,by Satishchandra Chatterjee,4.4,91.0,https://www.amazon.in/Introduction-Indian-Philosophy-Satishchandra-Chatterjee/dp/8129111950,8129111950,₹106,Paperback
How You Can Talk with God,by Paramahansa Yogananda,4.4,76.0,https://www.amazon.in/How-You-Can-Talk-God/dp/8189955330,8189955330,₹83,Hardcover
Devil and Miss Prym,by Paulo Coelho,4.1,23.0,https://www.amazon.in/Devil-Miss-Prym-Paulo-Coelho/dp/8172235151,8172235151,₹218,Paperback
The Secret Letters of the Monk Who Sold His Ferrari,by Robin Sharma,4.6,148.0,https://www.amazon.in/Secret-Letters-Monk-Sold-Ferrari-ebook/dp/B008SNUUPQ,B008SNUUPQ,₹153.99,Kindle Edition
Inner Engineering (Hindi): A Yogi's Guide to Joy,by Sadhguru,,,https://www.amazon.in/Inner-Engineering-Hindi-Yogis-Guide/dp/014344624X,014344624X,₹149,Paperback
The Reconstruction of Religious Thought in Islam,by Sir M. Iqbal,3.8,12.0,https://www.amazon.in/Reconstruction-Religious-Thought-Islam/dp/8171510817,8171510817,₹275,Hardcover
The Quest of the Sparrows,by Kartik Sharma,4.3,222.0,https://www.amazon.in/Quest-Sparrows-Kartik-Sharma/dp/8129118653,8129118653,₹95,Paperback
The Hindu View Of Life,by S. Radhakrishnan,4.3,41.0,https://www.amazon.in/Hindu-View-Life-S-Radhakrishnan/dp/8172238452,8172238452,₹149,Paperback
Tao Te Ching,by Lao Tzu,4.4,59.0,https://www.amazon.in/Tao-Te-Ching-Lao-Tzu/dp/9386538180,9386538180,₹99,Paperback
Sambhaji,by SANJIVANI KHER,3.0,8.0,https://www.amazon.in/Sambhaji-SANJIVANI-KHER-ebook/dp/B071S3KN4X,B071S3KN4X,₹55.65,Kindle Edition
Kumbha: The Traditionally Modern Mela,by Nityananda Misra,,,https://www.amazon.in/Kumbha-Traditionally-Modern-Nityananda-Misra/dp/9388414101,9388414101,₹299,Paperback
Autobiography of a Yogi (Complete Hindi Edition),by Paramahansa Yogananda,4.8,395.0,https://www.amazon.in/Autobiography-Complete-Hindi-Paramahansa-Yogananda/dp/8190256211,8190256211,₹161,Paperback
The Holy Science,by Swami Sri Yukteswar Giri,4.6,156.0,https://www.amazon.in/Holy-Science-Swami-Yukteswar-Giri/dp/8189535196,8189535196,₹75,Paperback
If Truth Be Told: A Monk's Memoir,by Om Swami,4.7,527.0,https://www.amazon.in/If-Truth-Be-Told-Memoir/dp/9351368068,9351368068,₹311,Hardcover
"When All Is Not Well: Depression, Sadness and Healing - A Yogic Perspective",by Om Swami,4.7,157.0,https://www.amazon.in/When-All-Not-Well-Perspective/dp/935177726X,935177726X,₹260,Paperback
Introduction to Religious Philosophy,by Y. Masih,3.7,8.0,https://www.amazon.in/Introduction-Religious-Philosophy-Y-Masih/dp/8120808541,8120808541,₹325,Paperback
Chariots of the Gods,by Erich Von Daniken,4.1,175.0,https://www.amazon.in/Chariots-Gods-Erich-Von-Daniken/dp/0425074811,0425074811,₹260,Mass Market Paperback
Chanakya Neeti,by R.P. Jain,3.9,52.0,https://www.amazon.in/Chanakya-Neeti-R-P-Jain/dp/8184302118,8184302118,₹200,Hardcover
"Seeking Allah, Finding Jesus: A Devout Muslim Encounters Christianity",by Nabeel Qureshi,4.7,98.0,https://www.amazon.in/Seeking-Allah-Finding-Jesus-Christianity/dp/0310527236,0310527236,₹686.65,Paperback
Alchemist,by Paulo Coelho,4.6,3839.0,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8186685693,8186685693,₹185,Paperback
Hindu Rites and Rituals: Where They Come from and What They Mean,by K V Singh,3.8,54.0,https://www.amazon.in/Hindu-Rites-Rituals-Where-They/dp/0143425102,0143425102,₹150,Paperback
Introducing Buddha: A Graphic Guide (Introducing...),by Jane Hope,4.0,7.0,https://www.amazon.in/Introducing-Buddha-Graphic-Guide-ebook/dp/B00KFEJNY0,B00KFEJNY0,₹180.50,Kindle Edition
Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218.0,https://www.amazon.in/Miracles-Your-Mind-Joseph-Murphy/dp/8183225101,8183225101,₹90,Paperback
