Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Will You Still Love Me?",by Ravinder Singh,4.5,290,https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361,0143429361,₹115,Paperback
"Beautifully Wounded (The Beaumont Brothers Book 1)",by Susan Griscom,4,12,https://www.amazon.in/Beautifully-Wounded-Beaumont-Brothers-Book-ebook/dp/B00IPOCDXU,B00IPOCDXU,₹0,Kindle Edition
"This Is Not Your Story",by Savi Sharma,4.5,2177,https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399,9386224399,₹100,Paperback
"Let's Be Just Friends: A New Adult College Romance",by Camilla Isley,2.9,4,https://www.amazon.in/Lets-Be-Just-Friends-College-ebook/dp/B01DTO5J72,B01DTO5J72,₹0,Kindle Edition
"All the Light we Cannot See",by Anthony Doerr,4.5,193,https://www.amazon.in/All-Light-we-Cannot-See/dp/0008172420,0008172420,₹311,Paperback
"Love Like This (The Romance Chronicles—Book #1)",by Sophie Love,4,8,https://www.amazon.in/Love-Like-This-Romance-Chronicles-Book-ebook/dp/B073C5VJQQ,B073C5VJQQ,₹0,Kindle Edition
"Be My Perfect Ending",by Arpit Vageria,4.4,204,https://www.amazon.in/Be-Perfect-Ending-Arpit-Vageria/dp/9387022080,9387022080,₹87,Paperback
"Forever Perfect: Billionaire Medical Romance (A Chance at Forever Series Book 1)",by Lexy  Timms,5,1,https://www.amazon.in/Forever-Perfect-Billionaire-Medical-Romance-ebook/dp/B071RQYWWS,B071RQYWWS,₹0,Kindle Edition
"You are the Best Wife: A True Love Story",by Ajay K Pandey,4.7,2830,https://www.amazon.in/You-are-Best-Wife-Story/dp/9382665544,9382665544,₹88,Paperback
"Driving Home for Christmas: steamy billionaire romance (Billionaire Holiday Romance...",by Lexy Timms,5,1,https://www.amazon.in/Driving-Home-Christmas-billionaire-Billionaire-ebook/dp/B078GPYQ13,B078GPYQ13,₹0,Kindle Edition
"Our Story Needs No Filter",by Sudeep Nagarkar,4.7,815,https://www.amazon.in/Our-Story-Needs-No-Filter/dp/8184007442,8184007442,₹115,Paperback
"The Hotwife Adventure - A Wife Sharing Romance Prologue",by Karly Violet,3.7,4,https://www.amazon.in/Hotwife-Adventure-Sharing-Romance-Prologue-ebook/dp/B075THK4K1,B075THK4K1,₹0,Kindle Edition
"Looking for Alaska",by John Green,4.3,512,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521,0007523521,₹218,Paperback
"Milk and Honey",by Rupi Kaur,4.3,314,https://www.amazon.in/Milk-Honey-Rupi-Kaur/dp/144947425X,144947425X,₹250,Paperback
"A Billionaire's Love Story, Book One: Falling In A Moment",by J.M. Cagle,2.5,2,https://www.amazon.in/Billionaires-Love-Story-Book-One-ebook/dp/B00T2RDC4S,B00T2RDC4S,₹0,Kindle Edition
"The Perfect Us",by Durjoy Datta,4.7,429,https://www.amazon.in/Perfect-Us-Durjoy-Datta/dp/0143426591,0143426591,₹116,Paperback
