Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Science Book (Big Ideas),by Dorling Kindersley,4.8,16.0,https://www.amazon.in/Science-Book-Big-Ideas/dp/1409350150,1409350150,₹799,
The Theory of Everything,by Stephen Hawking,4.5,534.0,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919,8179925919,₹133,
Encyclopedia of General Science for General Competitions,by Experts Compilation,4.3,556.0,https://www.amazon.in/Encyclopedia-General-Science-Competitions/dp/9351767663,9351767663,₹221,
Black Holes: The Reith Lectures,by Stephen Hawking,4.3,314.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X,085750357X,₹89,
101 Great Science Experiments (Dk),by DK,4.5,68.0,https://www.amazon.in/101-Great-Science-Experiments-Dk/dp/0241185130,0241185130,₹287,
Nikola Tesla: Imagination and the Man That Invented the 20th Century,by Sean Patrick,4.5,854.0,https://www.amazon.in/Nikola-Tesla-Imagination-Invented-Century-ebook/dp/B00CATSONE,B00CATSONE,₹0,Kindle Edition
Relativity: The Special and the General Theory (General Press),by Albert Einstein,4.4,430.0,https://www.amazon.in/Relativity-Special-General-Routledge-Classics/dp/9380914229,9380914229,₹146,
Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March...,by Oswaal Editorial Board,4.6,184.0,https://www.amazon.in/Oswaal-Question-Science-Chapterwise-Topicwise/dp/9387504913,9387504913,₹234,
"Children's Encyclopedia - Scientists, Inventions And Discoveries: Familiarises...",by VS Editorial Board,4.4,46.0,https://www.amazon.in/Childrens-Encyclopedia-Scientists-Discoveries-Familiarises/dp/9350570394,9350570394,₹185,
Science Textbook for Class - 9  - 964,by NCERT,3.5,86.0,https://www.amazon.in/Science-Textbook-Class-9-964/dp/8174504923,8174504923,₹108,
The Time Machine (Enriched Classics),by H.G. Wells,4.3,216.0,https://www.amazon.in/Time-Machine-Enriched-Classics-ebook/dp/B004XVQ73G,B004XVQ73G,₹54.60,Kindle Edition
RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Computer...,by GKP,4.8,7.0,https://www.amazon.in/RRB-Railway-Recruitment-Board-2019/dp/9388426991,9388426991,₹623.88,
Mind Secrets: A Science Fiction Telepathy Thriller (Perceivers Book 1),by Jane Killick,4.5,2.0,https://www.amazon.in/Mind-Secrets-Telepathy-Thriller-Perceivers-ebook/dp/B01AHXC778,B01AHXC778,₹0,Kindle Edition
science class 10 ncert text book,,,,https://www.amazon.in/science-class-ncert-text-book/dp/B07DGWM1DD,B07DGWM1DD,₹294,
Everything You Need to Ace Science in One Big Fat Notebook: The Complete Middle...,by Michael Geisen,4.9,17.0,https://www.amazon.in/Everything-You-Need-Science-Notebook/dp/0761160957,0761160957,₹841,
All In One Science - Class 10 (2018-19 Session),by Arihant Experts,4.4,186.0,https://www.amazon.in/All-One-Science-2018-19-Session/dp/9312149601,9312149601,₹415,
COMBO: CSIR-JRF-NET: Life Sciences Fundamentals And Practice Part 1 & Part 2,by Pranav Kumar,4.4,103.0,https://www.amazon.in/COMBO-CSIR-JRF-NET-Sciences-Fundamentals-Practice/dp/9380473184,9380473184,₹686,
Encyclopedia of Space,by Steve Parker,4.7,5.0,https://www.amazon.in/Encyclopedia-Space-Steve-Parker/dp/1782099972,1782099972,₹599,
Dark Matter: A Mind-Blowing Twisted Thriller,by Blake Crouch,4.4,98.0,https://www.amazon.in/Dark-Matter-Mind-Blowing-Twisted-Thriller-ebook/dp/B019IO6BU6,B019IO6BU6,₹96,Kindle Edition
The Power of Your Subconscious Mind (DELUXE EDITION),by Joseph Murphy,4.5,4987.0,https://www.amazon.in/Power-Your-Subconscious-Mind-DELUXE/dp/938766922X,938766922X,₹296,
Lucent's General Science (2018-2019) Session,by Ravi Bhushan,4.2,221.0,https://www.amazon.in/Lucents-General-Science-2018-2019-Session/dp/9384761141,9384761141,₹160,
Science and Technology: For Civil Services Preliminary and Main Examinations,by Ravi P. Agrahari,3.4,54.0,https://www.amazon.in/Science-Technology-Services-Preliminary-Examinations/dp/9353160898,9353160898,₹272,
The Ancient Science of Mantras,by Om Swami,4.6,193.0,https://www.amazon.in/Ancient-Science-Mantras-Om-Swami/dp/9386348713,9386348713,₹360,
science textbook for class 8th ncert,by Ncert,4.0,9.0,https://www.amazon.in/science-textbook-class-8th-ncert/dp/B07FBZ68ZV,B07FBZ68ZV,₹106,
"Astronomy: Astronomy for Beginners: The Magical Science of Stars, Galaxies, Planets...",by Miles Clarke,4.6,3.0,https://www.amazon.in/Astronomy-Beginners-Galaxies-Wormholes-Textbook-ebook/dp/B015OC9U22,B015OC9U22,₹238.36,Kindle Edition
General Knowledge with General Science Lucent 2018 - 2019 Latest Edition by Competion...,by Dr. Binay Karna,4.4,2036.0,https://www.amazon.in/General-Knowledge-Science-Lucent-2018/dp/B07DKC66LW,B07DKC66LW,₹402,
Social and Political Life Part - 3 TextBook Social Science for Class - 8  - 860,by NCERT,4.0,49.0,https://www.amazon.in/Social-Political-Life-Part-TextBook/dp/8174508252,8174508252,₹55,
Out of this World Truths about the Solar System Astronomy 5th Grade | Astronomy...,by Baby Professor,3.8,22.0,https://www.amazon.in/World-Truths-System-Astronomy-Science-ebook/dp/B06XCDX698,B06XCDX698,₹0,Kindle Edition
Social and Political Life Part - 1 Textbook in Social Science for Class - 6...,by NCERT,4.4,47.0,https://www.amazon.in/Social-Political-Life-Part-Textbook/dp/8174505113,8174505113,₹55,
House Of Gifts Magical Science,by House of Gifts,,,https://www.amazon.in/House-Of-Gifts-Magical-Science/dp/B07D8ZSJF8,B07D8ZSJF8,₹298,Kitchen
