Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Power of your Subconscious Mind,by Joseph Murphy,4.5,4985.0,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962,8192910962,₹65,Paperback
The Subtle Art of Not Giving a F*ck,by Mark Manson,4.3,1170.0,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549,0062641549,₹264,Paperback
Think and Grow Rich,by Napoleon Hill,4.6,3601.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911,8192910911,₹64,Paperback
Attitude Is Everything: Change Your Attitude ... Change Your Life!,by Jeff Keller,4.6,749.0,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071,9351772071,₹112,Paperback
"The Power of Habit: Why We Do What We Do, and How to Change",by Charles Duhigg,4.4,640.0,https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240,1847946240,₹268,Paperback
The Alchemist,by Paulo Coelho,4.6,3825.0,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,8172234988,₹182,Paperback
How to Win Friends and Influence People,by Dale Carnegie,4.5,2640.0,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997,8192910997,₹79,Paperback
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,by Gaur Gopal Das,4.7,868.0,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295,0143442295,₹165,Paperback
The 7 Habits of Highly Effective People,by R. Stephen Covey,4.0,1095.0,https://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823,1471131823,₹419,Paperback
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,by Dale Carnegie,4.5,628.0,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952,8175993952,₹88,Paperback
The Art of Dealing with People,by Les Giblin,4.1,161.0,https://www.amazon.in/Art-Dealing-People-Giblin/dp/8188452009,8188452009,₹63,Paperback
The Miracle Morning: The 6 Habits that Will Transform Your Life Before 8 AM,by Hal Elrod,4.2,85.0,https://www.amazon.in/Miracle-Morning-Habits-Transform-Before/dp/1473668948,1473668948,₹203,Paperback
"The 5 AM Club: Own Your Morning, Elevate Your Life",by Robin Sharma,4.3,146.0,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891,9387944891,₹199,Paperback
Start With Why: How Great Leaders Inspire Everyone To Take Action,by Simon Sinek,4.4,197.0,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229,0241958229,₹273,Paperback
Believe in Yourself,by Dr. Joseph Murphy,4.1,460.0,https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098,8183225098,₹71,Paperback
The Richest Man in Babylon,by George S. Clason,4.7,55.0,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317,9388144317,₹99,Paperback
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and...,by Robert T Kiyosaki,4.5,3565.0,https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194,1612680194,₹219,Mass Market Paperback
Who Will Cry When You Die?,by Robin Sharma,4.4,2796.0,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324,8179922324,₹103,Paperback
"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,443.0,https://www.amazon.in/Ready-Study-Go-Smart-Learn/dp/9352641345,9352641345,₹155,Paperback
Inner Engineering: A Yogi’s Guide to Joy,by Sadhguru,4.7,1250.0,https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845,0143428845,₹166,Paperback
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less...,by Brian Tracy,4.6,212.0,https://www.amazon.in/Eat-That-Frog-Great-Procrastinating/dp/152309513X,152309513X,₹144,Paperback
"Master Your Time, Master Your Life",by Brian Tracy,4.3,35.0,https://www.amazon.in/Master-Your-Time-Life/dp/0143132024,0143132024,₹217,Paperback
The Monk Who Sold His Ferrari,by Robin Sharma,4.6,2913.0,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X,817992162X,₹107,Paperback
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",by Daniel Kahneman,4.3,695.0,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576,0141033576,₹245,Paperback
