Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
All In One Social Science - Class 10 (2018-19 Session),by Madhumita,4.4,189.0,https://www.amazon.in/All-One-Social-Science-2018-19/dp/9312149563,9312149563,₹270,Paperback
Social and Political Life Part - 2 Textbook in Social Science for Class - 7...,by NCERT,3.9,40.0,https://www.amazon.in/Social-Political-Life-Part-Textbook/dp/8174506721,8174506721,₹55,Paperback
Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,4.7,167.0,https://www.amazon.in/Oswaal-Question-Science-Chapterwise-Topicwise/dp/9387504921,9387504921,₹320,Paperback
Social and Political Life Part - 1 Textbook in Social Science for Class - 6...,by NCERT,4.4,47.0,https://www.amazon.in/Social-Political-Life-Part-Textbook/dp/8174505113,8174505113,₹55,Paperback
Social and Political Life Part - 3 TextBook Social Science for Class - 8  - 860,by NCERT,4.0,49.0,https://www.amazon.in/Social-Political-Life-Part-TextBook/dp/8174508252,8174508252,₹55,Paperback
CBSE All  In One Social Science Class 7 for 2018 - 19,by Arihant Experts,4.3,24.0,https://www.amazon.in/CBSE-Social-Science-Class-2018/dp/9312147471,9312147471,₹144,Paperback
All In One SOCIAL SCIENCE Class 10th,,,,https://www.amazon.in/All-SOCIAL-SCIENCE-Class-10th/dp/B07DFC993R,B07DFC993R,₹367,Paperback
The Earth Our Habitat - Textbook Social Science for Class - 6  - 656,by NCERT,4.0,55.0,https://www.amazon.in/Earth-Our-Habitat-Textbook-Science/dp/8174504915,8174504915,₹50,Paperback
Golden Social Science: With Sample Papers) A book with a Difference for Class...,by Singhal J P,4.4,17.0,https://www.amazon.in/Golden-Social-Science-Sample-Difference/dp/8122423914,8122423914,₹289,Paperback
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),by Oswaal Editorial Board,4.6,25.0,https://www.amazon.in/Oswaal-Sample-Question-Social-Science/dp/9388036670,9388036670,₹150.90,Paperback
CBSE All  In one Social Science Class 9 for 2018 - 19,by Madhumita Patra,4.5,94.0,https://www.amazon.in/CBSE-Social-Science-Class-2018/dp/9312149644,9312149644,₹233,Paperback
Golden Social Science: (With Sample Papers) A Book with a Difference for Class...,by Gupta S,4.4,16.0,https://www.amazon.in/Golden-Social-Science-Sample-Difference/dp/8122421733,8122421733,₹270,Paperback
Democratic Politics - II Textbook in Social Science for Class 10 with Free Car...,by NCERT,,,https://www.amazon.in/Democratic-Politics-Textbook-Social-Science/dp/B01MF9RE17,B01MF9RE17,₹80,Paperback
Xam Idea Complete Course Social Science Class 10 for 2019 Exam,by VK Global Publications,4.2,70.0,https://www.amazon.in/Complete-Course-Social-Science-Class/dp/9387516881,9387516881,₹344,Paperback
All in one MATHEMATICS class 10th (Old Edition),by Arihant experts,4.5,258.0,https://www.amazon.in/All-one-MATHEMATICS-class-10th/dp/9311124338,9311124338,₹328,Paperback
CBSE All  In One Social Science Class 6 for 2018 - 19,by Arihant Experts,4.6,19.0,https://www.amazon.in/CBSE-Social-Science-Class-2018/dp/9312147420,9312147420,₹133,Paperback
Oswaal CBSE Question Bank Class 9 Social Science Chapterwise and Topicwise (For...,by Oswaal Editorial Board,4.6,55.0,https://www.amazon.in/Oswaal-Question-Science-Chapterwise-Topicwise/dp/9387504840,9387504840,₹295,Paperback
Democratic Politics - 1 : Textbook in Social Science for Class - 9  - 972,by NCERT,4.0,41.0,https://www.amazon.in/Democratic-Politics-Textbook-Social-Science/dp/8174505377,8174505377,₹80,Paperback
Sapiens,by Yuval Noah Harari - Unabridged,4.6,1646.0,https://www.amazon.in/Sapiens/dp/B079C1B3H6,B079C1B3H6,₹0,Audible Audiobook
Immortals of Meluha (The Shiva Trilogy Book 1),by Amish Tripathi,4.6,2644.0,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book-ebook/dp/B008593O8S,B008593O8S,₹238.45,Kindle Edition
21 Lessons for the 21st Century,by Yuval Noah Harari - Unabridged,4.0,100.0,https://www.amazon.in/21-Lessons-21st-Century/dp/B07BVLQNRQ,B07BVLQNRQ,₹0,Audible Audiobook
CTET Success Master Science Social/Studies Paper-II  for Class VI-VIII,by Arihant Experts,4.2,40.0,https://www.amazon.in/Success-Science-Studies-Paper-II-VI-VIII/dp/9312140221,9312140221,₹309,Paperback
