Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Indian Society Textbook in Sociology for Class - 12  - 12111",by NCERT,4.1,13,https://www.amazon.in/Indian-Society-Textbook-Sociology-Class/dp/8174506527,8174506527,₹105,Paperback
"Understanding Society(Textbook For Class XI)",,2.9,6,https://www.amazon.in/Understanding-Society-Textbook-Class-XI/dp/B06ZZYTGJR,B06ZZYTGJR,,Paperback
"Social Change and Development in India Textbook in Sociology for Class 12  -...",by NCERT,3.9,11,https://www.amazon.in/Social-Change-Development-Textbook-Sociology/dp/8174507280,8174507280,₹105,Paperback
"Guns, Germs And Steel",by Jared Diamond,4.5,56,https://www.amazon.in/Guns-Germs-Steel-Jared-Diamond/dp/0099302780,0099302780,₹450,Paperback
"The Holy Science",by Swami Sri Yukteswar Giri,4.6,156,https://www.amazon.in/Holy-Science-Swami-Yukteswar-Giri/dp/8189535196,8189535196,₹75,Paperback
"Society Of Mind (A Touchstone book)",by Marvin Minsky,5,2,https://www.amazon.in/Society-Mind-Touchstone-Marvin-Minsky/dp/0671657135,0671657135,₹750,Paperback
"Indian Society For Civil Services Main Examination GS Paper I",by Kumar M. Senthil,3.6,27,https://www.amazon.in/Indian-Society-Civil-Services-Examination/dp/9332588023,9332588023,₹157,Paperback
"Immortals of Meluha (The Shiva Trilogy Book 1)",by Amish Tripathi,4.6,2644,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book-ebook/dp/B008593O8S,B008593O8S,₹238.45,Kindle Edition
"Becoming",by Michelle Obama - Import,4.8,64,https://www.amazon.in/Becoming-Michelle-Obama/dp/0241334144,0241334144,₹498,Hardcover
"Among the Believers: An Islamic Journey",by Sir V.S. Naipaul,4.7,7,https://www.amazon.in/Among-Believers-V-S-Naipaul/dp/0330522825,0330522825,₹375,Paperback
"TNPSC Group IIIA Services Junior Inspector of Co-Operative Societies Exam Books...",by V.V.K SUBBURAJ,4.5,2,https://www.amazon.in/Services-Junior-Inspector-Co-Operative-Societies/dp/9387612813,9387612813,₹380,Paperback
"The Penguin History of Early India: From the Origins to AD 1300",by Romila Thapar,3.9,136,https://www.amazon.in/Penguin-History-Early-India-Origins/dp/0143029894,0143029894,₹347,Paperback
