Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"281 and Beyond",by VVS Laxman,4.6,23,https://www.amazon.in/281-Beyond-VVS-Laxman/dp/9387578771,9387578771,₹411,Hardcover
"Eleven Gods and a Billion Indians: The On and Off the Field Story of Cricket...",by Boria Majumdar - Import,4.4,24,https://www.amazon.in/Eleven-Gods-Billion-Indians-Cricket/dp/9386797186,9386797186,₹373,Hardcover
"A Century is not Enough: My Roller-coaster Ride to Success",by Sourav Ganguly - Illustrated,4.6,324,https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564,9386228564,₹434,Hardcover
"Faster than Lightning My Story",by Usain Bolt,4.6,91,https://www.amazon.in/Faster-than-Lightning-My-Story/dp/0008154201,0008154201,₹218,Paperback
"Playing It My Way",by Sachin Tendulkar - Abridged,4.5,2065,https://www.amazon.in/Playing-My-Way-Sachin-Tendulkar/dp/1473605172,1473605172,₹419,Paperback
"Barefoot to Boots: The Many Lives of Indian Football",by Novy Kapadia,4.9,12,https://www.amazon.in/Barefoot-Boots-Lives-Indian-Football/dp/0143426419,0143426419,₹274,Paperback
"Dipa Karmakar: The Small Wonder (India's First Ever Female Gymnast to Compete...",by Bishweshwar Nandi,4.7,4,https://www.amazon.in/Dipa-Karmakar-Gymnast-Compete-Olympics/dp/9388369505,9388369505,₹349,Hardcover
"The Complete Indian Sports Quiz Book",by Vijayan Bala,4,5,https://www.amazon.in/Complete-Indian-Sports-Quiz-Book/dp/9351941450,9351941450,₹396,Paperback
"Endure: Mind, Body and the Curiously Elastic Limits of Human Performance",by Alex Hutchinson,4.6,5,https://www.amazon.in/Endure-Curiously-Elastic-Limits-Performance/dp/0008277060,0008277060,₹434,Paperback
"Women in Sports (Women in Science)",by Rachel Ignotofsky,5,1,https://www.amazon.in/Women-Sports-Science-Rachel-Ignotofsky/dp/1607749785,1607749785,₹375,Hardcover
"A Corner of a Foreign Field: The Indian History of a British Sport",by Ramachandra Guha,4.5,16,https://www.amazon.in/Corner-Foreign-Field-History-British/dp/0143427687,0143427687,₹390,Paperback
"Relentless: From Good to Great to Unstoppable",by Tim S. Grover,4.4,51,https://www.amazon.in/Relentless-Unstoppable-Tim-S-Grover/dp/1476714207,1476714207,₹399,Paperback
"The Ultimate Bodybuilding Diet, Nutrition and Workout Plan for Men and Women",by Jenny Allan,3.8,26,https://www.amazon.in/Ultimate-Bodybuilding-Nutrition-Workout-Women-ebook/dp/B00EKH4H3A,B00EKH4H3A,₹0,Kindle Edition
"The Dhoni Touch: Unravelling the Enigma That Is Mahendra Singh Dhoni",by Bharat Sundaresan,4.6,87,https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063,0143440063,₹174,Paperback
"India Unlimited Book 4: The Sports Quiz Book",by Kunal Savarkar,5,2,https://www.amazon.in/India-Unlimited-Book-Sports-Quiz/dp/9386106469,9386106469,₹138,Paperback
"The Sports Book (Dk)",by DK,4,9,https://www.amazon.in/Sports-Book-Dk-DK/dp/1409335089,1409335089,₹903,Hardcover
"Alex Ferguson: My Autobiography",by Alex Ferguson,4.7,81,https://www.amazon.in/Alex-Ferguson-My-Autobiography/dp/034091940X,034091940X,₹492,Paperback
"The Winning Way 2.0: Learnings From Sport for Managers",by Anita Bhogle,4.2,86,https://www.amazon.in/Winning-Way-2-0-Learnings-Managers/dp/938622478X,938622478X,₹219,Paperback
"Yoga Anatomy",by Leslie Kaminoff,4.7,24,https://www.amazon.in/Yoga-Anatomy-Leslie-Kaminoff/dp/1450400248,1450400248,₹945,Paperback
"I Am Zlatan Ibrahimovic",by Zlatan Ibrahimovic,4.8,51,https://www.amazon.in/I-Am-Zlatan-Ibrahimovic/dp/0241966833,0241966833,₹374,Paperback
"Shoe Dog: A Memoir by the Creator of NIKE",by Phil Knight,4.6,377,https://www.amazon.in/Shoe-Dog-Memoir-Creator-NIKE/dp/1471146723,1471146723,₹350.52,Paperback
"Children's Book of Sport (Dk)",by DK,4.5,2,https://www.amazon.in/Childrens-Book-Sport-Dk-DK/dp/1405368500,1405368500,₹434,Hardcover
"AB de Villiers - The Autobiography",by A B de Villiers,4.6,227,https://www.amazon.in/AB-Villiers-Autobiography-B/dp/1509842764,1509842764,₹565,Paperback
"Peppa Pig: Sports Day - Read it yourself with Ladybird: Level 2",by NA,4.5,24,https://www.amazon.in/Peppa-Pig-Sports-yourself-Ladybird/dp/0723273170,0723273170,₹111,Paperback
"Federer",by Chris Bowers,4,16,https://www.amazon.in/Federer-Chris-Bowers/dp/9381506841,9381506841,₹326,Paperback
"The Illustrated History of Football",by David Squires,4.7,9,https://www.amazon.in/Illustrated-History-Football-David-Squires/dp/1780895585,1780895585,₹531.23,Hardcover
"Open: An Autobiography",by Andre Agassi,4.7,160,https://www.amazon.in/Open-Autobiography-Andre-Agassi/dp/0007416792,0007416792,₹311,Paperback
"Bobby Fischer Teaches Chess",by Bobby Fischer,3.7,85,https://www.amazon.in/Bobby-Fischer-Teaches-Chess/dp/0553263153,0553263153,₹350,Mass Market Paperback
"Unbreakable",by Mary Kom,4.6,158,https://www.amazon.in/Unbreakable-Mary-Kom/dp/9351160092,9351160092,₹145,Paperback
"Cricket Stars",by Pegasus Team - Import,4.3,18,https://www.amazon.in/Cricket-Stars-Pegasus-Team/dp/8131937135,8131937135,₹142,Paperback
"Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli)",by Luca Caioli,5,9,https://www.amazon.in/Ronaldo-Updated-Obsession-Perfection-Caioli/dp/1785782312,1785782312,₹359,Paperback
"Winning Like Virat: Think and Succeed like Kohli",by Abhirup Bhattacharya - Import,4.1,34,https://www.amazon.in/Winning-Like-Virat-Think-Succeed/dp/8129146061,8129146061,₹195,Paperback
"It's Not About The Bike: My Journey Back to Life",by Lance Armstrong,4.3,34,https://www.amazon.in/Its-Not-About-Bike-Journey/dp/0224060872,0224060872,₹341,Paperback
