Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,443.0,https://www.amazon.in/Ready-Study-Go-Smart-Learn/dp/9352641345,9352641345,₹178,Paperback
Introducing Psychology: A Graphic Guide (Introducing...),by Nigel Benson,4.2,36.0,https://www.amazon.in/Introducing-Psychology-Graphic-Guide-ebook/dp/B00ZCKBYKS,B00ZCKBYKS,₹145.66,Kindle Edition
No Fear Shakespeare: The Merchant of Venice,by Spark Notes Editors,4.6,147.0,https://www.amazon.in/No-Fear-Shakespeare-Merchant-Venice/dp/1586638505,1586638505,₹291,Paperback
ICSE STUDY - AID In History and Civics Class - 10,by D.E. Sequeira,5.0,2.0,https://www.amazon.in/ICSE-STUDY-History-Civics-Class/dp/B00PN4BSO0,B00PN4BSO0,,Paperback
Speed Reading: How to Double (or Triple) Your Reading Speed in Just 1 Hour!,by Justin Hammond,3.9,461.0,https://www.amazon.in/Speed-Reading-Double-Triple-Your-ebook/dp/B008J2MMWU,B008J2MMWU,₹64.12,Kindle Edition
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,by KVS Madaan,4.4,512.0,https://www.amazon.in/NTA-UGC-NET-SET-JRF/dp/9332551731,9332551731,₹216,Paperback
"Mind Maps: Quicker Notes, Better Memory, and Improved Learning 3.0",by Kam Knight,5.0,10.0,https://www.amazon.in/Mind-Maps-Quicker-Improved-Learning-ebook/dp/B001UE7D0K,B001UE7D0K,₹449,Kindle Edition
CBSE WORKBOOK MATH MAGIC CLASS 1 for 2018 - 19,by Arihant Experts,4.4,12.0,https://www.amazon.in/CBSE-WORKBOOK-MATH-MAGIC-CLASS/dp/9311122092,9311122092,₹50,Paperback
Spoken English: Real life Phrases and Sentences To Speak English Fluently,by NEO,3.8,5.0,https://www.amazon.in/Spoken-English-Phrases-Sentences-Fluently-ebook/dp/B01MXZ4EKF,B01MXZ4EKF,₹99,Kindle Edition
Banking Awareness,by Arihant Experts,3.7,123.0,https://www.amazon.in/Banking-Awareness-Arihant-Experts/dp/9311124664,9311124664,₹91,Paperback
