Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Theory of Everything",by Stephen Hawking - Special Edition,4.5,537,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919,8179925919,₹131,Paperback
"Nikola Tesla: Imagination and the Man That Invented the 20th Century",by Sean Patrick,4.5,857,https://www.amazon.in/Nikola-Tesla-Imagination-Invented-Century-ebook/dp/B00CATSONE,B00CATSONE,₹0,Kindle Edition
"Mechanical Engineering: Conventional and Objective Types (2018-19 Session)",by R.S. Khurmi,4,603,https://www.amazon.in/Mechanical-Engineering-Conventional-Objective-2018-19/dp/8121906288,8121906288,₹430,Paperback
"Solar Energy: The physics and engineering of photovoltaic conversion, technologies...",by Arno Smets,3.9,26,https://www.amazon.in/Solar-Energy-engineering-photovoltaic-technologies-ebook/dp/B0198VHPHM,B0198VHPHM,₹0,Kindle Edition
"Objective Electrical Technology (2018-19 Session)",by V.K Mehta,4.1,393,https://www.amazon.in/Objective-Electrical-Technology-2018-19-Session/dp/8121920973,8121920973,₹494,Paperback
"CATIA V5-6R2015 Basics - Part I: Getting Started and Sketcher Workbench",by Tutorial Books,4.2,29,https://www.amazon.in/CATIA-V5-6R2015-Basics-Sketcher-Workbench-ebook/dp/B014HMG6V8,B014HMG6V8,₹0,Kindle Edition
"Science and Technology: For Civil Services Preliminary and Main Examinations",by Ravi P. Agrahari,3.4,54,https://www.amazon.in/Science-Technology-Services-Preliminary-Examinations/dp/9353160898,9353160898,₹494,Paperback
"Advances in Production Technology (Lecture Notes in Production Engineering)",by Christian Brecher,5,2,https://www.amazon.in/Advances-Production-Technology-Lecture-Engineering-ebook/dp/B00S15VPKA,B00S15VPKA,₹0,Kindle Edition
"Elements of Robotics",by Mordechai Ben-Ari,4.6,3,https://www.amazon.in/Elements-Robotics-Mordechai-Ben-Ari-ebook/dp/B0787V1C5Y,B0787V1C5Y,₹0,Kindle Edition
"Civil Engineering: Conventional and Objective Type (2018-19 Session)",by R.S Khurmi,4.1,408,https://www.amazon.in/Civil-Engineering-Conventional-Objective-2018-19/dp/812192605X,812192605X,₹478,Paperback
"Science and Technology for Civil Services Examination",by Ravi Agrahari,4.1,92,https://www.amazon.in/Science-Technology-Civil-Services-Examination-ebook/dp/B079MCPMBR,B079MCPMBR,₹475,Kindle Edition
"Civil Engineering: Through Objective Type Questions",by S P Gupta,4.2,307,https://www.amazon.in/Civil-Engineering-Through-Objective-Questions/dp/8123907974,8123907974,₹316,Paperback
"RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Computer...",by GKP,4.8,8,https://www.amazon.in/RRB-Railway-Recruitment-Board-2019/dp/9388426991,9388426991,₹623.87,Paperback
"Thomas Edison: A Life From Beginning to End (Biographies of Business Leaders...",by Hourly History,4.2,32,https://www.amazon.in/Thomas-Edison-Life-Beginning-End-ebook/dp/B06XGMZD27,B06XGMZD27,₹0,Kindle Edition
"Textbook of Medical Laboratory Technology Vol 1 & 2",by Godkar P.B.,4.4,52,https://www.amazon.in/Textbook-Medical-Laboratory-Technology-Vol/dp/9381496196,9381496196,₹1,720,Paperback
"Science and Technology: Civil Services Prelims and Main Examinations (2019) by...",by Sheelwant Singh,4.7,4,https://www.amazon.in/Science-Technology-Services-Prelims-Examinations/dp/9352864611,9352864611,₹421,Paperback
"The Alexandria Project: A Tale of Treachery and Technology (Frank Adversego Thrillers...",by Andrew Updegrove,4,2,https://www.amazon.in/Alexandria-Project-Treachery-Technology-Adversego-ebook/dp/B01AF1H6XC,B01AF1H6XC,₹279,Kindle Edition
"GATE 2019: Computer Science and IT Engineering - Previous Solved Papers",by Made Easy Editorial Board,4.1,66,https://www.amazon.in/GATE-2019-Computer-Engineering-Previous/dp/935147366X,935147366X,₹580,Paperback
"Web Technologies: HTML, JAVASCRIPT, PHP, JAVA, JSP, ASP.NET, XML and Ajax, Black...",by Kogent Learning Solutions Inc.,4.2,27,https://www.amazon.in/Web-Technologies-JAVASCRIPT-ASP-NET-Javascript/dp/8177229974,8177229974,₹526,Paperback
"Science & Technology",by Ashok Singh,3.8,47,https://www.amazon.in/Science-Technology-Ashok-Singh/dp/0070655480,0070655480,₹355,Paperback
"Write Effective Emails at Work: 6 Keys That Take 5 Minutes or Less",by Ramakrishna Reddy,4,28,https://www.amazon.in/Write-Effective-Emails-Work-Minutes-ebook/dp/B075J5K8YP,B075J5K8YP,₹0,Kindle Edition
"Information Technology",by Indian Institute of Banking & Finance (IIBF),5,2,https://www.amazon.in/Information-Technology-Institute-Banking-Finance/dp/9388175859,9388175859,₹525,Paperback
"Civil Engineering (Objective Type)",by P. Jaya Rami Reddy,3.8,56,https://www.amazon.in/Civil-Engineering-Objective-Type-Reddy/dp/8131808785,8131808785,₹581,Paperback
"Designing Sustainable Energy for All: Sustainable Product-Service System Design...",by Carlo Vezzoli,5,1,https://www.amazon.in/Designing-Sustainable-Energy-All-Product-Service-ebook/dp/B07D52KFGB,B07D52KFGB,₹0,Kindle Edition
"A Textbook of Electrical Technology: Volume 2 AC and DC Machines: AC and DC Machines...",by B L Theraja,4.1,32,https://www.amazon.in/Textbook-Electrical-Technology-Machines-Vol/dp/8121924375,8121924375,₹550,Paperback
