Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"The Shooting Star: A Girl, Her Backpack and the World",by Shivya Nath,4.7,139,https://www.amazon.in/Shooting-Star-Girl-Backpack-World/dp/0143443194,0143443194,₹180,Paperback
"Destinations of a Lifetime (National Geographic)",by National Geographic,4.3,15,https://www.amazon.in/Destinations-Lifetime-National-Geographic/dp/1426215649,1426215649,₹1,495,Hardcover
"The Motorcycle Diaries",by Ernesto 'Che' Guevara,4.5,204,https://www.amazon.in/Motorcycle-Diaries-Ernesto-Che-Guevara/dp/0007272901,0007272901,₹218,Paperback
"My Travel Journal",by The Unscripted Life,4.7,5,https://www.amazon.in/My-Travel-Journal-Unscripted-Life/dp/9353005140,9353005140,₹349,Hardcover
"100 Countries, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do...",by National Geographic,4.7,4,https://www.amazon.in/100-Countries-000-Ideas-Geographic/dp/1426207581,1426207581,₹1,348,Paperback
"India The Journey - A Travel Book on India",by MRM Publications,3.4,8,https://www.amazon.in/India-Journey-Travel-Book/dp/819369435X,819369435X,₹500,Paperback
"1,000 Places to See Before You Die",by Patricia Schultz,3.4,10,https://www.amazon.in/000-Places-See-Before-You/dp/0761156860,0761156860,₹899,Paperback
"Sell Products on Amazon with Fulfillment by Amazon: Quit Your Day Job and Travel...",by Frank Aaron Florence,4.6,14,https://www.amazon.in/Sell-Products-Amazon-Fulfillment-Travel-ebook/dp/B00JJZTQHU,B00JJZTQHU,₹0,Kindle Edition
"Chai, Chai: 1",by Bishwanath Ghosh,3.7,92,https://www.amazon.in/Chai-1-Bishwanath-Ghosh/dp/9380032862,9380032862,₹275,Paperback
"Around India in 80 Trains",by Monisha Rajesh,3.9,46,https://www.amazon.in/Around-India-Trains-Monisha-Rajesh/dp/8174369139,8174369139,₹295,Paperback
"The Land of Moonlit Snows: & Other Real Travel Stories from the Indian Himalaya",by Gaurav Punj,4.5,61,https://www.amazon.in/Land-Moonlit-Snows-Stories-Himalaya/dp/9387578372,9387578372,₹228,Paperback
"Himalaya: Adventures, Meditations, Life",by Ruskin Bond,4.5,25,https://www.amazon.in/Himalaya-Adventures-Meditations-Ruskin-Bond/dp/938528892X,938528892X,₹636,Hardcover
"Gulliver’s Travels",by Jonathan Swift,4.1,111,https://www.amazon.in/Gullivers-Travels-Jonathan-Swift/dp/8175993251,8175993251,₹99,Paperback
"SPCreation Travel Handmade Handicraft Diary (12.7cm X 17.78 cm)(94 Pages)",by SPcreation,4.1,39,https://www.amazon.in/SPCreation-Travel-Handmade-Handicraft-12-7cm/dp/B01MUDQSM5,B01MUDQSM5,₹199,
"Backpacking North East India: A Curious Journey",by Abhijeet Deshpande - Import,4.8,28,https://www.amazon.in/Backpacking-North-East-India-Curious/dp/1946556793,1946556793,₹449,Paperback
"Journeys of a Lifetime: 500 of the World's Greatest Trips",by National Geographic,4,2,https://www.amazon.in/Journeys-Lifetime-Worlds-Greatest-Trips/dp/1426201257,1426201257,₹1,718,Hardcover
"The Travel Book: A Journey Through Every Country in the World (Lonely Planet)",by Lonely Planet,3.4,5,https://www.amazon.in/Travel-Book-Journey-Through-Country/dp/178657120X,178657120X,₹3,046,Hardcover
"The Lonely Planet Kids Travel Book: Mind-Blowing Stuff on Every Country in the...",by Lonely Planet Kids,4.2,7,https://www.amazon.in/Lonely-Planet-Kids-Travel-Book-ebook/dp/B016PJQPUI,B016PJQPUI,₹486.12,Kindle Edition
"Tales from India",by Rudyard Kipling,4.5,5,https://www.amazon.in/Tales-India-Rudyard-Kipling/dp/9380914415,9380914415,₹208,Paperback
"The Alchemist",by Paulo Coelho,4.6,3839,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,8172234988,₹209,Paperback
"The Living Road: A Motorcycle Journey to Bhutan: 1",by Ajit Harisinghani,4.3,32,https://www.amazon.in/Living-Road-Motorcycle-Journey-Bhutan/dp/9385152440,9385152440,₹288,Paperback
"Travel Between the Lines Adult Coloring Book: Inspriational Coloring for Globetrotters...",by Katie Matthews,3.8,10,https://www.amazon.in/Travel-Between-Lines-Adult-Coloring/dp/0994973128,0994973128,₹439,Paperback
"Tales from the Road... (First edition)",by CA Aniket Ketkar,4.8,30,https://www.amazon.in/Tales-Road-First-Aniket-Ketkar/dp/819329792X,819329792X,₹290,Paperback
"Chris & Kate Black Travel Passport Holder || Cheque Book Holder || ATM Debit-Credit...",by Chris & Kate,,,https://www.amazon.in/Chris-Kate-Debit-Credit-Organiser-CKB_212AI/dp/B07MTHYD4D,B07MTHYD4D,₹349,
"National Geographic: The Photographs (National Geographic Collectors Series)",by Leah Bendavid-Val,4.4,23,https://www.amazon.in/National-Geographic-Photographs-Collectors/dp/1426202911,1426202911,₹995,Hardcover
