Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
"India's Most Fearless",by Shiv Aroor - Unabridged,4.7,274,https://www.amazon.in/Indias-Most-Fearless/dp/B07MWBG17H,B07MWBG17H,₹0,Audible Audiobook
"The Indian Spy: The True Story of the Most Remarkable Secret Agent of World War II",by Mihir Bose,4.7,4,https://www.amazon.in/Indian-Spy-Story-Remarkable-Secret-ebook/dp/B06XSJDQ45,B06XSJDQ45,₹99,Kindle Edition
"Healed: How Cancer Gave Me a New Life",by Manisha Koirala,4.5,8,https://www.amazon.in/Healed-How-Cancer-Gave-Life/dp/0670091979,0670091979,₹309,Hardcover
"281 and Beyond",by VVS Laxman,4.6,23,https://www.amazon.in/281-Beyond-VVS-Laxman/dp/9387578771,9387578771,₹411,Hardcover
"Adolf Hitler: A Life From Beginning to End (World War 2 Biographies Book 1)",by Hourly History,4.1,593,https://www.amazon.in/Adolf-Hitler-Beginning-World-Biography-ebook/dp/B01M2Y9QZE,B01M2Y9QZE,₹199,Kindle Edition
"When Breath Becomes Air",by Paul Kalanithi,4.6,626,https://www.amazon.in/When-Breath-Becomes-Paul-Kalanithi/dp/1847923674,1847923674,₹332,Hardcover
"True Crime 2018: Homicide & True Crime Stories of 2018 (Annual True Crime Anthology...",by Jack Rosewood,5,4,https://www.amazon.in/True-Crime-2018-Homicide-Anthology-ebook/dp/B07MWJ4C8C,B07MWJ4C8C,₹0,Kindle Edition
"Bad Blood: Secrets and Lies in a Silicon Valley Startup",by John Carreyrou,4.8,36,https://www.amazon.in/Bad-Blood-Secrets-Silicon-Startup/dp/1509868070,1509868070,₹545,Paperback
"The Diary of a Young Girl",by Anne Frank,4.5,759,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600,8193387600,₹68,Paperback
"Man's Search for Meaning",by Viktor E Frankl,4.3,711,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244,1846041244,₹240,Paperback
"Edmund Kemper: The Life of the Co-Ed Killer (True Crime Biographies Book 3)",by Hourly History,4,1,https://www.amazon.in/Edmund-Kemper-Co-Ed-Killer-Biographies-ebook/dp/B078HVHR4G,B078HVHR4G,₹199,Kindle Edition
