Title,Author,Rating,Reviews Count,URL,ISBN-10,Price,Binding
The Book Thief (Definitions Young Adult),by Markus Zusak,4.5,87.0,https://www.amazon.in/Book-Thief-Definitions-Young-Adult/dp/1909531618,1909531618,₹379,Paperback
Eleanor & Park,by Rainbow Rowell,4.4,190.0,https://www.amazon.in/Eleanor-Park-Rainbow-Rowell/dp/1409120546,1409120546,₹269,Paperback
The Boy in the Striped Pyjamas (Vintage Childrens Classics),by John Boyne,4.6,134.0,https://www.amazon.in/Striped-Pyjamas-Vintage-Childrens-Classics/dp/0099572869,0099572869,₹173,Paperback
The Sun is also a Star,by Nicola Yoon,4.5,73.0,https://www.amazon.in/Sun-also-Star-Nicola-Yoon/dp/0552574244,0552574244,₹319,Paperback
Turtles All the Way Down,by John Green,4.2,256.0,https://www.amazon.in/Turtles-All-Down-John-Green/dp/0241335434,0241335434,₹373,Hardcover
My Heart and Other Black Holes,by Jasmine Warga,4.4,33.0,https://www.amazon.in/My-Heart-Other-Black-Holes/dp/0062324683,0062324683,₹379.05,Paperback
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),by Ransom Riggs - Illustrated,4.2,43.0,https://www.amazon.in/Miss-Peregrines-Home-Peculiar-Children/dp/1594746036,1594746036,₹299,Paperback
"The 1,000-Year-Old Boy",by Ross Welford,4.8,5.0,https://www.amazon.in/1-000-Year-Old-Boy-Ross-Welford/dp/0008256942,0008256942,₹315.62,Paperback
All the Bright Places,by Jennifer Niven,4.7,223.0,https://www.amazon.in/All-Bright-Places-Jennifer-Niven/dp/0141357037,0141357037,₹248,Paperback
The Diary of a Young Girl,by Anne Frank,4.5,759.0,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600,8193387600,₹68,Paperback
Holding Up the Universe,by Jennifer Niven,4.1,32.0,https://www.amazon.in/Holding-Up-Universe-Jennifer-Niven/dp/0141357053,0141357053,₹314,Paperback
Aristotle and Dante Discover the Secrets of the Universe,by Benjamin Alire Sáenz,4.5,75.0,https://www.amazon.in/Aristotle-Dante-Discover-Secrets-Universe/dp/1442408936,1442408936,₹263,Paperback
Norwegian Wood,by Haruki Murakami,4.3,178.0,https://www.amazon.in/Norwegian-Wood-Haruki-Murakami/dp/0099448823,0099448823,₹249,Paperback
Looking for Alaska,by John Green,4.3,512.0,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521,0007523521,₹218,Paperback
Simon Vs the Homo Sapiens Agenda,by Becky Albertalli,4.5,97.0,https://www.amazon.in/Simon-Vs-Homo-Sapiens-Agenda/dp/014135609X,014135609X,₹320,Paperback
If There’s No Tomorrow,by Jennifer L. Armentrout,4.4,3.0,https://www.amazon.in/If-Theres-Tomorrow-Jennifer-Armentrout/dp/1848456875,1848456875,₹185,Paperback
The Chronicles of Kerrigan Box Set Books # 1 - 6: Paranormal Fantasy Young Adult...,by W.J. May,4.3,6.0,https://www.amazon.in/Chronicles-Kerrigan-Box-Set-Books-ebook/dp/B01MTPKBAP,B01MTPKBAP,₹0,Kindle Edition
The Handmaid's Tale (Contemporary Classics),by Margaret Atwood,4.3,97.0,https://www.amazon.in/Handmaids-Tale-Contemporary-Classics/dp/0099740915,0099740915,₹347,Paperback
The Girl on the Train,by Paula Hawkins,3.8,922.0,https://www.amazon.in/Girl-Train-Paula-Hawkins/dp/0552779776,0552779776,₹230,Paperback
Thirteen Reasons Why,by Jay Asher,4.3,423.0,https://www.amazon.in/Thirteen-Reasons-Why-Jay-Asher/dp/0141328290,0141328290,₹259,Paperback
If I Stay,by Gayle Forman,3.9,111.0,https://www.amazon.in/If-I-Stay-Gayle-Forman/dp/1909531235,1909531235,₹255,Paperback
The Fault in Our Stars (Movie Tie-in),by John Green,4.5,1569.0,https://www.amazon.in/Fault-Our-Stars-Movie-Tie/dp/0141355077,0141355077,₹211,Paperback
A Thousand Pieces of You (Firebird),by Claudia Gray,3.8,8.0,https://www.amazon.in/Thousand-Pieces-You-Firebird/dp/0062278975,0062278975,₹399,Paperback
Perfect (Flawed 2),by Cecelia Ahern,4.5,70.0,https://www.amazon.in/Perfect-Flawed-2-Cecelia-Ahern/dp/0008125163,0008125163,₹196,Paperback
Why I Am a Hindu,by Dr. Shashi Tharoor,3.4,260.0,https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102,9386021102,₹327,Hardcover
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,https://www.amazon.in/Perks-Being-Wallflower-Stephen-Chbosky/dp/1451696191,1451696191,₹186,Paperback
Carve the Mark,by Veronica Roth,4.1,33.0,https://www.amazon.in/Carve-Mark-Veronica-Roth/dp/0008242763,0008242763,₹367,Paperback
Great Stories for Children,by Ruskin Bond,4.4,217.0,https://www.amazon.in/Great-Stories-Children-Ruskin-Bond/dp/8129118920,8129118920,₹182,Paperback
Fangirl,by Rainbow Rowell - Unabridged,4.2,186.0,https://www.amazon.in/Fangirl-Rainbow-Rowell/dp/1447263227,1447263227,₹320,Paperback
