Name,URL,Author,Price,No. of Ratings,Rating,ISBN
The Girl in Room 105,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469?_encoding=UTF8&psc=1,Chetan Bhagat,99.00,"1,486",4.1 out of 5 stars,1542040469
The Power of your Subconscious Mind,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,Joseph Murphy,65.00,"4,977",4.5 out of 5 stars,8192910962
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1,Gaur Gopal Das,125.00,863,4.7 out of 5 stars,0143442295
"The 5 AM Club: Own Your Morning, Elevate Your Life",https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891?_encoding=UTF8&psc=1,Robin Sharma,199.00,143,4.3 out of 5 stars,9387944891
Think and Grow Rich,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,Napoleon Hill,64.00,"3,596",4.6 out of 5 stars,8192910911
General Knowledge 2019,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1,Manohar Pandey,19.00,515,4.2 out of 5 stars,9312147307
Notes for Healthy Kids,https://www.amazon.in/Notes-Healthy-Kids-Rujuta-Diwekar/dp/9387894525?_encoding=UTF8&psc=1,Rujuta Diwekar,234.00,32,4.7 out of 5 stars,9387894525
Indian Polity 5th Edition,https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,M. Laxmikanth,426.00,"2,943",4.5 out of 5 stars,935260363X
Sapiens: A Brief History of Humankind,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,Yuval Noah Harari,249.00,"1,633",4.6 out of 5 stars,0099590085
The Subtle Art of Not Giving a F*ck,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,Mark Manson,263.00,"1,165",4.3 out of 5 stars,0062641549
General Knowledge,https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1,Not Available,156.00,"2,035",4.4 out of 5 stars,9384761540
Word Power Made Easy,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,Norman Lewis,76.00,"5,643",4.4 out of 5 stars,8183071007
Quantitative Aptitude for Competitive Examinations,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1,R S Aggarwal,427.00,"3,310",4.1 out of 5 stars,9352534026
Becoming,https://www.amazon.in/Becoming-Michelle-Obama/dp/0241334144?_encoding=UTF8&psc=1,Michelle Obama,519.00,55,4.8 out of 5 stars,0241334144
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,Paulo Coelho,182.00,"3,820",4.6 out of 5 stars,8172234988
A Brief History of Modern India (2018-2019) Session by Spectrum Book,https://www.amazon.in/History-Modern-2018-2019-Session-Spectrum/dp/8179306887?_encoding=UTF8&psc=1,Not Available,222.00,220,4.4 out of 5 stars,8179306887
Manorama Yearbook 2019 ( English),https://www.amazon.in/Manorama-Yearbook-English-Philip-Mathew/dp/8193769716?_encoding=UTF8&psc=1,Not Available,228.00,37,4.5 out of 5 stars,8193769716
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World),https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1,Robert T Kiyosaki,219.00,"3,563",4.5 out of 5 stars,1612680194
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),https://www.amazon.in/Prelims-Topic-wise-Solved-Papers-1995-2018/dp/9388026586?_encoding=UTF8&psc=1,Disha Experts,270.00,220,4.3 out of 5 stars,9388026586
The Monk Who Sold His Ferrari,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1,Robin Sharma,107.00,"2,912",4.5 out of 5 stars,817992162X
How to Win Friends and Influence People,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1,Dale Carnegie,79.00,"2,640",4.5 out of 5 stars,8192910997
The Intelligent Investor (English) Paperback – 2013,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1,Benjamin Graham,350.00,"1,090",4.3 out of 5 stars,0062312685
Attitude Is Everything: Change Your Attitude ... Change Your Life!,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1,Jeff Keller,105.00,748,4.6 out of 5 stars,9351772071
Indian Economy: For UPSC Civil Services & Other State PSC Examinations,https://www.amazon.in/Indian-Economy-Civil-Services-Examinations/dp/9387572862?_encoding=UTF8&psc=1,Ramesh Singh,348.00,217,3.9 out of 5 stars,9387572862
Inner Engineering: A Yogi’s Guide to Joy,https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1,Sadhguru,167.00,"1,249",4.7 out of 5 stars,0143428845
A Modern Approach to Verbal & Non-Verbal Reasoning,https://www.amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167?_encoding=UTF8&psc=1,R.S. Aggarwal,550.00,357,4.4 out of 5 stars,9352832167
Lucent's General Science (2018-2019) Session,https://www.amazon.in/Lucents-General-Science-2018-2019-Session/dp/9384761141?_encoding=UTF8&psc=1,Not Available,Rs. 150.00,220,4.1 out of 5 stars,9384761141
Wings of Fire: An Autobiography of Abdul Kalam,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1,Not Available,194.00,"2,131",4.6 out of 5 stars,8173711461
Designing Destiny,https://www.amazon.in/Designing-Destiny-Kamlesh-D-Patel/dp/9387894533?_encoding=UTF8&psc=1,Not Available,263.00,1,5.0 out of 5 stars,9387894533
The Forest of Enchantments,https://www.amazon.in/Forest-Enchantments-Chitra-Banerjee-Divakaruni/dp/9353025982?_encoding=UTF8&psc=1,Chitra Banerjee Divakaruni,373.00,8,4.6 out of 5 stars,9353025982
My First Library: Boxset of 10 Board Books for Kids,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1,Not Available,468.00,92,4.6 out of 5 stars,9387779262
"Don't Lose Your Mind, Lose Your Weight",https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1,Rujuta Diwekar,118.00,"1,003",4.5 out of 5 stars,8184001053
