URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/untouchable/p/itmfbe2pxgrbdfga?pid=9780143027805&lid=LSTBOK9780143027805L4O0IX&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=7d7bb271-0b48-43bf-a8a3-444f116e4cfe.9780143027805.SEARCH&qH=7d8949bcbf85067f, Rs: 186, Untouchable,  Mulk Raj anand,4.4,486,32,English,Paperback,Penguin, , 0143027808,9780143027805 ,160,01 & 2011
https://www.flipkart.com/10-judgements-changed-india/p/itmfc5cdnhyfd6gf?pid=9780670086627&lid=LSTBOK9780670086627ZXBKTZ&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=89d0960c-12ed-4a9f-9342-7f8db6a8d8db.9780670086627.SEARCH&qH=7d8949bcbf85067f, Rs: 320, 10 Judgements That Changed India,  Mody Zia,4.5,529,37,English,Hardcover,Penguin,History, 0670086622,9780670086627 ,256, 
https://www.flipkart.com/bank-vittiya-prabandhan-2nd/p/itmdv4dhg4f68grq?pid=9789350710166&lid=LSTBOK9789350710166XAUZKZ&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=08cf0c8e-a227-4c1c-bd10-644fc25d3bf1.9789350710166.SEARCH&qH=7d8949bcbf85067f, Rs: 673, Bank Vittiya Prabandhan 2nd  Edition,  Indian Institute Of Banking' and  ' Finance,3.7,11,2,Hindi,Paperback,SCHAND, , 9350710161,9789350710166 ,741,2nd Edition & 2012
https://www.flipkart.com/numerical-methods-1st/p/itmdytgnnuwgxfyn?pid=9788121937047&lid=LSTBOK97881219370477DNXDV&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_66ZP%2FcJ2qUtqbmsYRd92KE3ux%2Bd%2B9gKh7gsru3m1Jtkiu7JcPXjFEf6FYOj09JZa&qH=7d8949bcbf85067f, Rs: 180, Numerical Methods 1st  Edition,  T. K. V. Iyengar,4.4,7,0,English,Paperback,Schand, , 8121937043,9788121937047 ,412,1st Edition & 2011
https://www.flipkart.com/train-to-pakistan/p/itmdwuhb9xtmreza?pid=9788174364449&lid=LSTBOK9788174364449ZC7BBG&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=b29cde79-dfd1-4133-b779-0d889fb9e4c5.9788174364449.SEARCH&qH=7d8949bcbf85067f, Rs: 476, Train to Pakistan,  Singh Khushwant,4.4,55,9,English,Paperback,Roli Books Pvt Ltd,Fiction, 8174364447,9788174364449 ,263, 
https://www.flipkart.com/adhunik-bharat-ka-itihas/p/itmdz8426ug5phxu?pid=9788179304785&lid=LSTBOK97881793047857R7DMA&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=ce8cd1cd-23a3-49ae-928e-58184a48d33a.9788179304785.SEARCH&qH=7d8949bcbf85067f, Rs: 320, Adhunik Bharat Ka Itihas,  Spectrum Editorial Board,4.2,195,25,Hindi,Paperback,SCHAND, , 8179304787,9788179304785 ,520,2013
https://www.flipkart.com/hitched-modern-women-arranged-marriage/p/itmfa345gskqhbsd?pid=9788184003734&lid=LSTBOK9788184003734K4KRLJ&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=44b0b6af-2208-4c57-88bd-b4527299d088.9788184003734.SEARCH&qH=7d8949bcbf85067f, Rs: 224, Hitched - The Modern Women and Arranged Marriage,  Krishnan Nandini,3.6,66,10,English,Paperback,Penguin,Family & Relationships, 8184003730,9788184003734 ,272, 
https://www.flipkart.com/indian-polity-5/p/itmf7tkbfg8kw4fx?pid=9789352603633&lid=LSTBOK9789352603633EYJGUV&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=2feb6341-0839-4d3b-8eeb-8421fd019979.9789352603633.SEARCH&qH=7d8949bcbf85067f, Rs: 453, Indian Polity 5 Edition,  M. Laxmikanth,4.6,27933,3488,English,Paper back,Mcgraw Hill,Academic & Test Preparation, 935260363X,9789352603633 ,850,5 & 2016
https://www.flipkart.com/quantitative-aptitude-competitive-examinations-2017/p/itmer8s9qvpyzh5s?pid=9789352534029&lid=LSTBOK97893525340291ACAJ3&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=e75137ca-8245-4c9e-b0b7-4f6cb5ca83a9.9789352534029.SEARCH&qH=7d8949bcbf85067f, Rs: 450, Quantitative Aptitude for Competitive Examinations 2017 Edition,  Aggarwal R. S.,4.4,15290,1961,English,Paperback,Schand,Education, 9352534026,9789352534029 , ,2017
https://www.flipkart.com/objective-ncert-your-fingertips-neet-aiims-biology/p/itmf6m5fmv7rdadg?pid=9789387949225&lid=LSTBOK9789387949225BNBOBD&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=c1b4f273-7b1c-4c78-9139-b294c79b5f37.9789387949225.SEARCH&qH=7d8949bcbf85067f, Rs: 570, Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,  unknown,4.4,492,92,English,Paperback,SCHAND,Science, 9387949222,9789387949225 , , 
https://www.flipkart.com/manorama-yearbook-2019-first/p/itmfbefh9xkzfmgu?pid=9788193769713&lid=LSTBOK9788193769713XZJQBQ&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=21e2683a-4741-4c8f-802f-108d4e507f5a.9788193769713.SEARCH&qH=7d8949bcbf85067f, Rs: 228, Manorama Yearbook 2019 First Edition,  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,4.6,1126,112,English,Paperback,Malayala Manorama,Entrance Exams Preparation, 8193769716,9788193769713 , ,First & 2018
https://www.flipkart.com/concepts-physics-volume-1-1st/p/itmduqzbmtw2phgw?pid=9788177091878&lid=LSTBOK9788177091878TX8TDJ&marketplace=FLIPKART&srno=s_1_12&otracker=categorytree%0A&fm=organic&iid=193354d2-0bc9-43de-a45b-455cf2058907.9788177091878.SEARCH&qH=7d8949bcbf85067f, Rs: 267, Concepts of Physics (Volume - 1) 1st  Edition,  H C Verma,4.5,9500,1033,English,Paperback,Bharthi Bhawan, , 8177091875,9788177091878 ,462,1st Edition & 2017
https://www.flipkart.com/ajaya-book-1/p/itmdpnd2xrqry5ke?pid=9789381576038&lid=LSTBOK9789381576038BVZJ6C&marketplace=FLIPKART&srno=s_1_13&otracker=categorytree%0A&fm=organic&iid=d97b9071-046a-48d1-a041-76e8cd5b39db.9789381576038.SEARCH&qH=7d8949bcbf85067f, Rs: 230, Ajaya: Book 1,  Neelakantan Anand,4.3,667,78,English,Paperback,Leadstart Publishing Pvt Ltd,Religion, 9381576033,9789381576038 ,456, 
https://www.flipkart.com/s-chand-s-principles-physics-class-xi/p/itmdytgaayaepfgq?pid=9788121919340&lid=LSTBOK9788121919340VTAZHJ&marketplace=FLIPKART&srno=s_1_14&otracker=categorytree%0A&fm=organic&iid=en_66ZP%2FcJ2qUtqbmsYRd92KE3ux%2Bd%2B9gKh7gsru3m1JtnIZhwDG4%2B39Hi79lEa%2Be22&qH=7d8949bcbf85067f, Rs: 908, S.Chand'S Principles of Physics for Class XI,  Mehta V. K.,4.1,201,26,English,Paperback,SCHAND,Juvenile Nonfiction, 8121919347,9788121919340 , , 
https://www.flipkart.com/voices-in-the-city/p/itmdytgpnqdgbcgg?pid=9788122200539&lid=LSTBOK9788122200539N0FC78&marketplace=FLIPKART&srno=s_1_15&otracker=categorytree%0A&fm=organic&iid=5c980bf4-02e3-4a0c-bf8b-a209d7391cb8.9788122200539.SEARCH&qH=7d8949bcbf85067f, Rs: 325, Voices in the City,  Desai Anita,4.3,18,1,English,Paperback,Orient Paperbacks,Fiction, 8122200532,9788122200539 ,264, 
