URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/book-unforgettable-women/p/itmczyreh4vvt5da?pid=9780141000862&lid=LSTBOK97801410008628GXHNC&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=4cda7e8f-a93c-4bb1-a19e-dc60162a4679.9780141000862.SEARCH&qH=7d8949bcbf85067f, Rs: 280, Book of Unforgettable Women,  Khushwant Singh's,4.1,10,1,English,Paperback,Penguin, , 0141000864,9780141000862 ,304,1st & 2000
https://www.flipkart.com/pmr-did-ever-see-him/p/itmczyrrsa4h338h?pid=9780143414599&lid=LSTBOK9780143414599EZATUP&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=174913a8-e909-4720-9eb8-d77262527d29.9780143414599.SEARCH&qH=7d8949bcbf85067f, Rs: 189, PMR: What Did I Ever See In Him,  Amrita Sharma,2.6,20,4,English,Paperback,Penguin, , 0143414593,9780143414599 ,200,1st Edition & 2011
https://www.flipkart.com/men-mars-women-venus/p/itmfbzpxgxyccsfm?pid=9788172235031&lid=LSTBOK97881722350317WCBCV&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=c51ff689-78ad-46dc-9324-23d9dd002a41.9788172235031.SEARCH&qH=7d8949bcbf85067f, Rs: 209, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,  John Gray,4.4,2581,184,English,Paperback,Harper, , 8172235038,9788172235031 ,384,1stEdition & 2003
https://www.flipkart.com/always-a-parent/p/itmezzg2aygwhcvd?pid=9788175994119&lid=LSTBOK9788175994119CAYFEJ&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_hd7iz1Aovl7NwxILkSnXjcyIc5%2FEhV2j%2FFJ%2FG1wv2Elh6X0G0wdCV2J%2Bhs6LkyCS&qH=7d8949bcbf85067f, Rs: 188, Always a Parent,  Dange Gouri, , , ,English,Paperback,Navyug Publishers,Family & Relationships, 8175994118,9788175994119 , , 
https://www.flipkart.com/men-mars-women-venus/p/itmfbzpxgxyccsfm?pid=9788186775486&lid=LSTBOK97881867754860LDCXI&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=bc5aae4f-b445-42ee-a744-5e26093ca625.9788186775486.SEARCH&qH=7d8949bcbf85067f, Rs: 96, Men are from Mars Women are from Venus,  Gray John,4.3,325,24,Hindi,Paperback,Manjul,Self-Help, 818677548X,9788186775486 ,154, 
https://www.flipkart.com/men-mars-women-venus/p/itmdx5zhwwn2ryqc?pid=9788183222815&lid=LSTBOK9788183222815TOUDGN&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=9a0c8671-ed14-4535-bb97-4f755401b8a9.9788183222815.SEARCH&qH=7d8949bcbf85067f, Rs: 208, Men are from Mars Women are from Venus,  Gray John,4.3,272,33,Tamil,Paperback,Manjul,Self-Help, 8183222811,9788183222815 ,384, 
https://www.flipkart.com/book-indian-dogs/p/itmer4d6erz3zcyn?pid=9789384067571&lid=LSTBOK97893840675715U8CFT&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=9e3c43f4-b149-49a9-92ba-7f86b5ea9772.9789384067571.SEARCH&qH=7d8949bcbf85067f, Rs: 240, The Book of Indian Dogs,  Baskaran Theodore S.,3.9,53,9,English,Hardcover,Rupa,Pets, 9384067571,9789384067571 ,148, 
https://www.flipkart.com/dr-spock-s-baby-childcare-india/p/itmf3pwwhqqybfff?pid=9780857205254&lid=LSTBOK9780857205254FAGXMY&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=98452446-494f-4c2f-9aa1-d3afd0cf624e.9780857205254.SEARCH&qH=7d8949bcbf85067f, Rs: 405, Dr. Spock's Baby & Childcare In India,  DR BENJAMIN SPOCK,4.4,144,14,English,Paperback,Simon, , 0857205250,9780857205254 , ,1st Edition & 2012
https://www.flipkart.com/liberated-parents-children/p/itmczz3zpzzczutg?pid=9780380711345&lid=LSTBOK9780380711345VB2DVR&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=ffe5cc7c-c184-4be6-9473-1484d0e0b047.9780380711345.SEARCH&qH=7d8949bcbf85067f, Rs: 939, Liberated Parents- Liberated Children,  Faber Adele, , , ,English,Paperback,HarperCollins Publishers Inc,Family & Relationships, 0380711346,9780380711345 ,255, 
https://www.flipkart.com/heart-mafia/p/itm9789351650591?pid=9789351650591&lid=LSTBOK9789351650591NXCLIV&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=2e3324d7-a2cf-4365-96d3-bb12f2b4fee8.9789351650591.SEARCH&qH=7d8949bcbf85067f, Rs: 150, Heart Mafia,  Chodhury B R,4.3,16,1,Hindi,Paperback,DIAMOND POCKET BOOKS-NEW DELHI, , 9351650596,9789351650591 ,144, 
https://www.flipkart.com/complete-book-mother-babycare/p/itmdyervxgvh5p2b?pid=9781405348508&lid=LSTBOK9781405348508CGSIFD&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=10cf1439-4b79-4ff2-b420-fce77602d3bb.9781405348508.SEARCH&qH=7d8949bcbf85067f, Rs: 750, The Complete Book of Mother and Babycare,  Elizabeth Fenwick,4.4,21,5,English,Hardcover,Penguin, , 140534850X,9781405348508 ,264,2011
https://www.flipkart.com/the-whole-brain-child/p/itmf4mekferksxqc?pid=9780553386691&lid=LSTBOK9780553386691ZDCNSO&marketplace=FLIPKART&srno=s_1_12&otracker=categorytree%0A&fm=organic&iid=caf234a9-592b-4472-9c10-b4e99be3b6a8.9780553386691.SEARCH&qH=7d8949bcbf85067f, Rs: 639, The Whole-Brain Child,  MD PH D Siegel Daniel J,3.7,10,0,English,Paperback,Penguin,Family & Relationships, 0553386697,9780553386691 ,176, 
https://www.flipkart.com/intimacy/p/itmfbmfyncsjnmj7?pid=9780312275662&lid=LSTBOK9780312275662WFU8MI&marketplace=FLIPKART&srno=s_1_13&otracker=categorytree%0A&fm=organic&iid=6492310b-9150-473e-9ec3-16ff79583d99.9780312275662.SEARCH&qH=7d8949bcbf85067f, Rs: 280, Intimacy,  Osho,4.5,46,3,English,Paperback,Pan mac, , 0312275668,9780312275662 ,172,1 & 2001
https://www.flipkart.com/super-siblings-inspiring-stories-enterprising/p/itmfypw2v8wsgeqz?pid=9789387022102&lid=LSTBOK9789387022102JYKUCF&marketplace=FLIPKART&srno=s_1_14&otracker=categorytree%0A&fm=organic&iid=en_hd7iz1Aovl7NwxILkSnXjcyIc5%2FEhV2j%2FFJ%2FG1wv2EkSgGFGMdxig0D3bFVpuqLT&qH=7d8949bcbf85067f, Rs: 117, Super Siblings - Inspiring Stories of Enterprising Siblings,  Prachi Garg,4.1,62,0,English,Paperback,Srishti,Business & Investing and Management, 9387022102,9789387022102 ,208,First & 2017
https://www.flipkart.com/talk-so-kids-listen/p/itmfc7e7tfsxpmv9?pid=9781848126329&lid=LSTBOK9781848126329VFLPM9&marketplace=FLIPKART&srno=s_1_15&otracker=categorytree%0A&fm=organic&iid=408c2323-15f1-4bcb-94e0-14002a51e085.9781848126329.SEARCH&qH=7d8949bcbf85067f, Rs: 225, How to Talk So Kids Will Listen and Listen So Kids Will Talk,  Faber Adele,4.5,55,3,English,Paperback,Bloomsbury,Family & Relationships, 1848126328,9781848126329 , , 
https://www.flipkart.com/raising-positive-kids-negative-world/p/itmewwbzrrgmwpdf?pid=9781404105720&lid=LSTBOK9781404105720UJXYPA&marketplace=FLIPKART&srno=s_1_16&otracker=categorytree%0A&fm=organic&iid=ec4ee9b9-a386-4855-b43a-2a5ae8f485f9.9781404105720.SEARCH&qH=7d8949bcbf85067f, Rs: 249, Raising Positive Kids in a Negative World,  Zig Ziglar,4.4,14,2,english,Paperback,Harper,family & relationship, 1404105727,9781404105720 ,256,1 & 2017
https://www.flipkart.com/the-playbook/p/itmfc4zkbspmx2th?pid=9781439196830&lid=LSTBOK9781439196830W8ID89&marketplace=FLIPKART&srno=s_1_17&otracker=categorytree%0A&fm=organic&iid=a74fde2c-c2f8-4817-ab95-6cd02e3e0b83.9781439196830.SEARCH&qH=7d8949bcbf85067f, Rs: 218, The Playbook,  Stinson Barney,4.4,134,11,English,Paperback,Simon,Humor, 1439196834,9781439196830 ,208,2010
https://www.flipkart.com/little-book-friendship/p/itmdp93z2zfh2uhj?pid=9788129124944&lid=LSTBOK97881291249442XQTQH&marketplace=FLIPKART&srno=s_1_18&otracker=categorytree%0A&fm=organic&iid=9a1e3390-46fa-4c89-a717-42fd48d08474.9788129124944.SEARCH&qH=7d8949bcbf85067f, Rs: 178, A Little Book of Friendship,  Bond Ruskin,4.2,75,11,English,Hardcover,Rupa,Reference, 8129124947,9788129124944 ,118, 
https://www.flipkart.com/reflections-of-a-man/p/itmevnkbsxta2zfh?pid=9780986164736&lid=LSTBOK9780986164736HQVGKQ&marketplace=FLIPKART&srno=s_1_19&otracker=categorytree%0A&fm=organic&iid=2fd0773b-902e-42e9-8962-972d0f0b4802.9780986164736.SEARCH&qH=7d8949bcbf85067f, Rs: 939, Reflections of a Man,  Soul MR Amari, , , ,English,Hardcover,Black Castle Media Group & LLC.,Family & Relationships, 0986164739,9780986164736 , , 
https://www.flipkart.com/rules-parenting-3rd/p/itmfyqnkjmgjuqpg?pid=9789352862344&lid=LSTBOK9789352862344CLBAAW&marketplace=FLIPKART&srno=s_1_20&otracker=categorytree%0A&fm=organic&iid=en_hd7iz1Aovl7NwxILkSnXjcyIc5%2FEhV2j%2FFJ%2FG1wv2ElIj7GRTtxIywhpO7QO4V4a&qH=7d8949bcbf85067f, Rs: 272, The Rules of Parenting 3rd Edition,  Richard Templar,4.5,13,3,English,Paperback,Pearson,Self-Help, 9352862341,9789352862344 ,296,3 & 2017
https://www.flipkart.com/marley-me/p/itmfc4rbsgv3e5ph?pid=9780060817091&lid=LSTBOK9780060817091JCRC4O&marketplace=FLIPKART&srno=s_1_21&otracker=categorytree%0A&fm=organic&iid=10165b93-dfe5-4540-935e-6f6b7b53a2ec.9780060817091.SEARCH&qH=7d8949bcbf85067f, Rs: 349, Marley & Me,  Grogan John,4.5,11,1,English,Paperback,Harper,Pets, 0060817097,9780060817091 ,305, 
https://www.flipkart.com/modern-baby-names-new-india/p/itmdfhfz6hky5qwz?pid=9788129118684&lid=LSTBOK97881291186849A5LMU&marketplace=FLIPKART&srno=s_1_22&otracker=categorytree%0A&fm=organic&iid=5d2d69d9-1afc-4b5b-bdca-3ad50ad32060.9788129118684.SEARCH&qH=7d8949bcbf85067f, Rs: 224, Modern Baby Names for a New India,  Swarup Radhika,3.4,38,4,English,Paperback,Rupa,Psychology, 8129118688,9788129118684 ,232, 
https://www.flipkart.com/one-minute-superdad/p/itmf3k6ursczzyuk?pid=9789352774531&lid=LSTBOK9789352774531Q22LM7&marketplace=FLIPKART&srno=s_1_23&otracker=categorytree%0A&fm=organic&iid=0143a6f5-8418-421e-ab1e-fb637129fc23.9789352774531.SEARCH&qH=7d8949bcbf85067f, Rs: 176, One minute superdad,  Jindal D. Prashant,3.9,15,1,English,Paperback,Harper,Social Science, 9352774531,9789352774531 ,176, 
https://www.flipkart.com/secrets-long-distance-pigeon-racing/p/itmdyhueyzmx4esm?pid=9781443772679&lid=LSTBOK9781443772679B0SGLX&marketplace=FLIPKART&srno=s_1_24&otracker=categorytree%0A&fm=organic&iid=603055ae-888b-4314-aec9-e2cc1eeec001.9781443772679.SEARCH&qH=7d8949bcbf85067f, Rs: 1519, Secrets Of Long-Distance Pigeon Racing,  "Squills", , , ,English,Paperback,Read Books,Pets, 1443772674,9781443772679 ,64, 
