URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/life-you-make/p/itmeff8sap5cy36s?pid=9789380349305&lid=LSTBOK97893803493052PRRXS&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=ed292b56-5c2c-44eb-a342-88eddc9313f1.9789380349305.SEARCH&qH=7d8949bcbf85067f, Rs: 86, Life is What You Make it,  Shenoy Preeti,4.1,10007,1146,English,Paperback,Srishti,Fiction, 9380349300,9789380349305 , , 
https://www.flipkart.com/one-indian-girl/p/itmezunpm6dxccxk?pid=9788129142146&lid=LSTBOK9788129142146N3YMFX&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=e5c8f05f-1afe-447a-82b7-6759e75b3018.9788129142146.SEARCH&qH=7d8949bcbf85067f, Rs: 112, One Indian Girl,  Bhagat Chetan,4.2,37246,3863,English,Paperback,Rupa,Fiction, 8129142147,9788129142146 ,280, 
https://www.flipkart.com/the-palace-of-illusions/p/itmfbhazwujqghnx?pid=9780330458535&lid=LSTBOK9780330458535KZS9UZ&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=bf988d24-1f1e-4091-84d6-5f2de8da9170.9780330458535.SEARCH&qH=7d8949bcbf85067f, Rs: 248, The Palace of Illusions,  Divakaruni Chitra,4.4,2181,230,English,Paperback,Pan mac,Fiction, 0330458531,9780330458535 ,384, 
https://www.flipkart.com/bucket-list-traveloholic/p/itm9788172344979?pid=9788172344979&lid=LSTBOK97881723449792ETG9K&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_0qswIvapESs8355tCSBJWmk56Hy%2F4%2FbXEslbZuS8b6SLfTOgAXxyh6uYJWg0PXsc&qH=7d8949bcbf85067f, Rs: 188, Bucket List of a Traveloholic,  Pandit Sarika,3.9,15,5,English,Paperback,Prakash Book Depot,Fiction, 817234497X,9788172344979 ,244, 
https://www.flipkart.com/god-small-things/p/itmfc8pypxyuggwx?pid=9780143028574&lid=LSTBOK9780143028574FXN1QT&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=cc73bc75-55cb-4696-95c0-ca4ef95fce25.9780143028574.SEARCH&qH=7d8949bcbf85067f, Rs: 248, The God of Small Things,  Roy Arundhati,4.3,2940,218,English,Paperback,Penguin,Indian Writing, 014302857X,9780143028574 ,256, 
https://www.flipkart.com/eleven-minutes/p/itmfbrtvfyy3nfyp?pid=9788172235635&lid=LSTBOK9788172235635U6MUOV&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=467ad672-7d8d-4f64-a2eb-78e153f55e4b.9788172235635.SEARCH&qH=7d8949bcbf85067f, Rs: 209, ELEVEN MINUTES,  Paulo Coelho,4.4,2201,148,English,Paperback,Harper, , 8172235631,9788172235635 ,304,1st Edition & 2003
https://www.flipkart.com/sidney-sheldon-s-chasing-tomorrow/p/itmfbuhmec9jzjha?pid=9780007541980&lid=LSTBOK9780007541980ZUYQFP&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=ba3ab5f4-9293-4401-b8ef-f0c9c788661b.9780007541980.SEARCH&qH=7d8949bcbf85067f, Rs: 226, Sidney Sheldon's Chasing Tomorrow,  Sheldon Sidney,4.3,90,9,English,Paperback,Harper,Fiction, 0007541988,9780007541980 ,400, 
https://www.flipkart.com/wings-of-fire/p/itmdyu8fezqmmvhe?pid=9788173711466&lid=LSTBOK9788173711466SMOBIM&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=88077934-717e-4741-a137-d62b60fb5e82.9788173711466.SEARCH&qH=7d8949bcbf85067f, Rs: 265, Wings of Fire,  Tiwari Arun,4.6,16362,1533,English,Paperback,Orient Black Swan,Biography & Autobiography, 8173711461,9788173711466 ,196, 
https://www.flipkart.com/accidental-prime-minister-making-unmaking-manmohan-singh/p/itmemzgpbqenczqs?pid=9780143424062&lid=LSTBOK9780143424062QG55MN&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=810beffa-1faa-4bc2-8466-f935dc2df450.9780143424062.SEARCH&qH=7d8949bcbf85067f, Rs: 240, The Accidental Prime Minister - The Making and Unmaking of Manmohan Singh,  Baru Sanjaya,4.4,388,24,English,Paperback,Penguin,Political Science, 0143424068,9780143424062 ,320, 
