URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/afrikay-sabyasachi/p/itmd68wps2fwdhba?pid=9789350200629&lid=LSTBOK9789350200629OTJWJJ&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=e52f504f-a659-478b-8d70-08fe3383a7a2.9789350200629.SEARCH&qH=7d8949bcbf85067f, Rs: 149, Afrikay Sabyasachi,  Chakraborty Sabyasachi,4.5,82,17,Bengali,Hardcover,Mitra & Ghosh Publishers Pvt Ltd,Travel, 9350200627,9789350200629 ,88, 
https://www.flipkart.com/masque-of-africa/p/itmfbnhhgevmzxsn?pid=9780330472043&lid=LSTBOK97803304720437YPIYC&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=1d00e498-3472-4396-b35d-f224a45b9661.9780330472043.SEARCH&qH=7d8949bcbf85067f, Rs: 349, Masque of Africa,  V S NAIPAUL, , , ,English,Paperback,Pan mac, , 0330472046,9780330472043 ,336,2011
https://www.flipkart.com/mandra/p/itmddzhkgxfwphxq?pid=9789381523360&lid=LSTBOK9789381523360DF4ODL&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=6dabb8ad-cb8d-46fb-9d08-b725e7ce6e25.9789381523360.SEARCH&qH=7d8949bcbf85067f, Rs: 585, Mandra,  S. L. Bhyrappa,4.8,10,3,English,Hardcover,Niyogi Books, , 9381523363,9789381523360 ,684,2012
https://www.flipkart.com/butter-chicken-ludhiana/p/itmfc5azj2kzfeqr?pid=9780330444125&lid=LSTBOK9780330444125K1I6FI&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=86049bac-28d3-4cad-a366-555fca683ce3.9780330444125.SEARCH&qH=7d8949bcbf85067f, Rs: 299, BUTTER CHICKEN IN LUDHIANA,  Pankaj Mishra,4,11,1,English,Paperback,Pan mac, , 0330444123,9780330444125 ,273,New edition & 2011
https://www.flipkart.com/middle-passage/p/itmfyhhfkrczhbxz?pid=9780330522953&lid=LSTBOK978033052295313GXJE&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=c455fa92-cd6f-45ae-aa37-bb16eeb39526.9780330522953.SEARCH&qH=7d8949bcbf85067f, Rs: 349, Middle Passage,  V S NAIPAUL, , , ,English,Paperback,Pan mac, , 0330522957,9780330522953 , ,Main Market Ed.
https://www.flipkart.com/bolti-deewarein/p/itmdykr8uyxjepnn?pid=9789350727720&lid=LSTBOK978935072772019YAWS&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=8139bb47-22d1-4f8f-a9bd-cc1123e8cb76.9789350727720.SEARCH&qH=7d8949bcbf85067f, Rs: 255, Bolti Deewarein,  unknown,3.4,7,1,Hindi,Hardcover,Vani Prakashan, , 9350727722,9789350727720 ,80, 
https://www.flipkart.com/theory-cookery-pb/p/itmdwhvgyw49hhh4?pid=9788184095036&lid=LSTBOK9788184095036FTPZGP&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=c388460d-32a9-4335-8bf8-4e9fb123a617.9788184095036.SEARCH&qH=7d8949bcbf85067f, Rs: 340, Theory of Cookery PB,  Arora K,4.4,980,105,English,Paperback,FRANK BROTHERS & COMPANY (PUB) PVT LTD-NEW DELHI, , 8184095031,9788184095036 , ,2011
https://www.flipkart.com/lonely-planet-india/p/itmf3znggpunepuf?pid=9781786571441&lid=LSTBOK9781786571441NJYRE0&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=dc3f4f63-8fc3-4281-b7e1-ef1547fa1c0a.9781786571441.SEARCH&qH=7d8949bcbf85067f, Rs: 1746, Lonely Planet India,  Lonely Planet Abigail,4.6,34,2,English,Paperback,Lonely Planet Global Limited,Travel, 1786571447,9781786571441 ,1248, 
https://www.flipkart.com/great-book-puzzles-teasers/p/itmetjkdd8hssvae?pid=9788172242213&lid=LSTBOK9788172242213XP4X7F&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=90d4b04a-fa6d-42c7-a983-5954bfbc847f.9788172242213.SEARCH&qH=7d8949bcbf85067f, Rs: 149, The Great Book of Puzzles and Teasers,  Summers George J.,4.2,552,29,English,Paperback,Jaico,Games, 8172242212,9788172242213 ,256, 
https://www.flipkart.com/secret-life-plants/p/itmetjk2haywhxcx?pid=9788129104939&lid=LSTBOK9788129104939DD3T8Y&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=e2aa4133-0a46-4439-aef1-a550063d1b59.9788129104939.SEARCH&qH=7d8949bcbf85067f, Rs: 336, The Secret Life of Plants,  Tompkins Peter,4.5,28,3,English,Paperback,Rupa,Science, 8129104938,9788129104939 ,416, 
https://www.flipkart.com/little-book-comfort/p/itmczyr7whdpk5yn?pid=9780670092291&lid=LSTBOK97806700922911QYXPY&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=ce190cbd-0049-4cb2-9609-ed773cee0cad.9780670092291.SEARCH&qH=7d8949bcbf85067f, Rs: 175, The Little Book of Comfort,  Bond' and  ' Ruskin, , , ,English,Hardcover,Penguin,Nature, 0670092290,9780670092291 , , 
https://www.flipkart.com/swimming-lessons-other-stories/p/itmczzhfpptc5eyb?pid=9780679776321&lid=LSTBOK9780679776321YEREWT&marketplace=FLIPKART&srno=s_1_12&otracker=categorytree%0A&fm=organic&iid=db595e9e-e877-4d9b-b94f-d270ffa58514.9780679776321.SEARCH&qH=7d8949bcbf85067f, Rs: 1109, Swimming Lessons and Other Stories,  Mistry Rohinton, , , ,English,Paperback,Random House USA Inc,Fiction, 067977632X,9780679776321 ,250, 
https://www.flipkart.com/destinations-of-a-lifetime/p/itmf3js5s9umvnfv?pid=9781426215643&lid=LSTBOK9781426215643LXIYOK&marketplace=FLIPKART&srno=s_1_13&otracker=categorytree%0A&fm=organic&iid=3740d946-e3cf-404f-8e7d-e61c1e3e015b.9781426215643.SEARCH&qH=7d8949bcbf85067f, Rs: 1495, Destinations of a Lifetime,  National Geographic, , , ,English,Hardcover,Penguin,Travel, 1426215649,9781426215643 ,320,2016
https://www.flipkart.com/banjara-recipes-rajasthan/p/itmdyu54vmxdyzvn?pid=9788172342609&lid=LSTBOK9788172342609KP9ZI9&marketplace=FLIPKART&srno=s_1_14&otracker=categorytree%0A&fm=organic&iid=en_2DX4wnzXOUpLNHoamnnHMHOmXrx5zIYloVupL21IcVymrivSVZD48CwXyrovhoRD&qH=7d8949bcbf85067f, Rs: 57, Banjara Recipes from Rajasthan,  Rasoi Star,2.3,4,0,English,Paperback,Prakash Book Depot,Cooking, 8172342608,9788172342609 , , 
https://www.flipkart.com/the-wholesome-kitchen/p/itmes2xhf7hzuxnp?pid=9789351951445&lid=LSTBOK9789351951445J3YOLV&marketplace=FLIPKART&srno=s_1_15&otracker=categorytree%0A&fm=organic&iid=07cf89ba-2685-401a-93fa-ba10455c381b.9789351951445.SEARCH&qH=7d8949bcbf85067f, Rs: 432, The Wholesome Kitchen,  Dhingra Pooja,4.2,20,0,English,Paperback,Hachette,Cooking, 9351951448,9789351951445 ,226, 
https://www.flipkart.com/taste-well-being-sadhgurus-insights-your-gastronomics/p/itmf3k6tasqwh5gg?pid=9789351363781&lid=LSTBOK9789351363781J2BWBT&marketplace=FLIPKART&srno=s_1_16&otracker=categorytree%0A&fm=organic&iid=8cccb4e5-ff80-40de-8b22-16f1be711ba6.9789351363781.SEARCH&qH=7d8949bcbf85067f, Rs: 172, A Taste of Well-Being: Sadhgurus Insights for Your Gastronomics,  Isha Foundation,4.5,298,28,English,Paperback,Harper,Cooking, 9351363783,9789351363781 , , 
https://www.flipkart.com/picturing-time-greatest-photographs-raghu-rai/p/itmebgc26awjznud?pid=9789384067182&lid=LSTBOK9789384067182UGC7VX&marketplace=FLIPKART&srno=s_1_17&otracker=categorytree%0A&fm=organic&iid=6637d13c-660d-4e24-b03d-b7af132e1c54.9789384067182.SEARCH&qH=7d8949bcbf85067f, Rs: 1425, Picturing Time: The Greatest Photographs of Raghu Rai,  unknown,5,19,8,English,Hardcover,Rupa,Antiques & Collectibles, 9384067180,9789384067182 ,192, 
https://www.flipkart.com/food-hygiene-sanitation/p/itmdx5zhhhrjun9w?pid=9780070700208&lid=LSTBOK97800707002082G2FCM&marketplace=FLIPKART&srno=s_1_18&otracker=categorytree%0A&fm=organic&iid=4d7fb610-19b4-435b-8bee-c57d9a23b30d.9780070700208.SEARCH&qH=7d8949bcbf85067f, Rs: 490, Food Hygiene and Sanitation,  Roday Sunetra,4.5,13,2,English,Paperback,Mcgraw Hill,Technology & Engineering, 0070700206,9780070700208 , , 
