URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/life-you-make/p/itmeff8sap5cy36s?pid=9789380349305&lid=LSTBOK97893803493052PRRXS&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=a2ba6f4f-5a9c-402b-b591-b7a0104bc6f5.9789380349305.SEARCH&qH=7d8949bcbf85067f, Rs: 86, Life is What You Make it,  Shenoy Preeti,4.1,10007,1146,English,Paperback,Srishti,Fiction, 9380349300,9789380349305 , , 
https://www.flipkart.com/her-last-wish/p/itmeq4smdzpcy6zs?pid=9789382665878&lid=LSTBOK9789382665878H1JSGW&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=c40f27aa-b7b2-41a1-88fb-1690b470893c.9789382665878.SEARCH&qH=7d8949bcbf85067f, Rs: 101, Her Last Wish,  Pandey Ajay K.,4.5,2431,277,English,Paperback,Srishti,Fiction, 9382665870,9789382665878 ,216, 
https://www.flipkart.com/everyone-has-story/p/itmegvzhfm7ycjyu?pid=9789386036759&lid=LSTBOK97893860367592LLD1C&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=156aa6d5-a858-4412-9b84-e9ce60a0e16e.9789386036759.SEARCH&qH=7d8949bcbf85067f, Rs: 125, Everyone Has A Story,  Savi Sharma,4.3,7731,901,English,Paperback,Westland,Fiction, 9386036754,9789386036759 ,184,2016
https://www.flipkart.com/don-t-kill-him-story-my-life-bhagwan-rajneesh/p/itmdgh4sfznhz3gc?pid=9788172344443&lid=LSTBOK9788172344443HP9RCQ&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_fOgK4wI2JQo2Fy8lEOg80FDZBhn2Dg%2FCL%2BNSbkd94%2FVkIFVHM6GHxFTdE%2FAcFw4U&qH=7d8949bcbf85067f, Rs: 188, Don't Kill Him! - The story of my life with Bhagwan Rajneesh,  Sheela Ma Anand,3.6,46,7,English,Paperback,Prakash Book Depot,Biography & Autobiography, 8172344449,9788172344443 ,312, 
https://www.flipkart.com/the-palace-of-illusions/p/itmfbhazwujqghnx?pid=9780330458535&lid=LSTBOK9780330458535KZS9UZ&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=dd4bf4aa-811d-43f8-afbf-add4e1e469a4.9780330458535.SEARCH&qH=7d8949bcbf85067f, Rs: 248, The Palace of Illusions,  Divakaruni Chitra,4.4,2181,230,English,Paperback,Pan mac,Fiction, 0330458531,9780330458535 ,384, 
https://www.flipkart.com/three-thousand-stitches-ordinary-people-extraordinary-lives/p/itmeveyn8n6gyah2?pid=9780143440055&lid=LSTBOK97801434400555KNWUC&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=c87fe0ef-ea4e-4952-8cf4-2d56a7c8f49b.9780143440055.SEARCH&qH=7d8949bcbf85067f, Rs: 136, Three Thousand Stitches - - Ordinary People- Extraordinary Lives,  Murty Sudha,4.5,1662,138,English,Paperback,Penguin,Biography & Autobiography, 0143440055,9780143440055 ,256, 
https://www.flipkart.com/god-small-things/p/itmfc8pypxyuggwx?pid=9780143028574&lid=LSTBOK9780143028574FXN1QT&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=250739e9-97be-4eb1-9d46-be0e7345384c.9780143028574.SEARCH&qH=7d8949bcbf85067f, Rs: 248, The God of Small Things,  Roy Arundhati,4.3,2940,218,English,Paperback,Penguin,Indian Writing, 014302857X,9780143028574 ,256, 
https://www.flipkart.com/india-s-struggle-independence-1857-1947/p/itmdr86xzk5fkxca?pid=9780140107814&lid=LSTBOK9780140107814FXRP8Q&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=8bb96ea5-c3c6-44ef-9030-a2c0ea0bbf48.9780140107814.SEARCH&qH=7d8949bcbf85067f, Rs: 218, India's Struggle for Independence 1857-1947,  Chandra Bipan,4.5,8600,700,English,Paperback,Penguin,History, 0140107819,9780140107814 ,600, 
https://www.flipkart.com/inner-engineering-yogi-s-guide-joy/p/itmez92t67ep4cjm?pid=9780143428848&lid=LSTBOK9780143428848RHPXPO&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=f1229cb2-46ba-47b5-a952-492657b8ba08.9780143428848.SEARCH&qH=7d8949bcbf85067f, Rs: 176, Inner Engineering - A Yogi's Guide to Joy,  unknown,4.6,4567,453,English,Paperback,Penguin,Body & Mind & Spirit, 0143428845,9780143428848 ,300, 
https://www.flipkart.com/indian-polity-telugu-version/p/itmee7xhuffvw7nf?pid=9789385880162&lid=LSTBOK9789385880162BUU7B7&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=c1c950da-3bf2-4134-a9e7-5d4cbe51bdfa.9789385880162.SEARCH&qH=7d8949bcbf85067f, Rs: 497, Indian Polity (Telugu Version),  M. Laxmikanth,4.3,535,75,Telugu,Paperback,Mcgraw Hill,Entrance Exams Preparation, 9385880160,9789385880162 ,768,1 & 2015
https://www.flipkart.com/chanakya-neeti/p/itmd9pafftq2xvpz?pid=9788171826254&lid=LSTBOK9788171826254TCF9LJ&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=3f36c2fd-1e37-47db-9b05-1b42f5f34ee8.9788171826254.SEARCH&qH=7d8949bcbf85067f, Rs: 125, Chanakya Neeti,  Parashar Ashwini,4.4,272,27,Hindi,Paperback,Diamond Pocket Books,Self-Help, 8171826253,9788171826254 ,192, 
https://www.flipkart.com/sita-mithila-ki-yoddha/p/itmeuybeyhbkgxnz?pid=9789386224859&lid=LSTBOK9789386224859QU3D25&marketplace=FLIPKART&srno=s_1_12&otracker=categorytree%0A&fm=organic&iid=f0650919-cbbd-44a2-aa47-bf1d6da2a628.9789386224859.SEARCH&qH=7d8949bcbf85067f, Rs: 207, Sita - Mithila Ki Yoddha,  Tripathi Amish,4.4,977,105,English,Paperback,Westland,Fiction, 9386224852,9789386224859 ,424, 
https://www.flipkart.com/train-to-pakistan/p/itmekx85rgnn9fyq?pid=9780143065883&lid=LSTBOK9780143065883EGUXCX&marketplace=FLIPKART&srno=s_1_13&otracker=categorytree%0A&fm=organic&iid=b99d524a-b566-44db-b36a-a4248814061a.9780143065883.SEARCH&qH=7d8949bcbf85067f, Rs: 144, Train to Pakistan,  Singh Khushwant,4.4,5365,414,English,Paperback,Penguin,Fiction, 0143065882,9780143065883 ,192, 
https://www.flipkart.com/one-life-ride/p/itmdyud7gwy8tcnh?pid=9788175992948&lid=LSTBOK9788175992948RUDSRA&marketplace=FLIPKART&srno=s_1_14&otracker=categorytree%0A&fm=organic&iid=en_fOgK4wI2JQo2Fy8lEOg80FDZBhn2Dg%2FCL%2BNSbkd94%2FUZuvAjWwhWsd1NpOIWcX%2Bk&qH=7d8949bcbf85067f, Rs: 188, One Life To Ride,  Ajit Harisinghani,4.4,47,4,English,Paperback,Fingerprint,Others, 8175992948,9788175992948 ,240,2 & 2015
https://www.flipkart.com/the-namesake/p/itmfbubhb3s8m2zu?pid=9780007258918&lid=LSTBOK9780007258918G0J8JK&marketplace=FLIPKART&srno=s_1_15&otracker=categorytree%0A&fm=organic&iid=3768b968-172f-4d7c-af56-7c24a6f1efc0.9780007258918.SEARCH&qH=7d8949bcbf85067f, Rs: 209, The NAMESAKE,  Jhumpa Lahiri,4.5,878,66,English,Paperback,Harper, , 0007258917,9780007258918 ,304,1 & 2007
https://www.flipkart.com/not-your-story/p/itmer38rne6yh7qg?pid=9789386224392&lid=LSTBOK9789386224392IKWIJU&marketplace=FLIPKART&srno=s_1_16&otracker=categorytree%0A&fm=organic&iid=9ac62967-2302-42a4-b429-5c653dcb29a7.9789386224392.SEARCH&qH=7d8949bcbf85067f, Rs: 125, This is Not Your Story,  Sharma Savi,4.3,5133,580,English,Paperback,Westland,Fiction, 9386224399,9789386224392 ,226, 
https://www.flipkart.com/hold-my-hand/p/itmfyjuz5myyxzjw?pid=9780143420903&lid=LSTBOK9780143420903W20MPC&marketplace=FLIPKART&srno=s_1_17&otracker=categorytree%0A&fm=organic&iid=3a3068c5-bf41-4108-a2d6-2bf1dc19771d.9780143420903.SEARCH&qH=7d8949bcbf85067f, Rs: 109, Hold My Hand,  Datta Durjoy,4.2,1184,102,English,Paperback,Penguin,Fiction, 0143420909,9780143420903 ,216, 
