URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/jahan-hai-prakash/p/itmdkuhtvx9zhfbw?pid=9789380676968&lid=LSTBOK97893806769681S0KB3&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=41f299d0-0699-46f3-86b7-78b8809d6392.9789380676968.SEARCH&qH=7d8949bcbf85067f, Rs: 106, Jahan Hai Prakash,  Paramahansa Yogananda,4.6,14,0,Hindi,Paperback,Yogoda Satsanga Society Of India, , 9380676964,9789380676968 ,260,1st Edition & 2012
https://www.flipkart.com/homo-deus/p/itmf7hubgv9bpz9u?pid=9781784703936&lid=LSTBOK9781784703936YZOAF1&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=98b8a617-3778-48ab-9090-5226079f322d.9781784703936.SEARCH&qH=7d8949bcbf85067f, Rs: 270, Homo Deus,  Harari Yuval Noah,4.5,338,23,English,Paperback,Penguin,Social Science, 1784703931,9781784703936 ,528,2017
https://www.flipkart.com/homo-deus-brief-history-tomorrow/p/itmf7hubgv9bpz9u?pid=9781910701881&lid=LSTBOK9781910701881XCYKLK&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=7a5d508e-0874-4221-8b3f-85ed5fd7ad67.9781910701881.SEARCH&qH=7d8949bcbf85067f, Rs: 573, Homo Deus - A Brief History of Tomorrow,  Yuval Noah Harari,4.6,127,7,English,Paperback,Penguin,Popular science, 1910701882,9781910701881 ,448,2016
https://www.flipkart.com/political-theory/p/itmdytg8zkgefhey?pid=9788121903462&lid=LSTBOK9788121903462NKWR45&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_HInUwFjAOd1L%2FFpFtAKvVu847sV4OKaAp9F4%2BPI%2FkiohmhszFlpKhfO4fk5b1mL%2F&qH=7d8949bcbf85067f, Rs: 371, Political Theory,  Asirvatham Eddy,4.1,21,2,English,Paperback,Schand,Political Science, 8121903467,9788121903462 ,845, 
https://www.flipkart.com/rahasya-hindi-secret/p/itmezunqjenhnzcq?pid=9788183220941&lid=LSTBOK978818322094116A2HC&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=8503f832-3ace-4e69-b0db-35ac928b0dc9.9788183220941.SEARCH&qH=7d8949bcbf85067f, Rs: 233, Rahasya (Hindi Of The Secret),  Rhonda Byrne,4.3,3981,458,Hindi,Paperback,Manjul, , 8183220940,9788183220941 ,198,2008
https://www.flipkart.com/unposted-letter/p/itme4695xwh2ej7h?pid=9788183225700&lid=LSTBOK9788183225700CXPGWZ&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=83486210-800c-419d-a022-5c1610a9ebb5.9788183225700.SEARCH&qH=7d8949bcbf85067f, Rs: 218, Unposted Letter,  Rangarajan T. T.,4.6,874,82,English,Paperback,Manjul,Self-Help, 8183225705,9788183225700 ,182, 
https://www.flipkart.com/the-magic/p/itmfbhfah5yqpn6d?pid=9781849838399&lid=LSTBOK9781849838399K9IRUH&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=37838411-d514-4600-857c-cc5b52960ce0.9781849838399.SEARCH&qH=7d8949bcbf85067f, Rs: 255, The Magic,  Byrne Rhonda,4.4,2498,277,English,Paperback,Simon,Body & Mind & Spirit, 1849838399,9781849838399 ,272, 
https://www.flipkart.com/mind-your-business-body-greatest-gadget/p/itme6ymerhpnatj2?pid=9788184956955&lid=LSTBOK9788184956955R4L7RV&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=db5754ef-ca7b-43ea-96d7-2efa7ea9b461.9788184956955.SEARCH&qH=7d8949bcbf85067f, Rs: 131, Mind is Your Business / Body the Greatest Gadget,  unknown,4.5,651,58,English,Paperback,Jaico,Self-Help, 8184956959,9788184956955 ,170, 
https://www.flipkart.com/secret-tamil/p/itmdyuq9wczanycy?pid=9788183222051&lid=LSTBOK97881832220518HUQTY&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=f1563b8f-e886-4de4-a1cf-5db2af0bad4c.9788183222051.SEARCH&qH=7d8949bcbf85067f, Rs: 240, Secret ( Tamil ),  Rhonda Byrne,4.5,1112,152,Tamil,Paperback,Manjul, , 8183222056,9788183222051 , ,2011
