URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/shreemadbhagwad-geeta-geeta-rahasya/p/itmdyuvnuammgck6?pid=9788185023564&lid=LSTBOK9788185023564FAXHPX&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=fe16d112-3a4e-4656-a455-ca2423d57824.9788185023564.SEARCH&qH=7d8949bcbf85067f, Rs: 995, Shreemadbhagwad Geeta-Geeta Rahasya,  Lokmanya Bal Gangadhar Tilak,4.4,30,2,Hindi,Hardcover,Sharda Prakashan,Religion, 8185023565,9788185023564 ,696, 
https://www.flipkart.com/heartfulness-way-heart-based-meditations-spiritual-transformation/p/itmfysygtjvhjsrv?pid=9789386850560&lid=LSTBOK9789386850560FHQAOC&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=85cfc8c3-cc24-47ae-b3b6-3ecaca73bff5.9789386850560.SEARCH&qH=7d8949bcbf85067f, Rs: 189, The Heartfulness Way - Heart - Based Meditations for Spiritual Transformation,  D. Patel Kamlesh,4.7,479,58,English,Paperback,Westland,Body & Mind & Spirit, 9386850567,9789386850560 ,212, 
https://www.flipkart.com/adiyogi/p/itmf3k6uxmegmg9k?pid=9789352643929&lid=LSTBOK9789352643929TE3CIZ&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=478cd23d-1637-4604-9aac-d6ec7b6473c0.9789352643929.SEARCH&qH=7d8949bcbf85067f, Rs: 178, Adiyogi,  Sadhguru' and  ' Arundhathi Subramaniam,4.6,1377,132,English,Paperback,Harper,Religion, 9352643925,9789352643929 , , 
https://www.flipkart.com/the-upanishads/p/itmfc434aga9kknu?pid=9788175994492&lid=LSTBOK9788175994492JNZOU8&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=en_k7fDyHUxUtLfSsQduzR5GSMmqTE5W8MRtwlR385yO6n%2ByunyE2IdwGyUfr6b4H2R&qH=7d8949bcbf85067f, Rs: 190, The Upanishads,  Swami Paramananda,5,4,0,English,Paperback,Prakash Book Depot,Philosophy, 8175994495,9788175994492 , , 
https://www.flipkart.com/chanakya-neeti/p/itmd68vymk9cpwze?pid=9788128834127&lid=LSTBOK9788128834127FBNVCE&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=2361f8f5-6646-4bdd-8178-e2d2563e734d.9788128834127.SEARCH&qH=7d8949bcbf85067f, Rs: 110, Chanakya Neeti,  Mishra Rajeshwar,4.4,356,51,Bengali,Paperback,Diamond Pocket Books,Self-Help, 8128834126,9788128834127 ,152, 
https://www.flipkart.com/ancient-science-mantras-wisdom-sages/p/itmeuvyfa6ewqbmg?pid=9789386348715&lid=LSTBOK978938634871558HXBE&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=b17a026c-f1b0-4161-9e1f-70734c77591f.9789386348715.SEARCH&qH=7d8949bcbf85067f, Rs: 298, The Ancient Science of Mantras - Wisdom of the Sages,  unknown,4.5,228,20,English,Paperback,Jaico,Religion, 9386348713,9789386348715 ,486, 
https://www.flipkart.com/original-rider-waite-tarot-deck/p/itmezunpd8mmvggx?pid=9780712670579&lid=LSTBOK97807126705795GNBJP&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=d523b780-e313-4416-9b0d-659e8964c006.9780712670579.SEARCH&qH=7d8949bcbf85067f, Rs: 905, The Original Rider Waite Tarot Deck,  Arthur Edward Waite,4.5,443,76,English,Paperback,Penguin, , 0712670572,9780712670579 ,80,1stEdition & 1993
https://www.flipkart.com/the-essential-rumi/p/itmezpqgs5ghcgpv?pid=9780062312747&lid=LSTBOK9780062312747XRSXYC&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=9ade5a70-fb1b-4d2b-b019-978251a844c8.9780062312747.SEARCH&qH=7d8949bcbf85067f, Rs: 288, The Essential Rumi,  Coleman Barks,4.5,598,35,English,Paperback,Harper,Religion & Spirituality, 006231274X,9780062312747 ,416,1 & 2013
https://www.flipkart.com/my-gita/p/itmecb8fbebzvhnz?pid=9788129137708&lid=LSTBOK97881291377080WVWQ0&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=b586c12a-37d5-478f-9400-cba15059329a.9788129137708.SEARCH&qH=7d8949bcbf85067f, Rs: 170, My Gita,  Pattanaik Devdutt,4.5,2702,179,English,Paperback,Rupa,Philosophy, 8129137704,9788129137708 ,256, 
https://www.flipkart.com/sita/p/itmfc58y8zbrxuyj?pid=9780143064329&lid=LSTBOK9780143064329NTC0DJ&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=7deed6b2-6e33-48b7-8841-51b500c4cc86.9780143064329.SEARCH&qH=7d8949bcbf85067f, Rs: 270, Sita,  Dr. Pattanaik Devdutt,4.5,1529,145,English,Paperback,Penguin,Social Science, 0143064320,9780143064329 ,328, 
https://www.flipkart.com/the-satanic-bible/p/itmf3jx2jedqwdfe?pid=9780380015399&lid=LSTBOK9780380015399DKQSF7&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=ca1626b0-e312-4a91-82cd-c84f68681931.9780380015399.SEARCH&qH=7d8949bcbf85067f, Rs: 186, THE SATANIC BIBLE,  Anton Szandor LaVey,4.3,200,23,English,Paperback,Avon Books,Religion, 0380015390,9780380015399 , , 
https://www.flipkart.com/aghora-ii-kundalini/p/itmdyufytefhzdvd?pid=9788171673438&lid=LSTBOK9788171673438G9H55Q&marketplace=FLIPKART&srno=s_1_12&otracker=categorytree%0A&fm=organic&iid=4436cef7-3c67-45ae-8154-b9acf8a8cd76.9788171673438.SEARCH&qH=7d8949bcbf85067f, Rs: 178, Aghora II: Kundalini,  Svoboda R.,4.5,343,38,English,Book,Rupa,Religion, 8171673430,9788171673438 , , 
