URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition

https://www.flipkart.com/success-mantra-brahmos-path-unexplored/p/itmdys8qkv5ferye?pid=9788182748033&lid=LSTBOK978818274803316IJGO&marketplace=FLIPKART&srno=s_1_1&otracker=categorytree%0A&fm=organic&iid=1a31ecd7-cf9b-407c-8a12-c2120c4f199e.9788182748033.SEARCH&qH=7d8949bcbf85067f, Rs: 324, Success Mantra of BrahMos - The Path Unexplored,  Pillai A. Sivathanu, , , ,English,Hardcover,Pentagon Press,History, 8182748038,9788182748033 ,228, 
https://www.flipkart.com/fine-print-life/p/itmf3k6s2xgsbyhh?pid=9788172237516&lid=LSTBOK9788172237516GO38AU&marketplace=FLIPKART&srno=s_1_2&otracker=categorytree%0A&fm=organic&iid=36fec689-529e-4b0d-aad3-eed330c7cddf.9788172237516.SEARCH&qH=7d8949bcbf85067f, Rs: 208, THE FINE PRINT OF LIFE,  PS Wasu,4.3,3,0,English,Paperback,Harper Collins India,Self-Help, 8172237510,9788172237516 , , 
https://www.flipkart.com/understandings-addictions/p/itmdbpggggtcpfzf?pid=9788174368485&lid=LSTBOK9788174368485IZLVJA&marketplace=FLIPKART&srno=s_1_3&otracker=categorytree%0A&fm=organic&iid=b6fd4c1f-6c39-4f00-9836-e803badafdc0.9788174368485.SEARCH&qH=7d8949bcbf85067f, Rs: 200, Understandings Addictions,  Smita Barooah Sanyal,4.2,6,1,English,Paperback,Roli Books, , 8174368485,9788174368485 ,200,2012
https://www.flipkart.com/women-don-t-need-help-learn-sail-your-own-ship/p/itme24bmqjrfxk9z?pid=9781503098244&lid=LSTBOK9781503098244XV4UIR&marketplace=FLIPKART&srno=s_1_4&otracker=categorytree%0A&fm=organic&iid=199e2a8a-9cac-4943-9a48-ace7207bbf96.9781503098244.SEARCH&qH=7d8949bcbf85067f, Rs: 339, Women Don't Need Help!! - Learn to Sail Your Own Ship!,  Rathaur Aakanksha, , , ,English,Paperback,Createspace,Self-Help, 1503098249,9781503098244 ,108, 
https://www.flipkart.com/sadhus-spinners/p/itmf3k6sqmgh7eaa?pid=9788172238483&lid=LSTBOK97881722384835IV0GY&marketplace=FLIPKART&srno=s_1_5&otracker=categorytree%0A&fm=organic&iid=8125b9de-bba2-4ca4-9979-4f11fefe3531.9788172238483.SEARCH&qH=7d8949bcbf85067f, Rs: 242, OF SADHUS & SPINNERS,  Santosh' and  ' Sareen' and  ' Bruce' and  ' Bennett, , , ,English,Paperback,HarperCollins India,Fiction, 8172238487,9788172238483 , , 
https://www.flipkart.com/34-bubblegums-candies/p/itmdyv3mpegftnrs?pid=9788188575688&lid=LSTBOK9788188575688MIANQJ&marketplace=FLIPKART&srno=s_1_6&otracker=categorytree%0A&fm=organic&iid=a40e6ca6-398d-4793-a49b-ae604384c5fc.9788188575688.SEARCH&qH=7d8949bcbf85067f, Rs: 90, 34 Bubblegums and Candies,  Shenoy Preeti,3.7,469,52,English,Paperback,Srishti,Self-Help, 8188575682,9788188575688 , , 
https://www.flipkart.com/life-s-amazing-secrets/p/itmf76z4byzrhjcz?pid=9780143442295&lid=LSTBOK9780143442295FBAQX4&marketplace=FLIPKART&srno=s_1_7&otracker=categorytree%0A&fm=organic&iid=6a1ee5ec-f2fd-46b6-aa94-28d8090033fd.9780143442295.SEARCH&qH=7d8949bcbf85067f, Rs: 150, Life's Amazing Secrets,  Das Gaur Gopal,4.6,7826,832,English,Paperback,Penguin,Self-Help, 0143442295,9780143442295 ,256, 
https://www.flipkart.com/power-your-subconscious-mind/p/itmfawz5jdrcvuba?pid=9788192910963&lid=LSTBOK9788192910963MJHFLY&marketplace=FLIPKART&srno=s_1_8&otracker=categorytree%0A&fm=organic&iid=6dd0f013-29b7-4730-8292-f46aa63456ab.9788192910963.SEARCH&qH=7d8949bcbf85067f, Rs: 94, The Power of Your Subconscious Mind,  Dr. Joseph Murphy,4.5,4640,510,English,Paperback,Amazing Reads,Self-Help, 8192910962,9788192910963 ,280,2018
https://www.flipkart.com/subtle-art-not-giving-f-ck-counterintuitive-approach-living-good-life/p/itmepqjjcmduyzew?pid=9780062641540&lid=LSTBOK9780062641540JTOU3H&marketplace=FLIPKART&srno=s_1_9&otracker=categorytree%0A&fm=organic&iid=0751b48e-eddb-42f9-b3d5-694e58a70031.9780062641540.SEARCH&qH=7d8949bcbf85067f, Rs: 293, The Subtle Art of Not Giving a F*ck - A Counterintuitive Approach to Living a Good Life,  Mark Manson,4.6,10054,637,English,Paperback,Harper,Self-Help, 0062641549,9780062641540 ,224,2017
https://www.flipkart.com/you-can-win/p/itmfc5dutwsbvahs?pid=9789382951711&lid=LSTBOK97893829517119LGZBM&marketplace=FLIPKART&srno=s_1_10&otracker=categorytree%0A&fm=organic&iid=d45845cb-3538-4683-92a3-aedba20c2bff.9789382951711.SEARCH&qH=7d8949bcbf85067f, Rs: 232, You Can Win,  Khera Shiv,4.5,6129,673,English,Paperback,Bloomsbury,Self-Help, 9382951717,9789382951711 ,308, 
https://www.flipkart.com/5-am-club-own-your-morning-elevate-life/p/itmf9z65he3wkmwj?pid=9789387944893&lid=LSTBOK9789387944893W191HT&marketplace=FLIPKART&srno=s_1_11&otracker=categorytree%0A&fm=organic&iid=3c6be7f1-0602-464b-ac50-b5140ee4df19.9789387944893.SEARCH&qH=7d8949bcbf85067f, Rs: 210, The 5 AM Club : Own Your Morning- Elevate Your Life,  ROBIN SHARMA,4.6,895,75,English,Paperback,Jaico,Self Help, 9387944891,9789387944893 ,336,1 & 2018
