URL, Price, Title, Author, Stars, Ratings Count, Reviews Count, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition
https://www.flipkart.com/homo-deus/p/itmf7hubgv9bpz9u?pid=9781784703936&lid=LSTBOK9781784703936YZOAF1&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=2a05652b-0120-4065-ba8c-fa9d8b326ec3.9781784703936.SEARCH,Rs: 229, Homo Deus,  Harari Yuval Noah,4.5,327,23,English,Paperback,Penguin,Social Science, 1784703931,9781784703936 ,528,2017
https://www.flipkart.com/homo-deus-brief-history-tomorrow/p/itmf7hubgv9bpz9u?pid=9781910701881&lid=LSTBOK9781910701881XCYKLK&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=198275d7-8b54-4c86-9161-99997669bffa.9781910701881.SEARCH,Rs: 573, Homo Deus - A Brief History of Tomorrow,  Yuval Noah Harari,4.6,126,7,English,Paperback,Penguin,Popular science, 1910701882,9781910701881 ,448,2016
https://www.flipkart.com/quantitative-aptitude-competitive-examinations/p/itmer8s9qvpyzh5s?pid=9789352534029&lid=LSTBOK97893525340291ACAJ3&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=348bf1a2-531d-42d9-8a16-b26e257f1573.9789352534029.SEARCH,Rs: 427, Quantitative Aptitude for Competitive Examinations,  Aggarwal R. S.,4.4,15052,1944,English,Paperback,Schand,Education, 9352534026,9789352534029 , , 
https://www.flipkart.com/modern-approach-verbal-non-verbal-reasoning/p/itmdytg8ghhmrq75?pid=9789352535316&lid=LSTBOK97893525353167PJ8OL&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=en_pUbtv5vTWuEgVXqMN07DHfJ%2F7hMcZ4dg%2B2NmUHJZS%2FNgfzUR0zd%2FV1zCKLTjhVrk,Rs: 605, A Modern Approach to Verbal & Non-Verbal Reasoning,  unknown,4.3,1432,169,English,Paperback,Schand,Education, 9352535316,9789352535316 , , 
https://www.flipkart.com/rrb-railway-recruitment-board-2019-junior-engineer-cbt-i-ii-civil-engineering/p/itmfccx9wq5zszxw?pid=9789388426848&lid=LSTBOK9789388426848I4CB84&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=5e9ec275-b4ea-4cdc-8d0d-fb78d593cc7b.9789388426848.SEARCH,Rs: 580, RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Civil Engineering,  GKP,4.3,47,8,ENGLISH,Paperback,G.K.PUB,COMPETITIVE EXAM, 9388426843,9789388426848 , ,2019
https://www.flipkart.com/harrison-s-principles-internal-medicine-20th-2018-volume-1-2-jameson/p/itmfa6wgfcw6ysfg?pid=9781259834806&lid=LSTBOK9781259834806OPFWGS&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=7eaf4a5f-9e10-4543-8049-0c43c7f40e5c.9781259834806.SEARCH,Rs: 8100, Harrison's Principles of Internal Medicine 20th Edition 2018 (Volume 1 & 2) by Jameson,  Jameson, , , ,English,Hardcover,Mcgraw-Hill,MEDICINE BOOKS, 1259834808,9781259834806 , ,20 & 2018
https://www.flipkart.com/think-grow-rich-magic-formula-success-wealth-wisdom/p/itmfffmuymbzdgzg?pid=9780143442950&lid=LSTBOK9780143442950LQHU2J&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=5958710f-40ec-49ce-a3d5-23e0f3e9f849.9780143442950.SEARCH,Rs: 66, Think & Grow Rich - Magic Formula for Success- Wealth and Wisdom,  Napolean Hill,4.5,3218,308,English,Paperback,PRH INDIA LOCAL PRINT,Self-Help, 0143442953,9780143442950 ,272,2018
https://www.flipkart.com/general-knowledge-2019/p/itmf28kyppz66gcm?pid=9789312147320&lid=LSTBOK9789312147320IXARQL&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=9a72a029-7647-4518-b808-7330990d77e5.9789312147320.SEARCH,Rs: 62, General Knowledge 2019,  unknown,4.2,1784,208,English,Paperback,Arihant,Reference, 9312147323,9789312147320 ,352, 
https://www.flipkart.com/the-forest-of-enchantments/p/itmfbbp6hzwku5ep?pid=9789353025984&lid=LSTBOK9789353025984MBMHUB&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=132fbc9d-cebe-4114-9489-1b6e662eb077.9789353025984.SEARCH,Rs: 373, The Forest of Enchantments,  Chitra Banerjee Divakaruni,4.9,9,0,English,Hardcover,Harper,Fiction, 9353025982,9789353025984 , ,1st Edition
https://www.flipkart.com/manorama-yearbook-2019-first/p/itmfbefh9xkzfmgu?pid=9788193769713&lid=LSTBOK9788193769713XZJQBQ&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=1eba7587-2779-4754-aa96-a7c5d6afa52c.9788193769713.SEARCH,Rs: 228, Manorama Yearbook 2019 First Edition,  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,4.6,937,99,English,Paperback,Malayala Manorama,Entrance Exams Preparation, 8193769716,9788193769713 , ,First & 2018
https://www.flipkart.com/oswaal-cbse-sample-question-paper-class-10-social-science-for-march-2019-exam/p/itmf96z5vhpegc8v?pid=9789388036672&lid=LSTBOK9789388036672PI5LIC&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=dcde3b14-41ec-41f4-a546-8bbf86059b27.9789388036672.SEARCH,Rs: 126, Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),  Panel of Experts,4.6,215,24,English,Paperback,Oswal,School Books, 9388036670,9789388036672 ,184,2018
https://www.flipkart.com/high-school-english-grammar-composition/p/itmef8gtaxbyetjf?pid=9789352530144&lid=LSTBOK9789352530144RCQD8T&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=2ec0d463-f9c6-42e1-bbed-4197e40727e9.9789352530144.SEARCH,Rs: 259, High School English Grammar & Composition,  Wren Martin,4.4,1139,126,English,Paperback,SCHAND,Foreign Language Study, 9352530144,9789352530144 ,384, 
https://www.flipkart.com/rrb-railway-recruitment-board-2019-junior-engineer-cbt-i-ii-electronics-engineering/p/itmfccx8uytsqar8?pid=9789388426589&lid=LSTBOK9789388426589YAOG2P&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=0cba994d-4ca1-4046-aefc-b66c5fffee98.9789388426589.SEARCH,Rs: 509, RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Electronics Engineering,  GKP,4.6,29,3,ENGLISH,Paperback,G.K.PUB,COMPETITIVE EXAM, 9388426584,9789388426589 , ,2019
